;transcript7_ENSMPUG00000020072;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript10_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript17_ENSMPUG00000020072;transcript17_ENSECAG00000007947;transcript17_ENSSTOG00000019743;transcript17_ENSCPOG00000024843;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript22_ENSMLUG00000027828;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript24_ENSCCNG00000000226;transcript24_ENSCPOG00000024843;transcript25_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript9_ENSCCNG00000000226;transcript9_ENSCPOG00000024843;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript18_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript20_ENSMPUG00000020072;0.544;0.466;0.495;0.509;0.995;0.885;1.0;0.889;0.85;0.915;1.0;0.776;0.678;0.938;0.883;0.794;0.809;0.981;0.889;0.051;0.05;0.051;0.055;0.872;0.825;0.787;0.801;0.681;0.724;0.729;0.915
transcript22_ENSMPUG00000020072;0.7;0.363;0.39;0.547;0.772;0.694;0.776;0.697;0.668;0.71;0.776;1.0;0.668;0.827;0.877;0.717;0.735;0.757;0.697;0.066;0.06;0.066;0.071;0.682;0.711;0.603;0.619;0.496;0.77;0.775;0.71
transcript22_ENSMLUG00000027828;0.51;0.479;0.452;0.499;0.674;0.68;0.678;0.684;0.72;0.689;0.678;0.668;1.0;0.707;0.659;0.701;0.603;0.661;0.684;0.072;0.068;0.068;0.071;0.754;0.797;0.642;0.606;0.491;0.646;0.651;0.689
transcript23_ENSMPUG00000020072;0.58;0.484;0.517;0.525;0.933;0.829;0.938;0.833;0.798;0.858;0.938;0.827;0.707;1.0;0.941;0.833;0.767;0.919;0.833;0.055;0.053;0.054;0.059;0.825;0.854;0.735;0.751;0.631;0.746;0.751;0.858
transcript24_ENSMPUG00000020072;0.615;0.438;0.467;0.556;0.879;0.788;0.883;0.792;0.757;0.808;0.883;0.877;0.659;0.941;1.0;0.802;0.808;0.864;0.792;0.058;0.053;0.058;0.062;0.782;0.809;0.694;0.707;0.586;0.789;0.794;0.808
transcript24_ENSCCNG00000000226;0.523;0.502;0.578;0.557;0.79;0.806;0.794;0.81;0.768;0.815;0.794;0.717;0.701;0.833;0.802;1.0;0.765;0.778;0.81;0.057;0.055;0.061;0.06;0.798;0.841;0.706;0.816;0.676;0.771;0.773;0.815
transcript24_ENSCPOG00000024843;0.508;0.384;0.414;0.593;0.814;0.837;0.809;0.832;0.799;0.894;0.809;0.735;0.603;0.767;0.808;0.765;1.0;0.791;0.832;0.055;0.05;0.055;0.061;0.83;0.78;0.726;0.758;0.628;0.859;0.867;0.894
transcript25_ENSMPUG00000020072;0.545;0.475;0.504;0.491;0.976;0.867;0.981;0.871;0.831;0.897;0.981;0.757;0.661;0.919;0.864;0.778;0.791;1.0;0.871;0.052;0.051;0.052;0.056;0.856;0.809;0.769;0.785;0.694;0.706;0.71;0.897
transcript12_ENSECAG00000007947;0.507;0.483;0.519;0.533;0.887;0.995;0.889;1.0;0.855;0.916;0.889;0.697;0.684;0.833;0.792;0.81;0.832;0.871;1.0;0.053;0.05;0.053;0.056;0.887;0.836;0.797;0.829;0.713;0.738;0.744;0.916
transcript9_ENSMLUG00000027828;0.094;0.1;0.094;0.093;0.051;0.052;0.051;0.053;0.053;0.05;0.051;0.066;0.072;0.055;0.058;0.057;0.055;0.052;0.053;1.0;0.809;0.762;0.784;0.054;0.057;0.058;0.056;0.066;0.064;0.064;0.05
transcript9_ENSSTOG00000019743;0.085;0.1;0.092;0.083;0.049;0.05;0.05;0.05;0.053;0.047;0.05;0.06;0.068;0.053;0.053;0.055;0.05;0.051;0.05;0.809;1.0;0.796;0.779;0.052;0.055;0.058;0.054;0.064;0.057;0.057;0.047
transcript9_ENSCCNG00000000226;0.093;0.096;0.1;0.093;0.051;0.052;0.051;0.053;0.051;0.05;0.051;0.066;0.068;0.054;0.058;0.061;0.055;0.052;0.053;0.762;0.796;1.0;0.821;0.051;0.054;0.056;0.059;0.07;0.064;0.064;0.05
transcript9_ENSCPOG00000024843;0.101;0.099;0.099;0.102;0.055;0.056;0.055;0.056;0.053;0.054;0.055;0.071;0.071;0.059;0.062;0.06;0.061;0.056;0.056;0.784;0.779;0.821;1.0;0.054;0.057;0.058;0.059;0.07;0.07;0.07;0.054
transcript13_ENSMLUG00000027828;0.491;0.504;0.492;0.502;0.87;0.883;0.872;0.887;0.922;0.912;0.872;0.682;0.754;0.825;0.782;0.798;0.83;0.856;0.887;0.054;0.052;0.051;0.054;1.0;0.946;0.846;0.8;0.69;0.729;0.731;0.912
transcript14_ENSMLUG00000027828;0.511;0.533;0.519;0.508;0.824;0.832;0.825;0.836;0.869;0.863;0.825;0.711;0.797;0.854;0.809;0.841;0.78;0.809;0.836;0.057;0.055;0.054;0.057;0.946;1.0;0.793;0.749;0.638;0.739;0.741;0.863
transcript26_ENSSTOG00000019743;0.462;0.582;0.526;0.542;0.785;0.793;0.787;0.797;0.918;0.81;0.787;0.603;0.642;0.735;0.694;0.706;0.726;0.769;0.797;0.058;0.058;0.056;0.058;0.846;0.793;1.0;0.725;0.607;0.636;0.638;0.81
transcript26_ENSCCNG00000000226;0.459;0.512;0.591;0.483;0.806;0.834;0.801;0.829;0.781;0.832;0.801;0.619;0.606;0.751;0.707;0.816;0.758;0.785;0.829;0.056;0.054;0.059;0.059;0.8;0.749;0.725;1.0;0.839;0.679;0.678;0.832
transcript18_ENSCCNG00000000226;0.428;0.602;0.698;0.422;0.686;0.718;0.681;0.713;0.67;0.705;0.681;0.496;0.491;0.631;0.586;0.676;0.628;0.694;0.713;0.066;0.064;0.07;0.07;0.69;0.638;0.607;0.839;1.0;0.549;0.545;0.705
transcript18_ENSCPOG00000024843;0.525;0.363;0.4;0.691;0.723;0.737;0.724;0.738;0.709;0.768;0.724;0.77;0.646;0.746;0.789;0.771;0.859;0.706;0.738;0.064;0.057;0.064;0.07;0.729;0.739;0.636;0.679;0.549;1.0;0.986;0.768
transcript32_ENSCPOG00000024843;0.527;0.362;0.399;0.684;0.728;0.743;0.729;0.744;0.711;0.775;0.729;0.775;0.651;0.751;0.794;0.773;0.867;0.71;0.744;0.064;0.057;0.064;0.07;0.731;0.741;0.638;0.678;0.545;0.986;1.0;0.775
transcript33_ENSCPOG00000024843;0.498;0.472;0.494;0.53;0.92;0.921;0.915;0.916;0.881;1.0;0.915;0.71;0.689;0.858;0.808;0.815;0.894;0.897;0.916;0.05;0.047;0.05;0.054;0.912;0.863;0.81;0.832;0.705;0.768;0.775;1.0
