;transcript9_ENSAPOG00000016134;transcript9_ENSXMAG00000026005;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript7_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript23_ENSAPOG00000023408;transcript23_ENSPNYG00000024266;transcript28_ENSAPOG00000023408;transcript28_ENSAOCG00000015695;transcript29_ENSAPOG00000023408;transcript29_ENSAOCG00000015695;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript24_ENSPNYG00000024266
transcript23_ENSAPOG00000023408;0.227;0.519;0.747;0.747;0.746;0.76;0.188;0.213;0.269;0.843;1.0;1.0;0.635;0.635;0.795;0.852;0.902;0.781;0.799;0.664;0.867;0.867;0.799;0.742;0.792
transcript23_ENSPNYG00000024266;0.259;0.593;0.859;0.859;0.786;0.804;0.188;0.213;0.269;0.843;1.0;1.0;0.692;0.694;0.798;0.855;0.905;0.783;0.865;0.768;0.896;0.896;0.865;0.807;0.857
transcript28_ENSAPOG00000023408;0.359;0.864;0.781;0.781;0.649;0.673;0.175;0.195;0.254;0.51;0.635;0.692;1.0;1.0;0.536;0.569;0.704;0.611;0.836;0.698;0.757;0.757;0.836;0.78;0.756
transcript28_ENSAOCG00000015695;0.359;0.864;0.778;0.778;0.651;0.674;0.175;0.195;0.254;0.51;0.635;0.694;1.0;1.0;0.537;0.57;0.704;0.611;0.837;0.695;0.758;0.758;0.837;0.781;0.757
transcript29_ENSAPOG00000023408;0.233;0.52;0.658;0.658;0.633;0.647;0.212;0.218;0.323;0.846;0.795;0.798;0.536;0.537;1.0;1.0;0.799;0.873;0.706;0.637;0.769;0.769;0.706;0.645;0.693
transcript29_ENSAOCG00000015695;0.233;0.52;0.686;0.686;0.671;0.689;0.212;0.218;0.323;0.846;0.852;0.855;0.569;0.57;1.0;1.0;0.857;0.873;0.744;0.665;0.815;0.815;0.744;0.682;0.731
transcript30_ENSAPOG00000023408;0.227;0.516;0.75;0.75;0.748;0.764;0.187;0.211;0.268;0.838;0.902;0.905;0.704;0.704;0.799;0.857;1.0;0.784;0.801;0.666;0.87;0.87;0.801;0.746;0.722
transcript31_ENSAPOG00000023408;0.238;0.516;0.647;0.647;0.619;0.632;0.217;0.224;0.323;0.838;0.781;0.783;0.611;0.611;0.873;0.873;0.784;1.0;0.694;0.563;0.756;0.756;0.694;0.633;0.613
transcript17_ENSAOCG00000015695;0.309;0.845;0.93;0.93;0.82;0.847;0.15;0.166;0.242;0.496;0.799;0.865;0.836;0.837;0.706;0.744;0.801;0.694;1.0;0.848;0.921;0.921;1.0;0.946;0.921
transcript18_ENSAOCG00000015695;0.303;0.807;0.917;0.917;0.685;0.75;0.148;0.161;0.244;0.47;0.664;0.768;0.698;0.695;0.637;0.665;0.666;0.563;0.848;1.0;0.774;0.774;0.905;0.852;0.9
transcript26_ENSAOCG00000015695;0.204;0.496;0.857;0.857;0.737;0.76;0.164;0.183;0.245;0.807;0.867;0.896;0.757;0.758;0.769;0.815;0.87;0.756;0.921;0.774;1.0;1.0;0.921;0.867;0.842
transcript27_ENSAOCG00000015695;0.204;0.496;0.857;0.857;0.737;0.76;0.164;0.183;0.245;0.807;0.867;0.896;0.757;0.758;0.769;0.815;0.87;0.756;0.921;0.774;1.0;1.0;0.921;0.867;0.842
transcript12_ENSPNYG00000024266;0.309;0.845;0.994;0.994;0.82;0.847;0.15;0.166;0.242;0.496;0.799;0.865;0.836;0.837;0.706;0.744;0.801;0.694;1.0;0.905;0.921;0.921;1.0;0.946;0.921
transcript22_ENSPNYG00000024266;0.327;0.873;0.941;0.941;0.76;0.787;0.161;0.18;0.258;0.516;0.742;0.807;0.78;0.781;0.645;0.682;0.746;0.633;0.946;0.852;0.867;0.867;0.946;1.0;0.867
transcript24_ENSPNYG00000024266;0.325;0.855;0.915;0.915;0.739;0.766;0.159;0.175;0.25;0.503;0.792;0.857;0.756;0.757;0.693;0.731;0.722;0.613;0.921;0.9;0.842;0.842;0.921;0.867;1.0
