;transcript7_ENSMPUG00000020072;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript10_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript17_ENSMPUG00000020072;transcript17_ENSECAG00000007947;transcript17_ENSSTOG00000019743;transcript17_ENSCPOG00000024843;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript22_ENSMLUG00000027828;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript24_ENSCCNG00000000226;transcript24_ENSCPOG00000024843;transcript25_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript9_ENSCCNG00000000226;transcript9_ENSCPOG00000024843;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript18_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript12_ENSECAG00000007947;0.51;0.678;0.693;0.669;0.889;0.996;0.89;1.0;0.9;0.92;0.89;0.699;0.803;0.834;0.794;0.881;0.899;0.872;1.0;0.105;0.12;0.12;0.086;0.916;0.89;0.86;0.888;0.823;0.822;0.828;0.92
transcript9_ENSMLUG00000027828;0.181;0.193;0.183;0.181;0.102;0.105;0.102;0.105;0.108;0.1;0.102;0.129;0.141;0.108;0.114;0.113;0.111;0.104;0.105;1.0;0.894;0.858;0.913;0.109;0.115;0.117;0.112;0.132;0.127;0.127;0.1
transcript9_ENSSTOG00000019743;0.177;0.245;0.22;0.193;0.118;0.119;0.119;0.12;0.13;0.114;0.119;0.139;0.152;0.132;0.127;0.135;0.114;0.119;0.12;0.894;1.0;0.872;0.876;0.125;0.137;0.15;0.135;0.15;0.131;0.13;0.114
transcript9_ENSCCNG00000000226;0.182;0.24;0.241;0.199;0.116;0.119;0.117;0.12;0.119;0.114;0.117;0.144;0.136;0.128;0.139;0.139;0.128;0.117;0.12;0.858;0.872;1.0;0.856;0.119;0.129;0.136;0.139;0.167;0.141;0.14;0.114
transcript9_ENSCPOG00000024843;0.144;0.154;0.153;0.135;0.085;0.085;0.085;0.086;0.082;0.084;0.085;0.105;0.105;0.091;0.095;0.092;0.087;0.087;0.086;0.913;0.876;0.856;1.0;0.084;0.089;0.091;0.091;0.111;0.101;0.101;0.084
transcript13_ENSMLUG00000027828;0.503;0.71;0.679;0.659;0.9;0.914;0.901;0.916;0.964;0.956;0.901;0.702;0.87;0.85;0.805;0.897;0.931;0.884;0.916;0.109;0.125;0.119;0.084;1.0;0.976;0.91;0.89;0.822;0.845;0.846;0.956
transcript14_ENSMLUG00000027828;0.526;0.745;0.713;0.672;0.877;0.888;0.877;0.89;0.939;0.932;0.877;0.735;0.894;0.886;0.838;0.932;0.904;0.86;0.89;0.115;0.137;0.129;0.089;0.976;1.0;0.882;0.861;0.788;0.861;0.862;0.932
transcript26_ENSSTOG00000019743;0.485;0.793;0.726;0.719;0.85;0.857;0.851;0.86;0.945;0.891;0.851;0.647;0.78;0.794;0.747;0.83;0.859;0.831;0.86;0.117;0.15;0.136;0.091;0.91;0.882;1.0;0.838;0.753;0.775;0.776;0.891
transcript26_ENSCCNG00000000226;0.482;0.733;0.766;0.641;0.867;0.892;0.861;0.888;0.882;0.912;0.861;0.659;0.754;0.807;0.76;0.881;0.886;0.843;0.888;0.112;0.135;0.139;0.091;0.89;0.861;0.838;1.0;0.915;0.802;0.799;0.912
transcript18_ENSCCNG00000000226;0.466;0.777;0.845;0.607;0.796;0.827;0.79;0.823;0.809;0.835;0.79;0.57;0.662;0.731;0.679;0.794;0.799;0.79;0.823;0.132;0.15;0.167;0.111;0.822;0.788;0.753;0.915;1.0;0.706;0.701;0.835
transcript18_ENSCPOG00000024843;0.553;0.585;0.599;0.798;0.815;0.821;0.815;0.822;0.839;0.87;0.815;0.81;0.811;0.832;0.852;0.887;0.897;0.795;0.822;0.127;0.131;0.141;0.101;0.845;0.861;0.775;0.802;0.706;1.0;0.99;0.87
transcript32_ENSCPOG00000024843;0.554;0.583;0.596;0.792;0.819;0.827;0.819;0.828;0.839;0.876;0.819;0.814;0.815;0.836;0.856;0.887;0.903;0.799;0.828;0.127;0.13;0.14;0.101;0.846;0.862;0.776;0.799;0.701;0.99;1.0;0.876
transcript33_ENSCPOG00000024843;0.5;0.68;0.683;0.68;0.92;0.924;0.915;0.92;0.944;1.0;0.915;0.712;0.826;0.859;0.81;0.911;0.971;0.898;0.92;0.1;0.114;0.114;0.084;0.956;0.932;0.891;0.912;0.835;0.87;0.876;1.0
