;ENSCAFT00000020196_90_90;ENSCAFT00000020210_90_90;ENST00000340296_90_90;ENST00000397119_90_90;ENST00000409197_90_90;ENST00000409317_90_90;ENST00000409453_90_90;ENST00000409773_90_90;ENST00000410079_90_90;ENST00000411953_90_90;ENST00000412370_90_90;ENST00000422646_90_90;ENST00000423910_90_90;ENST00000425485_90_90;ENST00000430778_90_90;ENST00000435234_90_90;ENST00000438879_90_90;ENST00000443458_90_90;ENST00000445378_90_90;ENST00000452242_90_90;ENST00000456808_90_90;ENST00000508530_90_90;ENSMUST00000081710_90_90;ENSMUST00000100028_90_90;ENSMUST00000112136_90_90;ENSMUST00000112138_90_90;ENSMUST00000112139_90_90;ENSMUST00000112140_90_90;ENSMUST00000112142_90_90;ENSMUST00000112144_90_90
ENST00000430778_90_90;0.13;0.169;0.169;0.181;0.169;0.193;0.186;0.181;0.159;0.613;0.539;0.48;0.434;0.394;1.0;0.271;0.39;0.616;0.367;0.353;0.391;0.174;0.169;0.193;0.186;0.169;0.174;0.181;0.193;0.181
ENST00000435234_90_90;0.52;0.661;0.661;0.573;0.661;0.61;0.589;0.573;0.611;0.276;0.372;0.534;0.49;0.733;0.271;1.0;0.562;0.31;0.413;0.761;0.575;0.687;0.661;0.61;0.589;0.661;0.687;0.573;0.61;0.573
ENST00000438879_90_90;0.418;0.398;0.398;0.432;0.398;0.461;0.446;0.432;0.459;0.619;0.587;0.796;0.738;0.738;0.39;0.562;1.0;0.509;0.482;0.748;0.838;0.411;0.398;0.461;0.484;0.398;0.411;0.468;0.461;0.468
ENST00000443458_90_90;0.24;0.208;0.208;0.324;0.208;0.272;0.335;0.324;0.195;0.696;0.556;0.62;0.463;0.424;0.616;0.31;0.509;1.0;0.417;0.467;0.422;0.214;0.208;0.272;0.3;0.208;0.214;0.291;0.272;0.291
ENST00000445378_90_90;0.185;0.275;0.275;0.238;0.275;0.254;0.245;0.238;0.254;0.356;0.541;0.601;0.649;0.576;0.367;0.413;0.482;0.417;1.0;0.442;0.573;0.286;0.275;0.254;0.245;0.275;0.286;0.238;0.254;0.238
ENST00000452242_90_90;0.502;0.524;0.524;0.553;0.524;0.593;0.572;0.553;0.487;0.424;0.398;0.734;0.524;0.77;0.353;0.761;0.748;0.467;0.442;1.0;0.61;0.544;0.524;0.593;0.572;0.524;0.544;0.553;0.593;0.553
ENST00000456808_90_90;0.33;0.398;0.398;0.347;0.398;0.368;0.357;0.347;0.465;0.53;0.7;0.717;0.879;0.773;0.391;0.575;0.838;0.422;0.573;0.61;1.0;0.413;0.398;0.368;0.392;0.398;0.413;0.38;0.368;0.38
ENST00000508530_90_90;0.807;0.97;0.97;0.86;0.97;0.904;0.879;0.86;0.906;0.188;0.262;0.38;0.346;0.527;0.174;0.687;0.411;0.214;0.286;0.544;0.413;1.0;0.97;0.904;0.879;0.97;1.0;0.86;0.904;0.86
ENSMUST00000081710_90_90;0.833;1.0;1.0;0.885;1.0;0.931;0.86;0.885;0.933;0.182;0.253;0.367;0.334;0.504;0.169;0.661;0.398;0.208;0.275;0.524;0.398;0.97;1.0;0.931;0.86;1.0;0.97;0.885;0.931;0.885
ENSMUST00000100028_90_90;0.895;0.931;0.931;0.948;0.931;1.0;0.923;0.948;0.876;0.245;0.235;0.435;0.31;0.463;0.193;0.61;0.461;0.272;0.254;0.593;0.368;0.904;0.931;1.0;0.923;0.931;0.904;0.948;1.0;0.948
ENSMUST00000112136_90_90;0.923;0.86;0.86;0.93;0.86;0.923;0.952;0.93;0.853;0.269;0.258;0.419;0.334;0.446;0.186;0.589;0.484;0.3;0.245;0.572;0.392;0.879;0.86;0.923;1.0;0.86;0.879;0.975;0.923;0.975
ENSMUST00000112138_90_90;0.833;1.0;1.0;0.885;1.0;0.931;0.86;0.885;0.933;0.182;0.253;0.367;0.334;0.504;0.169;0.661;0.398;0.208;0.275;0.524;0.398;0.97;1.0;0.931;0.86;1.0;0.97;0.885;0.931;0.885
ENSMUST00000112139_90_90;0.807;0.97;0.97;0.86;0.97;0.904;0.879;0.86;0.906;0.188;0.262;0.38;0.346;0.527;0.174;0.687;0.411;0.214;0.286;0.544;0.413;1.0;0.97;0.904;0.879;0.97;1.0;0.86;0.904;0.86
ENSMUST00000112140_90_90;0.948;0.885;0.885;0.954;0.885;0.948;0.93;0.954;0.876;0.261;0.251;0.406;0.323;0.431;0.181;0.573;0.468;0.291;0.238;0.553;0.38;0.86;0.885;0.948;0.975;0.885;0.86;1.0;0.948;1.0
ENSMUST00000112142_90_90;0.895;0.931;0.931;0.948;0.931;1.0;0.923;0.948;0.876;0.245;0.235;0.435;0.31;0.463;0.193;0.61;0.461;0.272;0.254;0.593;0.368;0.904;0.931;1.0;0.923;0.931;0.904;0.948;1.0;0.948
ENSMUST00000112144_90_90;0.948;0.885;0.885;0.954;0.885;0.948;0.93;0.954;0.876;0.261;0.251;0.406;0.323;0.431;0.181;0.573;0.468;0.291;0.238;0.553;0.38;0.86;0.885;0.948;0.975;0.885;0.86;1.0;0.948;1.0
