;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript43_ENSCGRG00000018457;0.431;1.0;0.431;0.431;0.385;0.249;0.214;0.964;0.854;0.964;0.917;0.964;0.964;0.947;1.0;0.975;0.978;0.882;0.882;0.915;0.84;0.943;0.815;0.817;0.943;0.886;0.943
transcript7_ENSCGRG00001010245;0.431;1.0;0.431;0.431;0.37;0.249;0.203;0.967;0.967;0.967;0.921;0.967;0.967;0.948;0.975;1.0;1.0;0.926;0.926;0.919;0.866;0.992;0.837;0.835;0.992;0.926;0.992
transcript29_ENSCGRG00001010245;0.431;1.0;0.431;0.431;0.37;0.249;0.203;0.971;0.861;0.971;0.922;0.971;0.971;0.954;0.978;1.0;1.0;0.927;0.927;0.92;0.881;0.993;0.855;0.853;0.993;0.934;0.993
transcript15_ENSPEMG00000024651;0.431;0.942;0.431;0.431;0.365;0.256;0.205;0.913;0.819;0.913;0.963;0.913;0.913;0.899;0.882;0.926;0.927;1.0;1.0;0.961;0.837;0.933;0.812;0.811;0.933;0.884;0.933
transcript24_ENSPEMG00000024651;0.431;0.942;0.431;0.431;0.365;0.256;0.205;0.913;0.819;0.913;0.963;0.913;0.913;0.899;0.882;0.926;0.927;1.0;1.0;0.961;0.837;0.933;0.812;0.811;0.933;0.884;0.933
transcript31_ENSPEMG00000024651;0.415;0.942;0.415;0.415;0.368;0.244;0.207;0.947;0.851;0.947;0.998;0.947;0.947;0.932;0.915;0.919;0.92;0.961;0.961;1.0;0.831;0.927;0.806;0.807;0.927;0.878;0.927
transcript5_ENSNGAG00000018584;0.373;0.814;0.373;0.373;0.32;0.219;0.179;0.876;0.767;0.876;0.833;0.876;0.876;0.864;0.84;0.866;0.881;0.837;0.837;0.831;1.0;0.891;0.972;0.97;0.891;0.853;0.891
transcript5_ENSSTOG00000019743;0.431;1.0;0.431;0.431;0.365;0.249;0.2;0.979;0.871;0.979;0.929;0.979;0.979;0.962;0.943;0.992;0.993;0.933;0.933;0.927;0.891;1.0;0.866;0.864;1.0;0.943;1.0
transcript17_ENSNGAG00000018584;0.316;0.683;0.316;0.316;0.272;0.143;0.118;0.851;0.743;0.851;0.808;0.851;0.851;0.839;0.815;0.837;0.855;0.812;0.812;0.806;0.972;0.866;1.0;0.998;0.866;0.828;0.866
transcript20_ENSNGAG00000018584;0.316;0.683;0.316;0.316;0.273;0.143;0.118;0.853;0.744;0.853;0.809;0.853;0.853;0.841;0.817;0.835;0.853;0.811;0.811;0.807;0.97;0.864;0.998;1.0;0.864;0.826;0.864
transcript12_ENSSTOG00000019743;0.431;1.0;0.431;0.431;0.365;0.249;0.2;0.979;0.871;0.979;0.929;0.979;0.979;0.962;0.943;0.992;0.993;0.933;0.933;0.927;0.891;1.0;0.866;0.864;1.0;0.943;1.0
transcript13_ENSSTOG00000019743;0.309;0.714;0.309;0.309;0.26;0.086;0.068;0.921;0.814;0.921;0.88;0.921;0.921;0.905;0.886;0.926;0.934;0.884;0.884;0.878;0.853;0.943;0.828;0.826;0.943;1.0;0.943
transcript14_ENSSTOG00000019743;0.431;1.0;0.431;0.431;0.365;0.249;0.2;0.979;0.871;0.979;0.929;0.979;0.979;0.962;0.943;0.992;0.993;0.933;0.933;0.927;0.891;1.0;0.866;0.864;1.0;0.943;1.0
