;ENSBTAT00000008169_98;ENSBTAT00000008170_98;ENSBTAT00000076561_98;ENSBTAT00000086058_98;ENSCAFT00000012380_98;ENSCAFT00000069579_98;ENSCAFT00000076101_98;ENSCAFT00000078910_98;ENSCAFT00000080651_98;ENSCAFT00020012376_98;ENSCAFT00020012381_98;ENSCAFT00020012390_98;ENST00000467072_98;ENST00000467634_98;ENST00000467667_98;ENST00000474279_98;ENST00000475734_98;ENST00000477292_98;ENST00000478006_98;ENST00000479040_98;ENST00000486111_98;ENST00000487734_98;ENST00000488107_98;ENST00000489671_98;ENST00000494358_98;ENST00000494656_98;ENST00000495310_98;ENST00000497579_98;ENST00000499676_98;ENSGALT00000045629_98;ENSGALT00000048439_98;ENSGALT00000076898_98;ENSGALT00000104323_98;ENSGALT00000105033_98;ENSMUST00000034982_98;ENSMUST00000165120_98;ENSMUST00000165768_98;ENSMUST00000179065_98;ENSMUST00000179416_98;ENSMUST00000185644_98;ENSMUST00000186609_98;ENSMUST00000188008_98;ENSMUST00000188750_98;ENSMUST00000188829_98;ENSMUST00000189606_98;ENSMUST00000190104_98;ENSMUST00000191133_98
ENSCAFT00020012381_98;0.785;0.865;0.942;0.784;0.727;0.457;0.657;0.762;0.905;0.973;1.0;0.8;0.798;0.087;0.356;0.21;0.011;0.721;0.325;0.776;0.798;0.087;0.082;0.863;0.0;0.057;0.776;0.268;0.776;0.893;0.927;0.932;0.913;0.821;0.581;0.459;0.606;0.518;0.581;0.581;0.385;0.625;0.757;0.214;0.625;0.095;0.329
ENSCAFT00020012390_98;0.968;0.885;0.81;0.968;0.59;0.552;0.633;0.621;0.766;0.826;0.8;1.0;0.892;0.0;0.378;0.248;0.0;0.855;0.344;0.865;0.892;0.0;0.068;0.786;0.0;0.0;0.865;0.276;0.865;0.879;0.889;0.883;0.901;0.998;0.736;0.534;0.767;0.659;0.736;0.736;0.417;0.732;0.611;0.297;0.732;0.111;0.392
ENST00000467072_98;0.843;0.825;0.691;0.845;0.498;0.571;0.618;0.522;0.655;0.785;0.798;0.892;1.0;0.07;0.584;0.212;0.199;0.697;0.456;0.982;1.0;0.0;0.312;0.849;0.109;0.071;0.801;0.507;0.917;0.607;0.579;0.766;0.625;0.728;0.581;0.579;0.621;0.597;0.581;0.581;0.498;0.633;0.469;0.147;0.631;0.0;0.436
ENST00000467634_98;0.0;0.032;0.103;0.0;0.137;0.0;0.023;0.14;0.113;0.085;0.087;0.0;0.07;1.0;0.113;0.0;0.229;0.0;0.0;0.071;0.07;0.581;0.172;0.202;0.309;0.0;0.015;0.128;0.069;0.015;0.038;0.059;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.153;0.0;0.0;0.0;0.0
ENST00000467667_98;0.358;0.381;0.299;0.359;0.387;0.438;0.532;0.408;0.311;0.348;0.356;0.378;0.584;0.113;1.0;0.056;0.358;0.281;0.774;0.567;0.584;0.0;0.555;0.485;0.196;0.112;0.392;0.865;0.523;0.264;0.257;0.431;0.282;0.326;0.422;0.406;0.479;0.438;0.422;0.422;0.784;0.489;0.328;0.297;0.488;0.0;0.0
ENST00000474279_98;0.273;0.236;0.221;0.274;0.292;0.45;0.311;0.303;0.246;0.207;0.21;0.248;0.212;0.0;0.056;1.0;0.0;0.301;0.023;0.215;0.212;0.0;0.0;0.19;0.0;0.0;0.253;0.0;0.205;0.189;0.168;0.152;0.185;0.223;0.459;0.512;0.418;0.468;0.459;0.459;0.17;0.424;0.316;0.0;0.424;0.0;0.47
ENST00000475734_98;0.0;0.052;0.0;0.0;0.0;0.0;0.09;0.0;0.0;0.011;0.011;0.0;0.199;0.229;0.358;0.0;1.0;0.0;0.188;0.203;0.199;0.0;0.611;0.17;0.561;0.06;0.03;0.419;0.184;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000477292_98;0.848;0.731;0.685;0.85;0.454;0.603;0.475;0.478;0.67;0.709;0.721;0.855;0.697;0.0;0.281;0.301;0.0;1.0;0.273;0.708;0.697;0.0;0.027;0.62;0.0;0.0;0.836;0.223;0.671;0.719;0.643;0.569;0.701;0.85;0.585;0.656;0.56;0.603;0.585;0.585;0.435;0.571;0.465;0.114;0.571;0.0;0.499
ENST00000478006_98;0.338;0.296;0.279;0.339;0.361;0.404;0.466;0.381;0.286;0.318;0.325;0.344;0.456;0.0;0.774;0.023;0.188;0.273;1.0;0.438;0.456;0.0;0.395;0.384;0.019;0.137;0.398;0.726;0.414;0.254;0.249;0.35;0.274;0.32;0.385;0.369;0.442;0.401;0.385;0.385;0.742;0.452;0.3;0.335;0.451;0.0;0.0
ENST00000479040_98;0.827;0.81;0.678;0.83;0.473;0.587;0.589;0.497;0.672;0.762;0.776;0.865;0.982;0.071;0.567;0.215;0.203;0.708;0.438;1.0;0.982;0.0;0.32;0.863;0.112;0.072;0.815;0.515;0.933;0.618;0.56;0.748;0.607;0.706;0.607;0.604;0.581;0.623;0.607;0.607;0.457;0.591;0.483;0.154;0.591;0.0;0.462
ENST00000486111_98;0.843;0.825;0.691;0.845;0.498;0.571;0.618;0.522;0.655;0.785;0.798;0.892;1.0;0.07;0.584;0.212;0.199;0.697;0.456;0.982;1.0;0.0;0.312;0.849;0.109;0.071;0.801;0.507;0.917;0.607;0.579;0.766;0.625;0.728;0.581;0.579;0.621;0.597;0.581;0.581;0.498;0.633;0.469;0.147;0.631;0.0;0.436
ENST00000487734_98;0.0;0.0;0.107;0.0;0.142;0.0;0.0;0.145;0.115;0.085;0.087;0.0;0.0;0.581;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.128;0.0;0.0;0.016;0.0;0.015;0.017;0.041;0.013;0.016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.155;0.0;0.0;0.0;0.0
ENST00000488107_98;0.07;0.116;0.058;0.071;0.084;0.091;0.188;0.087;0.073;0.08;0.082;0.068;0.312;0.172;0.555;0.0;0.611;0.027;0.395;0.32;0.312;0.0;1.0;0.271;0.341;0.16;0.145;0.647;0.294;0.051;0.045;0.206;0.05;0.058;0.105;0.054;0.097;0.108;0.105;0.105;0.159;0.099;0.075;0.362;0.099;0.0;0.0
ENST00000489671_98;0.735;0.726;0.779;0.737;0.573;0.524;0.529;0.6;0.778;0.848;0.863;0.786;0.849;0.202;0.485;0.19;0.17;0.62;0.384;0.863;0.849;0.128;0.271;1.0;0.089;0.066;0.74;0.44;0.827;0.586;0.567;0.71;0.576;0.639;0.517;0.514;0.5;0.531;0.517;0.517;0.392;0.509;0.596;0.13;0.508;0.0;0.382
ENST00000494358_98;0.0;0.052;0.0;0.0;0.0;0.0;0.028;0.0;0.0;0.0;0.0;0.0;0.109;0.309;0.196;0.0;0.561;0.0;0.019;0.112;0.109;0.0;0.341;0.089;1.0;0.0;0.0;0.229;0.097;0.0;0.0;0.059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000494656_98;0.0;0.054;0.05;0.0;0.064;0.0;0.113;0.065;0.052;0.057;0.057;0.0;0.071;0.0;0.112;0.0;0.06;0.0;0.137;0.072;0.071;0.0;0.16;0.066;0.0;1.0;0.086;0.124;0.071;0.119;0.108;0.175;0.116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.074;0.0;0.0;0.0;0.0
ENST00000495310_98;0.883;0.762;0.714;0.885;0.488;0.612;0.552;0.512;0.697;0.762;0.776;0.865;0.801;0.015;0.392;0.253;0.03;0.836;0.398;0.815;0.801;0.016;0.145;0.74;0.0;0.086;1.0;0.337;0.774;0.688;0.619;0.655;0.673;0.8;0.621;0.621;0.595;0.639;0.621;0.621;0.475;0.607;0.494;0.158;0.605;0.0;0.472
ENST00000497579_98;0.263;0.293;0.222;0.264;0.276;0.346;0.4;0.294;0.25;0.261;0.268;0.276;0.507;0.128;0.865;0.0;0.419;0.223;0.726;0.515;0.507;0.0;0.647;0.44;0.229;0.124;0.337;1.0;0.475;0.212;0.19;0.361;0.21;0.241;0.321;0.297;0.306;0.334;0.321;0.321;0.515;0.315;0.251;0.509;0.315;0.0;0.0
ENST00000499676_98;0.827;0.81;0.678;0.83;0.473;0.587;0.589;0.497;0.672;0.762;0.776;0.865;0.917;0.069;0.523;0.205;0.184;0.671;0.414;0.933;0.917;0.015;0.294;0.827;0.097;0.071;0.774;0.475;1.0;0.598;0.545;0.727;0.587;0.68;0.595;0.589;0.568;0.609;0.595;0.595;0.44;0.578;0.473;0.15;0.577;0.0;0.453
ENSGALT00000045629_98;0.839;0.887;0.899;0.838;0.666;0.53;0.643;0.701;0.896;0.92;0.893;0.879;0.607;0.015;0.264;0.189;0.0;0.719;0.254;0.618;0.607;0.017;0.051;0.586;0.0;0.119;0.688;0.212;0.598;1.0;0.857;0.82;0.982;0.808;0.609;0.435;0.593;0.541;0.609;0.609;0.37;0.564;0.692;0.27;0.564;0.101;0.341
ENSGALT00000048439_98;0.818;0.888;0.924;0.817;0.708;0.499;0.663;0.743;0.889;0.954;0.927;0.889;0.579;0.038;0.257;0.168;0.0;0.643;0.249;0.56;0.579;0.041;0.045;0.567;0.0;0.108;0.619;0.19;0.545;0.857;1.0;0.779;0.875;0.742;0.569;0.408;0.595;0.507;0.569;0.569;0.381;0.568;0.695;0.251;0.567;0.094;0.315
ENSGALT00000076898_98;0.808;0.931;0.867;0.807;0.667;0.489;0.73;0.701;0.841;0.96;0.932;0.883;0.766;0.059;0.431;0.152;0.125;0.569;0.35;0.748;0.766;0.013;0.206;0.71;0.059;0.175;0.655;0.361;0.727;0.82;0.779;1.0;0.835;0.693;0.576;0.412;0.603;0.512;0.576;0.576;0.384;0.576;0.657;0.255;0.575;0.096;0.323
ENSGALT00000104323_98;0.851;0.898;0.911;0.85;0.69;0.518;0.666;0.724;0.875;0.941;0.913;0.901;0.625;0.015;0.282;0.185;0.0;0.701;0.274;0.607;0.625;0.016;0.05;0.576;0.0;0.116;0.673;0.21;0.587;0.982;0.875;0.835;1.0;0.826;0.593;0.425;0.62;0.528;0.593;0.593;0.397;0.592;0.674;0.263;0.591;0.098;0.33
ENSGALT00000105033_98;0.968;0.826;0.808;0.968;0.593;0.545;0.596;0.623;0.774;0.849;0.821;0.998;0.728;0.0;0.326;0.223;0.0;0.85;0.32;0.706;0.728;0.0;0.058;0.639;0.0;0.0;0.8;0.241;0.68;0.808;0.742;0.693;0.826;1.0;0.676;0.483;0.708;0.601;0.676;0.676;0.423;0.675;0.566;0.302;0.674;0.113;0.382
ENSMUST00000034982_98;0.75;0.647;0.592;0.732;0.68;0.722;0.758;0.718;0.63;0.61;0.581;0.736;0.581;0.0;0.422;0.459;0.0;0.585;0.385;0.607;0.581;0.0;0.105;0.517;0.0;0.0;0.621;0.321;0.595;0.609;0.569;0.576;0.593;0.676;1.0;0.76;0.965;0.895;1.0;1.0;0.412;0.893;0.775;0.335;0.911;0.141;0.208
ENSMUST00000165120_98;0.551;0.492;0.449;0.561;0.501;0.757;0.556;0.53;0.465;0.445;0.459;0.534;0.579;0.0;0.406;0.512;0.0;0.656;0.369;0.604;0.579;0.0;0.054;0.514;0.0;0.0;0.621;0.297;0.589;0.435;0.408;0.412;0.425;0.483;0.76;1.0;0.735;0.849;0.76;0.76;0.456;0.728;0.611;0.1;0.746;0.0;0.259
ENSMUST00000165768_98;0.767;0.661;0.603;0.748;0.709;0.695;0.793;0.746;0.616;0.635;0.606;0.767;0.621;0.0;0.479;0.418;0.0;0.56;0.442;0.581;0.621;0.0;0.097;0.5;0.0;0.0;0.595;0.306;0.568;0.593;0.595;0.603;0.62;0.708;0.965;0.735;1.0;0.865;0.965;0.965;0.446;0.927;0.758;0.323;0.946;0.135;0.202
ENSMUST00000179065_98;0.68;0.607;0.552;0.693;0.612;0.796;0.68;0.647;0.567;0.547;0.518;0.659;0.597;0.0;0.438;0.468;0.0;0.603;0.401;0.623;0.597;0.0;0.108;0.531;0.0;0.0;0.639;0.334;0.609;0.541;0.507;0.512;0.528;0.601;0.895;0.849;0.865;1.0;0.895;0.895;0.454;0.792;0.719;0.232;0.81;0.036;0.228
ENSMUST00000179416_98;0.75;0.647;0.592;0.732;0.68;0.722;0.758;0.718;0.63;0.61;0.581;0.736;0.581;0.0;0.422;0.459;0.0;0.585;0.385;0.607;0.581;0.0;0.105;0.517;0.0;0.0;0.621;0.321;0.595;0.609;0.569;0.576;0.593;0.676;1.0;0.76;0.965;0.895;1.0;1.0;0.412;0.893;0.775;0.335;0.911;0.141;0.208
ENSMUST00000185644_98;0.75;0.647;0.592;0.732;0.68;0.722;0.758;0.718;0.63;0.61;0.581;0.736;0.581;0.0;0.422;0.459;0.0;0.585;0.385;0.607;0.581;0.0;0.105;0.517;0.0;0.0;0.621;0.321;0.595;0.609;0.569;0.576;0.593;0.676;1.0;0.76;0.965;0.895;1.0;1.0;0.412;0.893;0.775;0.335;0.911;0.141;0.208
ENSMUST00000186609_98;0.41;0.395;0.361;0.417;0.393;0.515;0.435;0.416;0.335;0.373;0.385;0.417;0.498;0.0;0.784;0.17;0.0;0.435;0.742;0.457;0.498;0.0;0.159;0.392;0.0;0.0;0.475;0.515;0.44;0.37;0.381;0.384;0.397;0.423;0.412;0.456;0.446;0.454;0.412;0.412;1.0;0.478;0.364;0.199;0.47;0.0;0.025
ENSMUST00000188008_98;0.73;0.629;0.574;0.712;0.677;0.655;0.758;0.713;0.588;0.606;0.625;0.732;0.633;0.0;0.489;0.424;0.0;0.571;0.452;0.591;0.633;0.0;0.099;0.509;0.0;0.0;0.607;0.315;0.578;0.564;0.568;0.576;0.592;0.675;0.893;0.728;0.927;0.792;0.893;0.893;0.478;1.0;0.702;0.297;0.98;0.146;0.215
ENSMUST00000188750_98;0.595;0.691;0.798;0.599;0.889;0.603;0.766;0.934;0.82;0.787;0.757;0.611;0.469;0.153;0.328;0.316;0.0;0.465;0.3;0.483;0.469;0.155;0.075;0.596;0.0;0.074;0.494;0.251;0.473;0.692;0.695;0.657;0.674;0.566;0.775;0.611;0.758;0.719;0.775;0.775;0.364;0.702;1.0;0.249;0.716;0.095;0.172
ENSMUST00000188829_98;0.286;0.237;0.216;0.267;0.263;0.19;0.295;0.276;0.242;0.244;0.214;0.297;0.147;0.0;0.297;0.0;0.0;0.114;0.335;0.154;0.147;0.0;0.362;0.13;0.0;0.0;0.158;0.509;0.15;0.27;0.251;0.255;0.263;0.302;0.335;0.1;0.323;0.232;0.335;0.335;0.199;0.297;0.249;1.0;0.291;0.385;0.0
ENSMUST00000189606_98;0.73;0.629;0.574;0.712;0.677;0.655;0.758;0.713;0.588;0.606;0.625;0.732;0.631;0.0;0.488;0.424;0.0;0.571;0.451;0.591;0.631;0.0;0.099;0.508;0.0;0.0;0.605;0.315;0.577;0.564;0.567;0.575;0.591;0.674;0.911;0.746;0.946;0.81;0.911;0.911;0.47;0.98;0.716;0.291;1.0;0.143;0.211
ENSMUST00000190104_98;0.113;0.085;0.078;0.095;0.099;0.0;0.112;0.103;0.091;0.091;0.095;0.111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.101;0.094;0.096;0.098;0.113;0.141;0.0;0.135;0.036;0.141;0.141;0.0;0.146;0.095;0.385;0.143;1.0;0.0
ENSMUST00000191133_98;0.408;0.363;0.323;0.417;0.183;0.266;0.204;0.191;0.317;0.32;0.329;0.392;0.436;0.0;0.0;0.47;0.0;0.499;0.0;0.462;0.436;0.0;0.0;0.382;0.0;0.0;0.472;0.0;0.453;0.341;0.315;0.323;0.33;0.382;0.208;0.259;0.202;0.228;0.208;0.208;0.025;0.215;0.172;0.0;0.211;0.0;1.0
