;transcript7_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript32_ENSAPOG00000016134;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript8_ENSAPOG00000023408;transcript27_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript1_ENSAOCG00000015695;transcript8_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript36_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript40_ENSAPOG00000023408;0.834;0.815;0.775;0.869;0.762;0.743;0.771;0.717;0.834;0.637;0.815;0.944;0.775;1.0;0.817;0.625;0.753;0.845;0.614;0.815;0.826;0.756;0.771;0.717;0.845
transcript41_ENSAPOG00000023408;0.776;0.799;0.943;0.855;0.747;0.728;0.756;0.703;0.776;0.623;0.799;0.775;0.943;0.817;1.0;0.778;0.919;0.83;0.599;0.799;0.811;0.741;0.756;0.703;0.83
transcript42_ENSAPOG00000023408;0.677;0.702;0.835;0.756;0.649;0.677;0.658;0.651;0.677;0.527;0.702;0.676;0.835;0.625;0.778;1.0;0.812;0.735;0.539;0.702;0.713;0.643;0.658;0.651;0.735
transcript43_ENSAPOG00000023408;0.805;0.829;0.977;0.884;0.776;0.758;0.786;0.732;0.805;0.686;0.829;0.805;0.977;0.753;0.919;0.812;1.0;0.859;0.662;0.829;0.841;0.81;0.786;0.732;0.859
transcript1_ENSAOCG00000015695;0.915;0.939;0.901;0.994;0.886;0.867;0.897;0.843;0.896;0.792;0.92;0.897;0.881;0.845;0.83;0.735;0.859;1.0;0.769;0.92;0.931;0.864;0.878;0.826;1.0
transcript8_ENSAOCG00000015695;0.712;0.736;0.662;0.755;0.735;0.739;0.77;0.712;0.698;0.912;0.722;0.665;0.649;0.614;0.599;0.539;0.662;0.769;1.0;0.722;0.774;0.764;0.754;0.699;0.769
transcript25_ENSAOCG00000015695;0.974;1.0;0.851;0.945;0.943;0.923;0.954;0.896;0.974;0.712;1.0;0.867;0.851;0.815;0.799;0.702;0.829;0.92;0.722;1.0;0.903;0.937;0.954;0.896;0.92
transcript26_ENSAOCG00000015695;0.878;0.903;0.863;0.957;0.85;0.913;0.943;0.886;0.878;0.798;0.903;0.879;0.863;0.826;0.811;0.713;0.841;0.931;0.774;0.903;1.0;0.844;0.943;0.886;0.931
transcript36_ENSAOCG00000015695;0.91;0.937;0.793;0.886;0.88;0.861;0.891;0.833;0.91;0.752;0.937;0.807;0.793;0.756;0.741;0.643;0.81;0.864;0.764;0.937;0.844;1.0;0.891;0.833;0.864
transcript37_ENSAOCG00000015695;0.928;0.954;0.808;0.903;0.897;0.968;1.0;0.939;0.928;0.744;0.954;0.824;0.808;0.771;0.756;0.658;0.786;0.878;0.754;0.954;0.943;0.891;1.0;0.939;0.878
transcript38_ENSAOCG00000015695;0.871;0.896;0.754;0.849;0.84;0.97;0.939;1.0;0.871;0.69;0.896;0.769;0.754;0.717;0.703;0.651;0.732;0.826;0.699;0.896;0.886;0.833;0.939;1.0;0.826
transcript22_ENSPNYG00000024266;0.915;0.939;0.901;0.994;0.886;0.867;0.897;0.843;0.896;0.792;0.92;0.897;0.881;0.845;0.83;0.735;0.859;1.0;0.769;0.92;0.931;0.864;0.878;0.826;1.0
