;ENSCAFT00000017676_90_90;ENST00000249647_90_90;ENST00000349777_90_90;ENST00000397138_90_90;ENST00000561526_90_90;ENST00000563765_90_90;ENST00000563830_90_90;ENST00000563873_90_90;ENST00000564153_90_90;ENST00000566035_90_90;ENST00000566327_90_90;ENST00000567094_90_90;ENST00000568331_90_90;ENST00000568451_90_90;ENST00000568841_90_90;ENST00000568859_90_90;ENST00000626061_90_90;ENST00000627440_90_90;ENSMUST00000028743_90_90;ENSMUST00000110711_90_90;ENSMUST00000116437_90_90;ENSMUST00000142278_90_90;ENSMUST00000150611_90_90;ENSMUST00000153580_90_90
ENST00000566327_90_90;0.671;0.673;0.422;0.422;0.443;0.0;0.848;0.246;0.204;0.0;1.0;0.236;0.236;0.236;0.875;0.359;0.0;0.0;0.67;0.67;0.666;0.643;0.238;0.232
ENST00000567094_90_90;0.422;0.404;0.533;0.533;0.665;0.282;0.186;0.387;0.655;0.306;0.236;1.0;1.0;1.0;0.191;0.754;0.282;0.306;0.406;0.406;0.412;0.522;0.969;0.883
ENST00000568331_90_90;0.422;0.404;0.533;0.533;0.665;0.282;0.186;0.387;0.655;0.306;0.236;1.0;1.0;1.0;0.191;0.754;0.282;0.306;0.406;0.406;0.412;0.522;0.969;0.883
ENST00000568451_90_90;0.422;0.404;0.533;0.533;0.665;0.282;0.186;0.387;0.655;0.306;0.236;1.0;1.0;1.0;0.191;0.754;0.282;0.306;0.406;0.406;0.412;0.522;0.969;0.883
ENST00000568841_90_90;0.665;0.642;0.4;0.4;0.382;0.0;0.87;0.248;0.166;0.0;0.875;0.191;0.191;0.191;1.0;0.303;0.0;0.0;0.645;0.645;0.641;0.574;0.194;0.187
ENST00000568859_90_90;0.517;0.518;0.496;0.496;0.875;0.255;0.296;0.355;0.6;0.274;0.359;0.754;0.754;0.754;0.303;1.0;0.255;0.274;0.519;0.519;0.516;0.674;0.758;0.786
ENST00000626061_90_90;0.156;0.143;0.185;0.185;0.228;1.0;0.0;0.0;0.224;0.516;0.0;0.282;0.282;0.282;0.0;0.255;1.0;0.516;0.157;0.157;0.156;0.204;0.341;0.385
ENST00000627440_90_90;0.156;0.149;0.195;0.195;0.243;0.516;0.0;0.0;0.239;1.0;0.0;0.306;0.306;0.306;0.0;0.274;0.516;1.0;0.157;0.157;0.156;0.204;0.341;0.385
ENSMUST00000028743_90_90;0.998;0.998;0.752;0.752;0.594;0.157;0.63;0.214;0.485;0.157;0.67;0.406;0.406;0.406;0.645;0.519;0.157;0.157;1.0;1.0;0.95;0.77;0.404;0.408
ENSMUST00000110711_90_90;0.998;0.998;0.752;0.752;0.594;0.157;0.63;0.214;0.485;0.157;0.67;0.406;0.406;0.406;0.645;0.519;0.157;0.157;1.0;1.0;0.95;0.77;0.404;0.408
ENSMUST00000116437_90_90;1.0;0.992;0.748;0.748;0.59;0.156;0.627;0.213;0.482;0.156;0.666;0.412;0.412;0.412;0.641;0.516;0.156;0.156;0.95;0.95;1.0;0.732;0.385;0.388
ENSMUST00000142278_90_90;0.768;0.768;0.522;0.522;0.771;0.204;0.56;0.267;0.446;0.204;0.643;0.522;0.522;0.522;0.574;0.674;0.204;0.204;0.77;0.77;0.732;1.0;0.519;0.53
ENSMUST00000150611_90_90;0.422;0.407;0.534;0.534;0.668;0.341;0.189;0.4;0.662;0.341;0.238;0.969;0.969;0.969;0.194;0.758;0.341;0.341;0.404;0.404;0.385;0.519;1.0;0.874
ENSMUST00000153580_90_90;0.408;0.409;0.542;0.542;0.687;0.385;0.182;0.402;0.68;0.385;0.232;0.883;0.883;0.883;0.187;0.786;0.385;0.385;0.408;0.408;0.388;0.53;0.874;1.0
