;ENSCAFT00000003155_90_90;ENST00000264312_90_90;ENST00000381473_90_90;ENST00000396448_90_90;ENST00000425583_90_90;ENST00000444354_90_90;ENST00000503016_90_90;ENST00000504654_90_90;ENST00000505922_90_90;ENST00000506801_90_90;ENST00000507210_90_90;ENST00000508293_90_90;ENST00000508996_90_90;ENST00000509122_90_90;ENST00000509164_90_90;ENST00000509246_90_90;ENST00000509664_90_90;ENST00000509963_90_90;ENST00000510824_90_90;ENST00000511102_90_90;ENST00000511662_90_90;ENST00000512236_90_90;ENST00000513391_90_90;ENST00000513641_90_90;ENST00000514981_90_90;ENSMUST00000031038_90_90;ENSMUST00000071081_90_90;ENSMUST00000166823_90_90;ENSMUST00000200935_90_90;ENSMUST00000201505_90_90;ENSMUST00000201556_90_90;ENSMUST00000201739_90_90;ENSMUST00000202237_90_90;ENSMUST00000202250_90_90
ENST00000507210_90_90;0.404;0.42;0.42;0.499;0.5;0.5;0.169;0.901;0.339;0.195;1.0;0.42;0.873;0.291;0.873;0.215;0.793;1.0;0.248;0.567;0.274;0.583;0.42;0.446;0.861;0.479;0.484;0.484;0.504;0.342;0.751;0.211;0.208;0.484
ENST00000508293_90_90;0.975;1.0;1.0;0.762;0.841;0.841;0.7;0.466;0.733;0.582;0.42;1.0;0.367;0.871;0.367;0.504;0.334;0.42;0.395;0.74;0.114;0.72;1.0;0.186;0.488;0.832;0.817;0.817;0.859;0.151;0.575;0.17;0.593;0.817
ENST00000508996_90_90;0.35;0.367;0.367;0.435;0.436;0.436;0.114;0.787;0.277;0.131;0.873;0.367;1.0;0.238;1.0;0.144;0.909;0.873;0.168;0.495;0.317;0.51;0.367;0.514;0.752;0.414;0.416;0.416;0.435;0.399;0.649;0.239;0.141;0.416
ENST00000509122_90_90;0.837;0.871;0.871;0.639;0.712;0.712;0.803;0.337;0.844;0.669;0.291;0.871;0.238;1.0;0.238;0.579;0.205;0.291;0.454;0.611;0.084;0.591;0.871;0.078;0.358;0.682;0.672;0.672;0.706;0.069;0.42;0.168;0.709;0.672
ENST00000509164_90_90;0.35;0.367;0.367;0.435;0.436;0.436;0.114;0.787;0.277;0.131;0.873;0.367;1.0;0.238;1.0;0.144;0.909;0.873;0.168;0.495;0.317;0.51;0.367;0.514;0.752;0.414;0.416;0.416;0.435;0.399;0.649;0.239;0.141;0.416
ENST00000509246_90_90;0.514;0.504;0.504;0.6;0.6;0.6;0.723;0.276;0.688;0.865;0.215;0.504;0.144;0.579;0.144;1.0;0.1;0.215;0.787;0.636;0.0;0.61;0.504;0.0;0.303;0.609;0.615;0.615;0.641;0.0;0.385;0.159;0.871;0.615
ENST00000509664_90_90;0.314;0.334;0.334;0.395;0.396;0.396;0.079;0.716;0.237;0.09;0.793;0.334;0.909;0.205;0.909;0.1;1.0;0.793;0.116;0.45;0.349;0.464;0.334;0.565;0.683;0.372;0.374;0.374;0.391;0.444;0.583;0.263;0.098;0.374
ENST00000509963_90_90;0.404;0.42;0.42;0.499;0.5;0.5;0.169;0.901;0.339;0.195;1.0;0.42;0.873;0.291;0.873;0.215;0.793;1.0;0.248;0.567;0.274;0.583;0.42;0.446;0.861;0.479;0.484;0.484;0.504;0.342;0.751;0.211;0.208;0.484
ENST00000510824_90_90;0.397;0.395;0.395;0.476;0.474;0.474;0.565;0.319;0.543;0.68;0.248;0.395;0.168;0.454;0.168;0.787;0.116;0.248;1.0;0.537;0.0;0.551;0.395;0.0;0.351;0.47;0.479;0.479;0.497;0.0;0.455;0.143;0.67;0.479
ENST00000511102_90_90;0.724;0.74;0.74;0.881;0.881;0.881;0.504;0.629;0.712;0.576;0.567;0.74;0.495;0.611;0.495;0.636;0.45;0.567;0.537;1.0;0.155;0.972;0.74;0.253;0.659;0.857;0.866;0.866;0.903;0.192;0.712;0.204;0.595;0.866
ENST00000511662_90_90;0.1;0.114;0.114;0.138;0.137;0.137;0.0;0.247;0.1;0.0;0.274;0.114;0.317;0.084;0.317;0.0;0.349;0.274;0.0;0.155;1.0;0.16;0.114;0.615;0.236;0.119;0.122;0.122;0.126;0.718;0.186;0.0;0.0;0.122
ENST00000512236_90_90;0.7;0.72;0.72;0.857;0.857;0.857;0.482;0.647;0.688;0.551;0.583;0.72;0.51;0.591;0.51;0.61;0.464;0.583;0.551;0.972;0.16;1.0;0.72;0.26;0.677;0.829;0.84;0.84;0.874;0.197;0.736;0.212;0.567;0.84
ENST00000513391_90_90;0.975;1.0;1.0;0.762;0.841;0.841;0.7;0.466;0.733;0.582;0.42;1.0;0.367;0.871;0.367;0.504;0.334;0.42;0.395;0.74;0.114;0.72;1.0;0.186;0.488;0.832;0.817;0.817;0.859;0.151;0.575;0.17;0.593;0.817
ENST00000513641_90_90;0.176;0.186;0.186;0.223;0.222;0.222;0.0;0.401;0.091;0.0;0.446;0.186;0.514;0.078;0.514;0.0;0.565;0.446;0.0;0.253;0.615;0.26;0.186;1.0;0.384;0.209;0.213;0.213;0.221;0.777;0.329;0.0;0.0;0.213
ENST00000514981_90_90;0.477;0.488;0.488;0.58;0.58;0.58;0.24;0.957;0.417;0.274;0.861;0.488;0.752;0.358;0.752;0.303;0.683;0.861;0.351;0.659;0.236;0.677;0.488;0.384;1.0;0.565;0.57;0.57;0.593;0.291;0.885;0.182;0.295;0.57
ENSMUST00000031038_90_90;0.84;0.832;0.832;0.876;0.908;0.908;0.595;0.536;0.745;0.638;0.479;0.832;0.414;0.682;0.414;0.609;0.372;0.479;0.47;0.857;0.119;0.829;0.832;0.209;0.565;1.0;0.772;0.772;0.864;0.142;0.559;0.161;0.66;0.772
ENSMUST00000071081_90_90;0.875;0.817;0.817;0.996;0.91;0.91;0.587;0.542;0.748;0.64;0.484;0.817;0.416;0.672;0.416;0.615;0.374;0.484;0.479;0.866;0.122;0.84;0.817;0.213;0.57;0.772;1.0;1.0;0.893;0.17;0.591;0.182;0.569;1.0
ENSMUST00000166823_90_90;0.875;0.817;0.817;0.996;0.91;0.91;0.587;0.542;0.748;0.64;0.484;0.817;0.416;0.672;0.416;0.615;0.374;0.484;0.479;0.866;0.122;0.84;0.817;0.213;0.57;0.772;1.0;1.0;0.893;0.17;0.591;0.182;0.569;1.0
ENSMUST00000200935_90_90;0.852;0.859;0.859;0.922;0.951;0.951;0.617;0.564;0.78;0.669;0.504;0.859;0.435;0.706;0.435;0.641;0.391;0.504;0.497;0.903;0.126;0.874;0.859;0.221;0.593;0.864;0.893;0.893;1.0;0.166;0.65;0.18;0.56;0.893
ENSMUST00000201505_90_90;0.149;0.151;0.151;0.168;0.171;0.171;0.0;0.305;0.079;0.0;0.342;0.151;0.399;0.069;0.399;0.0;0.444;0.342;0.0;0.192;0.718;0.197;0.151;0.777;0.291;0.142;0.17;0.17;0.166;1.0;0.255;0.0;0.0;0.17
ENSMUST00000201556_90_90;0.549;0.575;0.575;0.62;0.638;0.638;0.326;0.841;0.469;0.355;0.751;0.575;0.649;0.42;0.649;0.385;0.583;0.751;0.455;0.712;0.186;0.736;0.575;0.329;0.885;0.559;0.591;0.591;0.65;0.255;1.0;0.158;0.273;0.591
ENSMUST00000201739_90_90;0.177;0.17;0.17;0.173;0.182;0.182;0.134;0.192;0.182;0.145;0.211;0.17;0.239;0.168;0.239;0.159;0.263;0.211;0.143;0.204;0.0;0.212;0.17;0.0;0.182;0.161;0.182;0.182;0.18;0.0;0.158;1.0;0.134;0.182
ENSMUST00000202237_90_90;0.573;0.593;0.593;0.631;0.652;0.652;0.823;0.266;0.781;0.903;0.208;0.593;0.141;0.709;0.141;0.871;0.098;0.208;0.67;0.595;0.0;0.567;0.593;0.0;0.295;0.66;0.569;0.569;0.56;0.0;0.273;0.134;1.0;0.569
ENSMUST00000202250_90_90;0.875;0.817;0.817;0.996;0.91;0.91;0.587;0.542;0.748;0.64;0.484;0.817;0.416;0.672;0.416;0.615;0.374;0.484;0.479;0.866;0.122;0.84;0.817;0.213;0.57;0.772;1.0;1.0;0.893;0.17;0.591;0.182;0.569;1.0
