;transcript59_ENSMUGG00000013649;transcript39_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript54_ENSCGRG00015005362;transcript59_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript57_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript26_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript37_ENSMUGG00000013649;transcript38_ENSSTOG00000019743;transcript8_ENSSTOG00000019743;transcript38_ENSRNOG00000031503;transcript56_ENSCGRG00000018457;transcript9_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript58_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript8_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript40_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584
transcript38_ENSSTOG00000019743;0.73;0.844;0.777;0.897;0.884;0.811;0.833;0.651;0.686;0.864;0.757;0.847;0.801;1.0;0.821;1.0;0.819;0.801;1.0;0.856;1.0;0.965;0.962;0.906;0.923;0.738;0.933;0.933;0.897;0.789;0.757;0.847;0.847;0.881;0.734;0.859
transcript8_ENSSTOG00000019743;0.586;0.711;0.641;0.765;0.726;0.663;0.715;0.499;0.524;0.711;0.599;0.715;0.654;0.856;1.0;0.856;0.997;0.653;0.856;1.0;0.859;0.813;0.821;0.762;0.777;0.612;0.805;0.805;0.762;0.973;0.614;0.715;0.715;0.734;0.886;0.741
transcript38_ENSRNOG00000031503;0.775;0.907;0.827;0.93;0.954;0.882;0.89;0.712;0.752;0.93;0.832;0.989;0.853;1.0;0.826;1.0;0.823;0.853;1.0;0.859;1.0;0.984;1.0;0.939;0.959;0.801;0.969;0.969;0.912;0.793;0.821;0.989;0.989;0.949;0.737;0.89
transcript56_ENSCGRG00000018457;0.706;0.791;0.737;0.877;0.836;0.786;0.815;0.624;0.658;0.816;0.741;0.822;0.756;0.971;0.789;0.977;0.782;0.755;0.965;0.813;0.984;1.0;0.945;0.887;0.904;0.714;0.918;0.918;0.969;0.751;0.731;0.822;0.822;0.824;0.713;0.849
transcript9_ENSCGRG00015005362;0.772;0.848;0.784;0.936;0.89;0.851;0.868;0.691;0.731;0.87;0.798;0.881;0.81;0.949;0.782;0.954;0.775;0.809;0.962;0.821;1.0;0.945;1.0;0.945;0.963;0.775;0.966;0.966;0.883;0.748;0.798;0.881;0.881;0.887;0.701;0.897
transcript52_ENSCGRG00000018457;0.718;0.795;0.732;0.99;0.829;0.794;0.818;0.637;0.672;0.81;0.739;0.827;0.754;0.893;0.726;0.898;0.72;0.753;0.906;0.762;0.939;0.887;0.945;1.0;1.0;0.784;0.915;0.915;0.832;0.697;0.817;0.827;0.827;0.83;0.66;0.86
transcript52_ENSCGRG00001010245;0.729;0.814;0.749;0.99;0.851;0.813;0.83;0.652;0.689;0.831;0.758;0.863;0.772;0.91;0.74;0.915;0.734;0.771;0.923;0.777;0.959;0.904;0.963;1.0;1.0;0.788;0.931;0.931;0.847;0.71;0.822;0.863;0.863;0.85;0.673;0.875
transcript58_ENSPEMG00000024651;0.841;0.783;0.946;0.776;0.915;0.942;0.77;0.845;0.832;0.911;0.83;0.779;0.915;0.729;0.583;0.729;0.575;0.915;0.738;0.612;0.801;0.714;0.775;0.784;0.788;1.0;0.8;0.8;0.713;0.587;0.967;0.779;0.779;0.778;0.532;0.707
transcript9_ENSPEMG00000024651;0.756;0.875;0.808;0.908;0.863;0.825;0.901;0.713;0.703;0.846;0.771;0.862;0.785;0.921;0.769;0.926;0.762;0.784;0.933;0.805;0.969;0.918;0.966;0.915;0.931;0.8;1.0;1.0;0.915;0.775;0.774;0.862;0.862;0.869;0.703;0.882
transcript33_ENSPEMG00000024651;0.756;0.875;0.808;0.908;0.863;0.825;0.901;0.713;0.703;0.846;0.771;0.862;0.785;0.921;0.769;0.926;0.762;0.784;0.933;0.805;0.969;0.918;0.966;0.915;0.931;0.8;1.0;1.0;0.915;0.775;0.774;0.862;0.862;0.869;0.703;0.882
transcript56_ENSPEMG00000024651;0.67;0.791;0.736;0.824;0.786;0.742;0.814;0.623;0.614;0.772;0.695;0.786;0.714;0.902;0.742;0.907;0.735;0.713;0.897;0.762;0.912;0.969;0.883;0.832;0.847;0.713;0.915;0.915;1.0;0.744;0.689;0.786;0.786;0.785;0.688;0.812
transcript8_ENSPEMG00000024651;0.542;0.683;0.616;0.703;0.66;0.608;0.69;0.479;0.473;0.649;0.544;0.664;0.599;0.789;0.973;0.789;0.97;0.598;0.789;0.973;0.793;0.751;0.748;0.697;0.71;0.587;0.775;0.775;0.744;1.0;0.563;0.664;0.664;0.679;0.88;0.691
transcript58_ENSMUGG00000013649;0.852;0.757;0.913;0.808;0.94;0.969;0.738;0.813;0.861;0.933;0.855;0.797;0.94;0.746;0.583;0.747;0.575;0.94;0.757;0.614;0.821;0.731;0.798;0.817;0.822;0.967;0.774;0.774;0.689;0.563;1.0;0.797;0.797;0.794;0.525;0.72
transcript40_ENSSTOG00000019743;0.732;0.848;0.786;0.819;0.893;0.846;0.823;0.7;0.734;0.855;0.789;1.0;0.808;0.834;0.68;0.834;0.678;0.805;0.847;0.715;0.989;0.822;0.881;0.827;0.863;0.779;0.862;0.862;0.786;0.664;0.797;1.0;1.0;0.882;0.647;0.834
transcript29_ENSSTOG00000019743;0.732;0.848;0.786;0.819;0.893;0.846;0.823;0.7;0.734;0.855;0.789;1.0;0.808;0.834;0.68;0.834;0.678;0.805;0.847;0.715;0.989;0.822;0.881;0.827;0.863;0.779;0.862;0.862;0.786;0.664;0.797;1.0;1.0;0.882;0.647;0.834
transcript39_ENSSTOG00000019743;0.825;0.974;0.815;0.821;0.92;0.849;0.913;0.69;0.724;0.899;0.79;0.882;0.837;0.864;0.688;0.861;0.689;0.836;0.881;0.734;0.949;0.824;0.887;0.83;0.85;0.778;0.869;0.869;0.785;0.679;0.794;0.882;0.882;1.0;0.64;0.821
transcript8_ENSNGAG00000018584;0.504;0.628;0.544;0.661;0.604;0.562;0.637;0.443;0.456;0.594;0.518;0.647;0.547;0.734;0.886;0.734;0.883;0.546;0.734;0.886;0.737;0.713;0.701;0.66;0.673;0.532;0.703;0.703;0.688;0.88;0.525;0.647;0.647;0.64;1.0;0.785
transcript33_ENSNGAG00000018584;0.7;0.791;0.709;0.852;0.797;0.762;0.806;0.642;0.673;0.782;0.732;0.834;0.725;0.847;0.706;0.851;0.701;0.724;0.859;0.741;0.89;0.849;0.897;0.86;0.875;0.707;0.882;0.882;0.812;0.691;0.72;0.834;0.834;0.821;0.785;1.0
