;ENSCAFT00000021589_90_90;ENSCAFT00000021597_90_90;ENSCAFT00000021600_90_90;ENST00000324432_90_90;ENST00000413936_90_90;ENST00000423646_90_90;ENST00000425780_90_90;ENST00000429179_90_90;ENST00000430490_90_90;ENST00000435251_90_90;ENST00000435861_90_90;ENST00000438930_90_90;ENST00000442516_90_90;ENST00000446600_90_90;ENST00000446820_90_90;ENST00000451769_90_90;ENST00000456590_90_90;ENST00000457529_90_90;ENSMUST00000005072_90_90;ENSMUST00000111142_90_90;ENSMUST00000111144_90_90;ENSMUST00000111145_90_90;ENSMUST00000125827_90_90;ENSMUST00000130345_90_90;ENSMUST00000199239_90_90
ENST00000435861_90_90;0.169;0.183;0.183;0.19;0.19;0.652;0.696;0.776;0.19;0.0;1.0;1.0;0.189;0.0;0.207;0.38;0.306;0.623;0.197;0.193;0.207;0.207;0.299;0.1;0.602
ENST00000438930_90_90;0.169;0.183;0.183;0.19;0.19;0.652;0.696;0.776;0.19;0.0;1.0;1.0;0.189;0.0;0.207;0.38;0.306;0.623;0.197;0.193;0.207;0.207;0.299;0.1;0.602
ENST00000442516_90_90;0.037;0.039;0.039;0.042;0.042;0.141;0.274;0.165;0.042;0.0;0.189;0.189;1.0;0.0;0.045;0.497;0.614;0.313;0.044;0.042;0.045;0.045;0.065;0.535;0.13
ENST00000446600_90_90;0.511;0.445;0.445;0.79;0.79;0.07;0.0;0.028;0.79;0.232;0.0;0.0;0.0;1.0;0.707;0.0;0.0;0.0;0.627;0.641;0.605;0.605;0.336;0.0;0.094
ENST00000446820_90_90;0.591;0.633;0.633;0.917;0.917;0.305;0.157;0.261;0.917;0.196;0.207;0.207;0.045;0.707;1.0;0.091;0.072;0.138;0.771;0.785;0.839;0.839;0.503;0.024;0.308
ENST00000451769_90_90;0.073;0.079;0.079;0.083;0.083;0.283;0.551;0.331;0.083;0.0;0.38;0.38;0.497;0.0;0.091;1.0;0.816;0.629;0.087;0.085;0.091;0.091;0.131;0.266;0.26
ENST00000456590_90_90;0.057;0.062;0.062;0.066;0.066;0.226;0.443;0.266;0.066;0.0;0.306;0.306;0.614;0.0;0.072;0.816;1.0;0.502;0.069;0.067;0.072;0.072;0.103;0.327;0.208
ENST00000457529_90_90;0.113;0.121;0.121;0.126;0.126;0.449;0.893;0.537;0.126;0.0;0.623;0.623;0.313;0.0;0.138;0.629;0.502;1.0;0.131;0.128;0.138;0.138;0.201;0.165;0.413
ENSMUST00000005072_90_90;0.647;0.627;0.627;0.795;0.795;0.269;0.149;0.228;0.795;0.147;0.197;0.197;0.044;0.627;0.771;0.087;0.069;0.131;1.0;0.984;0.915;0.915;0.52;0.022;0.316
ENSMUST00000111142_90_90;0.659;0.639;0.639;0.808;0.808;0.265;0.146;0.224;0.808;0.163;0.193;0.193;0.042;0.641;0.785;0.085;0.067;0.128;0.984;1.0;0.932;0.932;0.513;0.022;0.309
ENSMUST00000111144_90_90;0.631;0.676;0.676;0.776;0.776;0.283;0.157;0.239;0.776;0.174;0.207;0.207;0.045;0.605;0.839;0.091;0.072;0.138;0.915;0.932;1.0;1.0;0.548;0.024;0.332
ENSMUST00000111145_90_90;0.631;0.676;0.676;0.776;0.776;0.283;0.157;0.239;0.776;0.174;0.207;0.207;0.045;0.605;0.839;0.091;0.072;0.138;0.915;0.932;1.0;1.0;0.548;0.024;0.332
ENSMUST00000125827_90_90;0.489;0.484;0.484;0.51;0.51;0.413;0.228;0.346;0.51;0.095;0.299;0.299;0.065;0.336;0.503;0.131;0.103;0.201;0.52;0.513;0.548;0.548;1.0;0.034;0.485
ENSMUST00000130345_90_90;0.019;0.021;0.021;0.021;0.021;0.074;0.145;0.087;0.021;0.0;0.1;0.1;0.535;0.0;0.024;0.266;0.327;0.165;0.022;0.022;0.024;0.024;0.034;1.0;0.068
ENSMUST00000199239_90_90;0.272;0.294;0.294;0.283;0.283;0.845;0.465;0.701;0.283;0.0;0.602;0.602;0.13;0.094;0.308;0.26;0.208;0.413;0.316;0.309;0.332;0.332;0.485;0.068;1.0
