;ENSCAFT00000021589_90_90;ENSCAFT00000021597_90_90;ENSCAFT00000021600_90_90;ENST00000324432_90_90;ENST00000413936_90_90;ENST00000423646_90_90;ENST00000425780_90_90;ENST00000429179_90_90;ENST00000430490_90_90;ENST00000435251_90_90;ENST00000435861_90_90;ENST00000438930_90_90;ENST00000442516_90_90;ENST00000446600_90_90;ENST00000446820_90_90;ENST00000451769_90_90;ENST00000456590_90_90;ENST00000457529_90_90;ENSMUST00000005072_90_90;ENSMUST00000111142_90_90;ENSMUST00000111144_90_90;ENSMUST00000111145_90_90;ENSMUST00000125827_90_90;ENSMUST00000130345_90_90;ENSMUST00000199239_90_90
ENST00000435861_90_90;0.267;0.296;0.296;0.235;0.235;0.667;0.667;0.727;0.235;0.0;1.0;1.0;0.222;0.0;0.258;0.444;0.333;0.556;0.308;0.296;0.308;0.308;0.421;0.125;0.667
ENST00000438930_90_90;0.267;0.296;0.296;0.235;0.235;0.667;0.667;0.727;0.235;0.0;1.0;1.0;0.222;0.0;0.258;0.444;0.333;0.556;0.308;0.296;0.308;0.308;0.421;0.125;0.667
ENST00000442516_90_90;0.067;0.074;0.074;0.061;0.061;0.182;0.333;0.2;0.061;0.0;0.222;0.222;1.0;0.0;0.067;0.5;0.667;0.4;0.077;0.074;0.077;0.077;0.105;0.5;0.167
ENST00000446600_90_90;0.7;0.6;0.6;0.727;0.727;0.061;0.0;0.03;0.727;0.32;0.0;0.0;0.0;1.0;0.636;0.0;0.0;0.0;0.586;0.621;0.586;0.586;0.345;0.0;0.103
ENST00000446820_90_90;0.867;0.963;0.963;0.909;0.909;0.367;0.2;0.333;0.909;0.258;0.258;0.258;0.067;0.636;1.0;0.133;0.1;0.167;0.889;0.926;0.962;0.962;0.571;0.04;0.423
ENST00000451769_90_90;0.133;0.148;0.148;0.121;0.121;0.364;0.667;0.4;0.121;0.0;0.444;0.444;0.5;0.0;0.133;1.0;0.75;0.8;0.154;0.148;0.154;0.154;0.211;0.25;0.333
ENST00000456590_90_90;0.1;0.111;0.111;0.091;0.091;0.273;0.5;0.3;0.091;0.0;0.333;0.333;0.667;0.0;0.1;0.75;1.0;0.6;0.115;0.111;0.115;0.115;0.158;0.333;0.25
ENST00000457529_90_90;0.167;0.185;0.185;0.152;0.152;0.455;0.833;0.5;0.152;0.0;0.556;0.556;0.4;0.0;0.167;0.8;0.6;1.0;0.192;0.185;0.192;0.192;0.263;0.2;0.417
ENSMUST00000005072_90_90;0.903;0.931;0.931;0.862;0.862;0.385;0.231;0.346;0.862;0.222;0.308;0.308;0.077;0.586;0.889;0.154;0.115;0.192;1.0;0.969;0.906;0.906;0.514;0.032;0.387
ENSMUST00000111142_90_90;0.935;0.966;0.966;0.897;0.897;0.37;0.222;0.333;0.897;0.259;0.296;0.296;0.074;0.621;0.926;0.148;0.111;0.185;0.969;1.0;0.938;0.938;0.5;0.031;0.375
ENSMUST00000111144_90_90;0.903;1.0;1.0;0.862;0.862;0.385;0.231;0.346;0.862;0.269;0.308;0.308;0.077;0.586;0.962;0.154;0.115;0.192;0.906;0.938;1.0;1.0;0.529;0.033;0.4
ENSMUST00000111145_90_90;0.903;1.0;1.0;0.862;0.862;0.385;0.231;0.346;0.862;0.269;0.308;0.308;0.077;0.586;0.962;0.154;0.115;0.192;0.906;0.938;1.0;1.0;0.529;0.033;0.4
ENSMUST00000125827_90_90;0.613;0.567;0.567;0.621;0.621;0.526;0.316;0.474;0.621;0.13;0.421;0.421;0.105;0.345;0.571;0.211;0.158;0.263;0.514;0.5;0.529;0.529;1.0;0.045;0.545
ENSMUST00000130345_90_90;0.032;0.036;0.036;0.036;0.036;0.1;0.167;0.111;0.036;0.0;0.125;0.125;0.5;0.0;0.04;0.25;0.333;0.2;0.032;0.031;0.033;0.033;0.045;1.0;0.083
ENSMUST00000199239_90_90;0.387;0.429;0.429;0.379;0.379;0.833;0.5;0.75;0.379;0.0;0.667;0.667;0.167;0.103;0.423;0.333;0.25;0.417;0.387;0.375;0.4;0.4;0.545;0.083;1.0
