;ENSCAFT00000022395_90_90;ENST00000319481_90_90;ENST00000357041_90_90;ENST00000399441_90_90;ENST00000399443_90_90;ENST00000578013_90_90;ENST00000578055_90_90;ENST00000578091_90_90;ENST00000579851_90_90;ENST00000582645_90_90;ENST00000584119_90_90;ENST00000638614_90_90;ENSMUST00000074352_90_90;ENSMUST00000117361_90_90;ENSMUST00000118313_90_90;ENSMUST00000119043_90_90;ENSMUST00000119512_90_90;ENSMUST00000121774_90_90;ENSMUST00000121808_90_90;ENSMUST00000121888_90_90;ENSMUST00000122175_90_90;ENSMUST00000124570_90_90;ENSMUST00000143077_90_90;ENSMUST00000147197_90_90;ENSMUST00000155650_90_90
ENSMUST00000119043_90_90;0.462;0.475;0.778;0.0;0.999;0.652;0.109;0.0;0.0;0.0;0.0;0.058;0.46;1.0;1.0;1.0;0.783;0.938;1.0;1.0;0.0;0.026;0.423;0.0;0.171
ENSMUST00000119512_90_90;0.531;0.465;0.723;0.0;0.786;0.513;0.086;0.0;0.0;0.0;0.0;0.046;0.587;0.783;0.783;0.783;1.0;0.735;0.783;0.783;0.0;0.02;0.331;0.0;0.312
ENSMUST00000121774_90_90;0.433;0.446;0.731;0.0;0.939;0.695;0.048;0.0;0.0;0.0;0.0;0.046;0.432;0.938;0.938;0.938;0.735;1.0;0.938;0.938;0.0;0.0;0.361;0.0;0.12
ENSMUST00000121808_90_90;0.462;0.475;0.778;0.0;0.999;0.652;0.109;0.0;0.0;0.0;0.0;0.058;0.46;1.0;1.0;1.0;0.783;0.938;1.0;1.0;0.0;0.026;0.423;0.0;0.171
ENSMUST00000121888_90_90;0.462;0.475;0.778;0.0;0.999;0.652;0.109;0.0;0.0;0.0;0.0;0.058;0.46;1.0;1.0;1.0;0.783;0.938;1.0;1.0;0.0;0.026;0.423;0.0;0.171
ENSMUST00000122175_90_90;0.335;0.081;0.0;0.298;0.0;0.0;0.0;0.124;0.118;0.153;0.0;0.0;0.335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.195;0.0
ENSMUST00000124570_90_90;0.012;0.012;0.02;0.0;0.026;0.0;0.238;0.0;0.0;0.0;0.0;0.0;0.012;0.026;0.026;0.026;0.02;0.0;0.026;0.026;0.0;1.0;0.061;0.0;0.061
ENSMUST00000143077_90_90;0.195;0.2;0.329;0.0;0.422;0.075;0.245;0.0;0.0;0.0;0.0;0.137;0.194;0.423;0.423;0.423;0.331;0.361;0.423;0.423;0.0;0.061;1.0;0.0;0.324
ENSMUST00000147197_90_90;0.07;0.072;0.0;0.662;0.0;0.0;0.0;0.547;0.548;0.539;0.0;0.0;0.069;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.195;0.0;0.0;1.0;0.0
ENSMUST00000155650_90_90;0.166;0.136;0.196;0.0;0.171;0.0;0.245;0.0;0.0;0.0;0.0;0.137;0.184;0.171;0.171;0.171;0.312;0.12;0.171;0.171;0.0;0.061;0.324;0.0;1.0
