;transcript7_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript32_ENSAPOG00000016134;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript8_ENSAPOG00000023408;transcript27_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript1_ENSAOCG00000015695;transcript8_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript36_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript27_ENSAPOG00000023408;0.995;1.0;0.833;0.977;0.981;0.956;0.981;0.974;0.977;0.841;1.0;0.907;0.833;0.846;0.773;0.707;0.832;0.965;0.95;1.0;0.935;0.969;0.956;0.942;0.965
transcript30_ENSAPOG00000023408;0.911;0.907;0.784;0.93;0.889;0.864;0.889;0.881;0.93;0.793;0.907;1.0;0.784;0.935;0.724;0.657;0.784;0.918;0.857;0.907;0.887;0.876;0.864;0.85;0.918
transcript32_ENSAPOG00000023408;0.829;0.833;1.0;0.856;0.815;0.79;0.815;0.808;0.856;0.721;0.833;0.784;1.0;0.724;0.93;0.853;0.999;0.845;0.784;0.833;0.813;0.803;0.79;0.777;0.845
transcript40_ENSAPOG00000023408;0.85;0.846;0.724;0.869;0.828;0.803;0.828;0.821;0.869;0.733;0.846;0.935;0.724;1.0;0.77;0.597;0.723;0.858;0.797;0.846;0.826;0.816;0.803;0.79;0.858
transcript41_ENSAPOG00000023408;0.768;0.773;0.93;0.796;0.755;0.73;0.755;0.748;0.796;0.662;0.773;0.724;0.93;0.77;1.0;0.782;0.929;0.785;0.724;0.773;0.753;0.743;0.73;0.717;0.785
transcript42_ENSAPOG00000023408;0.702;0.707;0.853;0.73;0.689;0.664;0.689;0.682;0.73;0.596;0.707;0.657;0.853;0.597;0.782;1.0;0.852;0.72;0.669;0.707;0.687;0.677;0.664;0.673;0.72
transcript43_ENSAPOG00000023408;0.828;0.832;0.999;0.855;0.814;0.79;0.814;0.807;0.855;0.721;0.832;0.784;0.999;0.723;0.929;0.852;1.0;0.844;0.783;0.832;0.812;0.803;0.79;0.776;0.844
transcript1_ENSAOCG00000015695;0.96;0.965;0.845;0.987;0.947;0.923;0.947;0.94;0.987;0.876;0.965;0.918;0.845;0.858;0.785;0.72;0.844;1.0;0.916;0.965;0.945;0.935;0.923;0.909;1.0
transcript8_ENSAOCG00000015695;0.945;0.95;0.784;0.928;0.931;0.993;0.931;0.924;0.928;0.871;0.95;0.857;0.784;0.797;0.724;0.669;0.783;0.916;1.0;0.95;0.97;0.919;0.993;0.979;0.916
transcript25_ENSAOCG00000015695;0.995;1.0;0.833;0.977;0.981;0.956;0.981;0.974;0.977;0.841;1.0;0.907;0.833;0.846;0.773;0.707;0.832;0.965;0.95;1.0;0.935;0.969;0.956;0.942;0.965
transcript26_ENSAOCG00000015695;0.93;0.935;0.813;0.957;0.917;0.976;0.917;0.909;0.957;0.901;0.935;0.887;0.813;0.826;0.753;0.687;0.812;0.945;0.97;0.935;1.0;0.904;0.976;0.962;0.945
transcript36_ENSAOCG00000015695;0.964;0.969;0.803;0.947;0.95;0.925;0.95;0.943;0.947;0.867;0.969;0.876;0.803;0.816;0.743;0.677;0.803;0.935;0.919;0.969;0.904;1.0;0.925;0.911;0.935
transcript37_ENSAOCG00000015695;0.952;0.956;0.79;0.935;0.938;1.0;0.938;0.931;0.935;0.878;0.956;0.864;0.79;0.803;0.73;0.664;0.79;0.923;0.993;0.956;0.976;0.925;1.0;0.985;0.923
transcript38_ENSAOCG00000015695;0.938;0.942;0.777;0.921;0.924;0.985;0.924;0.917;0.921;0.864;0.942;0.85;0.777;0.79;0.717;0.673;0.776;0.909;0.979;0.942;0.962;0.911;0.985;1.0;0.909
transcript22_ENSPNYG00000024266;0.96;0.965;0.845;0.987;0.947;0.923;0.947;0.94;0.987;0.876;0.965;0.918;0.845;0.858;0.785;0.72;0.844;1.0;0.916;0.965;0.945;0.935;0.923;0.909;1.0
