;ENSCAFT00000003726_90_90;ENSCAFT00000003727_90_90;ENST00000502815_90_90;ENST00000504896_90_90;ENST00000506700_90_90;ENST00000506720_90_90;ENST00000506746_90_90;ENST00000507164_90_90;ENST00000507625_90_90;ENST00000508693_90_90;ENST00000508946_90_90;ENST00000509896_90_90;ENST00000511324_90_90;ENST00000512091_90_90;ENST00000514157_90_90;ENST00000514591_90_90;ENST00000514996_90_90;ENSMUST00000036068_90_90;ENSMUST00000072521_90_90;ENSMUST00000117253_90_90;ENSMUST00000117407_90_90;ENSMUST00000117985_90_90;ENSMUST00000118034_90_90;ENSMUST00000118078_90_90;ENSMUST00000118442_90_90;ENSMUST00000119385_90_90;ENSMUST00000119788_90_90;ENSMUST00000120128_90_90;ENSMUST00000120144_90_90;ENSMUST00000120292_90_90;ENSMUST00000120445_90_90;ENSMUST00000120673_90_90;ENSMUST00000121641_90_90;ENSMUST00000121707_90_90;ENSMUST00000122037_90_90;ENSMUST00000122356_90_90;ENSMUST00000124117_90_90;ENSMUST00000132375_90_90
ENST00000514157_90_90;0.421;0.8;0.292;0.92;0.913;0.741;0.8;0.958;0.72;0.885;0.769;0.808;0.875;0.84;1.0;0.692;0.833;0.692;0.654;0.818;0.826;0.68;0.739;0.818;0.72;0.783;0.654;0.75;0.864;0.792;0.76;0.654;0.708;0.708;0.696;0.667;0.261;0.182
ENST00000514591_90_90;0.474;0.85;0.381;0.769;0.75;0.875;0.792;0.667;0.864;0.741;0.913;0.8;0.72;0.833;0.692;1.0;0.826;0.87;0.826;0.56;0.64;0.864;0.773;0.696;0.75;0.667;0.826;0.783;0.667;0.75;0.72;0.826;0.739;0.739;0.81;0.773;0.333;0.19
ENST00000514996_90_90;0.474;0.85;0.381;0.769;0.75;0.875;0.955;0.8;0.864;0.741;0.913;0.667;0.72;0.692;0.833;0.826;1.0;0.72;0.68;0.696;0.708;0.783;0.857;0.696;0.615;0.667;0.75;0.64;0.739;0.68;0.654;0.75;0.818;0.739;0.81;0.773;0.333;0.19
ENSMUST00000036068_90_90;0.474;0.85;0.364;0.769;0.75;0.84;0.76;0.731;0.826;0.808;0.8;0.875;0.792;0.833;0.692;0.87;0.72;1.0;0.8;0.438;0.586;0.667;0.593;0.593;0.704;0.63;0.704;0.667;0.552;0.621;0.655;0.704;0.63;0.72;0.64;0.68;0.304;0.12
ENSMUST00000072521_90_90;0.5;0.8;0.381;0.731;0.708;0.8;0.72;0.692;0.783;0.769;0.76;0.833;0.75;0.792;0.654;0.826;0.68;0.8;1.0;0.552;0.731;0.833;0.75;0.75;0.875;0.792;0.875;0.833;0.692;0.769;0.808;0.875;0.792;0.909;0.818;0.864;0.318;0.227
ENSMUST00000117253_90_90;0.412;0.65;0.238;0.75;0.727;0.615;0.667;0.783;0.583;0.72;0.64;0.64;0.696;0.667;0.818;0.56;0.696;0.438;0.552;1.0;0.769;0.607;0.654;0.72;0.643;0.692;0.586;0.667;0.8;0.741;0.714;0.586;0.63;0.593;0.577;0.556;0.154;0.217
ENSMUST00000117407_90_90;0.389;0.7;0.333;0.76;0.818;0.692;0.75;0.87;0.739;0.8;0.654;0.792;0.864;0.75;0.826;0.64;0.708;0.586;0.731;0.769;1.0;0.731;0.792;0.87;0.84;0.913;0.643;0.8;0.957;0.88;0.92;0.769;0.833;0.792;0.708;0.75;0.25;0.217
ENSMUST00000117985_90_90;0.529;0.75;0.4;0.76;0.667;0.833;0.75;0.654;0.739;0.731;0.87;0.72;0.64;0.75;0.68;0.864;0.783;0.667;0.833;0.607;0.731;1.0;0.909;0.68;0.731;0.654;0.8;0.76;0.76;0.84;0.808;0.957;0.87;0.75;0.818;0.783;0.318;0.227
ENSMUST00000118034_90_90;0.471;0.7;0.444;0.68;0.727;0.75;0.818;0.708;0.81;0.654;0.783;0.64;0.696;0.667;0.739;0.773;0.857;0.593;0.75;0.654;0.792;0.909;1.0;0.739;0.654;0.708;0.72;0.68;0.826;0.76;0.731;0.87;0.952;0.818;0.9;0.857;0.35;0.25
ENSMUST00000118078_90_90;0.412;0.65;0.368;0.75;0.9;0.615;0.667;0.783;0.727;0.72;0.64;0.783;0.857;0.818;0.818;0.696;0.696;0.593;0.75;0.72;0.87;0.68;0.739;1.0;0.87;0.952;0.654;0.909;0.909;0.833;0.8;0.654;0.708;0.818;0.81;0.773;0.286;0.25
ENSMUST00000118442_90_90;0.444;0.75;0.318;0.8;0.783;0.731;0.654;0.76;0.708;0.84;0.692;0.913;0.826;0.87;0.72;0.75;0.615;0.704;0.875;0.643;0.84;0.731;0.654;0.87;1.0;0.913;0.769;0.957;0.8;0.88;0.92;0.769;0.692;0.792;0.708;0.75;0.25;0.217
ENSMUST00000119385_90_90;0.389;0.7;0.35;0.72;0.857;0.654;0.708;0.826;0.773;0.76;0.615;0.826;0.905;0.783;0.783;0.667;0.667;0.63;0.792;0.692;0.913;0.654;0.708;0.952;0.913;1.0;0.692;0.87;0.87;0.8;0.84;0.692;0.75;0.864;0.773;0.818;0.273;0.238
ENSMUST00000119788_90_90;0.556;0.85;0.381;0.731;0.64;0.875;0.792;0.692;0.783;0.769;0.833;0.76;0.68;0.72;0.654;0.826;0.75;0.704;0.875;0.586;0.643;0.8;0.72;0.654;0.769;0.692;1.0;0.731;0.607;0.679;0.714;0.84;0.76;0.792;0.783;0.826;0.304;0.217
ENSMUST00000120128_90_90;0.471;0.7;0.333;0.833;0.818;0.692;0.615;0.72;0.667;0.8;0.72;0.87;0.783;0.909;0.75;0.783;0.64;0.667;0.833;0.667;0.8;0.76;0.68;0.909;0.957;0.87;0.731;1.0;0.833;0.917;0.88;0.731;0.654;0.75;0.739;0.708;0.261;0.227
ENSMUST00000120144_90_90;0.412;0.65;0.35;0.792;0.857;0.654;0.708;0.826;0.696;0.76;0.68;0.75;0.818;0.783;0.864;0.667;0.739;0.552;0.692;0.8;0.957;0.76;0.826;0.909;0.8;0.87;0.607;0.833;1.0;0.917;0.88;0.731;0.792;0.75;0.739;0.708;0.261;0.227
ENSMUST00000120292_90_90;0.471;0.7;0.318;0.875;0.783;0.731;0.654;0.76;0.64;0.84;0.76;0.833;0.75;0.87;0.792;0.75;0.68;0.621;0.769;0.741;0.88;0.84;0.76;0.833;0.88;0.8;0.679;0.917;0.917;1.0;0.96;0.808;0.731;0.692;0.68;0.654;0.24;0.208
ENSMUST00000120445_90_90;0.444;0.75;0.304;0.84;0.75;0.769;0.692;0.8;0.68;0.88;0.731;0.875;0.792;0.833;0.76;0.72;0.654;0.655;0.808;0.714;0.92;0.808;0.731;0.8;0.92;0.84;0.714;0.88;0.88;0.96;1.0;0.846;0.769;0.731;0.654;0.692;0.231;0.2
ENSMUST00000120673_90_90;0.5;0.8;0.381;0.731;0.64;0.875;0.792;0.692;0.783;0.769;0.833;0.76;0.68;0.72;0.654;0.826;0.75;0.704;0.875;0.586;0.769;0.957;0.87;0.654;0.769;0.692;0.84;0.731;0.731;0.808;0.846;1.0;0.913;0.792;0.783;0.826;0.304;0.217
ENSMUST00000121641_90_90;0.444;0.75;0.421;0.654;0.696;0.792;0.864;0.75;0.857;0.692;0.75;0.68;0.739;0.64;0.708;0.739;0.818;0.63;0.792;0.63;0.833;0.87;0.952;0.708;0.692;0.75;0.76;0.654;0.792;0.731;0.769;0.913;1.0;0.864;0.857;0.905;0.333;0.238
ENSMUST00000121707_90_90;0.444;0.75;0.421;0.654;0.773;0.72;0.783;0.75;0.857;0.692;0.68;0.75;0.818;0.708;0.708;0.739;0.739;0.72;0.909;0.593;0.792;0.75;0.818;0.818;0.792;0.864;0.792;0.75;0.75;0.692;0.731;0.792;0.864;1.0;0.9;0.95;0.35;0.25
ENSMUST00000122037_90_90;0.471;0.7;0.471;0.64;0.762;0.708;0.773;0.667;0.85;0.615;0.739;0.667;0.727;0.696;0.696;0.81;0.81;0.64;0.818;0.577;0.708;0.818;0.9;0.81;0.708;0.773;0.783;0.739;0.739;0.68;0.654;0.783;0.857;0.9;1.0;0.947;0.389;0.278
ENSMUST00000122356_90_90;0.444;0.75;0.444;0.615;0.727;0.75;0.818;0.708;0.9;0.654;0.708;0.708;0.773;0.667;0.667;0.773;0.773;0.68;0.864;0.556;0.75;0.783;0.857;0.773;0.75;0.818;0.826;0.708;0.708;0.654;0.692;0.826;0.905;0.95;0.947;1.0;0.368;0.263
ENSMUST00000124117_90_90;0.5;0.263;0.875;0.24;0.286;0.292;0.318;0.25;0.35;0.231;0.304;0.25;0.273;0.261;0.261;0.333;0.333;0.304;0.318;0.154;0.25;0.318;0.35;0.286;0.25;0.273;0.304;0.261;0.261;0.24;0.231;0.304;0.333;0.35;0.389;0.368;1.0;0.0
ENSMUST00000132375_90_90;0.0;0.211;0.0;0.167;0.2;0.167;0.182;0.174;0.2;0.16;0.174;0.174;0.19;0.182;0.182;0.19;0.19;0.12;0.227;0.217;0.217;0.227;0.25;0.25;0.217;0.238;0.217;0.227;0.227;0.208;0.2;0.217;0.238;0.25;0.278;0.263;0.0;1.0
