;ENSCAFT00000013569_90_90;ENSCAFT00000048577_90_90;ENSCAFT00000049950_90_90;ENST00000314177_90_90;ENST00000338564_90_90;ENST00000340545_90_90;ENST00000397620_90_90;ENST00000397624_90_90;ENST00000424352_90_90;ENST00000557796_90_90;ENST00000558313_90_90;ENST00000559085_90_90;ENST00000559561_90_90;ENST00000560570_90_90;ENST00000560617_90_90;ENST00000560697_90_90;ENST00000561208_90_90;ENST00000606653_90_90;ENST00000607277_90_90;ENSMUST00000028639_90_90;ENSMUST00000074285_90_90;ENSMUST00000102538_90_90;ENSMUST00000110906_90_90;ENSMUST00000110907_90_90;ENSMUST00000110908_90_90
ENST00000560617_90_90;0.266;0.221;0.447;0.348;0.223;0.276;0.343;0.343;0.262;0.276;0.607;0.271;0.266;0.0;1.0;0.898;0.22;0.706;0.447;0.22;0.267;0.223;0.263;0.262;0.266
ENST00000560697_90_90;0.239;0.198;0.401;0.312;0.201;0.248;0.308;0.308;0.235;0.248;0.601;0.243;0.239;0.0;0.898;1.0;0.198;0.632;0.401;0.198;0.24;0.201;0.236;0.235;0.239
ENST00000561208_90_90;0.747;0.992;0.481;0.633;0.985;0.731;0.575;0.575;0.771;0.731;0.325;0.745;0.757;0.205;0.22;0.198;1.0;0.197;0.475;0.997;0.742;0.983;0.756;0.769;0.755
ENST00000606653_90_90;0.257;0.213;0.434;0.298;0.2;0.242;0.295;0.295;0.231;0.242;0.473;0.238;0.235;0.0;0.706;0.632;0.197;1.0;0.372;0.214;0.26;0.217;0.255;0.254;0.259
ENST00000607277_90_90;0.582;0.48;0.292;0.409;0.482;0.593;0.736;0.736;0.564;0.593;0.338;0.583;0.574;0.0;0.447;0.401;0.475;0.372;1.0;0.478;0.583;0.485;0.573;0.571;0.581
ENSMUST00000028639_90_90;0.748;0.992;0.484;0.63;0.983;0.729;0.576;0.576;0.77;0.729;0.326;0.743;0.756;0.205;0.22;0.198;0.997;0.214;0.478;1.0;0.745;0.985;0.759;0.771;0.757
ENSMUST00000074285_90_90;0.988;0.749;0.586;0.747;0.753;0.964;0.771;0.771;0.96;0.964;0.396;0.948;0.977;0.237;0.267;0.24;0.742;0.26;0.583;0.745;1.0;0.755;0.983;0.965;0.982
ENSMUST00000102538_90_90;0.759;0.978;0.491;0.64;0.997;0.74;0.584;0.584;0.756;0.74;0.331;0.729;0.766;0.209;0.223;0.201;0.983;0.217;0.485;0.985;0.755;1.0;0.745;0.757;0.768
ENSMUST00000110906_90_90;0.971;0.763;0.576;0.734;0.742;0.948;0.757;0.757;0.978;0.948;0.389;0.965;0.96;0.233;0.263;0.236;0.756;0.255;0.573;0.759;0.983;0.745;1.0;0.983;0.965
ENSMUST00000110907_90_90;0.971;0.763;0.576;0.75;0.755;0.945;0.756;0.756;0.995;0.945;0.388;0.963;0.978;0.244;0.262;0.235;0.769;0.254;0.571;0.771;0.965;0.757;0.983;1.0;0.983
ENSMUST00000110908_90_90;0.988;0.749;0.586;0.763;0.765;0.962;0.769;0.769;0.978;0.962;0.395;0.945;0.995;0.249;0.266;0.239;0.755;0.259;0.581;0.757;0.982;0.768;0.965;0.983;1.0
