;transcript59_ENSMUGG00000013649;transcript39_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript54_ENSCGRG00015005362;transcript59_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript57_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript26_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript37_ENSMUGG00000013649;transcript38_ENSSTOG00000019743;transcript8_ENSSTOG00000019743;transcript38_ENSRNOG00000031503;transcript56_ENSCGRG00000018457;transcript9_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript58_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript8_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript40_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584
transcript51_ENSMUGG00000013592;0.761;0.674;0.841;0.668;0.875;0.887;0.646;0.865;0.903;0.885;1.0;0.733;0.876;0.676;0.499;0.676;0.498;0.876;0.676;0.499;0.651;0.645;0.728;0.677;0.677;0.788;0.698;0.698;0.62;0.48;0.818;0.733;0.733;0.701;0.441;0.654
transcript26_ENSSTOG00000019743;0.721;0.823;0.772;0.817;0.803;0.826;0.798;0.655;0.687;0.795;0.733;1.0;0.803;0.823;0.655;0.823;0.653;0.803;0.823;0.655;0.789;0.786;0.874;0.825;0.825;0.741;0.844;0.844;0.76;0.637;0.769;1.0;1.0;0.849;0.578;0.775
transcript37_ENSSTOG00000019743;0.845;0.777;0.961;0.742;0.999;0.972;0.721;0.767;0.803;0.99;0.876;0.803;1.0;0.78;0.596;0.78;0.595;1.0;0.78;0.596;0.743;0.719;0.803;0.751;0.751;0.871;0.772;0.772;0.693;0.576;0.902;0.803;0.803;0.806;0.512;0.702
transcript38_ENSCGRG00015005362;0.705;0.804;0.751;0.879;0.78;0.771;0.795;0.595;0.623;0.772;0.676;0.823;0.78;1.0;0.798;1.0;0.796;0.78;1.0;0.798;0.957;0.918;0.943;0.888;0.888;0.687;0.909;0.909;0.883;0.77;0.71;0.823;0.823;0.828;0.698;0.828
transcript8_ENSCGRG00000018457;0.535;0.636;0.583;0.704;0.596;0.591;0.642;0.428;0.444;0.592;0.499;0.655;0.596;0.798;1.0;0.798;0.997;0.596;0.798;1.0;0.778;0.72;0.753;0.699;0.699;0.535;0.736;0.736;0.704;0.964;0.545;0.655;0.655;0.644;0.873;0.675
transcript38_ENSCGRG00000018457;0.705;0.804;0.751;0.879;0.78;0.771;0.795;0.595;0.623;0.772;0.676;0.823;0.78;1.0;0.798;1.0;0.796;0.78;1.0;0.798;0.957;0.918;0.943;0.888;0.888;0.687;0.909;0.909;0.883;0.77;0.71;0.823;0.823;0.828;0.698;0.828
transcript8_ENSCGRG00015005362;0.534;0.634;0.581;0.702;0.595;0.59;0.639;0.427;0.443;0.591;0.498;0.653;0.595;0.796;0.997;0.796;1.0;0.595;0.796;0.997;0.776;0.718;0.751;0.697;0.697;0.534;0.734;0.734;0.701;0.961;0.544;0.653;0.653;0.642;0.87;0.673
transcript37_ENSMUGG00000013649;0.845;0.777;0.961;0.742;0.999;0.972;0.721;0.767;0.803;0.99;0.876;0.803;1.0;0.78;0.596;0.78;0.595;1.0;0.78;0.596;0.743;0.719;0.803;0.751;0.751;0.871;0.772;0.772;0.693;0.576;0.902;0.803;0.803;0.806;0.512;0.702
transcript38_ENSSTOG00000019743;0.705;0.804;0.751;0.879;0.78;0.771;0.795;0.595;0.623;0.772;0.676;0.823;0.78;1.0;0.798;1.0;0.796;0.78;1.0;0.798;0.957;0.918;0.943;0.888;0.888;0.687;0.909;0.909;0.883;0.77;0.71;0.823;0.823;0.828;0.698;0.828
transcript8_ENSSTOG00000019743;0.535;0.636;0.583;0.704;0.596;0.591;0.642;0.428;0.444;0.592;0.499;0.655;0.596;0.798;1.0;0.798;0.997;0.596;0.798;1.0;0.778;0.72;0.753;0.699;0.699;0.535;0.736;0.736;0.704;0.964;0.545;0.655;0.655;0.644;0.873;0.675
transcript38_ENSRNOG00000031503;0.676;0.776;0.717;0.839;0.743;0.734;0.769;0.578;0.604;0.735;0.651;0.789;0.743;0.957;0.778;0.957;0.776;0.743;0.957;0.778;1.0;0.876;0.902;0.847;0.847;0.653;0.872;0.872;0.846;0.75;0.674;0.789;0.789;0.797;0.682;0.794
transcript56_ENSCGRG00000018457;0.664;0.737;0.696;0.836;0.719;0.731;0.758;0.558;0.583;0.712;0.645;0.786;0.719;0.918;0.72;0.918;0.718;0.719;0.918;0.72;0.876;1.0;0.9;0.845;0.845;0.65;0.871;0.871;0.961;0.698;0.67;0.786;0.786;0.756;0.64;0.799
transcript9_ENSCGRG00015005362;0.76;0.822;0.77;0.936;0.803;0.826;0.844;0.643;0.677;0.794;0.728;0.874;0.803;0.943;0.753;0.943;0.751;0.803;0.943;0.753;0.902;0.9;1.0;0.945;0.945;0.735;0.959;0.959;0.865;0.726;0.764;0.874;0.874;0.85;0.658;0.881
transcript52_ENSCGRG00000018457;0.707;0.777;0.725;0.99;0.751;0.773;0.798;0.598;0.625;0.743;0.677;0.825;0.751;0.888;0.699;0.888;0.697;0.751;0.888;0.699;0.847;0.845;0.945;1.0;1.0;0.776;0.912;0.912;0.818;0.679;0.806;0.825;0.825;0.798;0.62;0.843
transcript52_ENSCGRG00001010245;0.707;0.777;0.725;0.99;0.751;0.773;0.798;0.598;0.625;0.743;0.677;0.825;0.751;0.888;0.699;0.888;0.697;0.751;0.888;0.699;0.847;0.845;0.945;1.0;1.0;0.776;0.912;0.912;0.818;0.679;0.806;0.825;0.825;0.798;0.62;0.843
transcript58_ENSPEMG00000024651;0.798;0.739;0.905;0.768;0.871;0.897;0.726;0.757;0.729;0.866;0.788;0.741;0.871;0.687;0.535;0.687;0.534;0.871;0.687;0.535;0.653;0.65;0.735;0.776;0.776;1.0;0.762;0.762;0.67;0.547;0.964;0.741;0.741;0.717;0.472;0.656
transcript9_ENSPEMG00000024651;0.737;0.852;0.798;0.905;0.772;0.793;0.877;0.667;0.645;0.766;0.698;0.844;0.772;0.909;0.736;0.909;0.734;0.772;0.909;0.736;0.872;0.871;0.959;0.912;0.912;0.762;1.0;1.0;0.902;0.757;0.74;0.844;0.844;0.828;0.657;0.861
transcript33_ENSPEMG00000024651;0.737;0.852;0.798;0.905;0.772;0.793;0.877;0.667;0.645;0.766;0.698;0.844;0.772;0.909;0.736;0.909;0.734;0.772;0.909;0.736;0.872;0.871;0.959;0.912;0.912;0.762;1.0;1.0;0.902;0.757;0.74;0.844;0.844;0.828;0.657;0.861
transcript56_ENSPEMG00000024651;0.645;0.76;0.717;0.811;0.693;0.704;0.782;0.574;0.556;0.689;0.62;0.76;0.693;0.883;0.704;0.883;0.701;0.693;0.883;0.704;0.846;0.961;0.865;0.818;0.818;0.67;0.902;0.902;1.0;0.724;0.65;0.76;0.76;0.738;0.636;0.781
transcript8_ENSPEMG00000024651;0.522;0.651;0.596;0.685;0.576;0.571;0.657;0.437;0.424;0.573;0.48;0.637;0.576;0.77;0.964;0.77;0.961;0.576;0.77;0.964;0.75;0.698;0.726;0.679;0.679;0.547;0.757;0.757;0.724;1.0;0.531;0.637;0.637;0.632;0.861;0.664
transcript58_ENSMUGG00000013649;0.822;0.717;0.875;0.797;0.902;0.93;0.705;0.732;0.761;0.894;0.818;0.769;0.902;0.71;0.545;0.71;0.544;0.902;0.71;0.545;0.674;0.67;0.764;0.806;0.806;0.964;0.74;0.74;0.65;0.531;1.0;0.769;0.769;0.737;0.474;0.673
transcript40_ENSSTOG00000019743;0.721;0.823;0.772;0.817;0.803;0.826;0.798;0.655;0.687;0.795;0.733;1.0;0.803;0.823;0.655;0.823;0.653;0.803;0.823;0.655;0.789;0.786;0.874;0.825;0.825;0.741;0.844;0.844;0.76;0.637;0.769;1.0;1.0;0.849;0.578;0.775
transcript29_ENSSTOG00000019743;0.721;0.823;0.772;0.817;0.803;0.826;0.798;0.655;0.687;0.795;0.733;1.0;0.803;0.823;0.655;0.823;0.653;0.803;0.823;0.655;0.789;0.786;0.874;0.825;0.825;0.741;0.844;0.844;0.76;0.637;0.769;1.0;1.0;0.849;0.578;0.775
transcript39_ENSSTOG00000019743;0.812;0.968;0.781;0.789;0.806;0.799;0.904;0.625;0.65;0.797;0.701;0.849;0.806;0.828;0.644;0.828;0.642;0.806;0.828;0.644;0.797;0.756;0.85;0.798;0.798;0.717;0.828;0.828;0.738;0.632;0.737;0.849;0.849;1.0;0.582;0.773
transcript8_ENSNGAG00000018584;0.473;0.578;0.506;0.625;0.511;0.508;0.586;0.389;0.398;0.509;0.441;0.578;0.512;0.698;0.873;0.698;0.87;0.512;0.698;0.873;0.682;0.64;0.658;0.62;0.62;0.472;0.657;0.657;0.636;0.861;0.474;0.578;0.578;0.582;1.0;0.748
transcript33_ENSNGAG00000018584;0.68;0.753;0.681;0.837;0.701;0.719;0.774;0.591;0.615;0.697;0.654;0.775;0.702;0.828;0.675;0.828;0.673;0.702;0.828;0.675;0.794;0.799;0.881;0.843;0.843;0.656;0.861;0.861;0.781;0.664;0.673;0.775;0.775;0.773;0.748;1.0
