;ENSCAFT00000002127_90_90;ENSCAFT00000010587_90_90;ENST00000360332_90_90;ENST00000374174_90_90;ENST00000374176_90_90;ENST00000374179_90_90;ENST00000374182_90_90;ENST00000374189_90_90;ENST00000395611_90_90;ENST00000426557_90_90;ENST00000429041_90_90;ENST00000432379_90_90;ENST00000229794_90_90;ENST00000229795_90_90;ENST00000310795_90_90;ENST00000468133_90_90;ENST00000472333_90_90;ENST00000474429_90_90;ENST00000491957_90_90;ENST00000622903_90_90;ENSMUST00000022504_90_90;ENSMUST00000111942_90_90;ENSMUST00000111943_90_90;ENSMUST00000111944_90_90;ENSMUST00000111945_90_90;ENSMUST00000004990_90_90;ENSMUST00000062694_90_90;ENSMUST00000114752_90_90;ENSMUST00000114754_90_90;ENSMUST00000114758_90_90;ENSMUST00000124886_90_90
ENST00000474429_90_90;0.399;0.239;0.3;0.367;0.229;0.239;0.251;0.24;0.229;0.653;0.107;0.651;0.229;0.233;0.254;0.054;0.084;1.0;0.414;0.414;0.229;0.3;0.239;0.24;0.251;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000491957_90_90;0.596;0.511;0.638;0.745;0.492;0.511;0.537;0.519;0.492;0.567;0.471;0.566;0.536;0.548;0.586;0.316;0.431;0.414;1.0;1.0;0.493;0.638;0.511;0.519;0.537;0.263;0.263;0.0;0.0;0.266;0.269
ENST00000622903_90_90;0.596;0.511;0.638;0.745;0.492;0.511;0.537;0.519;0.492;0.567;0.471;0.566;0.536;0.548;0.586;0.316;0.431;0.414;1.0;1.0;0.493;0.638;0.511;0.519;0.537;0.263;0.263;0.0;0.0;0.266;0.269
ENSMUST00000022504_90_90;0.696;0.932;0.706;0.478;1.0;0.865;0.772;0.901;1.0;0.268;0.244;0.274;0.635;0.569;0.653;0.501;0.42;0.229;0.493;0.493;1.0;0.706;0.865;0.901;0.772;0.649;0.649;0.318;0.318;0.69;0.72
ENSMUST00000111942_90_90;0.496;0.82;1.0;0.656;0.706;0.82;0.832;0.714;0.706;0.368;0.335;0.377;0.511;0.54;0.529;0.37;0.45;0.3;0.638;0.638;0.706;1.0;0.82;0.714;0.832;0.466;0.466;0.244;0.244;0.504;0.533
ENSMUST00000111943_90_90;0.523;1.0;0.82;0.538;0.865;1.0;0.889;0.772;0.865;0.3;0.274;0.307;0.65;0.581;0.671;0.512;0.432;0.239;0.511;0.511;0.865;0.82;1.0;0.772;0.889;0.541;0.541;0.208;0.208;0.574;0.598
ENSMUST00000111944_90_90;0.696;0.871;0.714;0.484;0.901;0.772;0.863;1.0;0.901;0.27;0.247;0.277;0.599;0.532;0.616;0.465;0.448;0.24;0.519;0.519;0.901;0.714;0.772;1.0;0.863;0.601;0.601;0.344;0.344;0.643;0.674
ENSMUST00000111945_90_90;0.523;0.935;0.832;0.546;0.772;0.889;1.0;0.863;0.772;0.303;0.279;0.311;0.613;0.544;0.634;0.476;0.463;0.251;0.537;0.537;0.772;0.832;0.889;0.863;1.0;0.491;0.491;0.226;0.226;0.524;0.549
ENSMUST00000004990_90_90;0.768;0.632;0.466;0.171;0.649;0.541;0.491;0.601;0.649;0.0;0.134;0.0;0.525;0.525;0.526;0.528;0.482;0.0;0.263;0.263;0.649;0.466;0.541;0.601;0.491;1.0;0.873;0.576;0.576;0.718;0.688
ENSMUST00000062694_90_90;0.806;0.632;0.466;0.171;0.649;0.541;0.491;0.601;0.649;0.0;0.134;0.0;0.525;0.525;0.526;0.528;0.482;0.0;0.263;0.263;0.649;0.466;0.541;0.601;0.491;0.873;1.0;0.675;0.675;0.799;0.718
ENSMUST00000114752_90_90;0.806;0.242;0.244;0.0;0.318;0.208;0.226;0.344;0.318;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.318;0.244;0.208;0.344;0.226;0.576;0.675;1.0;1.0;0.48;0.393
ENSMUST00000114754_90_90;0.806;0.242;0.244;0.0;0.318;0.208;0.226;0.344;0.318;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.318;0.244;0.208;0.344;0.226;0.576;0.675;1.0;1.0;0.48;0.393
ENSMUST00000114758_90_90;0.625;0.664;0.503;0.18;0.69;0.573;0.524;0.642;0.69;0.0;0.143;0.0;0.531;0.531;0.532;0.535;0.492;0.0;0.266;0.266;0.69;0.504;0.574;0.643;0.524;0.718;0.799;0.48;0.48;1.0;0.854
ENSMUST00000124886_90_90;0.482;0.689;0.533;0.188;0.72;0.598;0.549;0.674;0.72;0.0;0.151;0.0;0.535;0.536;0.537;0.541;0.502;0.0;0.269;0.269;0.72;0.533;0.598;0.674;0.549;0.688;0.718;0.393;0.393;0.854;1.0
