;ENSCAFT00000021589_90_90;ENSCAFT00000021597_90_90;ENSCAFT00000021600_90_90;ENST00000324432_90_90;ENST00000413936_90_90;ENST00000423646_90_90;ENST00000425780_90_90;ENST00000429179_90_90;ENST00000430490_90_90;ENST00000435251_90_90;ENST00000435861_90_90;ENST00000438930_90_90;ENST00000442516_90_90;ENST00000446600_90_90;ENST00000446820_90_90;ENST00000451769_90_90;ENST00000456590_90_90;ENST00000457529_90_90;ENSMUST00000005072_90_90;ENSMUST00000111142_90_90;ENSMUST00000111144_90_90;ENSMUST00000111145_90_90;ENSMUST00000125827_90_90;ENSMUST00000130345_90_90;ENSMUST00000199239_90_90
ENST00000438930_90_90;0.215;0.236;0.236;0.19;0.19;0.652;0.696;0.776;0.19;0.0;1.0;1.0;0.189;0.0;0.207;0.38;0.306;0.623;0.227;0.221;0.232;0.232;0.342;0.107;0.629
ENST00000442516_90_90;0.046;0.051;0.051;0.042;0.042;0.141;0.274;0.165;0.042;0.0;0.189;0.189;1.0;0.0;0.045;0.497;0.614;0.313;0.05;0.049;0.051;0.051;0.073;0.535;0.13
ENST00000446600_90_90;0.645;0.56;0.56;0.79;0.79;0.07;0.0;0.028;0.79;0.232;0.0;0.0;0.0;1.0;0.707;0.0;0.0;0.0;0.708;0.726;0.675;0.675;0.377;0.0;0.101
ENST00000446820_90_90;0.761;0.833;0.833;0.917;0.917;0.305;0.157;0.261;0.917;0.196;0.207;0.207;0.045;0.707;1.0;0.091;0.072;0.138;0.903;0.923;0.974;0.974;0.579;0.027;0.346
ENST00000451769_90_90;0.092;0.102;0.102;0.083;0.083;0.283;0.551;0.331;0.083;0.0;0.38;0.38;0.497;0.0;0.091;1.0;0.816;0.629;0.1;0.097;0.102;0.102;0.147;0.266;0.26
ENST00000456590_90_90;0.073;0.08;0.08;0.066;0.066;0.226;0.443;0.266;0.066;0.0;0.306;0.306;0.614;0.0;0.072;0.816;1.0;0.502;0.078;0.076;0.08;0.08;0.115;0.327;0.208
ENST00000457529_90_90;0.14;0.154;0.154;0.126;0.126;0.449;0.893;0.537;0.126;0.0;0.623;0.623;0.313;0.0;0.138;0.629;0.502;1.0;0.147;0.143;0.15;0.15;0.223;0.165;0.413
ENSMUST00000005072_90_90;0.844;0.828;0.828;0.918;0.918;0.306;0.169;0.261;0.918;0.172;0.227;0.227;0.05;0.708;0.903;0.1;0.078;0.147;1.0;0.984;0.915;0.915;0.52;0.022;0.316
ENSMUST00000111142_90_90;0.86;0.846;0.846;0.937;0.937;0.299;0.164;0.255;0.937;0.191;0.221;0.221;0.049;0.726;0.923;0.097;0.076;0.143;0.984;1.0;0.932;0.932;0.513;0.022;0.309
ENSMUST00000111144_90_90;0.811;0.889;0.889;0.887;0.887;0.315;0.173;0.267;0.887;0.201;0.232;0.232;0.051;0.675;0.974;0.102;0.08;0.15;0.915;0.932;1.0;1.0;0.548;0.024;0.332
ENSMUST00000111145_90_90;0.811;0.889;0.889;0.887;0.887;0.315;0.173;0.267;0.887;0.201;0.232;0.232;0.051;0.675;0.974;0.102;0.08;0.15;0.915;0.932;1.0;1.0;0.548;0.024;0.332
ENSMUST00000125827_90_90;0.653;0.655;0.655;0.59;0.59;0.468;0.253;0.394;0.59;0.109;0.342;0.342;0.073;0.377;0.579;0.147;0.115;0.223;0.52;0.513;0.548;0.548;1.0;0.034;0.485
ENSMUST00000130345_90_90;0.024;0.027;0.027;0.024;0.024;0.079;0.145;0.092;0.024;0.0;0.107;0.107;0.535;0.0;0.027;0.266;0.327;0.165;0.022;0.022;0.024;0.024;0.034;1.0;0.068
ENSMUST00000199239_90_90;0.348;0.385;0.385;0.313;0.313;0.878;0.465;0.73;0.313;0.0;0.629;0.629;0.13;0.101;0.346;0.26;0.208;0.413;0.316;0.309;0.332;0.332;0.485;0.068;1.0
