;ENSCAFT00000002127_90_90;ENSCAFT00000010587_90_90;ENST00000360332_90_90;ENST00000374174_90_90;ENST00000374176_90_90;ENST00000374179_90_90;ENST00000374182_90_90;ENST00000374189_90_90;ENST00000395611_90_90;ENST00000426557_90_90;ENST00000429041_90_90;ENST00000432379_90_90;ENST00000229794_90_90;ENST00000229795_90_90;ENST00000310795_90_90;ENST00000468133_90_90;ENST00000472333_90_90;ENST00000474429_90_90;ENST00000491957_90_90;ENST00000622903_90_90;ENSMUST00000022504_90_90;ENSMUST00000111942_90_90;ENSMUST00000111943_90_90;ENSMUST00000111944_90_90;ENSMUST00000111945_90_90;ENSMUST00000004990_90_90;ENSMUST00000062694_90_90;ENSMUST00000114752_90_90;ENSMUST00000114754_90_90;ENSMUST00000114758_90_90;ENSMUST00000124886_90_90
ENSMUST00000022504_90_90;0.705;0.887;0.713;0.48;0.994;0.886;0.787;0.888;0.994;0.332;0.226;0.333;0.477;0.409;0.526;0.332;0.307;0.21;0.389;0.389;1.0;0.715;0.892;0.894;0.792;0.565;0.565;0.395;0.395;0.748;0.594
ENSMUST00000111942_90_90;0.567;0.801;0.998;0.665;0.717;0.805;0.804;0.716;0.717;0.459;0.314;0.462;0.441;0.446;0.494;0.274;0.405;0.291;0.54;0.54;0.715;1.0;0.802;0.715;0.802;0.495;0.475;0.296;0.296;0.64;0.746
ENSMUST00000111943_90_90;0.705;0.994;0.801;0.533;0.886;0.993;0.877;0.787;0.886;0.369;0.252;0.37;0.52;0.444;0.579;0.362;0.342;0.234;0.434;0.434;0.892;0.802;1.0;0.792;0.882;0.563;0.563;0.393;0.393;0.744;0.591
ENSMUST00000111944_90_90;0.647;0.838;0.713;0.48;0.889;0.787;0.887;0.995;0.889;0.332;0.226;0.333;0.438;0.371;0.483;0.292;0.313;0.22;0.409;0.409;0.894;0.715;0.792;1.0;0.892;0.518;0.518;0.347;0.347;0.686;0.633
ENSMUST00000111945_90_90;0.647;0.94;0.801;0.533;0.787;0.877;0.994;0.887;0.787;0.369;0.252;0.37;0.477;0.403;0.531;0.319;0.351;0.247;0.459;0.459;0.792;0.802;0.882;0.892;1.0;0.516;0.516;0.346;0.346;0.683;0.629
ENSMUST00000004990_90_90;0.92;0.566;0.495;0.561;0.567;0.564;0.518;0.52;0.567;0.389;0.267;0.391;0.86;0.899;0.723;0.664;0.369;0.243;0.456;0.456;0.565;0.495;0.563;0.518;0.516;1.0;0.862;0.663;0.663;0.598;0.565
ENSMUST00000062694_90_90;0.994;0.566;0.475;0.561;0.561;0.558;0.512;0.514;0.561;0.389;0.267;0.391;0.998;0.899;0.851;0.788;0.369;0.243;0.456;0.456;0.565;0.475;0.563;0.518;0.516;0.862;1.0;0.786;0.786;0.698;0.565
ENSMUST00000114752_90_90;0.783;0.396;0.296;0.35;0.39;0.389;0.342;0.344;0.39;0.177;0.341;0.179;0.786;0.693;0.639;1.0;0.469;0.071;0.244;0.244;0.395;0.296;0.393;0.347;0.346;0.663;0.786;1.0;1.0;0.486;0.351
ENSMUST00000114754_90_90;0.783;0.396;0.296;0.35;0.39;0.389;0.342;0.344;0.39;0.177;0.341;0.179;0.786;0.693;0.639;1.0;0.469;0.071;0.244;0.244;0.395;0.296;0.393;0.347;0.346;0.663;0.786;1.0;1.0;0.486;0.351
ENSMUST00000114758_90_90;0.703;0.749;0.64;0.775;0.742;0.738;0.678;0.681;0.742;0.537;0.37;0.539;0.696;0.606;0.815;0.487;0.516;0.339;0.637;0.637;0.748;0.64;0.744;0.686;0.683;0.598;0.698;0.486;0.486;1.0;0.788
ENSMUST00000124886_90_90;0.562;0.588;0.746;0.984;0.597;0.594;0.633;0.636;0.597;0.681;0.47;0.685;0.563;0.59;0.66;0.352;0.604;0.43;0.808;0.808;0.594;0.746;0.591;0.633;0.629;0.565;0.565;0.351;0.351;0.788;1.0
