;transcript14_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript22_ENSMLUG00000027828;transcript9_ENSMLUG00000027828;transcript7_ENSCCNG00000000226;transcript26_ENSCCNG00000000226;transcript24_ENSCCNG00000000226;transcript32_ENSCPOG00000024843;transcript10_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript12_ENSECAG00000007947;transcript18_ENSCCNG00000000226;transcript9_ENSCCNG00000000226;transcript7_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript17_ENSMPUG00000020072;transcript20_ENSMPUG00000020072;transcript23_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript7_ENSCPOG00000024843;transcript17_ENSCPOG00000024843;transcript33_ENSCPOG00000024843;transcript18_ENSCPOG00000024843;transcript24_ENSCPOG00000024843;transcript9_ENSCPOG00000024843;transcript7_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript17_ENSSTOG00000019743;transcript9_ENSSTOG00000019743
transcript12_ENSECAG00000007947;0.821;0.877;0.682;0.053;0.497;0.801;0.785;0.73;0.995;1.0;1.0;0.688;0.051;0.499;0.878;0.882;0.882;0.826;0.864;0.795;0.695;0.526;0.916;0.916;0.729;0.832;0.056;0.471;0.766;0.824;0.05
transcript18_ENSCCNG00000000226;0.632;0.681;0.486;0.063;0.698;0.698;0.676;0.52;0.692;0.688;0.688;1.0;0.07;0.633;0.695;0.69;0.69;0.635;0.703;0.601;0.498;0.661;0.708;0.708;0.915;0.622;0.07;0.597;0.599;0.664;0.065
transcript9_ENSCCNG00000000226;0.052;0.049;0.065;0.826;0.1;0.059;0.061;0.064;0.051;0.051;0.051;0.07;1.0;0.094;0.051;0.051;0.051;0.055;0.052;0.058;0.066;0.093;0.05;0.05;0.064;0.055;0.913;0.097;0.057;0.052;0.907
transcript7_ENSMPUG00000020072;0.508;0.481;0.369;0.094;0.89;0.539;0.401;0.392;0.496;0.499;0.499;0.633;0.094;1.0;0.541;0.544;0.544;0.58;0.555;0.432;0.422;0.932;0.498;0.498;0.643;0.395;0.101;0.835;0.513;0.474;0.092
transcript10_ENSMPUG00000020072;0.819;0.862;0.67;0.051;0.493;0.818;0.786;0.731;0.883;0.878;0.878;0.695;0.051;0.541;1.0;0.995;0.995;0.933;0.976;0.879;0.773;0.52;0.92;0.92;0.728;0.814;0.055;0.468;0.776;0.839;0.05
transcript17_ENSMPUG00000020072;0.814;0.866;0.673;0.051;0.496;0.813;0.782;0.729;0.878;0.882;0.882;0.69;0.051;0.544;0.995;1.0;1.0;0.938;0.981;0.884;0.777;0.523;0.915;0.915;0.723;0.809;0.055;0.47;0.771;0.834;0.05
transcript20_ENSMPUG00000020072;0.814;0.866;0.673;0.051;0.496;0.813;0.782;0.729;0.878;0.882;0.882;0.69;0.051;0.544;0.995;1.0;1.0;0.938;0.981;0.884;0.777;0.523;0.915;0.915;0.723;0.809;0.055;0.47;0.771;0.834;0.05
transcript23_ENSMPUG00000020072;0.864;0.82;0.624;0.055;0.527;0.759;0.727;0.671;0.822;0.826;0.826;0.635;0.055;0.58;0.933;0.938;0.938;1.0;0.919;0.822;0.715;0.556;0.858;0.858;0.665;0.752;0.059;0.496;0.721;0.785;0.053
transcript25_ENSMPUG00000020072;0.796;0.848;0.654;0.052;0.505;0.797;0.765;0.71;0.86;0.864;0.864;0.703;0.052;0.555;0.976;0.981;0.981;0.919;1.0;0.865;0.758;0.533;0.897;0.897;0.737;0.791;0.056;0.479;0.753;0.816;0.051
transcript24_ENSMPUG00000020072;0.728;0.782;0.584;0.058;0.406;0.726;0.877;0.62;0.791;0.795;0.795;0.601;0.058;0.432;0.879;0.884;0.884;0.822;0.865;1.0;0.661;0.415;0.809;0.809;0.615;0.905;0.062;0.375;0.683;0.747;0.057
transcript22_ENSMPUG00000020072;0.606;0.658;0.855;0.066;0.387;0.624;0.593;0.918;0.692;0.695;0.695;0.498;0.066;0.422;0.773;0.777;0.777;0.715;0.758;0.661;1.0;0.404;0.711;0.711;0.515;0.605;0.071;0.378;0.599;0.664;0.065
transcript7_ENSCPOG00000024843;0.54;0.512;0.383;0.093;0.925;0.564;0.426;0.412;0.523;0.526;0.526;0.661;0.093;0.932;0.52;0.523;0.523;0.556;0.533;0.415;0.404;1.0;0.534;0.534;0.691;0.431;0.102;0.875;0.541;0.499;0.088
transcript17_ENSCPOG00000024843;0.864;0.914;0.689;0.05;0.494;0.836;0.816;0.775;0.921;0.916;0.916;0.708;0.05;0.498;0.92;0.915;0.915;0.858;0.897;0.809;0.711;0.534;1.0;1.0;0.774;0.894;0.054;0.472;0.81;0.882;0.047
transcript33_ENSCPOG00000024843;0.864;0.914;0.689;0.05;0.494;0.836;0.816;0.775;0.921;0.916;0.916;0.708;0.05;0.498;0.92;0.915;0.915;0.858;0.897;0.809;0.711;0.534;1.0;1.0;0.774;0.894;0.054;0.472;0.81;0.882;0.047
transcript18_ENSCPOG00000024843;0.684;0.735;0.503;0.064;0.639;0.651;0.63;0.548;0.733;0.729;0.729;0.915;0.064;0.643;0.728;0.723;0.723;0.665;0.737;0.615;0.515;0.691;0.774;0.774;1.0;0.667;0.07;0.61;0.63;0.704;0.061
transcript24_ENSCPOG00000024843;0.781;0.832;0.603;0.055;0.41;0.753;0.913;0.669;0.837;0.832;0.832;0.622;0.055;0.395;0.814;0.809;0.809;0.752;0.791;0.905;0.605;0.431;0.894;0.894;0.667;1.0;0.061;0.382;0.724;0.797;0.053
transcript9_ENSCPOG00000024843;0.057;0.054;0.071;0.913;0.099;0.059;0.06;0.07;0.056;0.056;0.056;0.07;0.913;0.101;0.055;0.055;0.055;0.059;0.056;0.062;0.071;0.102;0.054;0.054;0.07;0.061;1.0;0.099;0.058;0.053;0.87
transcript7_ENSSTOG00000019743;0.483;0.46;0.359;0.094;0.832;0.509;0.384;0.378;0.469;0.471;0.471;0.597;0.097;0.835;0.468;0.47;0.47;0.496;0.479;0.375;0.378;0.875;0.472;0.472;0.61;0.382;0.099;1.0;0.582;0.535;0.1
transcript26_ENSSTOG00000019743;0.719;0.764;0.573;0.055;0.511;0.834;0.692;0.625;0.771;0.766;0.766;0.599;0.057;0.513;0.776;0.771;0.771;0.721;0.753;0.683;0.599;0.541;0.81;0.81;0.63;0.724;0.058;0.582;1.0;0.918;0.058
transcript17_ENSSTOG00000019743;0.793;0.837;0.649;0.051;0.472;0.773;0.756;0.699;0.829;0.824;0.824;0.664;0.052;0.474;0.839;0.834;0.834;0.785;0.816;0.747;0.664;0.499;0.882;0.882;0.704;0.797;0.053;0.535;0.918;1.0;0.053
transcript9_ENSSTOG00000019743;0.052;0.049;0.065;0.864;0.093;0.055;0.056;0.061;0.05;0.05;0.05;0.065;0.907;0.092;0.05;0.05;0.05;0.053;0.051;0.057;0.065;0.088;0.047;0.047;0.061;0.053;0.87;0.1;0.058;0.053;1.0
