;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript20_ENSHGLG00100006079;0.784;0.784;0.997;0.997;0.789;0.997;0.715;0.866;0.644;1.0;1.0;1.0;0.621;0.675;0.994;0.669;0.542;0.938;0.441;0.938;0.463;0.582;0.458;0.869;0.342;0.532;0.641;0.641
transcript21_ENSHGLG00100006079;0.784;0.784;0.997;0.997;0.789;0.997;0.715;0.866;0.644;1.0;1.0;1.0;0.621;0.675;0.994;0.669;0.542;0.938;0.441;0.938;0.463;0.582;0.458;0.869;0.342;0.532;0.641;0.641
transcript22_ENSHGLG00100006079;0.792;0.792;0.619;0.619;0.792;0.619;0.318;0.485;0.416;0.621;0.621;0.621;1.0;0.463;0.671;0.996;0.461;0.716;0.528;0.792;0.558;0.66;0.528;0.996;0.397;0.609;0.414;0.414
transcript0_ENSMUNG00000002391;0.821;0.821;0.943;0.955;0.836;0.955;0.689;0.736;0.989;0.675;0.675;0.675;0.463;1.0;0.681;0.486;0.948;0.629;0.854;0.629;0.812;0.671;0.907;0.523;0.794;0.645;0.992;0.992
transcript21_ENSMUNG00000002391;0.874;0.874;0.997;0.997;0.877;0.997;0.715;0.777;0.671;0.994;0.994;0.994;0.671;0.681;1.0;0.708;0.606;0.952;0.503;0.952;0.524;0.588;0.529;0.875;0.409;0.55;0.674;0.674
transcript22_ENSMUNG00000002391;0.815;0.815;0.706;0.706;0.815;0.706;0.404;0.484;0.459;0.669;0.669;0.669;0.996;0.486;0.708;1.0;0.527;0.752;0.599;0.815;0.626;0.666;0.599;1.0;0.464;0.627;0.481;0.481
transcript8_ENSAPOG00000016134;0.901;0.901;0.855;0.869;0.915;0.869;0.591;0.611;0.949;0.542;0.542;0.542;0.461;0.948;0.606;0.527;1.0;0.558;0.907;0.58;0.853;0.617;0.923;0.48;0.82;0.595;0.958;0.958
transcript10_ENSAPOG00000016134;0.932;0.932;0.949;0.949;0.932;0.949;0.653;0.69;0.561;0.938;0.938;0.938;0.716;0.629;0.952;0.752;0.558;1.0;0.457;0.932;0.477;0.615;0.472;0.844;0.385;0.575;0.579;0.579
transcript12_ENSAPOG00000016134;0.766;0.766;0.727;0.737;0.777;0.737;0.446;0.479;0.857;0.441;0.441;0.441;0.528;0.854;0.503;0.599;0.907;0.457;1.0;0.478;0.944;0.686;1.0;0.537;0.887;0.663;0.868;0.868
transcript17_ENSAPOG00000016134;1.0;1.0;0.949;0.949;1.0;0.949;0.653;0.69;0.561;0.938;0.938;0.938;0.792;0.629;0.952;0.815;0.58;0.932;0.478;1.0;0.5;0.596;0.489;0.887;0.38;0.558;0.579;0.579
transcript20_ENSAPOG00000016134;0.772;0.772;0.732;0.742;0.781;0.742;0.448;0.483;0.798;0.463;0.463;0.463;0.558;0.812;0.524;0.626;0.853;0.477;0.944;0.5;1.0;0.72;0.944;0.565;0.831;0.694;0.818;0.818
transcript7_ENSAPOG00000023408;0.764;0.764;0.752;0.756;0.768;0.756;0.431;0.438;0.555;0.582;0.582;0.582;0.66;0.671;0.588;0.666;0.617;0.615;0.686;0.596;0.72;1.0;0.686;0.647;0.655;0.959;0.607;0.607
transcript12_ENSAPOG00000023408;0.838;0.838;0.827;0.837;0.849;0.837;0.529;0.52;0.908;0.458;0.458;0.458;0.528;0.907;0.529;0.599;0.923;0.472;1.0;0.489;0.944;0.686;1.0;0.537;0.887;0.663;0.912;0.912
transcript22_ENSAPOG00000023408;0.887;0.887;0.873;0.873;0.887;0.873;0.542;0.553;0.45;0.869;0.869;0.869;0.996;0.523;0.875;1.0;0.48;0.844;0.537;0.887;0.565;0.647;0.537;1.0;0.418;0.608;0.472;0.472
transcript23_ENSAPOG00000023408;0.643;0.643;0.635;0.643;0.652;0.643;0.326;0.325;0.798;0.342;0.342;0.342;0.397;0.794;0.409;0.464;0.82;0.385;0.887;0.38;0.831;0.655;0.887;0.418;1.0;0.63;0.81;0.81
transcript24_ENSAPOG00000023408;0.714;0.714;0.702;0.706;0.718;0.706;0.463;0.387;0.529;0.532;0.532;0.532;0.609;0.645;0.55;0.627;0.595;0.575;0.663;0.558;0.694;0.959;0.663;0.608;0.63;1.0;0.585;0.585
transcript0_ENSPNYG00000024266;0.756;0.756;0.939;0.953;0.774;0.953;0.696;0.762;0.996;0.641;0.641;0.641;0.414;0.992;0.674;0.481;0.958;0.579;0.868;0.579;0.818;0.607;0.912;0.472;0.81;0.585;1.0;1.0
transcript0_ENSXMAG00000026005;0.756;0.756;0.939;0.953;0.774;0.953;0.696;0.762;0.996;0.641;0.641;0.641;0.414;0.992;0.674;0.481;0.958;0.579;0.868;0.579;0.818;0.607;0.912;0.472;0.81;0.585;1.0;1.0
