;transcript7_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript32_ENSAPOG00000016134;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript8_ENSAPOG00000023408;transcript27_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript1_ENSAOCG00000015695;transcript8_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript36_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript27_ENSAPOG00000023408;0.995;1.0;0.875;0.977;0.955;0.942;0.956;0.935;0.995;0.904;1.0;0.837;0.875;0.873;0.814;0.747;0.875;0.965;0.898;1.0;0.979;0.944;0.956;0.935;0.965
transcript30_ENSAPOG00000023408;0.833;0.837;0.926;0.819;0.852;0.885;0.873;0.878;0.833;0.84;0.837;1.0;0.926;0.928;0.861;0.789;0.925;0.809;0.836;0.837;0.852;0.86;0.87;0.875;0.809
transcript32_ENSAPOG00000023408;0.871;0.875;1.0;0.855;0.892;0.929;0.915;0.921;0.871;0.88;0.875;0.926;1.0;0.987;0.93;0.853;0.999;0.844;0.876;0.875;0.892;0.9;0.912;0.918;0.844
transcript40_ENSAPOG00000023408;0.868;0.873;0.987;0.853;0.889;0.926;0.913;0.918;0.868;0.878;0.873;0.928;0.987;1.0;0.921;0.844;0.986;0.842;0.874;0.873;0.889;0.898;0.91;0.915;0.842
transcript41_ENSAPOG00000023408;0.809;0.814;0.93;0.796;0.829;0.864;0.851;0.856;0.809;0.816;0.814;0.861;0.93;0.921;1.0;0.917;0.929;0.785;0.811;0.814;0.829;0.837;0.848;0.853;0.785
transcript42_ENSAPOG00000023408;0.742;0.747;0.853;0.73;0.761;0.792;0.781;0.784;0.742;0.745;0.747;0.789;0.853;0.844;0.917;1.0;0.852;0.72;0.75;0.747;0.761;0.768;0.778;0.781;0.72
transcript43_ENSAPOG00000023408;0.87;0.875;0.999;0.855;0.891;0.928;0.914;0.92;0.87;0.88;0.875;0.925;0.999;0.986;0.929;0.852;1.0;0.844;0.875;0.875;0.891;0.9;0.911;0.917;0.844
transcript1_ENSAOCG00000015695;0.96;0.965;0.844;0.944;0.922;0.909;0.923;0.902;0.96;0.873;0.965;0.809;0.844;0.842;0.785;0.72;0.844;1.0;0.866;0.965;0.945;0.912;0.923;0.902;0.956
transcript8_ENSAOCG00000015695;0.893;0.898;0.876;0.877;0.915;0.924;0.939;0.916;0.893;0.992;0.898;0.836;0.876;0.874;0.811;0.75;0.875;0.866;1.0;0.898;0.916;0.93;0.939;0.917;0.866
transcript25_ENSAOCG00000015695;0.995;1.0;0.875;0.977;0.955;0.942;0.956;0.935;0.995;0.904;1.0;0.837;0.875;0.873;0.814;0.747;0.875;0.965;0.898;1.0;0.979;0.944;0.956;0.935;0.965
transcript26_ENSAOCG00000015695;0.974;0.979;0.892;0.956;0.95;0.96;0.975;0.953;0.974;0.923;0.979;0.852;0.892;0.889;0.829;0.761;0.891;0.945;0.916;0.979;1.0;0.964;0.976;0.955;0.944
transcript36_ENSAOCG00000015695;0.94;0.944;0.9;0.923;0.959;0.97;0.984;0.962;0.94;0.937;0.944;0.86;0.9;0.898;0.837;0.768;0.9;0.912;0.93;0.944;0.964;1.0;0.987;0.965;0.912
transcript37_ENSAOCG00000015695;0.952;0.956;0.912;0.935;0.971;0.982;0.997;0.974;0.952;0.945;0.956;0.87;0.912;0.91;0.848;0.778;0.911;0.923;0.939;0.956;0.976;0.987;1.0;0.978;0.923
transcript38_ENSAOCG00000015695;0.931;0.935;0.918;0.914;0.95;0.989;0.975;0.996;0.931;0.924;0.935;0.875;0.918;0.915;0.853;0.781;0.917;0.902;0.917;0.935;0.955;0.965;0.978;1.0;0.902
transcript22_ENSPNYG00000024266;0.96;0.965;0.844;0.987;0.922;0.909;0.923;0.902;0.96;0.873;0.965;0.809;0.844;0.842;0.785;0.72;0.844;0.956;0.866;0.965;0.944;0.912;0.923;0.902;1.0
