;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript17_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391;transcript22_ENSMUNG00000002391;transcript8_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript12_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript20_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript24_ENSAPOG00000023408;transcript0_ENSPNYG00000024266;transcript0_ENSXMAG00000026005
transcript20_ENSHGLG00100006079;0.741;0.741;0.925;0.925;0.741;0.925;0.615;0.859;0.603;1.0;1.0;1.0;0.621;0.566;0.851;0.584;0.456;0.741;0.367;0.741;0.38;0.392;0.367;0.584;0.278;0.364;0.569;0.569
transcript21_ENSHGLG00100006079;0.741;0.741;0.925;0.925;0.741;0.925;0.615;0.859;0.603;1.0;1.0;1.0;0.621;0.566;0.851;0.584;0.456;0.741;0.367;0.741;0.38;0.392;0.367;0.584;0.278;0.364;0.569;0.569
transcript22_ENSHGLG00100006079;0.705;0.705;0.584;0.584;0.705;0.584;0.274;0.481;0.386;0.621;0.621;0.621;1.0;0.404;0.621;0.871;0.403;0.649;0.455;0.705;0.476;0.523;0.455;0.871;0.343;0.482;0.367;0.367
transcript0_ENSMUNG00000002391;0.564;0.564;0.612;0.612;0.564;0.612;0.399;0.487;0.814;0.566;0.566;0.566;0.404;1.0;0.639;0.455;0.835;0.564;0.746;0.564;0.722;0.611;0.746;0.455;0.652;0.587;0.879;0.879
transcript21_ENSMUNG00000002391;0.874;0.874;0.925;0.925;0.874;0.925;0.615;0.726;0.54;0.851;0.851;0.851;0.621;0.639;1.0;0.708;0.509;0.874;0.42;0.874;0.438;0.478;0.42;0.708;0.327;0.447;0.569;0.569
transcript22_ENSMUNG00000002391;0.815;0.815;0.658;0.658;0.815;0.658;0.347;0.459;0.374;0.584;0.584;0.584;0.871;0.455;0.708;1.0;0.452;0.752;0.506;0.815;0.531;0.614;0.506;1.0;0.393;0.573;0.407;0.407
transcript8_ENSAPOG00000016134;0.538;0.538;0.495;0.495;0.538;0.495;0.288;0.385;0.821;0.456;0.456;0.456;0.403;0.835;0.509;0.452;1.0;0.516;0.907;0.538;0.853;0.608;0.907;0.452;0.806;0.584;0.887;0.887
transcript10_ENSAPOG00000016134;0.932;0.932;0.816;0.816;0.932;0.816;0.505;0.616;0.477;0.741;0.741;0.741;0.649;0.564;0.874;0.752;0.516;1.0;0.425;0.932;0.444;0.53;0.425;0.752;0.346;0.494;0.508;0.508
transcript12_ENSAPOG00000016134;0.446;0.446;0.407;0.407;0.446;0.407;0.201;0.297;0.734;0.367;0.367;0.367;0.455;0.746;0.42;0.506;0.907;0.425;1.0;0.446;0.944;0.683;1.0;0.506;0.887;0.657;0.799;0.799
transcript17_ENSAPOG00000016134;1.0;1.0;0.816;0.816;1.0;0.816;0.505;0.616;0.477;0.741;0.741;0.741;0.705;0.564;0.874;0.815;0.538;0.932;0.446;1.0;0.468;0.53;0.446;0.815;0.346;0.494;0.508;0.508
transcript20_ENSAPOG00000016134;0.468;0.468;0.422;0.422;0.468;0.422;0.212;0.305;0.69;0.38;0.38;0.38;0.476;0.722;0.438;0.531;0.853;0.444;0.944;0.468;1.0;0.717;0.944;0.531;0.831;0.688;0.756;0.756
transcript7_ENSAPOG00000023408;0.53;0.53;0.452;0.452;0.53;0.452;0.219;0.292;0.485;0.392;0.392;0.392;0.523;0.611;0.478;0.614;0.608;0.53;0.683;0.53;0.717;1.0;0.683;0.614;0.652;0.955;0.551;0.551
transcript12_ENSAPOG00000023408;0.446;0.446;0.407;0.407;0.446;0.407;0.201;0.297;0.734;0.367;0.367;0.367;0.455;0.746;0.42;0.506;0.907;0.425;1.0;0.446;0.944;0.683;1.0;0.506;0.887;0.657;0.799;0.799
transcript22_ENSAPOG00000023408;0.815;0.815;0.658;0.658;0.815;0.658;0.347;0.459;0.374;0.584;0.584;0.584;0.871;0.455;0.708;1.0;0.452;0.752;0.506;0.815;0.531;0.614;0.506;1.0;0.393;0.573;0.407;0.407
transcript23_ENSAPOG00000023408;0.346;0.346;0.317;0.317;0.346;0.317;0.11;0.206;0.643;0.278;0.278;0.278;0.343;0.652;0.327;0.393;0.806;0.346;0.887;0.346;0.831;0.652;0.887;0.393;1.0;0.624;0.709;0.709
transcript24_ENSAPOG00000023408;0.494;0.494;0.423;0.423;0.494;0.423;0.226;0.265;0.464;0.364;0.364;0.364;0.482;0.587;0.447;0.573;0.584;0.494;0.657;0.494;0.688;0.955;0.657;0.573;0.624;1.0;0.53;0.53
transcript0_ENSPNYG00000024266;0.508;0.508;0.608;0.608;0.508;0.608;0.401;0.497;0.934;0.569;0.569;0.569;0.367;0.879;0.569;0.407;0.887;0.508;0.799;0.508;0.756;0.551;0.799;0.407;0.709;0.53;1.0;1.0
transcript0_ENSXMAG00000026005;0.508;0.508;0.608;0.608;0.508;0.608;0.401;0.497;0.934;0.569;0.569;0.569;0.367;0.879;0.569;0.407;0.887;0.508;0.799;0.508;0.756;0.551;0.799;0.407;0.709;0.53;1.0;1.0
