;transcript7_ENSMPUG00000020072;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript10_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript17_ENSMPUG00000020072;transcript17_ENSECAG00000007947;transcript17_ENSSTOG00000019743;transcript17_ENSCPOG00000024843;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript22_ENSMLUG00000027828;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript24_ENSCCNG00000000226;transcript24_ENSCPOG00000024843;transcript25_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript9_ENSCCNG00000000226;transcript9_ENSCPOG00000024843;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript18_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript20_ENSMPUG00000020072;0.518;0.41;0.446;0.455;0.994;0.839;1.0;0.843;0.801;0.889;1.0;0.773;0.632;0.946;0.893;0.757;0.778;0.982;0.843;0.041;0.04;0.04;0.046;0.826;0.791;0.735;0.756;0.636;0.686;0.699;0.889
transcript22_ENSMPUG00000020072;0.667;0.305;0.334;0.488;0.769;0.655;0.773;0.658;0.633;0.687;0.773;1.0;0.619;0.818;0.862;0.675;0.705;0.754;0.658;0.053;0.045;0.052;0.059;0.645;0.664;0.564;0.582;0.457;0.729;0.744;0.687
transcript22_ENSMLUG00000027828;0.458;0.417;0.39;0.435;0.629;0.635;0.632;0.639;0.685;0.649;0.632;0.619;1.0;0.653;0.61;0.645;0.563;0.617;0.639;0.064;0.059;0.057;0.063;0.732;0.764;0.595;0.558;0.447;0.601;0.611;0.649
transcript23_ENSMPUG00000020072;0.547;0.422;0.462;0.468;0.94;0.791;0.946;0.795;0.758;0.839;0.946;0.818;0.653;1.0;0.942;0.789;0.744;0.927;0.795;0.043;0.041;0.042;0.049;0.789;0.809;0.692;0.716;0.595;0.705;0.719;0.839
transcript24_ENSMPUG00000020072;0.579;0.382;0.415;0.495;0.887;0.754;0.893;0.758;0.724;0.792;0.893;0.862;0.61;0.942;1.0;0.765;0.782;0.873;0.758;0.046;0.04;0.044;0.051;0.752;0.77;0.657;0.675;0.553;0.744;0.758;0.792
transcript24_ENSCCNG00000000226;0.473;0.437;0.532;0.496;0.753;0.769;0.757;0.773;0.726;0.786;0.757;0.675;0.645;0.789;0.765;1.0;0.74;0.742;0.773;0.046;0.042;0.052;0.05;0.764;0.795;0.659;0.808;0.66;0.73;0.736;0.786
transcript24_ENSCPOG00000024843;0.465;0.335;0.365;0.541;0.783;0.802;0.778;0.797;0.766;0.889;0.778;0.705;0.563;0.744;0.782;0.74;1.0;0.761;0.797;0.046;0.04;0.045;0.053;0.802;0.765;0.684;0.719;0.588;0.835;0.855;0.889
transcript25_ENSMPUG00000020072;0.516;0.418;0.454;0.438;0.976;0.822;0.982;0.826;0.783;0.871;0.982;0.754;0.617;0.927;0.873;0.742;0.761;1.0;0.826;0.041;0.04;0.041;0.046;0.811;0.776;0.718;0.742;0.647;0.669;0.681;0.871
transcript12_ENSECAG00000007947;0.462;0.433;0.478;0.482;0.842;0.994;0.843;1.0;0.802;0.881;0.843;0.658;0.639;0.795;0.758;0.773;0.797;0.826;1.0;0.045;0.042;0.044;0.05;0.842;0.803;0.746;0.783;0.669;0.694;0.709;0.881
transcript9_ENSMLUG00000027828;0.078;0.087;0.08;0.084;0.04;0.044;0.041;0.045;0.043;0.042;0.041;0.053;0.064;0.043;0.046;0.046;0.046;0.041;0.045;1.0;0.723;0.652;0.732;0.046;0.049;0.049;0.045;0.054;0.054;0.054;0.042
transcript9_ENSSTOG00000019743;0.067;0.09;0.076;0.071;0.038;0.042;0.04;0.042;0.045;0.038;0.04;0.045;0.059;0.041;0.04;0.042;0.04;0.04;0.042;0.723;1.0;0.659;0.69;0.043;0.045;0.05;0.043;0.052;0.046;0.046;0.038
transcript9_ENSCCNG00000000226;0.075;0.081;0.089;0.082;0.04;0.043;0.04;0.044;0.04;0.041;0.04;0.052;0.057;0.042;0.044;0.052;0.045;0.041;0.044;0.652;0.659;1.0;0.73;0.042;0.044;0.045;0.051;0.06;0.053;0.053;0.041
transcript9_ENSCPOG00000024843;0.087;0.086;0.086;0.097;0.045;0.05;0.046;0.05;0.043;0.048;0.046;0.059;0.063;0.049;0.051;0.05;0.053;0.046;0.05;0.732;0.69;0.73;1.0;0.046;0.049;0.048;0.049;0.059;0.062;0.062;0.048
transcript13_ENSMLUG00000027828;0.453;0.459;0.446;0.444;0.825;0.838;0.826;0.842;0.892;0.883;0.826;0.645;0.732;0.789;0.752;0.764;0.802;0.811;0.842;0.046;0.043;0.042;0.046;1.0;0.958;0.805;0.754;0.65;0.692;0.697;0.883
transcript14_ENSMLUG00000027828;0.466;0.48;0.465;0.447;0.79;0.799;0.791;0.803;0.852;0.847;0.791;0.664;0.764;0.809;0.77;0.795;0.765;0.776;0.803;0.049;0.045;0.044;0.049;0.958;1.0;0.766;0.716;0.611;0.697;0.703;0.847
transcript26_ENSSTOG00000019743;0.426;0.549;0.476;0.484;0.734;0.742;0.735;0.746;0.903;0.768;0.735;0.564;0.595;0.692;0.657;0.659;0.684;0.718;0.746;0.049;0.05;0.045;0.048;0.805;0.766;1.0;0.675;0.554;0.591;0.596;0.768
transcript26_ENSCCNG00000000226;0.415;0.456;0.558;0.431;0.762;0.788;0.756;0.783;0.732;0.793;0.756;0.582;0.558;0.716;0.675;0.808;0.719;0.742;0.783;0.045;0.043;0.051;0.049;0.754;0.716;0.675;1.0;0.819;0.639;0.639;0.793
transcript18_ENSCCNG00000000226;0.38;0.54;0.668;0.364;0.641;0.675;0.636;0.669;0.623;0.666;0.636;0.457;0.447;0.595;0.553;0.66;0.588;0.647;0.669;0.054;0.052;0.06;0.059;0.65;0.611;0.554;0.819;1.0;0.51;0.504;0.666
transcript18_ENSCPOG00000024843;0.475;0.3;0.34;0.649;0.685;0.694;0.686;0.694;0.673;0.744;0.686;0.729;0.601;0.705;0.744;0.73;0.835;0.669;0.694;0.054;0.046;0.053;0.062;0.692;0.697;0.591;0.639;0.51;1.0;0.968;0.744
transcript32_ENSCPOG00000024843;0.481;0.299;0.339;0.633;0.698;0.708;0.699;0.709;0.678;0.76;0.699;0.744;0.611;0.719;0.758;0.736;0.855;0.681;0.709;0.054;0.046;0.053;0.062;0.697;0.703;0.596;0.639;0.504;0.968;1.0;0.76
transcript33_ENSCPOG00000024843;0.461;0.423;0.448;0.482;0.893;0.886;0.889;0.881;0.847;1.0;0.889;0.687;0.649;0.839;0.792;0.786;0.889;0.871;0.881;0.042;0.038;0.041;0.048;0.883;0.847;0.768;0.793;0.666;0.744;0.76;1.0
