;transcript24_ENSPEMG00000024651;transcript15_ENSPEMG00000024651;transcript22_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript29_ENSCGRG00001010245;transcript43_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript38_ENSCGRG00001010245;transcript7_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript33_ENSCGRG00015005362;transcript42_ENSCGRG00000018457;transcript14_ENSSTOG00000019743;transcript12_ENSSTOG00000019743;transcript5_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript20_ENSNGAG00000018584;transcript17_ENSNGAG00000018584;transcript37_MGP-PahariEiJ-G0020237;transcript36_MGP-PahariEiJ-G0020237;transcript38_MGP-PahariEiJ-G0020237;transcript5_ENSNGAG00000018584
transcript22_ENSCGRG00000018457;0.943;0.943;0.974;0.972;0.964;0.975;0.293;0.128;0.89;1.0;1.0;1.0;1.0;0.919;0.981;0.99;0.99;0.99;0.911;0.716;1.0;0.909;0.908;0.716;0.716;0.334;0.938
transcript26_ENSCGRG00000018457;0.943;0.943;0.974;0.972;0.964;0.975;0.293;0.128;0.89;1.0;1.0;1.0;1.0;0.919;0.981;0.99;0.99;0.99;0.911;0.716;1.0;0.909;0.908;0.716;0.716;0.334;0.938
transcript26_ENSCGRG00001010245;0.93;0.93;0.974;0.972;0.952;0.975;0.293;0.128;0.879;1.0;1.0;1.0;1.0;0.919;0.981;0.977;0.977;0.977;0.9;0.716;1.0;0.9;0.895;0.716;0.716;0.334;0.925
transcript33_ENSCGRG00015005362;0.879;0.879;0.91;0.907;0.885;0.894;0.32;0.14;0.961;0.919;0.919;0.919;0.919;1.0;0.9;0.909;0.909;0.909;0.831;0.716;1.0;0.815;0.815;0.716;0.716;0.334;0.845
transcript42_ENSCGRG00000018457;0.924;0.924;0.957;0.954;0.946;0.956;0.299;0.131;0.871;0.981;0.981;0.981;0.981;0.9;1.0;0.97;0.97;0.97;0.893;0.716;1.0;0.892;0.892;0.716;0.716;0.334;0.921
transcript14_ENSSTOG00000019743;0.953;0.953;0.952;0.95;0.976;0.964;0.285;0.124;0.902;0.99;0.99;0.99;0.977;0.909;0.97;1.0;1.0;1.0;0.923;0.716;1.0;0.911;0.916;0.716;0.716;0.334;0.946
transcript12_ENSSTOG00000019743;0.953;0.953;0.952;0.95;0.976;0.964;0.285;0.124;0.902;0.99;0.99;0.99;0.977;0.909;0.97;1.0;1.0;1.0;0.923;0.716;1.0;0.911;0.916;0.716;0.716;0.334;0.946
transcript5_ENSSTOG00000019743;0.953;0.953;0.952;0.95;0.976;0.964;0.285;0.124;0.902;0.99;0.99;0.99;0.977;0.909;0.97;1.0;1.0;1.0;0.923;0.716;1.0;0.911;0.916;0.716;0.716;0.334;0.946
transcript13_ENSSTOG00000019743;0.881;0.881;0.88;0.878;0.899;0.887;0.203;0.038;0.825;0.911;0.911;0.911;0.9;0.831;0.893;0.923;0.923;0.923;1.0;0.506;0.706;0.847;0.853;0.506;0.506;0.103;0.878
transcript8_MGP-PahariEiJ-G0020237;0.716;0.716;0.708;0.708;0.716;0.716;0.996;0.51;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.506;1.0;0.996;0.61;0.61;1.0;1.0;0.709;0.688
transcript8_ENSRNOG00000031503;0.971;0.971;0.971;0.971;1.0;1.0;1.0;0.525;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.706;0.996;1.0;0.786;0.786;0.996;0.996;0.713;0.909
transcript20_ENSNGAG00000018584;0.873;0.873;0.879;0.877;0.883;0.88;0.24;0.084;0.795;0.909;0.909;0.909;0.9;0.815;0.892;0.911;0.911;0.911;0.847;0.61;0.786;1.0;0.994;0.61;0.61;0.23;0.964
transcript17_ENSNGAG00000018584;0.877;0.877;0.875;0.872;0.888;0.88;0.239;0.083;0.8;0.908;0.908;0.908;0.895;0.815;0.892;0.916;0.916;0.916;0.853;0.61;0.786;0.994;1.0;0.61;0.61;0.23;0.969
transcript37_MGP-PahariEiJ-G0020237;0.716;0.716;0.708;0.708;0.716;0.716;0.996;0.51;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.506;1.0;0.996;0.61;0.61;1.0;1.0;0.709;0.688
transcript36_MGP-PahariEiJ-G0020237;0.716;0.716;0.708;0.708;0.716;0.716;0.996;0.51;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.716;0.506;1.0;0.996;0.61;0.61;1.0;1.0;0.709;0.688
transcript38_MGP-PahariEiJ-G0020237;0.337;0.337;0.331;0.331;0.334;0.334;0.701;0.992;0.334;0.334;0.334;0.334;0.334;0.334;0.334;0.334;0.334;0.334;0.103;0.709;0.713;0.23;0.23;0.709;0.709;1.0;0.318
transcript5_ENSNGAG00000018584;0.911;0.911;0.909;0.906;0.918;0.909;0.271;0.116;0.83;0.938;0.938;0.938;0.925;0.845;0.921;0.946;0.946;0.946;0.878;0.688;0.909;0.964;0.969;0.688;0.688;0.318;1.0
