;transcript8_MGP-PahariEiJ-G0020237;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript38_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript26_ENSCGRG00000018457;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript26_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript37_ENSCGRG00001010245;transcript38_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript22_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript37_ENSCGRG00001010245;1.0;1.0;1.0;1.0;1.0;0.937;0.982;0.937;0.937;0.919;0.954;1.0;0.912;0.955;1.0;0.771;0.934;0.933;0.934;0.931;0.908;0.883;0.874;0.939;0.939;0.849;0.939
transcript38_ENSCGRG00001010245;0.405;0.405;0.405;0.405;0.423;0.797;0.751;0.797;0.797;0.778;0.811;0.771;0.775;0.816;0.771;1.0;0.776;0.774;0.776;0.772;0.789;0.763;0.754;0.802;0.802;0.712;0.802
transcript15_ENSPEMG00000024651;1.0;1.0;1.0;1.0;1.0;0.972;0.944;0.972;0.972;0.953;0.961;0.934;0.944;0.962;0.934;0.776;1.0;0.944;1.0;0.942;0.976;0.943;0.935;0.973;0.973;0.883;0.973
transcript22_ENSPEMG00000024651;1.0;1.0;1.0;1.0;1.0;1.0;0.972;1.0;1.0;0.981;0.989;0.933;1.0;0.96;0.933;0.774;0.944;1.0;0.944;0.998;0.973;0.94;0.949;0.971;0.971;0.882;0.971
transcript24_ENSPEMG00000024651;1.0;1.0;1.0;1.0;1.0;0.972;0.944;0.972;0.972;0.953;0.961;0.934;0.944;0.962;0.934;0.776;1.0;0.944;1.0;0.942;0.976;0.943;0.935;0.973;0.973;0.883;0.973
transcript31_ENSPEMG00000024651;1.0;1.0;1.0;1.0;1.0;0.998;0.97;0.998;0.998;0.979;0.987;0.931;0.998;0.958;0.931;0.772;0.942;0.998;0.942;1.0;0.97;0.938;0.946;0.969;0.969;0.88;0.969
transcript5_ENSNGAG00000018584;1.0;1.0;1.0;1.0;1.0;1.0;0.932;1.0;1.0;0.981;0.974;0.908;0.975;0.975;0.908;0.789;0.976;0.973;0.976;0.97;1.0;0.975;0.966;1.0;1.0;0.906;1.0
transcript17_ENSNGAG00000018584;0.913;0.913;0.913;0.913;0.901;0.974;0.906;0.974;0.974;0.955;0.948;0.883;0.949;0.949;0.883;0.763;0.943;0.94;0.943;0.938;0.975;1.0;0.991;0.975;0.975;0.88;0.975
transcript20_ENSNGAG00000018584;0.913;0.913;0.913;0.913;0.901;0.974;0.906;0.974;0.974;0.955;0.948;0.874;0.958;0.94;0.874;0.754;0.935;0.949;0.935;0.946;0.966;0.991;1.0;0.966;0.966;0.871;0.966
transcript5_ENSSTOG00000019743;1.0;1.0;1.0;1.0;1.0;1.0;0.955;1.0;1.0;0.981;0.983;0.939;0.973;0.983;0.939;0.802;0.973;0.971;0.973;0.969;1.0;0.975;0.966;1.0;1.0;0.91;1.0
transcript12_ENSSTOG00000019743;1.0;1.0;1.0;1.0;1.0;1.0;0.955;1.0;1.0;0.981;0.983;0.939;0.973;0.983;0.939;0.802;0.973;0.971;0.973;0.969;1.0;0.975;0.966;1.0;1.0;0.91;1.0
transcript13_ENSSTOG00000019743;0.705;0.705;0.705;0.705;0.697;0.908;0.862;0.908;0.908;0.889;0.89;0.849;0.883;0.893;0.849;0.712;0.883;0.882;0.883;0.88;0.906;0.88;0.871;0.91;0.91;1.0;0.91
transcript14_ENSSTOG00000019743;1.0;1.0;1.0;1.0;1.0;1.0;0.955;1.0;1.0;0.981;0.983;0.939;0.973;0.983;0.939;0.802;0.973;0.971;0.973;0.969;1.0;0.975;0.966;1.0;1.0;0.91;1.0
