nº dataset;true_oos;comp_oos;true_pos;comp_pos;true_orthologs_genes;comp_orthologs_genes;true_paralogs;comp_paralogs;%true_ortho-isoorthologs;%true_para-isoortholgs;%comp_ortho-isoorthologs;%comp_para-isoortholgs
11;[('transcript20_ENSHGLG00100003156', 'transcript20_ENSHGLG00000019563')];[('transcript9_ENSHGLG00100003156', 'transcript20_ENSHGLG00100003156'), ('transcript9_ENSHGLG00100003156', 'transcript20_ENSHGLG00000019563'), ('transcript20_ENSHGLG00100003156', 'transcript20_ENSHGLG00000019563')];[('transcript9_ENSHGLG00100003156', 'transcript9_ENSHGLG00100006079')];[('transcript9_ENSHGLG00100003156', 'transcript9_ENSHGLG00100006079'), ('transcript9_ENSHGLG00100006079', 'transcript20_ENSHGLG00100003156'), ('transcript9_ENSHGLG00100006079', 'transcript20_ENSHGLG00000019563')];1;1;2;2;1.502;0.75;1.502;0.75
12;[('transcript37_ENSMUGG00000013649', 'transcript37_ENSCGRG00001010245'), ('transcript37_ENSMUGG00000013649', 'transcript37_ENSPEMG00000024651'), ('transcript37_ENSMUGG00000013649', 'transcript37_ENSSTOG00000019743'), ('transcript37_ENSMUGG00000013592', 'transcript37_ENSCGRG00001010245'), ('transcript37_ENSMUGG00000013592', 'transcript37_ENSPEMG00000024651'), ('transcript37_ENSMUGG00000013592', 'transcript37_ENSSTOG00000019743'), ('transcript37_ENSCGRG00001010245', 'transcript37_ENSPEMG00000024651'), ('transcript37_ENSCGRG00001010245', 'transcript37_ENSSTOG00000019743'), ('transcript37_ENSPEMG00000024651', 'transcript37_ENSSTOG00000019743'), ('transcript8_ENSCGRG00015005362', 'transcript8_ENSCGRG00000018457'), ('transcript8_ENSCGRG00015005362', 'transcript8_ENSPEMG00000024651'), ('transcript8_ENSCGRG00015005362', 'transcript8_ENSNGAG00000018584'), ('transcript8_ENSCGRG00015005362', 'transcript8_ENSSTOG00000019743'), ('transcript8_ENSCGRG00000018457', 'transcript8_ENSPEMG00000024651'), ('transcript8_ENSCGRG00000018457', 'transcript8_ENSNGAG00000018584'), ('transcript8_ENSCGRG00000018457', 'transcript8_ENSSTOG00000019743'), ('transcript8_ENSPEMG00000024651', 'transcript8_ENSNGAG00000018584'), ('transcript8_ENSPEMG00000024651', 'transcript8_ENSSTOG00000019743'), ('transcript8_ENSNGAG00000018584', 'transcript8_ENSSTOG00000019743'), ('transcript38_ENSRNOG00000031503', 'transcript38_ENSCGRG00015005362'), ('transcript38_ENSRNOG00000031503', 'transcript38_ENSCGRG00000018457'), ('transcript38_ENSRNOG00000031503', 'transcript38_ENSSTOG00000019743'), ('transcript38_ENSCGRG00015005362', 'transcript38_ENSCGRG00000018457'), ('transcript38_ENSCGRG00015005362', 'transcript38_ENSSTOG00000019743'), ('transcript38_ENSCGRG00000018457', 'transcript38_ENSSTOG00000019743'), ('transcript52_ENSCGRG00000018457', 'transcript52_ENSCGRG00001010245'), ('transcript57_ENSPEMG00000024651', 'transcript57_ENSMUGG00000013649'), ('transcript9_ENSCGRG00015005362', 'transcript9_ENSPEMG00000024651'), ('transcript58_ENSPEMG00000024651', 'transcript58_ENSMUGG00000013649'), ('transcript56_ENSCGRG00000018457', 'transcript56_ENSPEMG00000024651'), ('transcript39_ENSPEMG00000024651', 'transcript39_ENSSTOG00000019743'), ('transcript33_ENSPEMG00000024651', 'transcript33_ENSNGAG00000018584'), ('transcript59_ENSPEMG00000024651', 'transcript59_ENSMUGG00000013649')];[('transcript8_ENSCGRG00015005362', 'transcript38_ENSRNOG00000031503'), ('transcript8_ENSCGRG00015005362', 'transcript38_ENSCGRG00015005362'), ('transcript8_ENSCGRG00015005362', 'transcript38_ENSCGRG00000018457'), ('transcript8_ENSCGRG00015005362', 'transcript38_ENSSTOG00000019743'), ('transcript8_ENSCGRG00015005362', 'transcript9_ENSCGRG00015005362'), ('transcript8_ENSCGRG00015005362', 'transcript9_ENSPEMG00000024651'), ('transcript8_ENSCGRG00015005362', 'transcript33_ENSPEMG00000024651'), ('transcript8_ENSCGRG00015005362', 'transcript33_ENSNGAG00000018584'), ('transcript8_ENSCGRG00015005362', 'transcript59_ENSMUGG00000013649'), ('transcript38_ENSRNOG00000031503', 'transcript38_ENSCGRG00015005362'), ('transcript38_ENSRNOG00000031503', 'transcript38_ENSCGRG00000018457'), ('transcript38_ENSRNOG00000031503', 'transcript38_ENSSTOG00000019743'), ('transcript38_ENSRNOG00000031503', 'transcript9_ENSCGRG00015005362'), ('transcript38_ENSRNOG00000031503', 'transcript9_ENSPEMG00000024651'), ('transcript38_ENSRNOG00000031503', 'transcript33_ENSPEMG00000024651'), ('transcript38_ENSRNOG00000031503', 'transcript33_ENSNGAG00000018584'), ('transcript38_ENSRNOG00000031503', 'transcript59_ENSMUGG00000013649'), ('transcript38_ENSCGRG00015005362', 'transcript38_ENSCGRG00000018457'), ('transcript38_ENSCGRG00015005362', 'transcript38_ENSSTOG00000019743'), ('transcript38_ENSCGRG00015005362', 'transcript9_ENSCGRG00015005362'), ('transcript38_ENSCGRG00015005362', 'transcript9_ENSPEMG00000024651'), ('transcript38_ENSCGRG00015005362', 'transcript33_ENSPEMG00000024651'), ('transcript38_ENSCGRG00015005362', 'transcript33_ENSNGAG00000018584'), ('transcript38_ENSCGRG00015005362', 'transcript59_ENSMUGG00000013649'), ('transcript38_ENSCGRG00000018457', 'transcript38_ENSSTOG00000019743'), ('transcript38_ENSCGRG00000018457', 'transcript9_ENSCGRG00015005362'), ('transcript38_ENSCGRG00000018457', 'transcript9_ENSPEMG00000024651'), ('transcript38_ENSCGRG00000018457', 'transcript33_ENSPEMG00000024651'), ('transcript38_ENSCGRG00000018457', 'transcript33_ENSNGAG00000018584'), ('transcript38_ENSCGRG00000018457', 'transcript59_ENSMUGG00000013649'), ('transcript38_ENSSTOG00000019743', 'transcript9_ENSCGRG00015005362'), ('transcript38_ENSSTOG00000019743', 'transcript9_ENSPEMG00000024651'), ('transcript38_ENSSTOG00000019743', 'transcript33_ENSPEMG00000024651'), ('transcript38_ENSSTOG00000019743', 'transcript33_ENSNGAG00000018584'), ('transcript38_ENSSTOG00000019743', 'transcript59_ENSMUGG00000013649'), ('transcript9_ENSCGRG00015005362', 'transcript9_ENSPEMG00000024651'), ('transcript9_ENSCGRG00015005362', 'transcript33_ENSPEMG00000024651'), ('transcript9_ENSCGRG00015005362', 'transcript33_ENSNGAG00000018584'), ('transcript9_ENSCGRG00015005362', 'transcript59_ENSMUGG00000013649'), ('transcript9_ENSPEMG00000024651', 'transcript33_ENSPEMG00000024651'), ('transcript9_ENSPEMG00000024651', 'transcript33_ENSNGAG00000018584'), ('transcript9_ENSPEMG00000024651', 'transcript59_ENSMUGG00000013649'), ('transcript33_ENSPEMG00000024651', 'transcript33_ENSNGAG00000018584'), ('transcript33_ENSPEMG00000024651', 'transcript59_ENSMUGG00000013649'), ('transcript33_ENSNGAG00000018584', 'transcript59_ENSMUGG00000013649'), ('transcript37_ENSMUGG00000013649', 'transcript37_ENSCGRG00001010245'), ('transcript37_ENSMUGG00000013649', 'transcript37_ENSPEMG00000024651'), ('transcript37_ENSMUGG00000013649', 'transcript39_ENSSTOG00000019743'), ('transcript37_ENSMUGG00000013592', 'transcript37_ENSCGRG00001010245'), ('transcript37_ENSMUGG00000013592', 'transcript37_ENSPEMG00000024651'), ('transcript37_ENSMUGG00000013592', 'transcript39_ENSSTOG00000019743'), ('transcript37_ENSCGRG00001010245', 'transcript37_ENSPEMG00000024651'), ('transcript37_ENSCGRG00001010245', 'transcript39_ENSSTOG00000019743'), ('transcript37_ENSPEMG00000024651', 'transcript39_ENSSTOG00000019743'), ('transcript52_ENSCGRG00000018457', 'transcript52_ENSCGRG00001010245'), ('transcript52_ENSCGRG00000018457', 'transcript58_ENSPEMG00000024651'), ('transcript52_ENSCGRG00001010245', 'transcript58_ENSPEMG00000024651'), ('transcript39_ENSPEMG00000024651', 'transcript59_ENSPEMG00000024651')];[('transcript37_ENSMUGG00000013649', 'transcript37_ENSMUGG00000013592')];[('transcript37_ENSMUGG00000013649', 'transcript37_ENSMUGG00000013592')];35;35;1;1;0.999;1.036;1.011;0.607
13;[('transcript52_ENSMUSG00000054036', 'transcript52_MGP-CAROLIEiJ-G0020234'), ('transcript9_MGP-CAROLIEiJ-G0020234', 'transcript9_MGP-PahariEiJ-G0020237')];[('transcript52_ENSMUSG00000054036', 'transcript52_MGP-CAROLIEiJ-G0020234'), ('transcript52_ENSMUSG00000054036', 'transcript9_MGP-CAROLIEiJ-G0020234'), ('transcript52_MGP-CAROLIEiJ-G0020234', 'transcript9_MGP-CAROLIEiJ-G0020234')];[];[];3;3;0;0;1.0;0.0;1.0;0.0
14;[('transcript59_MGP-SPRETEiJ-G0021131', 'transcript59_MGP-CAROLIEiJ-G0020234'), ('transcript50_ENSMSIG00000000513', 'transcript50_MGP-CAROLIEiJ-G0020234'), ('transcript50_ENSMSIG00000000513', 'transcript50_MGP-PahariEiJ-G0020237'), ('transcript50_MGP-CAROLIEiJ-G0020234', 'transcript50_MGP-PahariEiJ-G0020237'), ('transcript7_ENSMSIG00000000513', 'transcript7_MGP-SPRETEiJ-G0021131'), ('transcript7_ENSMSIG00000000513', 'transcript7_ENSMUSG00000054036'), ('transcript7_MGP-SPRETEiJ-G0021131', 'transcript7_ENSMUSG00000054036'), ('transcript60_ENSMSIG00000000513', 'transcript60_MGP-CAROLIEiJ-G0020234'), ('transcript61_MGP-SPRETEiJ-G0021131', 'transcript61_MGP-CAROLIEiJ-G0020234')];[('transcript59_MGP-SPRETEiJ-G0021131', 'transcript59_MGP-CAROLIEiJ-G0020234'), ('transcript59_MGP-SPRETEiJ-G0021131', 'transcript50_ENSMSIG00000000513'), ('transcript59_MGP-SPRETEiJ-G0021131', 'transcript50_MGP-CAROLIEiJ-G0020234'), ('transcript59_MGP-SPRETEiJ-G0021131', 'transcript50_MGP-PahariEiJ-G0020237'), ('transcript59_MGP-SPRETEiJ-G0021131', 'transcript7_ENSMSIG00000000513'), ('transcript59_MGP-SPRETEiJ-G0021131', 'transcript7_ENSMUSG00000054036'), ('transcript59_MGP-SPRETEiJ-G0021131', 'transcript61_MGP-SPRETEiJ-G0021131'), ('transcript59_MGP-SPRETEiJ-G0021131', 'transcript61_MGP-CAROLIEiJ-G0020234'), ('transcript59_MGP-CAROLIEiJ-G0020234', 'transcript50_ENSMSIG00000000513'), ('transcript59_MGP-CAROLIEiJ-G0020234', 'transcript50_MGP-CAROLIEiJ-G0020234'), ('transcript59_MGP-CAROLIEiJ-G0020234', 'transcript50_MGP-PahariEiJ-G0020237'), ('transcript59_MGP-CAROLIEiJ-G0020234', 'transcript7_ENSMSIG00000000513'), ('transcript59_MGP-CAROLIEiJ-G0020234', 'transcript7_ENSMUSG00000054036'), ('transcript59_MGP-CAROLIEiJ-G0020234', 'transcript61_MGP-SPRETEiJ-G0021131'), ('transcript59_MGP-CAROLIEiJ-G0020234', 'transcript61_MGP-CAROLIEiJ-G0020234'), ('transcript50_ENSMSIG00000000513', 'transcript50_MGP-CAROLIEiJ-G0020234'), ('transcript50_ENSMSIG00000000513', 'transcript50_MGP-PahariEiJ-G0020237'), ('transcript50_ENSMSIG00000000513', 'transcript7_ENSMSIG00000000513'), ('transcript50_ENSMSIG00000000513', 'transcript7_ENSMUSG00000054036'), ('transcript50_ENSMSIG00000000513', 'transcript61_MGP-SPRETEiJ-G0021131'), ('transcript50_ENSMSIG00000000513', 'transcript61_MGP-CAROLIEiJ-G0020234'), ('transcript50_MGP-CAROLIEiJ-G0020234', 'transcript50_MGP-PahariEiJ-G0020237'), ('transcript50_MGP-CAROLIEiJ-G0020234', 'transcript7_ENSMSIG00000000513'), ('transcript50_MGP-CAROLIEiJ-G0020234', 'transcript7_ENSMUSG00000054036'), ('transcript50_MGP-CAROLIEiJ-G0020234', 'transcript61_MGP-SPRETEiJ-G0021131'), ('transcript50_MGP-CAROLIEiJ-G0020234', 'transcript61_MGP-CAROLIEiJ-G0020234'), ('transcript50_MGP-PahariEiJ-G0020237', 'transcript7_ENSMSIG00000000513'), ('transcript50_MGP-PahariEiJ-G0020237', 'transcript7_ENSMUSG00000054036'), ('transcript50_MGP-PahariEiJ-G0020237', 'transcript61_MGP-SPRETEiJ-G0021131'), ('transcript50_MGP-PahariEiJ-G0020237', 'transcript61_MGP-CAROLIEiJ-G0020234'), ('transcript7_ENSMSIG00000000513', 'transcript7_ENSMUSG00000054036'), ('transcript7_ENSMSIG00000000513', 'transcript61_MGP-SPRETEiJ-G0021131'), ('transcript7_ENSMSIG00000000513', 'transcript61_MGP-CAROLIEiJ-G0020234'), ('transcript7_ENSMUSG00000054036', 'transcript61_MGP-SPRETEiJ-G0021131'), ('transcript7_ENSMUSG00000054036', 'transcript61_MGP-CAROLIEiJ-G0020234'), ('transcript61_MGP-SPRETEiJ-G0021131', 'transcript61_MGP-CAROLIEiJ-G0020234')];[];[];10;10;0;0;1.0;0.0;1.0;0.0
15;[('transcript7_ENSPNYG00000024266', 'transcript7_ENSAOCG00000015695'), ('transcript7_ENSPNYG00000024266', 'transcript7_ENSXMAG00000026005'), ('transcript7_ENSAOCG00000015695', 'transcript7_ENSXMAG00000026005'), ('transcript0_ENSXMAG00000026005', 'transcript0_ENSPNYG00000024266')];[('transcript7_ENSAOCG00000015695', 'transcript7_ENSXMAG00000026005'), ('transcript7_ENSPNYG00000024266', 'transcript0_ENSXMAG00000026005'), ('transcript7_ENSPNYG00000024266', 'transcript0_ENSPNYG00000024266'), ('transcript0_ENSXMAG00000026005', 'transcript0_ENSPNYG00000024266')];[];[];3;3;0;0;1.0;0.0;1.0;0.0
16;[('transcript22_ENSAPOG00000016134', 'transcript22_ENSPNYG00000024266'), ('transcript22_ENSAPOG00000023408', 'transcript22_ENSPNYG00000024266'), ('transcript12_ENSAOCG00000015695', 'transcript12_ENSPNYG00000024266'), ('transcript12_ENSAOCG00000015695', 'transcript12_ENSXMAG00000026005'), ('transcript12_ENSPNYG00000024266', 'transcript12_ENSXMAG00000026005'), ('transcript19_ENSAPOG00000016134', 'transcript19_ENSAOCG00000015695'), ('transcript19_ENSAPOG00000023408', 'transcript19_ENSAOCG00000015695'), ('transcript27_ENSAPOG00000016134', 'transcript27_ENSAOCG00000015695'), ('transcript28_ENSAPOG00000016134', 'transcript28_ENSAOCG00000015695')];[('transcript12_ENSAOCG00000015695', 'transcript12_ENSPNYG00000024266'), ('transcript12_ENSAOCG00000015695', 'transcript12_ENSXMAG00000026005'), ('transcript12_ENSAOCG00000015695', 'transcript19_ENSAPOG00000016134'), ('transcript12_ENSAOCG00000015695', 'transcript19_ENSAPOG00000023408'), ('transcript12_ENSAOCG00000015695', 'transcript19_ENSAOCG00000015695'), ('transcript12_ENSPNYG00000024266', 'transcript12_ENSXMAG00000026005'), ('transcript12_ENSPNYG00000024266', 'transcript19_ENSAPOG00000016134'), ('transcript12_ENSPNYG00000024266', 'transcript19_ENSAPOG00000023408'), ('transcript12_ENSPNYG00000024266', 'transcript19_ENSAOCG00000015695'), ('transcript12_ENSXMAG00000026005', 'transcript19_ENSAPOG00000016134'), ('transcript12_ENSXMAG00000026005', 'transcript19_ENSAPOG00000023408'), ('transcript12_ENSXMAG00000026005', 'transcript19_ENSAOCG00000015695'), ('transcript19_ENSAPOG00000016134', 'transcript19_ENSAOCG00000015695'), ('transcript19_ENSAPOG00000023408', 'transcript19_ENSAOCG00000015695')];[('transcript22_ENSAPOG00000016134', 'transcript22_ENSAPOG00000023408'), ('transcript19_ENSAPOG00000016134', 'transcript19_ENSAPOG00000023408')];[('transcript19_ENSAPOG00000016134', 'transcript19_ENSAPOG00000023408'), ('transcript22_ENSAPOG00000016134', 'transcript22_ENSAPOG00000023408')];9;9;1;1;0.909;1.82;0.972;1.25
17;[('transcript5_ENSHGLG00100006079', 'transcript5_ENSPCIG00000036398'), ('transcript5_ENSHGLG00100003156', 'transcript5_ENSPCIG00000036398')];[('transcript5_ENSHGLG00100006079', 'transcript5_ENSPCIG00000036398'), ('transcript5_ENSHGLG00100003156', 'transcript5_ENSPCIG00000036398')];[('transcript5_ENSHGLG00100006079', 'transcript5_ENSHGLG00100003156')];[('transcript5_ENSHGLG00100006079', 'transcript5_ENSHGLG00100003156')];2;2;1;1;1.0;1.0;1.0;1.0
18;[('transcript16_ENSAPOG00000016134', 'transcript16_ENSAOCG00000015695'), ('transcript16_ENSAPOG00000023408', 'transcript16_ENSAOCG00000015695')];[('transcript16_ENSAPOG00000016134', 'transcript16_ENSAOCG00000015695'), ('transcript16_ENSAPOG00000023408', 'transcript16_ENSAOCG00000015695')];[('transcript16_ENSAPOG00000016134', 'transcript16_ENSAPOG00000023408')];[('transcript16_ENSAPOG00000016134', 'transcript16_ENSAPOG00000023408')];2;2;1;1;1.0;1.0;1.0;1.0
20;[('transcript8_ENSHGLG00100003156', 'transcript8_ENSHGLG00000019563'), ('transcript19_ENSHGLG00000019563', 'transcript19_ENSPCIG00000036398'), ('transcript16_ENSHGLG00100003156', 'transcript16_ENSHGLG00000019563'), ('transcript2_ENSHGLG00100003156', 'transcript2_ENSPCIG00000036398')];[('transcript19_ENSPCIG00000036398', 'transcript2_ENSHGLG00100003156'), ('transcript19_ENSPCIG00000036398', 'transcript2_ENSPCIG00000036398'), ('transcript2_ENSHGLG00100003156', 'transcript2_ENSPCIG00000036398'), ('transcript16_ENSHGLG00100003156', 'transcript16_ENSHGLG00000019563')];[];[];3;3;0;0;1.0;0.0;1.0;0.0
21;[('transcript3_ENSXMAG00000026005', 'transcript3_ENSPNYG00000024266')];[('transcript19_ENSMUNG00000007775', 'transcript3_ENSXMAG00000026005'), ('transcript19_ENSMUNG00000007775', 'transcript3_ENSPNYG00000024266'), ('transcript19_ENSMUNG00000007775', 'transcript7_ENSMUNG00000007775'), ('transcript19_ENSMUNG00000002377', 'transcript3_ENSXMAG00000026005'), ('transcript19_ENSMUNG00000002377', 'transcript3_ENSPNYG00000024266'), ('transcript19_ENSMUNG00000002377', 'transcript7_ENSMUNG00000002377'), ('transcript3_ENSXMAG00000026005', 'transcript3_ENSPNYG00000024266'), ('transcript3_ENSXMAG00000026005', 'transcript7_ENSMUNG00000002391'), ('transcript3_ENSXMAG00000026005', 'transcript7_ENSMUNG00000007775'), ('transcript3_ENSXMAG00000026005', 'transcript7_ENSMUNG00000002377'), ('transcript3_ENSPNYG00000024266', 'transcript7_ENSMUNG00000002391'), ('transcript3_ENSPNYG00000024266', 'transcript7_ENSMUNG00000007775'), ('transcript3_ENSPNYG00000024266', 'transcript7_ENSMUNG00000002377')];[('transcript19_ENSMUNG00000007775', 'transcript19_ENSMUNG00000002377'), ('transcript7_ENSMUNG00000002391', 'transcript7_ENSMUNG00000007775'), ('transcript7_ENSMUNG00000002391', 'transcript7_ENSMUNG00000002377'), ('transcript7_ENSMUNG00000007775', 'transcript7_ENSMUNG00000002377')];[('transcript19_ENSMUNG00000007775', 'transcript19_ENSMUNG00000002377'), ('transcript19_ENSMUNG00000007775', 'transcript7_ENSMUNG00000002391'), ('transcript19_ENSMUNG00000007775', 'transcript7_ENSMUNG00000002377'), ('transcript19_ENSMUNG00000002377', 'transcript7_ENSMUNG00000002391'), ('transcript19_ENSMUNG00000002377', 'transcript7_ENSMUNG00000007775'), ('transcript7_ENSMUNG00000002391', 'transcript7_ENSMUNG00000007775'), ('transcript7_ENSMUNG00000002391', 'transcript7_ENSMUNG00000002377'), ('transcript7_ENSMUNG00000007775', 'transcript7_ENSMUNG00000002377')];7;7;3;3;0.286;2.667;0.884;1.27
22;[('transcript21_ENSPNYG00000024266', 'transcript21_ENSAPOG00000016134'), ('transcript29_ENSAOCG00000015695', 'transcript29_ENSAPOG00000023408'), ('transcript9_ENSAPOG00000016134', 'transcript9_ENSXMAG00000026005'), ('transcript7_ENSAPOG00000023408', 'transcript7_ENSAOCG00000015695'), ('transcript7_ENSAPOG00000023408', 'transcript7_ENSPNYG00000024266'), ('transcript7_ENSAPOG00000023408', 'transcript7_ENSXMAG00000026005'), ('transcript7_ENSAOCG00000015695', 'transcript7_ENSPNYG00000024266'), ('transcript7_ENSAOCG00000015695', 'transcript7_ENSXMAG00000026005'), ('transcript7_ENSPNYG00000024266', 'transcript7_ENSXMAG00000026005'), ('transcript23_ENSPNYG00000024266', 'transcript23_ENSAPOG00000023408'), ('transcript28_ENSAPOG00000023408', 'transcript28_ENSAOCG00000015695')];[('transcript9_ENSAPOG00000016134', 'transcript7_ENSPNYG00000024266'), ('transcript14_ENSAPOG00000016134', 'transcript9_ENSXMAG00000026005'), ('transcript14_ENSAPOG00000023408', 'transcript9_ENSXMAG00000026005')];[('transcript14_ENSAPOG00000016134', 'transcript14_ENSAPOG00000023408')];[('transcript14_ENSAPOG00000016134', 'transcript14_ENSAPOG00000023408'), ('transcript21_ENSAPOG00000016134', 'transcript23_ENSAPOG00000023408')];9;9;1;1;1.019;0.83;0.667;4.0
23;[('transcript9_ENSHGLG00100006079', 'transcript9_ENSPCIG00000036398'), ('transcript9_ENSHGLG00000019563', 'transcript9_ENSPCIG00000036398')];[('transcript9_ENSHGLG00100006079', 'transcript9_ENSPCIG00000036398'), ('transcript9_ENSHGLG00000019563', 'transcript9_ENSPCIG00000036398')];[('transcript9_ENSHGLG00100006079', 'transcript9_ENSHGLG00000019563')];[('transcript9_ENSHGLG00100006079', 'transcript9_ENSHGLG00000019563')];2;2;1;1;1.0;1.0;1.0;1.0
24;[('transcript29_ENSSTOG00000019743', 'transcript29_ENSCPOG00000024843'), ('transcript1_ENSSTOG00000019743', 'transcript1_ENSCCNG00000000226'), ('transcript1_ENSSTOG00000019743', 'transcript1_ENSMLUG00000027828'), ('transcript1_ENSCCNG00000000226', 'transcript1_ENSMLUG00000027828'), ('transcript30_ENSSTOG00000019743', 'transcript30_ENSCCNG00000000226')];[('transcript29_ENSCPOG00000024843', 'transcript1_ENSSTOG00000019743'), ('transcript29_ENSCPOG00000024843', 'transcript1_ENSCCNG00000000226'), ('transcript29_ENSCPOG00000024843', 'transcript1_ENSMLUG00000027828'), ('transcript29_ENSCPOG00000024843', 'transcript30_ENSCCNG00000000226'), ('transcript1_ENSSTOG00000019743', 'transcript1_ENSCCNG00000000226'), ('transcript1_ENSSTOG00000019743', 'transcript1_ENSMLUG00000027828'), ('transcript1_ENSSTOG00000019743', 'transcript30_ENSCCNG00000000226'), ('transcript1_ENSCCNG00000000226', 'transcript1_ENSMLUG00000027828'), ('transcript1_ENSCCNG00000000226', 'transcript30_ENSCCNG00000000226'), ('transcript1_ENSMLUG00000027828', 'transcript30_ENSCCNG00000000226'), ('transcript29_ENSSTOG00000019743', 'transcript30_ENSSTOG00000019743')];[];[];6;6;0;0;1.0;0.0;1.0;0.0
25;[('transcript8_ENSMPUG00000020072', 'transcript8_ENSECAG00000007947'), ('transcript8_ENSMPUG00000020072', 'transcript8_ENSMLUG00000027828'), ('transcript8_ENSMPUG00000020072', 'transcript8_ENSLAFG00000030854'), ('transcript8_ENSECAG00000007947', 'transcript8_ENSMLUG00000027828'), ('transcript8_ENSECAG00000007947', 'transcript8_ENSLAFG00000030854'), ('transcript8_ENSMLUG00000027828', 'transcript8_ENSLAFG00000030854')];[('transcript8_ENSMPUG00000020072', 'transcript8_ENSMLUG00000027828'), ('transcript8_ENSMPUG00000020072', 'transcript8_ENSLAFG00000030854'), ('transcript8_ENSMLUG00000027828', 'transcript8_ENSLAFG00000030854')];[];[];6;6;0;0;1.0;0.0;1.0;0.0
27;[('transcript47_ENSPEMG00000024651', 'transcript47_ENSMUGG00000013649'), ('transcript47_ENSPEMG00000024651', 'transcript47_ENSRNOG00000031503'), ('transcript47_ENSMUGG00000013649', 'transcript47_ENSRNOG00000031503')];[('transcript47_ENSPEMG00000024651', 'transcript47_ENSMUGG00000013649'), ('transcript47_ENSPEMG00000024651', 'transcript20_ENSMUGG00000013592')];[('transcript20_ENSMUGG00000013649', 'transcript20_ENSMUGG00000013592')];[('transcript47_ENSMUGG00000013649', 'transcript20_ENSMUGG00000013592')];5;5;1;1;0.9;1.497;0.801;1.994
28;[('transcript22_ENSNGAG00000018584', 'transcript22_ENSCGRG00001010245'), ('transcript22_ENSNGAG00000018584', 'transcript22_ENSSTOG00000019743'), ('transcript22_ENSCGRG00001010245', 'transcript22_ENSSTOG00000019743'), ('transcript50_ENSCGRG00015005362', 'transcript50_ENSCGRG00000018457'), ('transcript45_ENSCGRG00000018457', 'transcript45_ENSCGRG00001010245')];[('transcript50_ENSCGRG00015005362', 'transcript50_ENSCGRG00000018457'), ('transcript22_ENSNGAG00000018584', 'transcript22_ENSCGRG00001010245'), ('transcript22_ENSNGAG00000018584', 'transcript22_ENSSTOG00000019743'), ('transcript22_ENSNGAG00000018584', 'transcript45_ENSCGRG00000018457'), ('transcript22_ENSNGAG00000018584', 'transcript45_ENSCGRG00001010245'), ('transcript22_ENSCGRG00001010245', 'transcript22_ENSSTOG00000019743'), ('transcript22_ENSCGRG00001010245', 'transcript45_ENSCGRG00000018457'), ('transcript22_ENSCGRG00001010245', 'transcript45_ENSCGRG00001010245'), ('transcript22_ENSSTOG00000019743', 'transcript45_ENSCGRG00000018457'), ('transcript22_ENSSTOG00000019743', 'transcript45_ENSCGRG00001010245'), ('transcript45_ENSCGRG00000018457', 'transcript45_ENSCGRG00001010245')];[];[];10;10;0;0;1.0;0.0;1.0;0.0
