;transcript7_ENSMPUG00000020072;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript10_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript17_ENSMPUG00000020072;transcript17_ENSECAG00000007947;transcript17_ENSSTOG00000019743;transcript17_ENSCPOG00000024843;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript22_ENSMLUG00000027828;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript24_ENSCCNG00000000226;transcript24_ENSCPOG00000024843;transcript25_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript9_ENSCCNG00000000226;transcript9_ENSCPOG00000024843;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript18_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript20_ENSMPUG00000020072;0.491;0.45;0.48;0.434;0.994;0.993;1.0;0.998;0.998;0.994;1.0;0.77;0.721;0.953;0.902;0.908;0.861;0.982;0.998;0.035;0.034;0.033;0.037;0.998;0.967;0.892;0.897;0.735;0.73;0.746;0.994
transcript22_ENSMPUG00000020072;0.634;0.308;0.329;0.472;0.766;0.759;0.77;0.762;0.77;0.767;0.77;1.0;0.706;0.809;0.847;0.788;0.788;0.752;0.762;0.046;0.038;0.043;0.048;0.763;0.779;0.664;0.669;0.507;0.792;0.812;0.767
transcript22_ENSMLUG00000027828;0.479;0.389;0.386;0.418;0.719;0.717;0.721;0.717;0.724;0.711;0.721;0.706;1.0;0.735;0.683;0.714;0.599;0.702;0.717;0.055;0.054;0.053;0.055;0.709;0.73;0.61;0.622;0.477;0.634;0.651;0.711
transcript23_ENSMPUG00000020072;0.515;0.458;0.491;0.447;0.947;0.942;0.953;0.946;0.949;0.947;0.953;0.809;0.735;1.0;0.942;0.941;0.833;0.934;0.946;0.037;0.036;0.035;0.039;0.956;0.971;0.843;0.852;0.69;0.751;0.768;0.947
transcript24_ENSMPUG00000020072;0.542;0.408;0.436;0.474;0.896;0.896;0.902;0.9;0.904;0.898;0.902;0.847;0.683;0.942;1.0;0.917;0.88;0.883;0.9;0.039;0.032;0.037;0.041;0.909;0.923;0.799;0.803;0.641;0.795;0.813;0.898
transcript24_ENSCCNG00000000226;0.512;0.468;0.486;0.475;0.901;0.897;0.908;0.904;0.905;0.901;0.908;0.788;0.714;0.941;0.917;1.0;0.834;0.889;0.904;0.039;0.036;0.042;0.04;0.917;0.948;0.797;0.8;0.644;0.776;0.785;0.901
transcript24_ENSCPOG00000024843;0.492;0.343;0.368;0.49;0.867;0.886;0.861;0.879;0.883;0.885;0.861;0.788;0.599;0.833;0.88;0.834;1.0;0.843;0.879;0.044;0.037;0.042;0.046;0.888;0.86;0.774;0.792;0.637;0.811;0.842;0.885
transcript25_ENSMPUG00000020072;0.488;0.46;0.489;0.416;0.976;0.972;0.982;0.977;0.975;0.976;0.982;0.752;0.702;0.934;0.883;0.889;0.843;1.0;0.977;0.036;0.035;0.034;0.038;0.979;0.948;0.87;0.878;0.749;0.711;0.727;0.976
transcript12_ENSECAG00000007947;0.492;0.475;0.502;0.459;0.995;0.994;0.998;1.0;1.0;0.994;0.998;0.762;0.717;0.946;0.9;0.904;0.879;0.977;1.0;0.042;0.04;0.04;0.044;1.0;0.967;0.905;0.9;0.748;0.737;0.756;0.994
transcript9_ENSMLUG00000027828;0.071;0.078;0.074;0.092;0.035;0.042;0.035;0.042;0.037;0.039;0.035;0.046;0.055;0.037;0.039;0.039;0.044;0.036;0.042;1.0;0.737;0.722;0.81;0.039;0.04;0.041;0.039;0.047;0.053;0.053;0.039
transcript9_ENSSTOG00000019743;0.059;0.08;0.074;0.075;0.034;0.04;0.034;0.04;0.037;0.037;0.034;0.038;0.054;0.036;0.032;0.036;0.037;0.035;0.04;0.737;1.0;0.75;0.833;0.039;0.04;0.041;0.039;0.047;0.044;0.043;0.037
transcript9_ENSCCNG00000000226;0.069;0.076;0.079;0.084;0.033;0.04;0.033;0.04;0.035;0.038;0.033;0.043;0.053;0.035;0.037;0.042;0.042;0.034;0.04;0.722;0.75;1.0;0.842;0.038;0.039;0.039;0.042;0.051;0.05;0.049;0.038
transcript9_ENSCPOG00000024843;0.075;0.075;0.075;0.091;0.037;0.044;0.037;0.044;0.035;0.041;0.037;0.048;0.055;0.039;0.041;0.04;0.046;0.038;0.044;0.81;0.833;0.842;1.0;0.039;0.04;0.039;0.04;0.048;0.055;0.055;0.041
transcript13_ENSMLUG00000027828;0.496;0.466;0.482;0.426;1.0;1.0;0.998;1.0;1.0;1.0;0.998;0.763;0.709;0.956;0.909;0.917;0.888;0.979;1.0;0.039;0.039;0.038;0.039;1.0;0.971;0.886;0.903;0.758;0.738;0.746;1.0
transcript14_ENSMLUG00000027828;0.505;0.481;0.499;0.426;0.97;0.967;0.967;0.967;0.968;0.971;0.967;0.779;0.73;0.971;0.923;0.948;0.86;0.948;0.967;0.04;0.04;0.039;0.04;0.971;1.0;0.854;0.869;0.724;0.741;0.749;0.971
transcript26_ENSSTOG00000019743;0.474;0.517;0.532;0.483;0.895;0.905;0.892;0.905;0.889;0.891;0.892;0.664;0.61;0.843;0.799;0.797;0.774;0.87;0.905;0.041;0.041;0.039;0.039;0.886;0.854;1.0;0.82;0.64;0.635;0.643;0.891
transcript26_ENSCCNG00000000226;0.447;0.508;0.525;0.416;0.904;0.907;0.897;0.9;0.905;0.901;0.897;0.669;0.622;0.852;0.803;0.8;0.792;0.878;0.9;0.039;0.039;0.042;0.04;0.903;0.869;0.82;1.0;0.799;0.671;0.672;0.901
transcript18_ENSCCNG00000000226;0.398;0.615;0.638;0.336;0.742;0.755;0.735;0.748;0.748;0.746;0.735;0.507;0.477;0.69;0.641;0.644;0.637;0.749;0.748;0.047;0.047;0.051;0.048;0.758;0.724;0.64;0.799;1.0;0.528;0.517;0.746
transcript18_ENSCPOG00000024843;0.49;0.279;0.314;0.608;0.729;0.736;0.73;0.737;0.743;0.719;0.73;0.792;0.634;0.751;0.795;0.776;0.811;0.711;0.737;0.053;0.044;0.05;0.055;0.738;0.741;0.635;0.671;0.528;1.0;0.951;0.719
transcript32_ENSCPOG00000024843;0.495;0.277;0.311;0.581;0.745;0.755;0.746;0.756;0.752;0.745;0.746;0.812;0.651;0.768;0.813;0.785;0.842;0.727;0.756;0.053;0.043;0.049;0.055;0.746;0.749;0.643;0.672;0.517;0.951;1.0;0.745
transcript33_ENSCPOG00000024843;0.488;0.461;0.477;0.434;1.0;1.0;0.994;0.994;1.0;1.0;0.994;0.767;0.711;0.947;0.898;0.901;0.885;0.976;0.994;0.039;0.037;0.038;0.041;1.0;0.971;0.891;0.901;0.746;0.719;0.745;1.0
