;transcript7_ENSMSIG00000000513;transcript26_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript41_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript22_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript33_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript26_MGP-PahariEiJ-G0020237;0.584;0.591;0.319;0.319;0.42;0.591;0.42;0.584;0.691;0.674;0.686;0.722;0.671;0.687;0.687;0.651;0.627;0.651;1.0;0.54;0.77;0.649;0.588;0.588;0.602;0.528;0.925;0.866;0.866;0.925;0.925
transcript9_ENSRNOG00000031503;0.308;0.306;0.363;0.363;0.379;0.306;0.379;0.298;0.71;0.686;0.541;0.75;0.706;0.728;0.728;0.678;0.645;0.678;0.54;1.0;0.675;0.797;0.867;0.867;0.901;0.778;0.556;0.496;0.496;0.556;0.556
transcript18_ENSRNOG00000031503;0.527;0.534;0.308;0.308;0.411;0.534;0.411;0.527;0.649;0.591;0.603;0.639;0.607;0.623;0.623;0.587;0.562;0.587;0.77;0.675;1.0;0.847;0.781;0.781;0.752;0.715;0.827;0.767;0.767;0.827;0.827
transcript19_ENSRNOG00000031503;0.388;0.395;0.36;0.36;0.483;0.395;0.483;0.388;0.75;0.682;0.586;0.738;0.703;0.722;0.722;0.678;0.649;0.678;0.649;0.797;0.847;1.0;0.922;0.922;0.887;0.843;0.7;0.639;0.639;0.7;0.7
transcript21_ENSRNOG00000031503;0.325;0.332;0.393;0.393;0.407;0.332;0.407;0.325;0.817;0.742;0.629;0.802;0.765;0.786;0.786;0.738;0.704;0.738;0.588;0.867;0.781;0.922;1.0;1.0;0.963;0.91;0.639;0.579;0.579;0.639;0.639
transcript23_ENSRNOG00000031503;0.325;0.332;0.393;0.393;0.407;0.332;0.407;0.325;0.817;0.742;0.629;0.802;0.765;0.786;0.786;0.738;0.704;0.738;0.588;0.867;0.781;0.922;1.0;1.0;0.963;0.91;0.639;0.579;0.579;0.639;0.639
transcript32_ENSRNOG00000031503;0.334;0.341;0.407;0.407;0.421;0.341;0.421;0.334;0.786;0.765;0.611;0.828;0.764;0.784;0.784;0.736;0.702;0.736;0.602;0.901;0.752;0.887;0.963;0.963;1.0;0.873;0.615;0.556;0.556;0.615;0.615
transcript33_ENSRNOG00000031503;0.262;0.27;0.306;0.306;0.331;0.27;0.331;0.262;0.735;0.66;0.683;0.721;0.72;0.704;0.704;0.656;0.775;0.656;0.528;0.778;0.715;0.843;0.91;0.91;0.873;1.0;0.579;0.617;0.617;0.579;0.579
transcript18_ENSMUGG00000013592;0.568;0.574;0.31;0.31;0.406;0.574;0.406;0.568;0.756;0.692;0.743;0.738;0.709;0.724;0.724;0.689;0.664;0.689;0.925;0.556;0.827;0.7;0.639;0.639;0.615;0.579;1.0;0.94;0.94;1.0;1.0
transcript32_ENSMUGG00000013592;0.508;0.514;0.249;0.249;0.347;0.514;0.347;0.508;0.697;0.632;0.787;0.678;0.674;0.664;0.664;0.629;0.706;0.629;0.866;0.496;0.767;0.639;0.579;0.579;0.556;0.617;0.94;1.0;1.0;0.94;0.94
transcript33_ENSMUGG00000013592;0.508;0.514;0.249;0.249;0.347;0.514;0.347;0.508;0.697;0.632;0.787;0.678;0.674;0.664;0.664;0.629;0.706;0.629;0.866;0.496;0.767;0.639;0.579;0.579;0.556;0.617;0.94;1.0;1.0;0.94;0.94
transcript34_ENSMUGG00000013592;0.568;0.574;0.31;0.31;0.406;0.574;0.406;0.568;0.756;0.692;0.743;0.738;0.709;0.724;0.724;0.689;0.664;0.689;0.925;0.556;0.827;0.7;0.639;0.639;0.615;0.579;1.0;0.94;0.94;1.0;1.0
transcript35_ENSMUGG00000013592;0.568;0.574;0.31;0.31;0.406;0.574;0.406;0.568;0.756;0.692;0.743;0.738;0.709;0.724;0.724;0.689;0.664;0.689;0.925;0.556;0.827;0.7;0.639;0.639;0.615;0.579;1.0;0.94;0.94;1.0;1.0
