;transcript38_ENSRNOG00000031503;transcript38_ENSCGRG00015005362;transcript38_ENSCGRG00000018457;transcript38_ENSSTOG00000019743;transcript37_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript37_ENSCGRG00001010245;transcript37_ENSPEMG00000024651;transcript37_ENSSTOG00000019743;transcript57_ENSMUGG00000013649;transcript57_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript58_ENSPEMG00000024651;transcript59_ENSMUGG00000013649;transcript59_ENSPEMG00000024651;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript9_ENSCGRG00015005362;transcript9_ENSPEMG00000024651;transcript54_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript56_ENSCGRG00000018457;transcript56_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript33_ENSPEMG00000024651;transcript33_ENSNGAG00000018584;transcript39_ENSPEMG00000024651;transcript39_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript57_ENSPEMG00000024651;0.63;0.667;0.667;0.667;0.748;0.742;0.727;0.773;0.723;0.775;1.0;0.789;0.871;0.771;0.829;0.791;0.504;0.503;0.514;0.443;0.504;0.707;0.726;0.746;0.665;0.665;0.623;0.639;0.657;0.726;0.629;0.799;0.732;0.674;0.674;0.674
transcript58_ENSMUGG00000013649;0.718;0.768;0.768;0.768;0.873;0.859;0.832;0.781;0.833;0.889;0.789;1.0;0.851;0.918;0.812;0.929;0.569;0.567;0.541;0.481;0.579;0.816;0.757;0.857;0.748;0.748;0.718;0.663;0.738;0.757;0.69;0.786;0.846;0.782;0.782;0.782
transcript58_ENSPEMG00000024651;0.688;0.74;0.74;0.74;0.825;0.816;0.802;0.853;0.798;0.799;0.871;0.851;1.0;0.829;0.911;0.842;0.575;0.573;0.596;0.497;0.583;0.78;0.803;0.821;0.73;0.73;0.698;0.718;0.722;0.803;0.674;0.88;0.808;0.744;0.744;0.744
transcript59_ENSMUGG00000013649;0.707;0.753;0.753;0.753;0.855;0.841;0.817;0.764;0.818;0.931;0.771;0.918;0.829;1.0;0.799;0.911;0.569;0.567;0.541;0.48;0.579;0.802;0.742;0.842;0.733;0.733;0.703;0.648;0.722;0.742;0.682;0.77;0.83;0.767;0.767;0.767
transcript59_ENSPEMG00000024651;0.732;0.785;0.785;0.785;0.801;0.791;0.782;0.832;0.779;0.77;0.829;0.812;0.911;0.799;1.0;0.808;0.618;0.615;0.645;0.54;0.629;0.824;0.851;0.799;0.773;0.773;0.742;0.766;0.765;0.851;0.716;0.947;0.869;0.795;0.795;0.795
transcript51_ENSMUGG00000013592;0.728;0.778;0.778;0.778;0.902;0.92;0.854;0.807;0.859;0.884;0.791;0.929;0.842;0.911;0.808;1.0;0.563;0.561;0.539;0.483;0.575;0.825;0.766;0.867;0.758;0.758;0.741;0.685;0.746;0.766;0.709;0.797;0.857;0.788;0.788;0.788
transcript8_ENSCGRG00000018457;0.722;0.764;0.764;0.764;0.579;0.571;0.68;0.654;0.681;0.55;0.504;0.569;0.575;0.569;0.618;0.563;1.0;0.996;0.783;0.696;0.84;0.725;0.693;0.68;0.78;0.78;0.759;0.709;0.789;0.693;0.625;0.615;0.631;0.675;0.675;0.675
transcript8_ENSCGRG00015005362;0.719;0.76;0.76;0.76;0.577;0.57;0.679;0.653;0.678;0.55;0.503;0.567;0.573;0.567;0.615;0.561;0.996;1.0;0.78;0.693;0.836;0.722;0.691;0.678;0.777;0.777;0.756;0.706;0.786;0.691;0.622;0.612;0.629;0.671;0.671;0.671
transcript8_ENSPEMG00000024651;0.686;0.713;0.713;0.713;0.554;0.548;0.639;0.675;0.637;0.523;0.514;0.541;0.596;0.541;0.645;0.539;0.783;0.78;1.0;0.763;0.91;0.676;0.742;0.635;0.626;0.626;0.71;0.762;0.633;0.742;0.586;0.64;0.605;0.631;0.631;0.631
transcript8_ENSNGAG00000018584;0.6;0.625;0.625;0.625;0.491;0.488;0.553;0.548;0.555;0.464;0.443;0.481;0.497;0.48;0.54;0.483;0.696;0.693;0.763;1.0;0.804;0.594;0.581;0.552;0.553;0.553;0.626;0.6;0.559;0.581;0.724;0.535;0.536;0.553;0.553;0.553
transcript8_ENSSTOG00000019743;0.743;0.776;0.776;0.776;0.591;0.584;0.693;0.664;0.694;0.561;0.504;0.579;0.583;0.579;0.629;0.575;0.84;0.836;0.91;0.804;1.0;0.737;0.698;0.692;0.671;0.671;0.772;0.712;0.678;0.698;0.619;0.625;0.643;0.686;0.686;0.686
transcript9_ENSCGRG00015005362;0.875;0.95;0.95;0.95;0.821;0.807;0.928;0.853;0.93;0.772;0.707;0.816;0.78;0.802;0.824;0.825;0.725;0.722;0.676;0.594;0.737;1.0;0.911;0.952;0.928;0.928;0.897;0.816;0.919;0.911;0.819;0.811;0.875;0.932;0.932;0.932
transcript9_ENSPEMG00000024651;0.816;0.877;0.877;0.877;0.76;0.751;0.849;0.875;0.849;0.714;0.726;0.757;0.803;0.742;0.851;0.766;0.693;0.691;0.742;0.581;0.698;0.911;1.0;0.867;0.859;0.859;0.831;0.895;0.853;1.0;0.77;0.836;0.816;0.85;0.85;0.85
transcript54_ENSCGRG00015005362;0.827;0.901;0.901;0.901;0.859;0.845;0.974;0.897;0.976;0.811;0.746;0.857;0.821;0.842;0.799;0.867;0.68;0.678;0.635;0.552;0.692;0.952;0.867;1.0;0.881;0.881;0.849;0.772;0.87;0.867;0.777;0.787;0.852;0.909;0.909;0.909
transcript52_ENSCGRG00000018457;0.805;0.879;0.879;0.879;0.752;0.741;0.857;0.8;0.859;0.702;0.665;0.748;0.73;0.733;0.773;0.758;0.78;0.777;0.626;0.553;0.671;0.928;0.859;0.881;1.0;1.0;0.826;0.762;0.988;0.859;0.777;0.76;0.806;0.865;0.865;0.865
transcript52_ENSCGRG00001010245;0.805;0.879;0.879;0.879;0.752;0.741;0.857;0.8;0.859;0.702;0.665;0.748;0.73;0.733;0.773;0.758;0.78;0.777;0.626;0.553;0.671;0.928;0.859;0.881;1.0;1.0;0.826;0.762;0.988;0.859;0.777;0.76;0.806;0.865;0.865;0.865
transcript56_ENSCGRG00000018457;0.875;0.946;0.946;0.946;0.756;0.746;0.867;0.807;0.867;0.671;0.623;0.718;0.698;0.703;0.742;0.741;0.759;0.756;0.71;0.626;0.772;0.897;0.831;0.849;0.826;0.826;1.0;0.867;0.835;0.831;0.748;0.752;0.798;0.836;0.836;0.836
transcript56_ENSPEMG00000024651;0.778;0.831;0.831;0.831;0.688;0.681;0.776;0.813;0.775;0.618;0.639;0.663;0.718;0.648;0.766;0.685;0.709;0.706;0.762;0.6;0.712;0.816;0.895;0.772;0.762;0.762;0.867;1.0;0.757;0.895;0.697;0.762;0.73;0.76;0.76;0.76
transcript65_ENSCGRG00000018457;0.814;0.887;0.887;0.887;0.742;0.731;0.847;0.793;0.849;0.691;0.657;0.738;0.722;0.722;0.765;0.746;0.789;0.786;0.633;0.559;0.678;0.919;0.853;0.87;0.988;0.988;0.835;0.757;1.0;0.853;0.772;0.752;0.796;0.854;0.854;0.854
transcript33_ENSPEMG00000024651;0.816;0.877;0.877;0.877;0.76;0.751;0.849;0.875;0.849;0.714;0.726;0.757;0.803;0.742;0.851;0.766;0.693;0.691;0.742;0.581;0.698;0.911;1.0;0.867;0.859;0.859;0.831;0.895;0.853;1.0;0.77;0.836;0.816;0.85;0.85;0.85
transcript33_ENSNGAG00000018584;0.723;0.779;0.779;0.779;0.698;0.69;0.76;0.722;0.765;0.66;0.629;0.69;0.674;0.682;0.716;0.709;0.625;0.622;0.586;0.724;0.619;0.819;0.77;0.777;0.777;0.777;0.748;0.697;0.772;0.77;1.0;0.709;0.744;0.764;0.764;0.764
transcript39_ENSPEMG00000024651;0.74;0.795;0.795;0.795;0.811;0.801;0.792;0.845;0.788;0.74;0.799;0.786;0.88;0.77;0.947;0.797;0.615;0.612;0.64;0.535;0.625;0.811;0.836;0.787;0.76;0.76;0.752;0.762;0.752;0.836;0.709;1.0;0.916;0.815;0.815;0.815
transcript39_ENSSTOG00000019743;0.79;0.851;0.851;0.851;0.875;0.862;0.852;0.797;0.856;0.798;0.732;0.846;0.808;0.83;0.869;0.857;0.631;0.629;0.605;0.536;0.643;0.875;0.816;0.852;0.806;0.806;0.798;0.73;0.796;0.816;0.744;0.916;1.0;0.879;0.879;0.879
transcript26_ENSSTOG00000019743;0.815;0.885;0.885;0.885;0.787;0.774;0.886;0.812;0.889;0.737;0.674;0.782;0.744;0.767;0.795;0.788;0.675;0.671;0.631;0.553;0.686;0.932;0.85;0.909;0.865;0.865;0.836;0.76;0.854;0.85;0.764;0.815;0.879;1.0;1.0;1.0
transcript29_ENSSTOG00000019743;0.815;0.885;0.885;0.885;0.787;0.774;0.886;0.812;0.889;0.737;0.674;0.782;0.744;0.767;0.795;0.788;0.675;0.671;0.631;0.553;0.686;0.932;0.85;0.909;0.865;0.865;0.836;0.76;0.854;0.85;0.764;0.815;0.879;1.0;1.0;1.0
transcript40_ENSSTOG00000019743;0.815;0.885;0.885;0.885;0.787;0.774;0.886;0.812;0.889;0.737;0.674;0.782;0.744;0.767;0.795;0.788;0.675;0.671;0.631;0.553;0.686;0.932;0.85;0.909;0.865;0.865;0.836;0.76;0.854;0.85;0.764;0.815;0.879;1.0;1.0;1.0
