;ENSCAFT00000005773_90_90;ENST00000391851_90_90;ENST00000454376_90_90;ENST00000524771_90_90;ENST00000526224_90_90;ENST00000527382_90_90;ENST00000528623_90_90;ENST00000529284_90_90;ENST00000529836_90_90;ENST00000532489_90_90;ENST00000534280_90_90;ENST00000534465_90_90;ENST00000610806_90_90;ENSMUST00000045325_90_90;ENSMUST00000107843_90_90;ENSMUST00000207370_90_90;ENSMUST00000207522_90_90;ENSMUST00000207659_90_90;ENSMUST00000208312_90_90;ENSMUST00000208778_90_90;ENSMUST00000208829_90_90;ENSMUST00000208938_90_90;ENSMUST00000209056_90_90;ENSMUST00000209124_90_90
ENST00000534280_90_90;0.4;0.114;0.159;0.133;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.128;0.4;0.4;0.4;0.0;0.185;0.364;0.44;0.037;0.0;0.267;0.276
ENST00000534465_90_90;0.4;0.743;0.703;0.615;0.885;0.962;0.3;0.846;0.667;0.963;0.0;1.0;0.6;0.4;0.4;0.4;0.0;0.6;0.154;0.241;0.75;0.0;0.0;0.48
ENST00000610806_90_90;0.6;0.857;0.811;0.718;0.656;0.618;0.387;0.677;0.742;0.629;0.128;0.6;1.0;0.6;0.6;0.6;0.0;0.727;0.385;0.448;0.7;0.0;0.19;0.483
ENSMUST00000045325_90_90;0.933;0.6;0.667;0.733;0.4;0.4;0.3;0.4;0.5;0.4;0.4;0.4;0.6;1.0;0.915;0.956;0.043;0.622;0.578;0.721;0.465;0.091;0.239;0.744
ENSMUST00000107843_90_90;1.0;0.6;0.667;0.733;0.4;0.4;0.3;0.4;0.5;0.4;0.4;0.4;0.6;0.915;1.0;0.957;0.083;0.638;0.596;0.66;0.426;0.106;0.271;0.681
ENSMUST00000207370_90_90;0.978;0.6;0.667;0.733;0.4;0.4;0.3;0.4;0.5;0.4;0.4;0.4;0.6;0.956;0.957;1.0;0.042;0.667;0.622;0.689;0.444;0.111;0.283;0.711
ENSMUST00000207522_90_90;0.044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.043;0.083;0.042;1.0;0.061;0.065;0.0;0.087;0.0;0.0;0.0
ENSMUST00000207659_90_90;0.644;0.727;0.667;0.556;0.6;0.6;0.45;0.6;0.75;0.6;0.185;0.6;0.727;0.622;0.638;0.667;0.061;1.0;0.568;0.419;0.667;0.129;0.189;0.476
ENSMUST00000208312_90_90;0.6;0.385;0.357;0.429;0.154;0.154;0.35;0.154;0.269;0.154;0.364;0.154;0.385;0.578;0.596;0.622;0.065;0.568;1.0;0.553;0.297;0.138;0.448;0.333
ENSMUST00000208778_90_90;0.689;0.448;0.467;0.533;0.241;0.241;0.375;0.241;0.345;0.241;0.44;0.241;0.448;0.721;0.66;0.689;0.0;0.419;0.553;1.0;0.342;0.029;0.25;0.658
ENSMUST00000208829_90_90;0.422;0.7;0.636;0.583;0.75;0.75;0.562;0.75;0.938;0.75;0.037;0.75;0.7;0.465;0.426;0.444;0.087;0.667;0.297;0.342;1.0;0.0;0.0;0.529
ENSMUST00000208938_90_90;0.111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.091;0.106;0.111;0.0;0.129;0.138;0.029;0.0;1.0;0.188;0.028
ENSMUST00000209056_90_90;0.289;0.19;0.174;0.261;0.0;0.0;0.0;0.0;0.0;0.0;0.267;0.0;0.19;0.239;0.271;0.283;0.0;0.189;0.448;0.25;0.0;0.188;1.0;0.07
ENSMUST00000209124_90_90;0.711;0.483;0.552;0.621;0.48;0.48;0.36;0.48;0.6;0.48;0.276;0.48;0.483;0.744;0.681;0.711;0.0;0.476;0.333;0.658;0.529;0.028;0.07;1.0
