;ENSCAFT00000014853_90_90;ENST00000323180_90_90;ENST00000418153_90_90;ENST00000524497_90_90;ENST00000525438_90_90;ENST00000525676_90_90;ENST00000527782_90_90;ENST00000529734_90_90;ENST00000529782_90_90;ENST00000530587_90_90;ENST00000531959_90_90;ENST00000532010_90_90;ENST00000532028_90_90;ENST00000532883_90_90;ENST00000533757_90_90;ENSMUST00000044036_90_90;ENSMUST00000068702_90_90;ENSMUST00000090586_90_90;ENSMUST00000111290_90_90;ENSMUST00000111291_90_90;ENSMUST00000111292_90_90;ENSMUST00000111293_90_90;ENSMUST00000111294_90_90;ENSMUST00000111297_90_90;ENSMUST00000128781_90_90;ENSMUST00000138995_90_90;ENSMUST00000159366_90_90;ENSMUST00000159727_90_90;ENSMUST00000159961_90_90;ENSMUST00000161067_90_90;ENSMUST00000162146_90_90;ENSMUST00000162188_90_90;ENSMUST00000162497_90_90
ENSMUST00000111292_90_90;0.826;0.851;0.792;0.422;0.195;0.122;0.122;0.366;0.146;0.146;0.432;0.049;0.19;0.293;0.268;0.889;1.0;0.8;0.76;0.889;1.0;0.8;0.875;0.851;0.095;0.143;0.444;0.043;0.667;0.31;0.302;0.214;0.071
ENSMUST00000111293_90_90;0.978;0.898;0.957;0.458;0.17;0.106;0.106;0.319;0.128;0.128;0.438;0.043;0.191;0.255;0.234;0.896;0.8;1.0;0.958;0.896;0.8;1.0;0.92;0.86;0.083;0.125;0.479;0.146;0.653;0.22;0.265;0.188;0.062
ENSMUST00000111294_90_90;0.957;0.979;0.878;0.458;0.17;0.106;0.106;0.319;0.128;0.128;0.438;0.043;0.167;0.255;0.234;0.82;0.875;0.92;0.88;0.82;0.875;0.92;1.0;0.938;0.083;0.125;0.479;0.146;0.588;0.271;0.265;0.188;0.062
ENSMUST00000111297_90_90;0.891;0.915;0.816;0.457;0.182;0.114;0.114;0.341;0.136;0.136;0.435;0.045;0.178;0.273;0.25;0.796;0.851;0.86;0.896;0.796;0.851;0.86;0.938;1.0;0.089;0.133;0.511;0.156;0.56;0.234;0.283;0.2;0.067
ENSMUST00000128781_90_90;0.087;0.087;0.089;0.174;0.5;0.0;0.8;0.267;0.0;0.0;0.182;0.5;0.0;0.333;0.364;0.093;0.095;0.083;0.087;0.093;0.095;0.083;0.083;0.089;1.0;0.667;0.125;0.0;0.0;0.0;0.286;0.444;0.75
ENSMUST00000138995_90_90;0.13;0.13;0.133;0.261;0.75;0.0;0.833;0.4;0.0;0.0;0.273;0.333;0.0;0.5;0.545;0.14;0.143;0.125;0.13;0.14;0.143;0.125;0.125;0.133;0.667;1.0;0.208;0.0;0.0;0.0;0.429;0.667;0.5
ENSMUST00000159366_90_90;0.457;0.447;0.457;0.8;0.304;0.0;0.174;0.609;0.273;0.0;0.76;0.043;0.0;0.478;0.435;0.435;0.444;0.479;0.5;0.435;0.444;0.479;0.479;0.511;0.125;0.208;1.0;0.154;0.244;0.0;0.48;0.333;0.083
ENSMUST00000159727_90_90;0.152;0.152;0.13;0.111;0.0;0.0;0.0;0.0;0.0;0.0;0.074;0.0;0.0;0.0;0.0;0.064;0.043;0.146;0.152;0.064;0.043;0.146;0.146;0.156;0.0;0.0;0.154;1.0;0.053;0.0;0.0;0.0;0.0
ENSMUST00000159961_90_90;0.63;0.571;0.652;0.2;0.0;0.161;0.0;0.122;0.088;0.194;0.205;0.0;0.29;0.049;0.024;0.727;0.667;0.653;0.612;0.727;0.667;0.653;0.588;0.56;0.0;0.0;0.244;0.053;1.0;0.314;0.068;0.0;0.0
ENSMUST00000161067_90_90;0.239;0.283;0.234;0.0;0.0;0.125;0.0;0.0;0.0;0.267;0.0;0.0;0.158;0.0;0.0;0.244;0.31;0.22;0.18;0.244;0.31;0.22;0.271;0.234;0.0;0.0;0.0;0.0;0.314;1.0;0.0;0.0;0.0
ENSMUST00000162146_90_90;0.283;0.25;0.255;0.542;0.571;0.0;0.357;0.706;0.333;0.0;0.565;0.143;0.0;0.857;0.786;0.295;0.302;0.265;0.277;0.295;0.302;0.265;0.265;0.283;0.286;0.429;0.48;0.0;0.068;0.0;1.0;0.643;0.214
ENSMUST00000162188_90_90;0.196;0.196;0.2;0.391;0.889;0.0;0.556;0.6;0.154;0.0;0.409;0.222;0.0;0.75;0.818;0.209;0.214;0.188;0.196;0.209;0.214;0.188;0.188;0.2;0.444;0.667;0.333;0.0;0.0;0.0;0.643;1.0;0.333
ENSMUST00000162497_90_90;0.065;0.065;0.067;0.13;0.375;0.0;0.6;0.2;0.0;0.0;0.136;0.667;0.0;0.25;0.273;0.07;0.071;0.062;0.065;0.07;0.071;0.062;0.062;0.067;0.75;0.5;0.083;0.0;0.0;0.0;0.214;0.333;1.0
