;repository;id;newick;computing_time;reconciliation
10;11;11;"((((((transcript27_ENSHGLG00100003156,transcript40_ENSHGLG00000019563),(transcript32_ENSHGLG00100003156,transcript43_ENSHGLG00000019563)),(transcript20_ENSHGLG00100003156,transcript28_ENSHGLG00000019563)),(transcript14_ENSHGLG00100003156,transcript26_ENSHGLG00000019563)),(transcript9_ENSHGLG00100003156,transcript20_ENSHGLG00000019563)),(((transcript33_ENSHGLG00100006079,transcript8_ENSHGLG00100006079),transcript22_ENSHGLG00100006079),transcript9_ENSHGLG00100006079));";0.01468205451965332;"((((((transcript27_ENSHGLG00100003156:1[&&NHX:evol=speciation],transcript40_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],(transcript32_ENSHGLG00100003156:1[&&NHX:evol=speciation],transcript43_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(transcript20_ENSHGLG00100003156:1[&&NHX:evol=speciation],transcript28_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(transcript14_ENSHGLG00100003156:1[&&NHX:evol=speciation],transcript26_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(transcript9_ENSHGLG00100003156:1[&&NHX:evol=speciation],transcript20_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(((transcript33_ENSHGLG00100006079:1[&&NHX:evol=speciation],transcript8_ENSHGLG00100006079:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript22_ENSHGLG00100006079:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript9_ENSHGLG00100006079:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation]):1[&&NHX:evol=duplication];"
11;12;12;"((((((((transcript59_ENSMUGG00000013649,transcript58_ENSMUGG00000013649),transcript57_ENSMUGG00000013649),transcript37_ENSMUGG00000013649),(transcript51_ENSMUGG00000013592,transcript37_ENSMUGG00000013592)),transcript38_ENSRNOG00000031503),((((transcript9_ENSCGRG00015005362,transcript38_ENSCGRG00000018457),transcript52_ENSCGRG00001010245),((((transcript54_ENSCGRG00015005362,transcript56_ENSCGRG00000018457),(transcript8_ENSCGRG00015005362,(transcript65_ENSCGRG00000018457,transcript8_ENSCGRG00000018457))),(transcript38_ENSCGRG00015005362,transcript52_ENSCGRG00000018457)),transcript37_ENSCGRG00001010245)),((((((((transcript59_ENSPEMG00000024651,transcript57_ENSPEMG00000024651),transcript58_ENSPEMG00000024651),transcript56_ENSPEMG00000024651),transcript39_ENSPEMG00000024651),transcript37_ENSPEMG00000024651),transcript33_ENSPEMG00000024651),transcript9_ENSPEMG00000024651),transcript8_ENSPEMG00000024651))),(transcript8_ENSNGAG00000018584,transcript33_ENSNGAG00000018584)),((((((transcript40_ENSSTOG00000019743,transcript8_ENSSTOG00000019743),transcript39_ENSSTOG00000019743),transcript38_ENSSTOG00000019743),transcript37_ENSSTOG00000019743),transcript29_ENSSTOG00000019743),transcript26_ENSSTOG00000019743));";0.06796717643737793;"((((((((transcript59_ENSMUGG00000013649:1[&&NHX:evol=speciation],transcript58_ENSMUGG00000013649:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript57_ENSMUGG00000013649:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript37_ENSMUGG00000013649:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(transcript51_ENSMUGG00000013592:1[&&NHX:evol=speciation],transcript37_ENSMUGG00000013592:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=duplication],transcript38_ENSRNOG00000031503:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],((((transcript9_ENSCGRG00015005362:1[&&NHX:evol=speciation],transcript38_ENSCGRG00000018457:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],transcript52_ENSCGRG00001010245:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],((((transcript54_ENSCGRG00015005362:1[&&NHX:evol=speciation],transcript56_ENSCGRG00000018457:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],(transcript8_ENSCGRG00015005362:1[&&NHX:evol=speciation],(transcript65_ENSCGRG00000018457:1[&&NHX:evol=speciation],transcript8_ENSCGRG00000018457:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(transcript38_ENSCGRG00015005362:1[&&NHX:evol=speciation],transcript52_ENSCGRG00000018457:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript37_ENSCGRG00001010245:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],((((((((transcript59_ENSPEMG00000024651:1[&&NHX:evol=speciation],transcript57_ENSPEMG00000024651:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript58_ENSPEMG00000024651:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript56_ENSPEMG00000024651:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript39_ENSPEMG00000024651:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript37_ENSPEMG00000024651:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript33_ENSPEMG00000024651:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript9_ENSPEMG00000024651:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript8_ENSPEMG00000024651:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],(transcript8_ENSNGAG00000018584:1[&&NHX:evol=speciation],transcript33_ENSNGAG00000018584:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],((((((transcript40_ENSSTOG00000019743:1[&&NHX:evol=speciation],transcript8_ENSSTOG00000019743:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript39_ENSSTOG00000019743:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript38_ENSSTOG00000019743:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript37_ENSSTOG00000019743:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript29_ENSSTOG00000019743:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript26_ENSSTOG00000019743:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation]):1[&&NHX:evol=speciation];"
12;13;13;"(((((((transcript62_MGP-CAROLIEiJ-G0020234,transcript63_MGP-CAROLIEiJ-G0020234),transcript52_MGP-CAROLIEiJ-G0020234),transcript9_MGP-CAROLIEiJ-G0020234),(((transcript67_ENSMUSG00000054036,transcript52_ENSMUSG00000054036),transcript64_ENSMUSG00000054036),transcript57_ENSMUSG00000054036)),((transcript48_MGP-PahariEiJ-G0020237,transcript9_MGP-PahariEiJ-G0020237),transcript7_MGP-PahariEiJ-G0020237)),(((((transcript55_ENSRNOG00000031503,transcript53_ENSRNOG00000031503),transcript54_ENSRNOG00000031503),transcript49_ENSRNOG00000031503),transcript40_ENSRNOG00000031503),transcript8_ENSRNOG00000031503)),transcript41_ENSMUGG00000013649);";0.006102800369262695;"(((((((transcript62_MGP-CAROLIEiJ-G0020234:1[&&NHX:evol=speciation],transcript63_MGP-CAROLIEiJ-G0020234:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript52_MGP-CAROLIEiJ-G0020234:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript9_MGP-CAROLIEiJ-G0020234:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(((transcript67_ENSMUSG00000054036:1[&&NHX:evol=speciation],transcript52_ENSMUSG00000054036:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript64_ENSMUSG00000054036:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript57_ENSMUSG00000054036:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],((transcript48_MGP-PahariEiJ-G0020237:1[&&NHX:evol=speciation],transcript9_MGP-PahariEiJ-G0020237:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript7_MGP-PahariEiJ-G0020237:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],(((((transcript55_ENSRNOG00000031503:1[&&NHX:evol=speciation],transcript53_ENSRNOG00000031503:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript54_ENSRNOG00000031503:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript49_ENSRNOG00000031503:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript40_ENSRNOG00000031503:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript8_ENSRNOG00000031503:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],transcript41_ENSMUGG00000013649:1[&&NHX:evol=speciation]):1[&&NHX:evol=speciation];"
13;14;14;"(((((((((transcript67_ENSMSIG00000000513,transcript64_ENSMSIG00000000513),transcript60_ENSMSIG00000000513),transcript55_ENSMSIG00000000513),transcript50_ENSMSIG00000000513),transcript7_ENSMSIG00000000513),(((((((transcript72_MGP-SPRETEiJ-G0021131,transcript69_MGP-SPRETEiJ-G0021131),transcript71_MGP-SPRETEiJ-G0021131),transcript70_MGP-SPRETEiJ-G0021131),transcript62_MGP-SPRETEiJ-G0021131),transcript61_MGP-SPRETEiJ-G0021131),transcript59_MGP-SPRETEiJ-G0021131),transcript7_MGP-SPRETEiJ-G0021131)),(transcript54_ENSMUSG00000054036,transcript7_ENSMUSG00000054036)),(((transcript60_MGP-CAROLIEiJ-G0020234,transcript61_MGP-CAROLIEiJ-G0020234),transcript59_MGP-CAROLIEiJ-G0020234),transcript50_MGP-CAROLIEiJ-G0020234)),(transcript57_MGP-PahariEiJ-G0020237,transcript50_MGP-PahariEiJ-G0020237));";0.041330814361572266;"(((((((((transcript67_ENSMSIG00000000513:1[&&NHX:evol=speciation],transcript64_ENSMSIG00000000513:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript60_ENSMSIG00000000513:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript55_ENSMSIG00000000513:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript50_ENSMSIG00000000513:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript7_ENSMSIG00000000513:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(((((((transcript72_MGP-SPRETEiJ-G0021131:1[&&NHX:evol=speciation],transcript69_MGP-SPRETEiJ-G0021131:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript71_MGP-SPRETEiJ-G0021131:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript70_MGP-SPRETEiJ-G0021131:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript62_MGP-SPRETEiJ-G0021131:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript61_MGP-SPRETEiJ-G0021131:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript59_MGP-SPRETEiJ-G0021131:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript7_MGP-SPRETEiJ-G0021131:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],(transcript54_ENSMUSG00000054036:1[&&NHX:evol=speciation],transcript7_ENSMUSG00000054036:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],(((transcript60_MGP-CAROLIEiJ-G0020234:1[&&NHX:evol=speciation],transcript61_MGP-CAROLIEiJ-G0020234:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript59_MGP-CAROLIEiJ-G0020234:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript50_MGP-CAROLIEiJ-G0020234:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],(transcript57_MGP-PahariEiJ-G0020237:1[&&NHX:evol=speciation],transcript50_MGP-PahariEiJ-G0020237:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation]):1[&&NHX:evol=speciation];"
14;17;15;"(transcript7_ENSAOCG00000015695,((transcript7_ENSPNYG00000024266,transcript0_ENSPNYG00000024266),(transcript7_ENSXMAG00000026005,transcript0_ENSXMAG00000026005)));";0.004433870315551758;"(transcript7_ENSAOCG00000015695:1[&&NHX:evol=speciation],((transcript7_ENSPNYG00000024266:1[&&NHX:evol=speciation],transcript0_ENSPNYG00000024266:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(transcript7_ENSXMAG00000026005:1[&&NHX:evol=speciation],transcript0_ENSXMAG00000026005:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation]):1[&&NHX:evol=speciation];"
15;18;16;"(((((((transcript27_ENSAPOG00000016134,transcript32_ENSAPOG00000023408),(transcript28_ENSAPOG00000016134,transcript33_ENSAPOG00000023408)),(transcript22_ENSAPOG00000016134,transcript22_ENSAPOG00000023408)),(transcript19_ENSAPOG00000016134,transcript19_ENSAPOG00000023408)),(((((transcript29_ENSAOCG00000015695,transcript28_ENSAOCG00000015695),transcript27_ENSAOCG00000015695),transcript26_ENSAOCG00000015695),transcript19_ENSAOCG00000015695),transcript12_ENSAOCG00000015695)),(((transcript22_ENSPNYG00000024266,transcript12_ENSPNYG00000024266),transcript21_ENSPNYG00000024266),transcript14_ENSPNYG00000024266)),(((((transcript17_ENSXMAG00000026005,transcript3_ENSXMAG00000026005),transcript16_ENSXMAG00000026005),transcript12_ENSXMAG00000026005),transcript11_ENSXMAG00000026005),transcript10_ENSXMAG00000026005));";0.011819839477539062;"(((((((transcript27_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript32_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication],(transcript28_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript33_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication])1:1[&&NHX:evol=creation],(transcript22_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript22_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication])1:1[&&NHX:evol=creation],(transcript19_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript19_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication])1:1[&&NHX:evol=creation],(((((transcript29_ENSAOCG00000015695:1[&&NHX:evol=speciation],transcript28_ENSAOCG00000015695:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript27_ENSAOCG00000015695:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript26_ENSAOCG00000015695:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript19_ENSAOCG00000015695:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript12_ENSAOCG00000015695:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],(((transcript22_ENSPNYG00000024266:1[&&NHX:evol=speciation],transcript12_ENSPNYG00000024266:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript21_ENSPNYG00000024266:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript14_ENSPNYG00000024266:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],(((((transcript17_ENSXMAG00000026005:1[&&NHX:evol=speciation],transcript3_ENSXMAG00000026005:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript16_ENSXMAG00000026005:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript12_ENSXMAG00000026005:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript11_ENSXMAG00000026005:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript10_ENSXMAG00000026005:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation]):1[&&NHX:evol=speciation];"
16;19;17;"((((((transcript17_ENSHGLG00100006079,transcript18_ENSHGLG00100006079),transcript16_ENSHGLG00100006079),transcript5_ENSHGLG00100006079),(transcript19_ENSHGLG00100003156,transcript5_ENSHGLG00100003156)),transcript5_ENSPCIG00000036398),transcript13_ENSMUNG00000002391);";0.00688624382019043;"((((((transcript17_ENSHGLG00100006079:1[&&NHX:evol=speciation],transcript18_ENSHGLG00100006079:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript16_ENSHGLG00100006079:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript5_ENSHGLG00100006079:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(transcript19_ENSHGLG00100003156:1[&&NHX:evol=speciation],transcript5_ENSHGLG00100003156:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=duplication],transcript5_ENSPCIG00000036398:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],transcript13_ENSMUNG00000002391:1[&&NHX:evol=speciation]):1[&&NHX:evol=speciation];"
17;20;18;"(((transcript16_ENSAPOG00000016134,transcript16_ENSAPOG00000023408),(((transcript29_ENSAPOG00000016134,transcript9_ENSAPOG00000016134),transcript24_ENSAPOG00000016134),transcript8_ENSAPOG00000023408)),transcript16_ENSAOCG00000015695);";0.0055446624755859375;"(((transcript16_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript16_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication],(((transcript29_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript9_ENSAPOG00000016134:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript24_ENSAPOG00000016134:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript8_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication])1:1[&&NHX:evol=creation],transcript16_ENSAOCG00000015695:1[&&NHX:evol=speciation]):1[&&NHX:evol=speciation];"
18;21;19;"(((transcript24_ENSMUNG00000002391,transcript12_ENSMUNG00000002391),transcript13_ENSMUNG00000002391),transcript1_ENSXMAG00000026005);";0.008036136627197266;"(((transcript24_ENSMUNG00000002391:1[&&NHX:evol=speciation],transcript12_ENSMUNG00000002391:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript13_ENSMUNG00000002391:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript1_ENSXMAG00000026005:1[&&NHX:evol=speciation]):1[&&NHX:evol=speciation];"
19;22;20;"(((((((((transcript23_ENSHGLG00100003156,transcript28_ENSHGLG00000019563),(transcript2_ENSHGLG00100003156,transcript8_ENSHGLG00000019563)),(transcript22_ENSHGLG00100003156,transcript27_ENSHGLG00000019563)),(transcript21_ENSHGLG00100003156,transcript26_ENSHGLG00000019563)),(transcript18_ENSHGLG00100003156,transcript19_ENSHGLG00000019563)),(transcript16_ENSHGLG00100003156,transcript16_ENSHGLG00000019563)),(transcript8_ENSHGLG00100003156,transcript13_ENSHGLG00000019563)),(transcript14_ENSHGLG00100006079,transcript7_ENSHGLG00100006079)),(transcript19_ENSPCIG00000036398,transcript2_ENSPCIG00000036398));";0.0107879638671875;"(((((((((transcript23_ENSHGLG00100003156:1[&&NHX:evol=speciation],transcript28_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],(transcript2_ENSHGLG00100003156:1[&&NHX:evol=speciation],transcript8_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(transcript22_ENSHGLG00100003156:1[&&NHX:evol=speciation],transcript27_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(transcript21_ENSHGLG00100003156:1[&&NHX:evol=speciation],transcript26_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(transcript18_ENSHGLG00100003156:1[&&NHX:evol=speciation],transcript19_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(transcript16_ENSHGLG00100003156:1[&&NHX:evol=speciation],transcript16_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(transcript8_ENSHGLG00100003156:1[&&NHX:evol=speciation],transcript13_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(transcript14_ENSHGLG00100006079:1[&&NHX:evol=speciation],transcript7_ENSHGLG00100006079:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=duplication],(transcript19_ENSPCIG00000036398:1[&&NHX:evol=speciation],transcript2_ENSPCIG00000036398:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation]):1[&&NHX:evol=speciation];"
20;23;21;"(((((((transcript23_ENSMUNG00000007775,transcript7_ENSMUNG00000007775),transcript22_ENSMUNG00000007775),transcript19_ENSMUNG00000007775),(((transcript28_ENSMUNG00000002377,transcript7_ENSMUNG00000002377),transcript27_ENSMUNG00000002377),transcript19_ENSMUNG00000002377)),transcript7_ENSMUNG00000002391),transcript6_ENSPCIG00000036398),(transcript3_ENSXMAG00000026005,transcript3_ENSPNYG00000024266));";0.008576631546020508;"(((((((transcript23_ENSMUNG00000007775:1[&&NHX:evol=speciation],transcript7_ENSMUNG00000007775:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript22_ENSMUNG00000007775:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript19_ENSMUNG00000007775:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(((transcript28_ENSMUNG00000002377:1[&&NHX:evol=speciation],transcript7_ENSMUNG00000002377:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript27_ENSMUNG00000002377:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript19_ENSMUNG00000002377:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=duplication],transcript7_ENSMUNG00000002391:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication],transcript6_ENSPCIG00000036398:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation],(transcript3_ENSXMAG00000026005:1[&&NHX:evol=speciation],transcript3_ENSPNYG00000024266:1[&&NHX:evol=speciation])1:1[&&NHX:evol=speciation]):1[&&NHX:evol=speciation];"
21;24;22;"(((((((transcript21_ENSAPOG00000016134,transcript23_ENSAPOG00000023408),(transcript9_ENSAPOG00000016134,((((transcript31_ENSAPOG00000023408,transcript7_ENSAPOG00000023408),transcript30_ENSAPOG00000023408),transcript29_ENSAPOG00000023408),transcript28_ENSAPOG00000023408))),(transcript14_ENSAPOG00000016134,transcript14_ENSAPOG00000023408)),((((((transcript29_ENSAOCG00000015695,transcript7_ENSAOCG00000015695),transcript28_ENSAOCG00000015695),transcript27_ENSAOCG00000015695),transcript26_ENSAOCG00000015695),transcript18_ENSAOCG00000015695),transcript17_ENSAOCG00000015695)),((((transcript24_ENSPNYG00000024266,transcript7_ENSPNYG00000024266),transcript23_ENSPNYG00000024266),transcript22_ENSPNYG00000024266),transcript12_ENSPNYG00000024266)),(transcript9_ENSXMAG00000026005,transcript7_ENSXMAG00000026005)),transcript21_ENSPNYG00000024266);";0.017425060272216797;"(((((((transcript21_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript23_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication],(transcript9_ENSAPOG00000016134:1[&&NHX:evol=speciation],((((transcript31_ENSAPOG00000023408:1[&&NHX:evol=speciation],transcript7_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript30_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript29_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript28_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=duplication])1:1[&&NHX:evol=creation],(transcript14_ENSAPOG00000016134:1[&&NHX:evol=speciation],transcript14_ENSAPOG00000023408:1[&&NHX:evol=speciation])1:1[&&NHX:evol=duplication])1:1[&&NHX:evol=creation],((((((transcript29_ENSAOCG00000015695:1[&&NHX:evol=speciation],transcript7_ENSAOCG00000015695:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript28_ENSAOCG00000015695:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript27_ENSAOCG00000015695:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript26_ENSAOCG00000015695:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript18_ENSAOCG00000015695:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript17_ENSAOCG00000015695:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],((((transcript24_ENSPNYG00000024266:1[&&NHX:evol=speciation],transcript7_ENSPNYG00000024266:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript23_ENSPNYG00000024266:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript22_ENSPNYG00000024266:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],transcript12_ENSPNYG00000024266:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],(transcript9_ENSXMAG00000026005:1[&&NHX:evol=speciation],transcript7_ENSXMAG00000026005:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=speciation],transcript21_ENSPNYG00000024266:1[&&NHX:evol=speciation]):1[&&NHX:evol=creation];"
22;25;23;"(((transcript21_ENSHGLG00100006079,transcript9_ENSHGLG00100006079),(transcript29_ENSHGLG00000019563,transcript9_ENSHGLG00000019563)),transcript9_ENSPCIG00000036398);";0.00967097282409668;"(((transcript21_ENSHGLG00100006079:1[&&NHX:evol=speciation],transcript9_ENSHGLG00100006079:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation],(transcript29_ENSHGLG00000019563:1[&&NHX:evol=speciation],transcript9_ENSHGLG00000019563:1[&&NHX:evol=speciation])1:1[&&NHX:evol=creation])1:1[&&NHX:evol=duplication],transcript9_ENSPCIG00000036398:1[&&NHX:evol=speciation]):1[&&NHX:evol=speciation];"
