;transcript38_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript57_ENSMUGG00000013649;transcript58_ENSMUGG00000013649;transcript59_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00015005362;transcript9_ENSCGRG00015005362;transcript38_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript52_ENSCGRG00000018457;transcript56_ENSCGRG00000018457;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript52_ENSCGRG00001010245;transcript8_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript39_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript58_ENSPEMG00000024651;transcript59_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript38_ENSCGRG00000018457;0.956;0.683;0.623;0.675;0.696;0.668;0.59;0.959;0.961;1.0;0.683;0.987;1.0;0.906;0.949;0.897;0.683;0.906;0.831;0.925;0.925;0.655;0.856;0.914;0.836;0.875;0.855;0.686;0.843;0.857;0.857;0.857;0.841;0.943;0.772;0.857
transcript52_ENSCGRG00000018457;0.864;0.669;0.608;0.66;0.681;0.654;0.576;0.943;0.945;0.906;0.669;0.893;0.906;1.0;0.857;0.99;0.669;1.0;0.818;0.912;0.912;0.643;0.843;0.901;0.823;0.961;0.842;0.62;0.844;0.843;0.843;0.843;0.826;0.927;0.758;0.843
transcript56_ENSCGRG00000018457;0.905;0.639;0.579;0.631;0.651;0.625;0.547;0.91;0.912;0.949;0.639;0.936;0.949;0.857;1.0;0.848;0.639;0.857;0.787;0.881;0.881;0.616;0.812;0.87;0.792;0.831;0.811;0.65;0.809;0.813;0.813;0.813;0.797;0.894;0.728;0.813
transcript65_ENSCGRG00000018457;0.856;0.661;0.6;0.652;0.673;0.646;0.568;0.934;0.936;0.897;0.661;0.884;0.897;0.99;0.848;1.0;0.661;0.99;0.81;0.904;0.904;0.636;0.835;0.893;0.815;0.953;0.833;0.626;0.838;0.834;0.834;0.834;0.818;0.918;0.749;0.834
transcript37_ENSCGRG00001010245;0.654;1.0;0.927;0.99;0.952;0.981;0.887;0.716;0.718;0.683;1.0;0.672;0.683;0.669;0.639;0.661;1.0;0.669;0.642;0.689;0.689;0.962;0.628;0.679;0.61;0.644;0.626;0.432;0.632;0.826;0.826;0.826;0.81;0.701;0.87;0.826
transcript52_ENSCGRG00001010245;0.864;0.669;0.608;0.66;0.681;0.654;0.576;0.943;0.945;0.906;0.669;0.893;0.906;1.0;0.857;0.99;0.669;1.0;0.818;0.912;0.912;0.643;0.843;0.901;0.823;0.961;0.842;0.62;0.844;0.843;0.843;0.843;0.826;0.927;0.758;0.843
transcript8_ENSPEMG00000024651;0.8;0.642;0.58;0.634;0.655;0.627;0.547;0.863;0.865;0.831;0.642;0.818;0.831;0.818;0.787;0.81;0.642;0.818;1.0;0.902;0.902;0.664;0.972;0.89;0.809;0.849;0.97;0.574;0.777;0.771;0.771;0.771;0.756;0.849;0.696;0.771
transcript9_ENSPEMG00000024651;0.886;0.689;0.629;0.681;0.703;0.674;0.596;0.957;0.959;0.925;0.689;0.913;0.925;0.912;0.881;0.904;0.689;0.912;0.902;1.0;1.0;0.712;0.928;0.988;0.907;0.947;0.926;0.649;0.849;0.855;0.855;0.855;0.84;0.943;0.78;0.855
transcript33_ENSPEMG00000024651;0.886;0.689;0.629;0.681;0.703;0.674;0.596;0.957;0.959;0.925;0.689;0.913;0.925;0.912;0.881;0.904;0.689;0.912;0.902;1.0;1.0;0.712;0.928;0.988;0.907;0.947;0.926;0.649;0.849;0.855;0.855;0.855;0.84;0.943;0.78;0.855
transcript37_ENSPEMG00000024651;0.627;0.962;0.888;0.952;0.915;0.944;0.849;0.684;0.686;0.655;0.962;0.644;0.655;0.643;0.616;0.636;0.962;0.643;0.664;0.712;0.712;1.0;0.648;0.702;0.63;0.665;0.647;0.422;0.605;0.795;0.795;0.795;0.78;0.671;0.837;0.795
transcript39_ENSPEMG00000024651;0.825;0.628;0.567;0.62;0.639;0.612;0.534;0.888;0.89;0.856;0.628;0.843;0.856;0.843;0.812;0.835;0.628;0.843;0.972;0.928;0.928;0.648;1.0;0.916;0.835;0.875;0.998;0.6;0.803;0.794;0.794;0.794;0.779;0.874;0.718;0.794
transcript56_ENSPEMG00000024651;0.876;0.679;0.618;0.671;0.693;0.675;0.597;0.946;0.948;0.914;0.679;0.901;0.914;0.901;0.87;0.893;0.679;0.901;0.89;0.988;0.988;0.702;0.916;1.0;0.896;0.935;0.915;0.64;0.84;0.845;0.845;0.845;0.83;0.932;0.77;0.845
transcript57_ENSPEMG00000024651;0.81;0.61;0.549;0.602;0.621;0.597;0.648;0.868;0.87;0.836;0.61;0.847;0.836;0.823;0.792;0.815;0.61;0.823;0.809;0.907;0.907;0.63;0.835;0.896;1.0;0.855;0.834;0.587;0.791;0.776;0.776;0.776;0.761;0.854;0.701;0.776
transcript58_ENSPEMG00000024651;0.836;0.644;0.583;0.636;0.656;0.63;0.551;0.906;0.908;0.875;0.644;0.862;0.875;0.961;0.831;0.953;0.644;0.961;0.849;0.947;0.947;0.665;0.875;0.935;0.855;1.0;0.874;0.612;0.814;0.81;0.81;0.81;0.795;0.892;0.735;0.81
transcript59_ENSPEMG00000024651;0.823;0.626;0.565;0.618;0.638;0.611;0.533;0.886;0.889;0.855;0.626;0.842;0.855;0.842;0.811;0.833;0.626;0.842;0.97;0.926;0.926;0.647;0.998;0.915;0.834;0.874;1.0;0.598;0.801;0.792;0.792;0.792;0.778;0.872;0.717;0.792
transcript8_ENSNGAG00000018584;0.669;0.432;0.384;0.436;0.45;0.424;0.367;0.658;0.66;0.686;0.432;0.68;0.686;0.62;0.65;0.626;0.432;0.62;0.574;0.649;0.649;0.422;0.6;0.64;0.587;0.612;0.598;1.0;0.748;0.588;0.588;0.588;0.598;0.672;0.548;0.588
transcript33_ENSNGAG00000018584;0.805;0.632;0.587;0.624;0.644;0.62;0.567;0.879;0.882;0.843;0.632;0.838;0.843;0.844;0.809;0.838;0.632;0.844;0.777;0.849;0.849;0.605;0.803;0.84;0.791;0.814;0.801;0.748;1.0;0.786;0.786;0.786;0.774;0.868;0.727;0.786
transcript8_ENSSTOG00000019743;0.819;0.826;0.766;0.818;0.787;0.81;0.733;0.89;0.892;0.857;0.826;0.845;0.857;0.843;0.813;0.834;0.826;0.843;0.771;0.855;0.855;0.795;0.794;0.845;0.776;0.81;0.792;0.588;0.786;1.0;1.0;1.0;0.984;0.875;0.915;1.0
transcript26_ENSSTOG00000019743;0.819;0.826;0.766;0.818;0.787;0.81;0.733;0.89;0.892;0.857;0.826;0.845;0.857;0.843;0.813;0.834;0.826;0.843;0.771;0.855;0.855;0.795;0.794;0.845;0.776;0.81;0.792;0.588;0.786;1.0;1.0;1.0;0.984;0.875;0.915;1.0
transcript29_ENSSTOG00000019743;0.819;0.826;0.766;0.818;0.787;0.81;0.733;0.89;0.892;0.857;0.826;0.845;0.857;0.843;0.813;0.834;0.826;0.843;0.771;0.855;0.855;0.795;0.794;0.845;0.776;0.81;0.792;0.588;0.786;1.0;1.0;1.0;0.984;0.875;0.915;1.0
transcript37_ENSSTOG00000019743;0.805;0.81;0.749;0.801;0.771;0.796;0.718;0.873;0.875;0.841;0.81;0.829;0.841;0.826;0.797;0.818;0.81;0.826;0.756;0.84;0.84;0.78;0.779;0.83;0.761;0.795;0.778;0.598;0.774;0.984;0.984;0.984;1.0;0.89;0.93;0.984
transcript38_ENSSTOG00000019743;0.903;0.701;0.641;0.693;0.715;0.687;0.609;0.98;0.982;0.943;0.701;0.93;0.943;0.927;0.894;0.918;0.701;0.927;0.849;0.943;0.943;0.671;0.874;0.932;0.854;0.892;0.872;0.672;0.868;0.875;0.875;0.875;0.89;1.0;0.82;0.875
transcript39_ENSSTOG00000019743;0.745;0.87;0.805;0.86;0.827;0.854;0.771;0.805;0.807;0.772;0.87;0.76;0.772;0.758;0.728;0.749;0.87;0.758;0.696;0.78;0.78;0.837;0.718;0.77;0.701;0.735;0.717;0.548;0.727;0.915;0.915;0.915;0.93;0.82;1.0;0.915
transcript40_ENSSTOG00000019743;0.819;0.826;0.766;0.818;0.787;0.81;0.733;0.89;0.892;0.857;0.826;0.845;0.857;0.843;0.813;0.834;0.826;0.843;0.771;0.855;0.855;0.795;0.794;0.845;0.776;0.81;0.792;0.588;0.786;1.0;1.0;1.0;0.984;0.875;0.915;1.0
