;ENSCAFT00000012325_90_90;ENSCAFT00000012333_90_90;ENST00000295951_90_90;ENST00000295952_90_90;ENST00000383718_90_90;ENST00000416658_90_90;ENST00000417128_90_90;ENST00000428312_90_90;ENST00000438794_90_90;ENST00000449503_90_90;ENST00000460223_90_90;ENST00000461354_90_90;ENST00000465203_90_90;ENST00000466255_90_90;ENST00000494088_90_90;ENST00000495364_90_90;ENSMUST00000038522_90_90;ENSMUST00000090359_90_90;ENSMUST00000102956_90_90;ENSMUST00000112330_90_90;ENSMUST00000112331_90_90;ENSMUST00000139075_90_90;ENSMUST00000142679_90_90;ENSMUST00000145738_90_90;ENSMUST00000146438_90_90
ENST00000465203_90_90;0.281;0.248;0.288;0.288;0.391;0.119;0.175;0.278;0.135;0.254;0.0;0.0;1.0;0.0;0.0;0.0;0.248;0.251;0.248;0.225;0.29;0.28;0.119;0.228;0.552
ENST00000466255_90_90;0.128;0.132;0.136;0.136;0.041;0.263;0.241;0.131;0.324;0.141;0.0;0.452;0.0;1.0;0.386;0.339;0.132;0.131;0.132;0.141;0.154;0.127;0.263;0.203;0.0
ENST00000494088_90_90;0.335;0.296;0.304;0.304;0.032;0.686;0.639;0.295;0.526;0.315;0.244;0.21;0.0;0.386;1.0;0.708;0.346;0.295;0.346;0.315;0.346;0.287;0.686;0.456;0.0
ENST00000495364_90_90;0.331;0.393;0.405;0.405;0.031;0.65;0.612;0.392;0.477;0.419;0.104;0.328;0.0;0.339;0.708;1.0;0.341;0.392;0.341;0.419;0.463;0.381;0.65;0.615;0.0
ENSMUST00000038522_90_90;0.926;0.886;0.801;0.801;0.583;0.502;0.52;0.83;0.332;0.826;0.083;0.127;0.248;0.132;0.346;0.341;1.0;0.865;1.0;0.863;0.726;0.895;0.502;0.596;0.222
ENSMUST00000090359_90_90;0.861;0.896;0.927;0.927;0.534;0.446;0.463;0.958;0.33;0.893;0.043;0.127;0.251;0.131;0.295;0.392;0.865;1.0;0.865;0.933;0.851;0.969;0.446;0.657;0.224
ENSMUST00000102956_90_90;0.926;0.886;0.801;0.801;0.583;0.502;0.52;0.83;0.332;0.826;0.083;0.127;0.248;0.132;0.346;0.341;1.0;0.865;1.0;0.863;0.726;0.895;0.502;0.596;0.222
ENSMUST00000112330_90_90;0.8;0.895;0.921;0.921;0.522;0.476;0.495;0.893;0.352;0.954;0.045;0.136;0.225;0.141;0.315;0.419;0.863;0.933;0.863;1.0;0.845;0.905;0.476;0.648;0.197
ENSMUST00000112331_90_90;0.758;0.792;0.838;0.838;0.397;0.52;0.538;0.812;0.385;0.803;0.051;0.148;0.29;0.154;0.346;0.463;0.726;0.851;0.726;0.845;1.0;0.825;0.52;0.706;0.261
ENSMUST00000139075_90_90;0.889;0.927;0.899;0.899;0.563;0.432;0.45;0.929;0.321;0.867;0.041;0.122;0.28;0.127;0.287;0.381;0.895;0.969;0.895;0.905;0.825;1.0;0.432;0.636;0.255
ENSMUST00000142679_90_90;0.486;0.447;0.46;0.46;0.137;1.0;0.763;0.446;0.542;0.476;0.166;0.254;0.119;0.263;0.686;0.65;0.502;0.446;0.502;0.476;0.52;0.432;1.0;0.681;0.068
ENSMUST00000145738_90_90;0.576;0.658;0.59;0.59;0.258;0.681;0.695;0.621;0.499;0.611;0.066;0.195;0.228;0.203;0.456;0.615;0.596;0.657;0.596;0.648;0.706;0.636;0.681;1.0;0.114
ENSMUST00000146438_90_90;0.255;0.222;0.231;0.231;0.321;0.068;0.028;0.224;0.0;0.197;0.0;0.0;0.552;0.0;0.0;0.0;0.222;0.224;0.222;0.197;0.261;0.255;0.068;0.114;1.0
