;transcript8_ENSAOCG00000015695;transcript8_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript26_ENSAOCG00000015695;transcript7_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript27_ENSAPOG00000016134;transcript27_ENSAPOG00000023408;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript30_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript32_ENSAPOG00000016134;transcript32_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript36_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript1_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript36_ENSAPOG00000016134;0.884;0.89;0.673;0.962;0.938;0.938;0.942;0.942;0.921;0.924;1.0;0.985;0.992;0.844;0.784;0.777;0.777;0.717;0.776;0.911;0.942;0.909;0.985;0.992;0.909
transcript37_ENSAPOG00000016134;0.898;0.905;0.664;0.976;0.952;0.952;0.956;0.956;0.935;0.938;0.985;1.0;0.977;0.858;0.798;0.79;0.79;0.73;0.79;0.925;0.956;0.923;1.0;0.978;0.923
transcript38_ENSAPOG00000016134;0.878;0.883;0.667;0.954;0.931;0.931;0.935;0.935;0.914;0.917;0.992;0.977;1.0;0.837;0.777;0.77;0.77;0.71;0.769;0.904;0.935;0.902;0.977;1.0;0.902
transcript30_ENSAPOG00000023408;0.804;0.81;0.653;0.88;0.904;0.904;0.9;0.9;0.923;0.882;0.844;0.858;0.837;1.0;0.935;0.779;0.779;0.719;0.778;0.87;0.9;0.911;0.858;0.837;0.911
transcript40_ENSAPOG00000023408;0.744;0.75;0.592;0.82;0.844;0.844;0.84;0.84;0.863;0.822;0.784;0.798;0.777;0.935;1.0;0.719;0.719;0.765;0.718;0.81;0.84;0.852;0.798;0.777;0.852
transcript32_ENSAPOG00000016134;0.737;0.743;0.853;0.813;0.829;0.829;0.833;0.833;0.856;0.815;0.777;0.79;0.77;0.779;0.719;1.0;1.0;0.93;0.999;0.803;0.833;0.845;0.79;0.77;0.845
transcript32_ENSAPOG00000023408;0.737;0.743;0.853;0.813;0.829;0.829;0.833;0.833;0.856;0.815;0.777;0.79;0.77;0.779;0.719;1.0;1.0;0.93;0.999;0.803;0.833;0.845;0.79;0.77;0.845
transcript41_ENSAPOG00000023408;0.677;0.683;0.782;0.753;0.768;0.768;0.773;0.773;0.796;0.755;0.717;0.73;0.71;0.719;0.765;0.93;0.93;1.0;0.929;0.743;0.773;0.785;0.73;0.71;0.785
transcript43_ENSAPOG00000023408;0.737;0.744;0.852;0.812;0.828;0.828;0.832;0.832;0.855;0.814;0.776;0.79;0.769;0.778;0.718;0.999;0.999;0.929;1.0;0.803;0.832;0.844;0.79;0.769;0.844
transcript36_ENSAOCG00000015695;0.885;0.892;0.677;0.904;0.964;0.964;0.969;0.969;0.947;0.95;0.911;0.925;0.904;0.87;0.81;0.803;0.803;0.743;0.803;1.0;0.969;0.935;0.925;0.904;0.935
transcript25_ENSAOCG00000015695;0.86;0.866;0.707;0.935;0.995;0.995;1.0;1.0;0.977;0.981;0.942;0.956;0.935;0.9;0.84;0.833;0.833;0.773;0.832;0.969;1.0;0.965;0.956;0.935;0.965
transcript1_ENSAOCG00000015695;0.87;0.876;0.72;0.945;0.96;0.96;0.965;0.965;0.987;0.947;0.909;0.923;0.902;0.911;0.852;0.845;0.845;0.785;0.844;0.935;0.965;1.0;0.923;0.902;1.0
transcript37_ENSAOCG00000015695;0.898;0.905;0.664;0.976;0.952;0.952;0.956;0.956;0.935;0.938;0.985;1.0;0.977;0.858;0.798;0.79;0.79;0.73;0.79;0.925;0.956;0.923;1.0;0.978;0.923
transcript38_ENSAOCG00000015695;0.878;0.883;0.666;0.955;0.931;0.931;0.935;0.935;0.914;0.917;0.992;0.978;1.0;0.837;0.777;0.77;0.77;0.71;0.769;0.904;0.935;0.902;0.978;1.0;0.902
transcript22_ENSPNYG00000024266;0.87;0.876;0.72;0.945;0.96;0.96;0.965;0.965;0.987;0.947;0.909;0.923;0.902;0.911;0.852;0.845;0.845;0.785;0.844;0.935;0.965;1.0;0.923;0.902;1.0
