;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript52_ENSMSIG00000000513;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript63_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript8_ENSRNOG00000031503;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript39_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript50_ENSRNOG00000031503;transcript50_ENSMUGG00000013649;transcript12_ENSMUGG00000013649
transcript55_ENSMUSG00000054036;0.743;0.476;0.536;0.427;0.377;0.426;0.6;0.533;0.865;0.913;1.0;0.841;0.816;0.9;0.983;0.964;0.954;0.954;0.976;0.973;0.92;0.929;0.95
transcript8_MGP-CAROLIEiJ-G0020234;0.778;0.26;0.314;0.234;0.28;0.341;0.528;0.5;0.65;0.912;0.841;1.0;0.967;0.938;0.786;0.778;0.768;0.768;0.786;0.784;0.775;0.789;0.782
transcript8_ENSRNOG00000031503;0.7;0.248;0.279;0.218;0.262;0.297;0.488;0.445;0.62;0.85;0.816;0.967;1.0;0.836;0.689;0.713;0.698;0.698;0.681;0.681;0.701;0.68;0.673
transcript47_MGP-CAROLIEiJ-G0020234;0.848;0.397;0.481;0.36;0.424;0.517;0.625;0.588;0.764;0.965;0.9;0.938;0.836;1.0;0.859;0.825;0.847;0.847;0.863;0.861;0.828;0.846;0.839
transcript39_MGP-PahariEiJ-G0020237;0.731;0.443;0.556;0.434;0.354;0.442;0.534;0.521;0.865;0.896;0.983;0.786;0.689;0.859;1.0;0.976;0.976;0.976;1.0;1.0;0.944;0.96;0.977
transcript39_ENSRNOG00000031503;0.683;0.434;0.522;0.418;0.339;0.402;0.527;0.506;0.849;0.873;0.964;0.778;0.713;0.825;0.976;1.0;0.98;0.98;0.958;0.958;0.954;0.913;0.931
transcript31_ENSRNOG00000031503;0.708;0.461;0.554;0.443;0.365;0.434;0.518;0.501;0.833;0.862;0.954;0.768;0.698;0.847;0.976;0.98;1.0;1.0;0.976;0.976;0.973;0.931;0.95
transcript32_ENSRNOG00000031503;0.708;0.461;0.554;0.443;0.365;0.434;0.518;0.501;0.833;0.862;0.954;0.768;0.698;0.847;0.976;0.98;1.0;1.0;0.976;0.976;0.973;0.931;0.95
transcript32_ENSMUGG00000013649;0.742;0.444;0.556;0.433;0.359;0.449;0.533;0.518;0.853;0.891;0.976;0.786;0.681;0.863;1.0;0.958;0.976;0.976;1.0;0.998;0.949;0.964;0.979
transcript32_ENSMUGG00000013592;0.741;0.443;0.555;0.431;0.359;0.448;0.531;0.516;0.851;0.889;0.973;0.784;0.681;0.861;1.0;0.958;0.976;0.976;0.998;1.0;0.949;0.961;0.976
transcript50_ENSRNOG00000031503;0.758;0.405;0.489;0.396;0.339;0.405;0.499;0.486;0.774;0.859;0.92;0.775;0.701;0.828;0.944;0.954;0.973;0.973;0.949;0.949;1.0;0.976;0.966
transcript50_ENSMUGG00000013649;0.782;0.393;0.492;0.384;0.337;0.422;0.514;0.501;0.786;0.883;0.929;0.789;0.68;0.846;0.96;0.913;0.931;0.931;0.964;0.961;0.976;1.0;0.984
transcript12_ENSMUGG00000013649;0.766;0.414;0.518;0.405;0.33;0.41;0.503;0.49;0.814;0.866;0.95;0.782;0.673;0.839;0.977;0.931;0.95;0.95;0.979;0.976;0.966;0.984;1.0
