;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript11_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript3_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript18_ENSPCIG00000036398;transcript3_ENSMUNG00000007775;transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391
transcript7_ENSHGLG00100006079;0.956;0.956;0.956;0.956;0.956;0.658;0.956;0.512;0.658;0.945;1.0;1.0;0.297;0.832;0.832;0.328;0.832;0.285;0.738;0.308;0.297;0.3;0.308;0.285;0.744
transcript10_ENSHGLG00100006079;0.956;0.956;0.956;0.956;0.956;0.658;0.956;0.512;0.658;0.945;1.0;1.0;0.297;0.832;0.832;0.328;0.832;0.285;0.738;0.308;0.297;0.3;0.308;0.285;0.744
transcript3_ENSPCIG00000036398;0.311;0.311;0.311;0.311;0.311;0.197;0.311;0.153;0.197;0.307;0.297;0.297;1.0;0.266;0.266;0.905;0.266;0.924;0.305;0.94;0.965;0.977;0.94;0.925;0.31
transcript7_ENSPCIG00000036398;0.848;0.848;0.848;0.848;0.848;0.736;0.848;0.573;0.736;0.847;0.832;0.832;0.266;1.0;1.0;0.294;1.0;0.253;0.836;0.275;0.263;0.265;0.275;0.253;0.846
transcript8_ENSPCIG00000036398;0.848;0.848;0.848;0.848;0.848;0.736;0.848;0.573;0.736;0.847;0.832;0.832;0.266;1.0;1.0;0.294;1.0;0.253;0.836;0.275;0.263;0.265;0.275;0.253;0.846
transcript15_ENSPCIG00000036398;0.343;0.343;0.343;0.343;0.343;0.217;0.343;0.169;0.217;0.339;0.328;0.328;0.905;0.294;0.294;1.0;0.294;0.859;0.279;0.912;0.899;0.91;0.912;0.86;0.283
transcript18_ENSPCIG00000036398;0.848;0.848;0.848;0.848;0.848;0.736;0.848;0.573;0.736;0.847;0.832;0.832;0.266;1.0;1.0;0.294;1.0;0.253;0.836;0.275;0.263;0.265;0.275;0.253;0.846
transcript3_ENSMUNG00000007775;0.298;0.298;0.298;0.298;0.298;0.188;0.298;0.146;0.188;0.294;0.285;0.285;0.924;0.253;0.253;0.859;0.253;1.0;0.293;0.901;0.928;0.936;0.901;0.999;0.298
transcript8_ENSMUNG00000002377;0.75;0.75;0.75;0.75;0.75;0.642;0.75;0.5;0.642;0.75;0.738;0.738;0.305;0.836;0.836;0.279;0.836;0.293;1.0;0.325;0.311;0.313;0.325;0.293;0.978
transcript15_ENSMUNG00000002377;0.321;0.321;0.321;0.321;0.321;0.209;0.321;0.163;0.209;0.317;0.308;0.308;0.94;0.275;0.275;0.912;0.275;0.901;0.325;1.0;0.951;0.963;1.0;0.9;0.323
transcript16_ENSMUNG00000002377;0.31;0.31;0.31;0.31;0.31;0.199;0.31;0.155;0.199;0.307;0.297;0.297;0.965;0.263;0.263;0.899;0.263;0.928;0.311;0.951;1.0;0.987;0.951;0.927;0.308
transcript22_ENSMUNG00000002377;0.313;0.313;0.313;0.313;0.313;0.201;0.313;0.157;0.201;0.31;0.3;0.3;0.977;0.265;0.265;0.91;0.265;0.936;0.313;0.963;0.987;1.0;0.963;0.935;0.311
transcript23_ENSMUNG00000002377;0.321;0.321;0.321;0.321;0.321;0.209;0.321;0.163;0.209;0.317;0.308;0.308;0.94;0.275;0.275;0.912;0.275;0.901;0.325;1.0;0.951;0.963;1.0;0.9;0.323
transcript3_ENSMUNG00000002391;0.298;0.298;0.298;0.298;0.298;0.188;0.298;0.146;0.188;0.295;0.285;0.285;0.925;0.253;0.253;0.86;0.253;0.999;0.293;0.9;0.927;0.935;0.9;1.0;0.298
transcript10_ENSMUNG00000002391;0.759;0.759;0.759;0.759;0.759;0.63;0.759;0.49;0.63;0.758;0.744;0.744;0.31;0.846;0.846;0.283;0.846;0.298;0.978;0.323;0.308;0.311;0.323;0.298;1.0
