;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript7_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript50_MGP-PahariEiJ-G0020237;transcript55_ENSMSIG00000000513;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript54_ENSMUSG00000054036;transcript60_ENSMSIG00000000513;transcript60_MGP-CAROLIEiJ-G0020234;transcript59_MGP-SPRETEiJ-G0021131;transcript59_MGP-CAROLIEiJ-G0020234;transcript61_MGP-SPRETEiJ-G0021131;transcript61_MGP-CAROLIEiJ-G0020234;transcript50_ENSMSIG00000000513;transcript50_MGP-CAROLIEiJ-G0020234;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript57_MGP-PahariEiJ-G0020237;transcript70_MGP-SPRETEiJ-G0021131
transcript60_MGP-CAROLIEiJ-G0020234;0.766;0.763;0.763;0.682;0.854;0.839;0.915;0.826;0.701;0.993;1.0;0.723;0.73;0.72;0.728;0.853;0.859;0.676;0.669;0.653;0.717;0.629
transcript59_MGP-SPRETEiJ-G0021131;0.758;0.754;0.761;0.94;0.715;0.704;0.679;0.695;0.854;0.726;0.723;1.0;0.988;0.997;0.986;0.715;0.712;0.93;0.922;0.905;0.829;0.879
transcript59_MGP-CAROLIEiJ-G0020234;0.758;0.754;0.756;0.929;0.715;0.704;0.679;0.694;0.85;0.726;0.73;0.988;1.0;0.986;0.997;0.714;0.718;0.919;0.912;0.895;0.825;0.869
transcript61_MGP-SPRETEiJ-G0021131;0.756;0.752;0.758;0.937;0.713;0.702;0.676;0.692;0.852;0.723;0.72;0.997;0.986;1.0;0.988;0.712;0.709;0.928;0.92;0.903;0.827;0.877
transcript61_MGP-CAROLIEiJ-G0020234;0.756;0.752;0.753;0.927;0.712;0.702;0.677;0.692;0.847;0.724;0.728;0.986;0.997;0.988;1.0;0.712;0.716;0.917;0.909;0.892;0.823;0.866
transcript50_ENSMSIG00000000513;0.761;0.755;0.758;0.739;1.0;0.958;0.876;0.969;0.758;0.859;0.853;0.715;0.714;0.712;0.712;1.0;0.994;0.732;0.725;0.71;0.84;0.687
transcript50_MGP-CAROLIEiJ-G0020234;0.757;0.752;0.755;0.735;0.994;0.951;0.871;0.962;0.755;0.854;0.859;0.712;0.718;0.709;0.716;0.994;1.0;0.729;0.722;0.707;0.835;0.683
transcript62_MGP-SPRETEiJ-G0021131;0.762;0.759;0.765;0.985;0.733;0.766;0.742;0.756;0.854;0.679;0.676;0.93;0.919;0.928;0.917;0.732;0.729;1.0;0.992;0.975;0.89;0.949
transcript69_MGP-SPRETEiJ-G0021131;0.755;0.751;0.757;0.977;0.726;0.759;0.735;0.752;0.847;0.672;0.669;0.922;0.912;0.92;0.909;0.725;0.722;0.992;1.0;0.967;0.883;0.941
transcript72_MGP-SPRETEiJ-G0021131;0.78;0.776;0.782;0.96;0.71;0.744;0.719;0.734;0.832;0.656;0.653;0.905;0.895;0.903;0.892;0.71;0.707;0.975;0.967;1.0;0.868;0.924
transcript57_MGP-PahariEiJ-G0020237;0.683;0.68;0.682;0.876;0.84;0.854;0.783;0.863;0.914;0.721;0.717;0.829;0.825;0.827;0.823;0.84;0.835;0.89;0.883;0.868;1.0;0.845
transcript70_MGP-SPRETEiJ-G0021131;0.712;0.708;0.714;0.934;0.687;0.72;0.695;0.71;0.808;0.632;0.629;0.879;0.869;0.877;0.866;0.687;0.683;0.949;0.941;0.924;0.845;1.0
