;ENSCAFT00000013569_90_90;ENSCAFT00000048577_90_90;ENSCAFT00000049950_90_90;ENST00000314177_90_90;ENST00000338564_90_90;ENST00000340545_90_90;ENST00000397620_90_90;ENST00000397624_90_90;ENST00000424352_90_90;ENST00000557796_90_90;ENST00000558313_90_90;ENST00000559085_90_90;ENST00000559561_90_90;ENST00000560570_90_90;ENST00000560617_90_90;ENST00000560697_90_90;ENST00000561208_90_90;ENST00000606653_90_90;ENST00000607277_90_90;ENSMUST00000028639_90_90;ENSMUST00000074285_90_90;ENSMUST00000102538_90_90;ENSMUST00000110906_90_90;ENSMUST00000110907_90_90;ENSMUST00000110908_90_90
ENST00000558313_90_90;0.25;0.25;0.333;0.316;0.261;0.286;0.438;0.438;0.24;0.286;1.0;0.273;0.25;0.071;0.375;0.286;0.25;0.2;0.176;0.25;0.25;0.261;0.24;0.24;0.25
ENST00000559085_90_90;0.692;0.692;0.407;0.625;0.72;0.952;0.682;0.682;0.875;0.952;0.273;1.0;0.833;0.208;0.19;0.095;0.76;0.182;0.417;0.692;0.692;0.654;0.731;0.731;0.692
ENST00000559561_90_90;0.769;0.643;0.429;0.783;0.875;0.87;0.625;0.625;0.958;0.87;0.25;0.833;1.0;0.348;0.174;0.087;0.84;0.167;0.385;0.769;0.704;0.8;0.679;0.808;0.84
ENST00000560570_90_90;0.24;0.192;0.19;0.444;0.364;0.217;0.043;0.043;0.333;0.217;0.071;0.208;0.348;1.0;0.0;0.0;0.348;0.0;0.0;0.292;0.192;0.304;0.185;0.28;0.292
ENST00000560617_90_90;0.174;0.174;0.235;0.222;0.182;0.2;0.25;0.25;0.167;0.2;0.375;0.19;0.174;0.0;1.0;0.5;0.174;0.5;0.308;0.174;0.174;0.182;0.167;0.167;0.174
ENST00000560697_90_90;0.087;0.087;0.118;0.111;0.091;0.1;0.125;0.125;0.083;0.1;0.286;0.095;0.087;0.0;0.5;1.0;0.087;0.167;0.154;0.087;0.087;0.091;0.083;0.083;0.087
ENST00000561208_90_90;0.704;0.769;0.429;0.783;0.957;0.72;0.5;0.5;0.88;0.72;0.25;0.76;0.84;0.348;0.174;0.087;1.0;0.167;0.385;0.917;0.643;0.875;0.679;0.808;0.769
ENST00000606653_90_90;0.167;0.167;0.222;0.211;0.174;0.19;0.235;0.235;0.16;0.19;0.2;0.182;0.167;0.0;0.5;0.167;0.167;1.0;0.286;0.167;0.167;0.174;0.16;0.16;0.167
ENST00000607277_90_90;0.44;0.385;0.2;0.292;0.4;0.435;0.526;0.526;0.37;0.435;0.176;0.417;0.385;0.0;0.308;0.154;0.385;0.286;1.0;0.385;0.44;0.4;0.423;0.423;0.44
ENSMUST00000028639_90_90;0.769;0.84;0.481;0.708;0.875;0.654;0.5;0.5;0.808;0.654;0.25;0.692;0.769;0.292;0.174;0.087;0.917;0.167;0.385;1.0;0.704;0.957;0.741;0.88;0.84
ENSMUST00000074285_90_90;0.84;0.769;0.538;0.577;0.667;0.72;0.56;0.56;0.679;0.72;0.25;0.692;0.704;0.192;0.174;0.087;0.643;0.167;0.44;0.704;1.0;0.731;0.958;0.808;0.84
ENSMUST00000102538_90_90;0.8;0.8;0.5;0.739;0.913;0.68;0.52;0.52;0.769;0.68;0.261;0.654;0.8;0.304;0.182;0.091;0.875;0.174;0.4;0.957;0.731;1.0;0.704;0.84;0.875
ENSMUST00000110906_90_90;0.808;0.808;0.519;0.556;0.643;0.692;0.538;0.538;0.714;0.692;0.24;0.731;0.679;0.185;0.167;0.083;0.679;0.16;0.423;0.741;0.958;0.704;1.0;0.846;0.808
ENSMUST00000110907_90_90;0.88;0.741;0.464;0.68;0.769;0.692;0.538;0.538;0.846;0.692;0.24;0.731;0.808;0.28;0.167;0.083;0.808;0.16;0.423;0.88;0.808;0.84;0.846;1.0;0.958
ENSMUST00000110908_90_90;0.917;0.704;0.481;0.708;0.8;0.72;0.56;0.56;0.808;0.72;0.25;0.692;0.84;0.292;0.174;0.087;0.769;0.167;0.44;0.84;0.84;0.875;0.808;0.958;1.0
