;ENSCAFT00000003726_90_90;ENSCAFT00000003727_90_90;ENST00000502815_90_90;ENST00000504896_90_90;ENST00000506700_90_90;ENST00000506720_90_90;ENST00000506746_90_90;ENST00000507164_90_90;ENST00000507625_90_90;ENST00000508693_90_90;ENST00000508946_90_90;ENST00000509896_90_90;ENST00000511324_90_90;ENST00000512091_90_90;ENST00000514157_90_90;ENST00000514591_90_90;ENST00000514996_90_90;ENSMUST00000036068_90_90;ENSMUST00000072521_90_90;ENSMUST00000117253_90_90;ENSMUST00000117407_90_90;ENSMUST00000117985_90_90;ENSMUST00000118034_90_90;ENSMUST00000118078_90_90;ENSMUST00000118442_90_90;ENSMUST00000119385_90_90;ENSMUST00000119788_90_90;ENSMUST00000120128_90_90;ENSMUST00000120144_90_90;ENSMUST00000120292_90_90;ENSMUST00000120445_90_90;ENSMUST00000120673_90_90;ENSMUST00000121641_90_90;ENSMUST00000121707_90_90;ENSMUST00000122037_90_90;ENSMUST00000122356_90_90;ENSMUST00000124117_90_90;ENSMUST00000132375_90_90
ENST00000508946_90_90;0.4;0.72;0.348;0.846;0.692;0.958;0.875;0.741;0.792;0.815;1.0;0.741;0.667;0.769;0.769;0.913;0.913;0.769;0.731;0.533;0.586;0.8;0.72;0.593;0.643;0.571;0.769;0.667;0.607;0.679;0.655;0.769;0.692;0.654;0.708;0.68;0.304;0.167
ENST00000509896_90_90;0.286;0.63;0.28;0.885;0.875;0.778;0.704;0.846;0.76;0.923;0.741;1.0;0.917;0.958;0.808;0.8;0.667;0.808;0.769;0.516;0.679;0.643;0.571;0.692;0.808;0.731;0.679;0.769;0.643;0.714;0.75;0.679;0.607;0.692;0.615;0.654;0.24;0.16
ENST00000511324_90_90;0.259;0.615;0.304;0.808;0.955;0.704;0.76;0.917;0.826;0.846;0.667;0.917;1.0;0.875;0.875;0.72;0.72;0.731;0.692;0.552;0.731;0.571;0.615;0.75;0.731;0.792;0.607;0.692;0.692;0.643;0.679;0.607;0.654;0.75;0.667;0.708;0.261;0.174
ENST00000512091_90_90;0.296;0.593;0.292;0.92;0.913;0.741;0.667;0.808;0.72;0.885;0.769;0.958;0.875;1.0;0.84;0.833;0.692;0.769;0.731;0.533;0.643;0.667;0.593;0.72;0.769;0.692;0.643;0.8;0.667;0.741;0.714;0.643;0.571;0.654;0.64;0.615;0.25;0.167
ENST00000514157_90_90;0.296;0.593;0.292;0.92;0.913;0.741;0.8;0.958;0.72;0.885;0.769;0.808;0.875;0.84;1.0;0.692;0.833;0.643;0.607;0.643;0.704;0.607;0.654;0.72;0.643;0.692;0.586;0.667;0.731;0.679;0.655;0.586;0.63;0.654;0.64;0.615;0.25;0.167
ENST00000514591_90_90;0.375;0.708;0.381;0.769;0.75;0.875;0.792;0.667;0.864;0.741;0.913;0.8;0.72;0.833;0.692;1.0;0.826;0.833;0.792;0.467;0.571;0.792;0.708;0.64;0.692;0.615;0.76;0.72;0.593;0.667;0.643;0.76;0.68;0.708;0.773;0.739;0.333;0.182
ENST00000514996_90_90;0.375;0.708;0.381;0.769;0.75;0.875;0.955;0.8;0.864;0.741;0.913;0.667;0.72;0.692;0.833;0.826;1.0;0.692;0.654;0.571;0.63;0.72;0.783;0.64;0.571;0.615;0.692;0.593;0.654;0.607;0.586;0.692;0.75;0.708;0.773;0.739;0.333;0.182
ENSMUST00000036068_90_90;0.346;0.654;0.348;0.714;0.692;0.808;0.731;0.679;0.792;0.75;0.769;0.808;0.731;0.769;0.643;0.833;0.692;1.0;0.8;0.438;0.586;0.667;0.593;0.593;0.704;0.63;0.704;0.667;0.552;0.621;0.655;0.704;0.63;0.72;0.64;0.68;0.304;0.12
ENSMUST00000072521_90_90;0.36;0.615;0.364;0.679;0.654;0.769;0.692;0.643;0.75;0.714;0.731;0.769;0.692;0.731;0.607;0.792;0.654;0.8;1.0;0.552;0.731;0.833;0.75;0.75;0.875;0.792;0.875;0.833;0.692;0.769;0.808;0.875;0.792;0.909;0.818;0.864;0.318;0.227
ENSMUST00000117253_90_90;0.25;0.433;0.192;0.6;0.571;0.516;0.552;0.621;0.483;0.581;0.533;0.516;0.552;0.533;0.643;0.467;0.571;0.438;0.552;1.0;0.769;0.607;0.654;0.72;0.643;0.692;0.586;0.667;0.8;0.741;0.714;0.586;0.63;0.593;0.577;0.556;0.154;0.217
ENSMUST00000117407_90_90;0.25;0.483;0.292;0.655;0.692;0.621;0.667;0.741;0.654;0.69;0.586;0.679;0.731;0.643;0.704;0.571;0.63;0.586;0.731;0.769;1.0;0.731;0.792;0.87;0.84;0.913;0.643;0.8;0.957;0.88;0.92;0.769;0.833;0.792;0.708;0.75;0.25;0.217
ENSMUST00000117985_90_90;0.36;0.556;0.364;0.679;0.593;0.769;0.692;0.586;0.68;0.655;0.8;0.643;0.571;0.667;0.607;0.792;0.72;0.667;0.833;0.607;0.731;1.0;0.909;0.68;0.731;0.654;0.8;0.76;0.76;0.84;0.808;0.957;0.87;0.75;0.818;0.783;0.318;0.227
ENSMUST00000118034_90_90;0.333;0.538;0.4;0.607;0.64;0.692;0.75;0.63;0.739;0.586;0.72;0.571;0.615;0.593;0.654;0.708;0.783;0.593;0.75;0.654;0.792;0.909;1.0;0.739;0.654;0.708;0.72;0.68;0.826;0.76;0.731;0.87;0.952;0.818;0.9;0.857;0.35;0.25
ENSMUST00000118078_90_90;0.28;0.481;0.333;0.667;0.783;0.571;0.615;0.692;0.667;0.643;0.593;0.692;0.75;0.72;0.72;0.64;0.64;0.593;0.75;0.72;0.87;0.68;0.739;1.0;0.87;0.952;0.654;0.909;0.909;0.833;0.8;0.654;0.708;0.818;0.81;0.773;0.286;0.25
ENSMUST00000118442_90_90;0.296;0.536;0.292;0.714;0.692;0.679;0.607;0.679;0.654;0.75;0.643;0.808;0.731;0.769;0.643;0.692;0.571;0.704;0.875;0.643;0.84;0.731;0.654;0.87;1.0;0.913;0.769;0.957;0.8;0.88;0.92;0.769;0.692;0.792;0.708;0.75;0.25;0.217
ENSMUST00000119385_90_90;0.269;0.519;0.318;0.643;0.75;0.607;0.654;0.731;0.708;0.679;0.571;0.731;0.792;0.692;0.692;0.615;0.615;0.63;0.792;0.692;0.913;0.654;0.708;0.952;0.913;1.0;0.692;0.87;0.87;0.8;0.84;0.692;0.75;0.864;0.773;0.818;0.273;0.238
ENSMUST00000119788_90_90;0.4;0.654;0.348;0.655;0.571;0.808;0.731;0.621;0.72;0.69;0.769;0.679;0.607;0.643;0.586;0.76;0.692;0.704;0.875;0.586;0.643;0.8;0.72;0.654;0.769;0.692;1.0;0.731;0.607;0.679;0.714;0.84;0.76;0.792;0.783;0.826;0.304;0.217
ENSMUST00000120128_90_90;0.308;0.5;0.304;0.741;0.72;0.643;0.571;0.643;0.615;0.714;0.667;0.769;0.692;0.8;0.667;0.72;0.593;0.667;0.833;0.667;0.8;0.76;0.68;0.909;0.957;0.87;0.731;1.0;0.833;0.917;0.88;0.731;0.654;0.75;0.739;0.708;0.261;0.227
ENSMUST00000120144_90_90;0.259;0.448;0.304;0.679;0.72;0.586;0.63;0.704;0.615;0.655;0.607;0.643;0.692;0.667;0.731;0.593;0.654;0.552;0.692;0.8;0.957;0.76;0.826;0.909;0.8;0.87;0.607;0.833;1.0;0.917;0.88;0.731;0.792;0.75;0.739;0.708;0.261;0.227
ENSMUST00000120292_90_90;0.286;0.467;0.28;0.75;0.667;0.655;0.586;0.655;0.571;0.724;0.679;0.714;0.643;0.741;0.679;0.667;0.607;0.621;0.769;0.741;0.88;0.84;0.76;0.833;0.88;0.8;0.679;0.917;0.917;1.0;0.96;0.808;0.731;0.692;0.68;0.654;0.24;0.208
ENSMUST00000120445_90_90;0.276;0.5;0.269;0.724;0.643;0.69;0.621;0.69;0.607;0.759;0.655;0.75;0.679;0.714;0.655;0.643;0.586;0.655;0.808;0.714;0.92;0.808;0.731;0.8;0.92;0.84;0.714;0.88;0.88;0.96;1.0;0.846;0.769;0.731;0.654;0.692;0.231;0.2
ENSMUST00000120673_90_90;0.346;0.593;0.348;0.655;0.571;0.808;0.731;0.621;0.72;0.69;0.769;0.679;0.607;0.643;0.586;0.76;0.692;0.704;0.875;0.586;0.769;0.957;0.87;0.654;0.769;0.692;0.84;0.731;0.731;0.808;0.846;1.0;0.913;0.792;0.783;0.826;0.304;0.217
ENSMUST00000121641_90_90;0.32;0.577;0.381;0.586;0.615;0.731;0.792;0.667;0.783;0.621;0.692;0.607;0.654;0.571;0.63;0.68;0.75;0.63;0.792;0.63;0.833;0.87;0.952;0.708;0.692;0.75;0.76;0.654;0.792;0.731;0.769;0.913;1.0;0.864;0.857;0.905;0.333;0.238
ENSMUST00000121707_90_90;0.333;0.6;0.4;0.607;0.708;0.692;0.75;0.692;0.818;0.643;0.654;0.692;0.75;0.654;0.654;0.708;0.708;0.72;0.909;0.593;0.792;0.75;0.818;0.818;0.792;0.864;0.792;0.75;0.75;0.692;0.731;0.792;0.864;1.0;0.9;0.95;0.35;0.25
ENSMUST00000122037_90_90;0.364;0.583;0.444;0.593;0.696;0.68;0.739;0.615;0.81;0.571;0.708;0.615;0.667;0.64;0.64;0.773;0.773;0.64;0.818;0.577;0.708;0.818;0.9;0.81;0.708;0.773;0.783;0.739;0.739;0.68;0.654;0.783;0.857;0.9;1.0;0.947;0.389;0.278
ENSMUST00000122356_90_90;0.348;0.625;0.421;0.571;0.667;0.72;0.783;0.654;0.857;0.607;0.68;0.654;0.708;0.615;0.615;0.739;0.739;0.68;0.864;0.556;0.75;0.783;0.857;0.773;0.75;0.818;0.826;0.708;0.708;0.654;0.692;0.826;0.905;0.95;0.947;1.0;0.368;0.263
ENSMUST00000124117_90_90;0.357;0.227;0.875;0.231;0.273;0.292;0.318;0.24;0.35;0.222;0.304;0.24;0.261;0.25;0.25;0.333;0.333;0.304;0.318;0.154;0.25;0.318;0.35;0.286;0.25;0.273;0.304;0.261;0.261;0.24;0.231;0.304;0.333;0.35;0.389;0.368;1.0;0.0
ENSMUST00000132375_90_90;0.0;0.19;0.0;0.154;0.182;0.16;0.174;0.16;0.19;0.148;0.167;0.16;0.174;0.167;0.167;0.182;0.182;0.12;0.227;0.217;0.217;0.227;0.25;0.25;0.217;0.238;0.217;0.227;0.227;0.208;0.2;0.217;0.238;0.25;0.278;0.263;0.0;1.0
