;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript22_ENSPNYG00000024266;transcript27_ENSAPOG00000016134;transcript27_ENSAOCG00000015695;transcript28_ENSAPOG00000016134;transcript28_ENSAOCG00000015695;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript12_ENSXMAG00000026005;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript12_ENSPNYG00000024266;1.0;1.0;1.0;0.947;0.941;0.944;0.589;0.47;0.354;0.351;0.863;0.838;1.0;1.0;1.0;0.633;0.608;0.855;0.756;0.828;0.95;1.0;0.833;0.828
transcript12_ENSXMAG00000026005;1.0;1.0;1.0;0.947;0.941;0.944;0.589;0.47;0.354;0.351;0.863;0.839;1.0;1.0;1.0;0.633;0.608;0.865;0.761;0.762;0.936;1.0;0.766;0.762
transcript26_ENSAOCG00000015695;0.633;0.633;0.633;0.575;0.571;0.569;0.489;0.766;0.46;0.633;0.494;0.469;0.633;0.633;0.633;1.0;0.967;0.489;0.454;0.492;0.663;0.633;0.492;0.492
transcript29_ENSAOCG00000015695;0.608;0.608;0.608;0.549;0.545;0.543;0.504;0.788;0.49;0.647;0.507;0.481;0.608;0.608;0.608;0.967;1.0;0.461;0.424;0.466;0.636;0.608;0.466;0.466
transcript14_ENSPNYG00000024266;0.864;0.863;0.865;0.898;0.897;0.907;0.633;0.515;0.408;0.385;0.888;0.859;0.865;0.855;0.865;0.489;0.461;1.0;0.861;0.707;0.814;0.865;0.712;0.707
transcript21_ENSPNYG00000024266;0.762;0.762;0.761;0.798;0.798;0.796;0.55;0.482;0.357;0.34;0.788;0.758;0.761;0.756;0.761;0.454;0.424;0.861;1.0;0.608;0.71;0.761;0.612;0.608
transcript3_ENSXMAG00000026005;0.827;0.826;0.801;0.774;0.77;0.766;0.441;0.336;0.24;0.226;0.712;0.692;0.801;0.828;0.762;0.492;0.466;0.707;0.608;1.0;0.707;0.762;0.996;1.0
transcript10_ENSXMAG00000026005;0.95;0.95;0.949;0.895;0.89;0.893;0.586;0.49;0.363;0.366;0.813;0.788;0.949;0.95;0.936;0.663;0.636;0.814;0.71;0.707;1.0;0.936;0.71;0.707
transcript11_ENSXMAG00000026005;1.0;1.0;1.0;0.947;0.941;0.944;0.589;0.47;0.354;0.351;0.863;0.839;1.0;1.0;1.0;0.633;0.608;0.865;0.761;0.762;0.936;1.0;0.766;0.762
transcript16_ENSXMAG00000026005;0.831;0.831;0.801;0.778;0.776;0.772;0.444;0.336;0.242;0.226;0.716;0.696;0.801;0.833;0.766;0.492;0.466;0.712;0.612;0.996;0.71;0.766;1.0;0.996
transcript17_ENSXMAG00000026005;0.827;0.826;0.801;0.774;0.77;0.766;0.441;0.336;0.24;0.226;0.712;0.692;0.801;0.828;0.762;0.492;0.466;0.707;0.608;1.0;0.707;0.762;0.996;1.0
