;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript52_ENSMSIG00000000513;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript63_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript8_ENSRNOG00000031503;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript39_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript50_ENSRNOG00000031503;transcript50_ENSMUGG00000013649;transcript12_ENSMUGG00000013649
transcript55_ENSMUSG00000054036;0.615;0.476;0.465;0.476;0.306;0.296;0.546;0.546;0.602;0.875;1.0;0.684;0.631;0.804;0.768;0.736;0.732;0.732;0.767;0.76;0.695;0.728;0.748
transcript8_MGP-CAROLIEiJ-G0020234;0.549;0.386;0.376;0.378;0.212;0.201;0.487;0.477;0.531;0.711;0.684;1.0;0.86;0.684;0.64;0.621;0.605;0.605;0.637;0.631;0.629;0.649;0.649
transcript8_ENSRNOG00000031503;0.536;0.349;0.337;0.34;0.192;0.18;0.452;0.442;0.477;0.663;0.631;0.86;1.0;0.637;0.561;0.676;0.656;0.656;0.574;0.569;0.685;0.583;0.585
transcript47_MGP-CAROLIEiJ-G0020234;0.767;0.52;0.509;0.51;0.336;0.324;0.535;0.526;0.641;0.831;0.804;0.684;0.637;1.0;0.69;0.655;0.653;0.653;0.691;0.684;0.615;0.659;0.672
transcript39_MGP-PahariEiJ-G0020237;0.544;0.381;0.373;0.374;0.248;0.238;0.44;0.432;0.464;0.669;0.768;0.64;0.561;0.69;1.0;0.843;0.844;0.844;0.947;0.937;0.807;0.907;0.927
transcript39_ENSRNOG00000031503;0.514;0.35;0.341;0.343;0.229;0.219;0.417;0.41;0.434;0.633;0.736;0.621;0.676;0.655;0.843;1.0;0.972;0.972;0.857;0.849;0.931;0.817;0.837
transcript31_ENSRNOG00000031503;0.514;0.353;0.343;0.346;0.234;0.224;0.413;0.405;0.435;0.631;0.732;0.605;0.656;0.653;0.844;0.972;1.0;1.0;0.88;0.873;0.959;0.841;0.862
transcript32_ENSRNOG00000031503;0.514;0.353;0.343;0.346;0.234;0.224;0.413;0.405;0.435;0.631;0.732;0.605;0.656;0.653;0.844;0.972;1.0;1.0;0.88;0.873;0.959;0.841;0.862
transcript32_ENSMUGG00000013649;0.536;0.373;0.365;0.367;0.24;0.232;0.429;0.422;0.472;0.67;0.767;0.637;0.574;0.691;0.947;0.857;0.88;0.88;1.0;0.99;0.845;0.96;0.981
transcript32_ENSMUGG00000013592;0.532;0.369;0.361;0.363;0.237;0.23;0.425;0.418;0.468;0.664;0.76;0.631;0.569;0.684;0.937;0.849;0.873;0.873;0.99;1.0;0.837;0.952;0.972
transcript50_ENSRNOG00000031503;0.514;0.367;0.357;0.359;0.243;0.234;0.41;0.403;0.445;0.62;0.695;0.629;0.685;0.615;0.807;0.931;0.959;0.959;0.845;0.837;1.0;0.863;0.861
transcript50_ENSMUGG00000013649;0.547;0.388;0.379;0.381;0.25;0.241;0.436;0.429;0.491;0.672;0.728;0.649;0.583;0.659;0.907;0.817;0.841;0.841;0.96;0.952;0.863;1.0;0.979
transcript12_ENSMUGG00000013649;0.536;0.38;0.372;0.374;0.244;0.236;0.427;0.42;0.481;0.658;0.748;0.649;0.585;0.672;0.927;0.837;0.862;0.862;0.981;0.972;0.861;0.979;1.0
