;transcript7_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript17_ENSMPUG00000020072;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript12_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript22_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript17_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript9_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript24_ENSCCNG00000000226;transcript26_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript9_ENSCPOG00000024843;transcript17_ENSCPOG00000024843;transcript18_ENSCPOG00000024843;transcript24_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript17_ENSECAG00000007947;0.752;0.848;0.852;0.852;0.681;0.801;0.766;0.834;0.995;1.0;1.0;0.75;0.921;0.913;0.921;0.751;0.82;0.82;0.763;0.811;0.852;0.682;0.852;0.79;0.731;0.71;0.92;0.731;0.92;0.729;0.92
transcript9_ENSMLUG00000027828;0.8;0.851;0.766;0.766;0.766;0.8;0.766;0.766;0.833;0.75;0.75;1.0;0.905;1.0;0.905;0.771;0.771;0.771;0.771;0.803;0.803;0.803;0.803;0.803;0.875;0.875;0.875;0.875;0.875;0.875;0.875
transcript13_ENSMLUG00000027828;0.791;0.912;0.914;0.914;0.695;0.86;0.813;0.896;0.919;0.921;0.921;0.905;1.0;0.995;1.0;0.794;0.884;0.884;0.807;0.856;0.91;0.714;0.91;0.83;0.776;0.758;0.992;0.776;0.992;0.748;0.992
transcript14_ENSMLUG00000027828;0.837;0.912;0.907;0.907;0.676;0.909;0.801;0.888;0.918;0.913;0.913;1.0;0.995;1.0;0.995;0.789;0.884;0.884;0.803;0.85;0.907;0.7;0.907;0.823;0.763;0.744;0.992;0.763;0.992;0.733;0.992
transcript22_ENSMLUG00000027828;0.791;0.912;0.914;0.914;0.695;0.86;0.813;0.896;0.919;0.921;0.921;0.905;1.0;0.995;1.0;0.794;0.884;0.884;0.807;0.856;0.91;0.714;0.91;0.83;0.776;0.758;0.992;0.776;0.992;0.748;0.992
transcript7_ENSSTOG00000019743;0.636;0.749;0.744;0.744;0.575;0.696;0.656;0.726;0.756;0.751;0.751;0.771;0.794;0.789;0.794;1.0;0.908;0.908;0.985;0.71;0.759;0.592;0.759;0.818;0.625;0.61;0.808;0.625;0.808;0.618;0.808
transcript9_ENSSTOG00000019743;0.706;0.817;0.812;0.812;0.647;0.766;0.726;0.795;0.825;0.82;0.82;0.771;0.884;0.884;0.884;0.908;1.0;1.0;0.921;0.773;0.822;0.659;0.822;0.763;0.711;0.697;0.89;0.711;0.89;0.703;0.89
transcript17_ENSSTOG00000019743;0.706;0.817;0.812;0.812;0.647;0.766;0.726;0.795;0.825;0.82;0.82;0.771;0.884;0.884;0.884;0.908;1.0;1.0;0.921;0.773;0.822;0.659;0.822;0.763;0.711;0.697;0.89;0.711;0.89;0.703;0.89
transcript26_ENSSTOG00000019743;0.646;0.759;0.754;0.754;0.585;0.706;0.666;0.736;0.768;0.763;0.763;0.771;0.807;0.803;0.807;0.985;0.921;0.921;1.0;0.716;0.765;0.599;0.765;0.824;0.638;0.623;0.82;0.638;0.82;0.63;0.82
transcript7_ENSCCNG00000000226;0.784;0.806;0.801;0.801;0.714;0.749;0.714;0.785;0.816;0.811;0.811;0.803;0.856;0.85;0.856;0.71;0.773;0.773;0.716;1.0;0.946;0.724;0.946;0.865;0.679;0.657;0.865;0.679;0.865;0.77;0.865
transcript9_ENSCCNG00000000226;0.745;0.847;0.842;0.842;0.678;0.791;0.757;0.827;0.856;0.852;0.852;0.803;0.91;0.907;0.91;0.759;0.822;0.822;0.765;0.946;1.0;0.778;1.0;0.92;0.731;0.709;0.915;0.731;0.915;0.731;0.915
transcript18_ENSCCNG00000000226;0.564;0.671;0.666;0.666;0.494;0.613;0.577;0.678;0.687;0.682;0.682;0.803;0.714;0.7;0.714;0.592;0.659;0.659;0.599;0.724;0.778;1.0;0.778;0.698;0.923;0.9;0.712;0.923;0.712;0.523;0.712
transcript24_ENSCCNG00000000226;0.745;0.847;0.842;0.842;0.678;0.791;0.757;0.827;0.856;0.852;0.852;0.803;0.91;0.907;0.91;0.759;0.822;0.822;0.765;0.946;1.0;0.778;1.0;0.92;0.731;0.709;0.915;0.731;0.915;0.731;0.915
transcript26_ENSCCNG00000000226;0.684;0.788;0.783;0.783;0.616;0.731;0.696;0.767;0.795;0.79;0.79;0.803;0.83;0.823;0.83;0.818;0.763;0.763;0.824;0.865;0.92;0.698;0.92;1.0;0.655;0.632;0.842;0.655;0.842;0.655;0.842
transcript7_ENSCPOG00000024843;0.601;0.728;0.723;0.723;0.518;0.665;0.616;0.737;0.736;0.731;0.731;0.875;0.776;0.763;0.776;0.625;0.711;0.711;0.638;0.679;0.731;0.923;0.731;0.655;1.0;0.979;0.774;1.0;0.774;0.548;0.774
transcript9_ENSCPOG00000024843;0.577;0.707;0.702;0.702;0.493;0.643;0.593;0.715;0.715;0.71;0.71;0.875;0.758;0.744;0.758;0.61;0.697;0.697;0.623;0.657;0.709;0.9;0.709;0.632;0.979;1.0;0.754;0.979;0.754;0.525;0.754
transcript17_ENSCPOG00000024843;0.796;0.92;0.915;0.915;0.714;0.858;0.81;0.897;0.924;0.92;0.92;0.875;0.992;0.992;0.992;0.808;0.89;0.89;0.82;0.865;0.915;0.712;0.915;0.842;0.774;0.754;1.0;0.774;1.0;0.775;1.0
transcript18_ENSCPOG00000024843;0.601;0.728;0.723;0.723;0.518;0.665;0.616;0.737;0.736;0.731;0.731;0.875;0.776;0.763;0.776;0.625;0.711;0.711;0.638;0.679;0.731;0.923;0.731;0.655;1.0;0.979;0.774;1.0;0.774;0.548;0.774
transcript24_ENSCPOG00000024843;0.796;0.92;0.915;0.915;0.714;0.858;0.81;0.897;0.924;0.92;0.92;0.875;0.992;0.992;0.992;0.808;0.89;0.89;0.82;0.865;0.915;0.712;0.915;0.842;0.774;0.754;1.0;0.774;1.0;0.775;1.0
transcript32_ENSCPOG00000024843;0.716;0.731;0.727;0.727;0.918;0.669;0.619;0.708;0.733;0.729;0.729;0.875;0.748;0.733;0.748;0.618;0.703;0.703;0.63;0.77;0.731;0.523;0.731;0.655;0.548;0.525;0.775;0.548;0.775;1.0;0.775
transcript33_ENSCPOG00000024843;0.796;0.92;0.915;0.915;0.714;0.858;0.81;0.897;0.924;0.92;0.92;0.875;0.992;0.992;0.992;0.808;0.89;0.89;0.82;0.865;0.915;0.712;0.915;0.842;0.774;0.754;1.0;0.774;1.0;0.775;1.0
