;transcript24_ENSAPOG00000023408;transcript7_ENSAPOG00000023408;transcript20_ENSAPOG00000016134;transcript23_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript12_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript8_ENSAPOG00000016134;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript17_ENSHGLG00000019563;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSXMAG00000026005;transcript0_ENSPNYG00000024266;transcript22_ENSMUNG00000002391;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391
transcript10_ENSHGLG00100003156;0.715;0.737;0.806;0.774;0.819;0.851;0.825;0.997;1.0;0.875;1.0;1.0;1.0;0.964;0.964;0.964;0.505;0.913;0.844;0.958;0.958;0.958;0.767;0.846;0.846;0.773;0.863;0.97
transcript17_ENSHGLG00100003156;0.715;0.737;0.806;0.774;0.819;0.851;0.825;0.997;1.0;0.875;1.0;1.0;1.0;0.964;0.964;0.964;0.505;0.913;0.844;0.958;0.958;0.958;0.767;0.846;0.846;0.773;0.863;0.97
transcript17_ENSHGLG00000019563;0.724;0.745;0.816;0.775;0.819;0.862;0.835;0.997;1.0;0.903;1.0;1.0;1.0;0.973;0.973;0.973;0.51;0.921;0.877;0.967;0.967;0.967;0.767;0.88;0.88;0.773;0.893;0.976
transcript20_ENSHGLG00100003156;0.692;0.713;0.778;0.748;0.791;0.824;0.796;0.962;0.964;0.847;0.964;0.964;0.973;1.0;1.0;1.0;0.546;0.949;0.875;0.994;0.994;0.994;0.739;0.877;0.877;0.745;0.886;0.994
transcript13_ENSHGLG00000019563;0.7;0.721;0.788;0.749;0.791;0.834;0.806;0.962;0.964;0.874;0.964;0.964;0.973;1.0;1.0;1.0;0.546;0.949;0.902;0.994;0.994;0.994;0.739;0.905;0.905;0.745;0.911;0.994
transcript25_ENSHGLG00000019563;0.7;0.721;0.788;0.749;0.791;0.834;0.806;0.962;0.964;0.874;0.964;0.964;0.973;1.0;1.0;1.0;0.546;0.949;0.902;0.994;0.994;0.994;0.739;0.905;0.905;0.745;0.911;0.994
transcript26_ENSHGLG00000019563;0.213;0.209;0.322;0.239;0.271;0.356;0.342;0.503;0.505;0.451;0.505;0.505;0.51;0.546;0.546;0.546;1.0;0.479;0.483;0.54;0.54;0.54;0.246;0.487;0.487;0.252;0.488;0.54
transcript27_ENSHGLG00000019563;0.642;0.664;0.736;0.692;0.734;0.781;0.754;0.91;0.913;0.826;0.913;0.913;0.921;0.949;0.949;0.949;0.479;1.0;0.863;0.953;0.953;0.953;0.693;0.858;0.858;0.69;0.863;0.944
transcript0_ENSHGLG00100006079;0.75;0.765;0.807;0.746;0.575;0.851;0.82;0.717;0.718;0.967;0.844;0.844;0.877;0.875;0.902;0.902;0.483;0.863;1.0;0.774;0.774;0.774;0.575;0.993;0.993;0.651;0.978;0.87
transcript13_ENSHGLG00100006079;0.592;0.611;0.674;0.64;0.785;0.71;0.69;0.956;0.958;0.742;0.958;0.958;0.967;0.994;0.994;0.994;0.54;0.953;0.774;1.0;1.0;1.0;0.743;0.768;0.768;0.739;0.774;0.989
transcript20_ENSHGLG00100006079;0.592;0.611;0.674;0.64;0.785;0.71;0.69;0.956;0.958;0.742;0.958;0.958;0.967;0.994;0.994;0.994;0.54;0.953;0.774;1.0;1.0;1.0;0.743;0.768;0.768;0.739;0.774;0.989
transcript21_ENSHGLG00100006079;0.592;0.611;0.674;0.64;0.785;0.71;0.69;0.956;0.958;0.742;0.958;0.958;0.967;0.994;0.994;0.994;0.54;0.953;0.774;1.0;1.0;1.0;0.743;0.768;0.768;0.739;0.774;0.989
transcript22_ENSHGLG00100006079;0.717;0.738;0.725;0.632;0.992;0.711;0.711;0.767;0.767;0.588;0.767;0.767;0.767;0.739;0.739;0.739;0.246;0.693;0.575;0.743;0.743;0.743;1.0;0.571;0.571;0.992;0.581;0.743
transcript0_ENSXMAG00000026005;0.757;0.771;0.814;0.748;0.578;0.858;0.827;0.719;0.72;0.974;0.846;0.846;0.88;0.877;0.905;0.905;0.487;0.858;0.993;0.768;0.768;0.768;0.571;1.0;1.0;0.653;0.984;0.872
transcript0_ENSPNYG00000024266;0.757;0.771;0.814;0.748;0.578;0.858;0.827;0.719;0.72;0.974;0.846;0.846;0.88;0.877;0.905;0.905;0.487;0.858;0.993;0.768;0.768;0.768;0.571;1.0;1.0;0.653;0.984;0.872
transcript22_ENSMUNG00000002391;0.865;0.89;0.86;0.755;1.0;0.842;0.842;0.773;0.773;0.676;0.773;0.773;0.773;0.745;0.745;0.745;0.252;0.69;0.651;0.739;0.739;0.739;0.992;0.653;0.653;1.0;0.667;0.749
transcript0_ENSMUNG00000002391;0.767;0.782;0.826;0.758;0.586;0.87;0.839;0.73;0.732;0.969;0.863;0.863;0.893;0.886;0.911;0.911;0.488;0.863;0.978;0.774;0.774;0.774;0.581;0.984;0.984;0.667;1.0;0.89
transcript21_ENSMUNG00000002391;0.695;0.716;0.783;0.752;0.795;0.828;0.801;0.967;0.97;0.851;0.97;0.97;0.976;0.994;0.994;0.994;0.54;0.944;0.87;0.989;0.989;0.989;0.743;0.872;0.872;0.749;0.89;1.0
