;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript52_ENSMSIG00000000513;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript63_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript8_ENSRNOG00000031503;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript39_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript50_ENSRNOG00000031503;transcript50_ENSMUGG00000013649;transcript12_ENSMUGG00000013649
transcript55_ENSMUSG00000054036;0.589;0.406;0.403;0.406;0.268;0.265;0.476;0.476;0.606;0.858;1.0;0.698;0.661;0.798;0.77;0.747;0.732;0.732;0.768;0.764;0.695;0.731;0.751
transcript8_MGP-CAROLIEiJ-G0020234;0.598;0.145;0.142;0.145;0.167;0.164;0.396;0.396;0.325;0.809;0.698;1.0;0.91;0.836;0.579;0.558;0.547;0.547;0.581;0.578;0.552;0.587;0.576
transcript8_ENSRNOG00000031503;0.565;0.137;0.134;0.137;0.159;0.155;0.381;0.381;0.31;0.766;0.661;0.91;1.0;0.763;0.548;0.595;0.582;0.582;0.547;0.545;0.589;0.552;0.541
transcript47_MGP-CAROLIEiJ-G0020234;0.744;0.286;0.283;0.286;0.331;0.328;0.521;0.521;0.434;0.921;0.798;0.836;0.763;1.0;0.663;0.635;0.654;0.654;0.695;0.692;0.65;0.691;0.678
transcript39_MGP-PahariEiJ-G0020237;0.5;0.322;0.319;0.322;0.211;0.209;0.369;0.369;0.471;0.658;0.77;0.579;0.548;0.663;1.0;0.926;0.908;0.908;0.964;0.959;0.871;0.927;0.947
transcript39_ENSRNOG00000031503;0.481;0.32;0.317;0.32;0.206;0.203;0.362;0.362;0.463;0.634;0.747;0.558;0.595;0.635;0.926;1.0;0.979;0.979;0.92;0.916;0.941;0.884;0.903
transcript31_ENSRNOG00000031503;0.501;0.34;0.338;0.34;0.226;0.223;0.354;0.354;0.454;0.622;0.732;0.547;0.582;0.654;0.908;0.979;1.0;1.0;0.939;0.935;0.961;0.903;0.923
transcript32_ENSRNOG00000031503;0.501;0.34;0.338;0.34;0.226;0.223;0.354;0.354;0.454;0.622;0.732;0.547;0.582;0.654;0.908;0.979;1.0;1.0;0.939;0.935;0.961;0.903;0.923
transcript32_ENSMUGG00000013649;0.525;0.339;0.337;0.339;0.23;0.228;0.366;0.366;0.465;0.659;0.768;0.581;0.547;0.695;0.964;0.92;0.939;0.939;1.0;0.995;0.903;0.964;0.983
transcript32_ENSMUGG00000013592;0.523;0.337;0.335;0.337;0.229;0.227;0.364;0.364;0.463;0.655;0.764;0.578;0.545;0.692;0.959;0.916;0.935;0.935;0.995;1.0;0.899;0.959;0.978
transcript50_ENSRNOG00000031503;0.521;0.302;0.299;0.302;0.212;0.21;0.344;0.344;0.416;0.617;0.695;0.552;0.589;0.65;0.871;0.941;0.961;0.961;0.903;0.899;1.0;0.937;0.919
transcript50_ENSMUGG00000013649;0.545;0.303;0.3;0.303;0.217;0.215;0.356;0.356;0.429;0.654;0.731;0.587;0.552;0.691;0.927;0.884;0.903;0.903;0.964;0.959;0.937;1.0;0.98
transcript12_ENSMUGG00000013649;0.534;0.322;0.32;0.322;0.213;0.211;0.349;0.349;0.448;0.642;0.751;0.576;0.541;0.678;0.947;0.903;0.923;0.923;0.983;0.978;0.919;0.98;1.0
