;ENSCAFT00000002168_90_90;ENSCAFT00000045695_90_90;ENSCAFT00000013241_90_90;ENSCAFT00000019370_90_90;ENST00000253363_90_90;ENST00000338163_90_90;ENST00000361162_90_90;ENST00000374038_90_90;ENST00000397370_90_90;ENST00000403542_90_90;ENST00000412738_90_90;ENST00000416108_90_90;ENST00000416529_90_90;ENST00000425184_90_90;ENST00000426951_90_90;ENST00000429968_90_90;ENST00000433027_90_90;ENST00000434927_90_90;ENST00000444878_90_90;ENST00000448303_90_90;ENST00000449489_90_90;ENST00000453310_90_90;ENST00000455343_90_90;ENST00000476806_90_90;ENST00000490484_90_90;ENST00000528062_90_90;ENST00000615771_90_90;ENST00000369086_90_90;ENST00000369093_90_90;ENST00000412524_90_90;ENST00000436547_90_90;ENST00000479729_90_90;ENST00000497671_90_90;ENST00000313352_90_90;ENST00000349157_90_90;ENST00000453551_90_90;ENST00000456095_90_90;ENST00000526459_90_90;ENST00000526683_90_90;ENST00000527197_90_90;ENST00000527744_90_90;ENST00000529999_90_90;ENST00000531897_90_90;ENST00000532884_90_90;ENST00000533162_90_90;ENSMUST00000002599_90_90;ENSMUST00000100527_90_90;ENSMUST00000029149_90_90;ENSMUST00000109584_90_90;ENSMUST00000109587_90_90;ENSMUST00000126992_90_90;ENSMUST00000137566_90_90;ENSMUST00000142071_90_90;ENSMUST00000146288_90_90;ENSMUST00000146297_90_90;ENSMUST00000146549_90_90;ENSMUST00000147098_90_90;ENSMUST00000148794_90_90;ENSMUST00000152919_90_90;ENSMUST00000153514_90_90;ENSMUST00000154677_90_90;ENSMUST00000155837_90_90;ENSMUST00000033135_90_90;ENSMUST00000106226_90_90;ENSMUST00000106228_90_90;ENSMUST00000123666_90_90;ENSMUST00000133089_90_90;ENSMUST00000133444_90_90;ENSMUST00000141126_90_90;ENSMUST00000165023_90_90;ENSMUST00000205278_90_90;ENSMUST00000205835_90_90
ENST00000412738_90_90;0.037;0.022;0.034;0.0;0.032;0.041;0.033;0.074;0.2;1.0;1.0;1.0;0.333;0.5;0.053;0.286;0.308;0.08;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038;0.0;0.037;0.051;0.035;0.042;0.031;0.0;0.0;0.0;0.0;0.037;0.034;0.033;0.308;0.033;0.065;1.0;0.046;0.1;0.033;1.0;0.308;0.0;1.0;0.286;0.333;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000416108_90_90;0.037;0.022;0.034;0.0;0.032;0.041;0.033;0.074;0.2;1.0;1.0;1.0;0.333;0.5;0.053;0.286;0.308;0.08;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038;0.0;0.037;0.051;0.035;0.042;0.031;0.0;0.0;0.0;0.0;0.037;0.034;0.033;0.308;0.033;0.065;1.0;0.046;0.1;0.033;1.0;0.308;0.0;1.0;0.286;0.333;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000416529_90_90;0.038;0.0;0.034;0.0;0.032;0.041;0.033;0.074;0.2;0.333;0.333;0.333;1.0;0.0;0.053;0.286;0.308;0.08;0.333;0.0;0.333;0.333;0.333;0.0;0.0;0.034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.037;0.0;0.036;0.048;0.034;0.04;0.029;0.065;0.068;0.0;0.067;0.037;0.034;0.033;0.308;0.033;0.065;0.333;0.046;0.1;0.033;0.333;0.308;0.0;0.333;0.286;1.0;0.333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000425184_90_90;0.0;0.023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.5;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000426951_90_90;0.089;0.069;0.093;0.0;0.1;0.128;0.101;0.24;0.217;0.053;0.053;0.053;0.053;0.0;1.0;0.294;0.312;0.261;0.053;0.0;0.053;0.053;0.053;0.0;0.0;0.104;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027;0.09;0.025;0.048;0.1;0.081;0.053;0.092;0.136;0.143;0.0;0.14;0.087;0.08;0.103;0.312;0.102;0.207;0.053;0.145;0.333;0.103;0.053;0.312;0.0;0.053;0.294;0.053;0.053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000429968_90_90;0.076;0.034;0.068;0.0;0.066;0.083;0.066;0.154;0.444;0.286;0.286;0.286;0.286;0.0;0.294;1.0;0.727;0.167;0.286;0.0;0.286;0.286;0.286;0.0;0.0;0.068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.077;0.0;0.036;0.083;0.07;0.04;0.061;0.065;0.068;0.0;0.067;0.075;0.068;0.067;0.727;0.067;0.133;0.286;0.094;0.211;0.067;0.286;0.727;0.0;0.286;1.0;0.286;0.286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000433027_90_90;0.063;0.022;0.059;0.0;0.066;0.084;0.067;0.157;0.471;0.308;0.308;0.308;0.308;0.0;0.312;0.727;1.0;0.17;0.308;0.0;0.308;0.308;0.308;0.0;0.0;0.069;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.064;0.0;0.037;0.067;0.058;0.041;0.045;0.043;0.045;0.0;0.044;0.062;0.057;0.068;0.8;0.067;0.136;0.308;0.095;0.216;0.068;0.308;1.0;0.0;0.308;0.727;0.308;0.308;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000434927_90_90;0.322;0.371;0.373;0.145;0.383;0.489;0.387;0.882;0.148;0.08;0.08;0.08;0.08;0.0;0.261;0.167;0.17;1.0;0.08;0.2;0.08;0.08;0.08;0.0;0.171;0.342;0.0;0.031;0.134;0.029;0.111;0.444;0.29;0.253;0.326;0.349;0.398;0.397;0.419;0.301;0.515;0.463;0.481;0.097;0.733;0.318;0.409;0.385;0.174;0.381;0.746;0.082;0.542;0.8;0.385;0.082;0.174;0.182;0.082;0.17;0.082;0.082;0.123;0.149;0.014;0.36;0.0;0.0;0.0;0.123;0.308;0.409
ENST00000444878_90_90;0.037;0.022;0.034;0.0;0.032;0.041;0.033;0.074;0.2;1.0;1.0;1.0;0.333;0.5;0.053;0.286;0.308;0.08;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038;0.0;0.037;0.051;0.035;0.042;0.031;0.0;0.0;0.0;0.0;0.037;0.034;0.033;0.308;0.033;0.065;1.0;0.046;0.1;0.033;1.0;0.308;0.0;1.0;0.286;0.333;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000448303_90_90;0.585;0.593;0.653;0.711;0.667;0.475;0.658;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;1.0;0.0;0.0;0.0;0.111;0.43;0.696;0.259;0.224;0.724;0.237;0.684;0.016;0.345;0.676;0.593;0.671;0.637;0.486;0.593;0.64;0.513;0.403;0.373;0.541;0.292;0.578;0.58;0.653;0.0;0.661;0.347;0.0;0.477;0.175;0.653;0.0;0.0;0.899;0.0;0.0;0.0;0.0;0.68;0.72;0.595;0.345;0.125;0.231;0.431;0.68;0.368;0.172
ENST00000449489_90_90;0.037;0.022;0.034;0.0;0.032;0.041;0.033;0.074;0.2;1.0;1.0;1.0;0.333;0.5;0.053;0.286;0.308;0.08;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038;0.0;0.037;0.051;0.035;0.042;0.031;0.0;0.0;0.0;0.0;0.037;0.034;0.033;0.308;0.033;0.065;1.0;0.046;0.1;0.033;1.0;0.308;0.0;1.0;0.286;0.333;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000453310_90_90;0.037;0.022;0.034;0.0;0.032;0.041;0.033;0.074;0.2;1.0;1.0;1.0;0.333;0.5;0.053;0.286;0.308;0.08;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038;0.0;0.037;0.051;0.035;0.042;0.031;0.0;0.0;0.0;0.0;0.037;0.034;0.033;0.308;0.033;0.065;1.0;0.046;0.1;0.033;1.0;0.308;0.0;1.0;0.286;0.333;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000455343_90_90;0.037;0.022;0.034;0.0;0.032;0.041;0.033;0.074;0.2;1.0;1.0;1.0;0.333;0.5;0.053;0.286;0.308;0.08;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038;0.0;0.037;0.051;0.035;0.042;0.031;0.0;0.0;0.0;0.0;0.037;0.034;0.033;0.308;0.033;0.065;1.0;0.046;0.1;0.033;1.0;0.308;0.0;1.0;0.286;0.333;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000476806_90_90;0.051;0.047;0.059;0.066;0.074;0.095;0.075;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.111;0.0;0.0;0.0;1.0;0.082;0.078;0.321;0.0;0.067;0.0;0.069;0.0;0.0;0.059;0.051;0.053;0.05;0.068;0.047;0.056;0.062;0.0;0.0;0.093;0.0;0.05;0.045;0.06;0.0;0.059;0.0;0.0;0.084;0.0;0.06;0.0;0.0;0.097;0.0;0.0;0.0;0.0;0.07;0.068;0.079;0.0;0.0;0.2;0.104;0.07;0.0;0.0
ENST00000490484_90_90;0.443;0.407;0.356;0.447;0.336;0.427;0.339;0.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.171;0.0;0.43;0.0;0.0;0.0;0.082;1.0;0.35;0.429;0.429;0.447;0.486;0.408;0.0;0.583;0.515;0.449;0.461;0.438;0.593;0.407;0.486;0.547;0.444;0.407;0.418;0.242;0.438;0.398;0.359;0.0;0.356;0.37;0.0;0.506;0.13;0.359;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.4;0.44;0.329;0.583;0.235;0.093;0.123;0.4;0.676;0.149
ENST00000528062_90_90;0.791;0.809;0.932;0.842;0.958;0.62;0.95;0.375;0.065;0.034;0.034;0.034;0.034;0.0;0.104;0.068;0.069;0.342;0.034;0.696;0.034;0.034;0.034;0.078;0.35;1.0;0.224;0.217;0.8;0.246;0.762;0.055;0.3;0.744;0.8;0.819;0.867;0.558;0.872;0.793;0.635;0.388;0.365;0.513;0.36;0.782;0.852;0.941;0.071;0.949;0.453;0.034;0.625;0.321;0.941;0.034;0.071;0.628;0.034;0.07;0.034;0.034;0.769;0.808;0.688;0.324;0.119;0.195;0.494;0.769;0.343;0.279
ENST00000615771_90_90;0.215;0.198;0.203;0.25;0.215;0.274;0.217;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.259;0.0;0.0;0.0;0.321;0.429;0.224;1.0;0.308;0.237;0.385;0.247;0.0;0.206;0.25;0.218;0.224;0.212;0.288;0.198;0.236;0.266;0.091;0.055;0.277;0.0;0.212;0.193;0.205;0.0;0.203;0.093;0.0;0.289;0.0;0.205;0.0;0.0;0.263;0.0;0.0;0.0;0.0;0.25;0.24;0.281;0.235;0.35;0.158;0.175;0.25;0.235;0.0
ENST00000369086_90_90;0.258;0.239;0.203;0.175;0.205;0.259;0.205;0.156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.031;0.0;0.224;0.0;0.0;0.0;0.0;0.429;0.217;0.308;1.0;0.163;0.762;0.172;0.0;0.571;0.258;0.258;0.239;0.239;0.372;0.239;0.258;0.348;0.4;0.333;0.189;0.114;0.258;0.239;0.203;0.0;0.203;0.375;0.0;0.294;0.0;0.203;0.0;0.0;0.232;0.0;0.0;0.0;0.0;0.176;0.167;0.193;0.654;0.471;0.0;0.0;0.176;0.586;0.028
ENST00000369093_90_90;0.952;0.881;0.892;0.979;0.783;0.602;0.783;0.198;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.134;0.0;0.724;0.0;0.0;0.0;0.067;0.447;0.8;0.237;0.163;1.0;0.206;0.948;0.01;0.253;0.908;0.908;0.843;0.843;0.615;0.843;0.908;0.543;0.375;0.344;0.73;0.232;0.952;0.881;0.857;0.0;0.857;0.307;0.0;0.558;0.082;0.857;0.0;0.0;0.783;0.0;0.0;0.0;0.0;0.938;0.99;0.854;0.245;0.083;0.344;0.667;0.938;0.276;0.208
ENST00000412524_90_90;0.29;0.269;0.23;0.196;0.233;0.293;0.233;0.147;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;0.0;0.237;0.0;0.0;0.0;0.0;0.486;0.246;0.385;0.762;0.206;1.0;0.217;0.0;0.516;0.29;0.29;0.269;0.269;0.419;0.269;0.29;0.391;0.375;0.312;0.226;0.108;0.29;0.269;0.23;0.0;0.23;0.353;0.0;0.333;0.0;0.23;0.0;0.0;0.246;0.0;0.0;0.0;0.0;0.222;0.211;0.244;0.533;0.4;0.0;0.024;0.222;0.485;0.026
ENST00000436547_90_90;0.903;0.836;0.851;0.928;0.747;0.566;0.747;0.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.111;0.0;0.684;0.0;0.0;0.0;0.069;0.408;0.762;0.247;0.172;0.948;0.217;1.0;0.01;0.266;0.862;0.862;0.8;0.8;0.569;0.8;0.862;0.5;0.328;0.297;0.683;0.188;0.903;0.836;0.818;0.0;0.818;0.267;0.0;0.519;0.086;0.818;0.0;0.0;0.739;0.0;0.0;0.0;0.0;0.989;0.938;0.901;0.258;0.088;0.363;0.703;0.989;0.224;0.22
ENST00000479729_90_90;0.045;0.119;0.108;0.021;0.11;0.138;0.11;0.304;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.444;0.0;0.016;0.0;0.0;0.0;0.0;0.0;0.055;0.0;0.0;0.01;0.0;0.01;1.0;0.029;0.045;0.045;0.119;0.119;0.062;0.119;0.045;0.174;0.097;0.103;0.0;0.348;0.045;0.119;0.108;0.0;0.108;0.233;0.0;0.157;0.286;0.108;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011;0.011;0.0;0.038;0.0;0.0;0.0;0.011;0.0;0.05
ENST00000497671_90_90;0.387;0.358;0.297;0.247;0.301;0.379;0.301;0.419;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.29;0.0;0.345;0.0;0.0;0.0;0.0;0.583;0.3;0.206;0.571;0.253;0.516;0.266;0.029;1.0;0.387;0.387;0.358;0.358;0.558;0.358;0.387;0.522;0.724;0.655;0.246;0.382;0.387;0.358;0.297;0.0;0.297;0.645;0.0;0.431;0.231;0.297;0.0;0.0;0.357;0.0;0.0;0.0;0.0;0.264;0.25;0.176;0.962;0.32;0.0;0.0;0.264;0.742;0.25
ENST00000313352_90_90;0.872;0.828;0.8;0.952;0.783;0.581;0.783;0.317;0.0;0.0;0.0;0.0;0.0;0.0;0.027;0.0;0.0;0.253;0.0;0.676;0.0;0.0;0.0;0.059;0.515;0.744;0.25;0.258;0.908;0.29;0.862;0.045;0.387;1.0;0.872;0.911;0.872;0.552;0.804;0.953;0.525;0.402;0.381;0.627;0.267;0.872;0.804;0.817;0.0;0.817;0.432;0.0;0.578;0.173;0.817;0.0;0.0;0.706;0.0;0.0;0.0;0.0;0.833;0.879;0.697;0.397;0.127;0.227;0.455;0.833;0.397;0.302
ENST00000349157_90_90;1.0;0.892;0.906;0.952;0.837;0.64;0.837;0.388;0.09;0.038;0.038;0.038;0.037;0.0;0.09;0.077;0.064;0.326;0.038;0.593;0.038;0.038;0.038;0.051;0.449;0.8;0.218;0.258;0.908;0.29;0.862;0.045;0.387;0.872;1.0;0.804;0.843;0.66;0.922;0.915;0.612;0.48;0.46;0.547;0.343;1.0;0.922;0.892;0.067;0.892;0.512;0.04;0.655;0.256;0.892;0.04;0.067;0.632;0.04;0.08;0.038;0.04;0.833;0.879;0.697;0.397;0.127;0.227;0.455;0.833;0.397;0.302
ENST00000453551_90_90;0.804;0.909;0.894;0.952;0.88;0.674;0.88;0.398;0.0;0.0;0.0;0.0;0.0;0.0;0.025;0.0;0.0;0.349;0.0;0.671;0.0;0.0;0.0;0.053;0.461;0.819;0.224;0.239;0.843;0.269;0.8;0.119;0.358;0.911;0.804;1.0;0.957;0.51;0.882;0.872;0.604;0.371;0.352;0.571;0.343;0.804;0.882;0.915;0.0;0.915;0.512;0.0;0.675;0.256;0.915;0.0;0.0;0.653;0.0;0.0;0.0;0.0;0.833;0.879;0.697;0.397;0.127;0.227;0.455;0.833;0.397;0.302
ENST00000456095_90_90;0.843;0.892;0.941;0.952;0.928;0.721;0.928;0.446;0.036;0.037;0.037;0.037;0.036;0.0;0.048;0.036;0.037;0.398;0.037;0.637;0.037;0.037;0.037;0.05;0.438;0.867;0.212;0.239;0.843;0.269;0.8;0.119;0.358;0.872;0.843;0.957;1.0;0.548;0.922;0.915;0.627;0.37;0.352;0.547;0.343;0.843;0.922;0.963;0.037;0.963;0.561;0.038;0.723;0.305;0.963;0.038;0.037;0.62;0.038;0.037;0.037;0.038;0.833;0.879;0.697;0.397;0.127;0.227;0.455;0.833;0.397;0.302
ENST00000526459_90_90;0.681;0.598;0.659;0.651;0.598;0.764;0.598;0.478;0.1;0.051;0.051;0.051;0.048;0.0;0.1;0.083;0.067;0.397;0.051;0.486;0.051;0.051;0.051;0.068;0.593;0.558;0.288;0.372;0.615;0.419;0.569;0.062;0.558;0.552;0.66;0.51;0.548;1.0;0.61;0.594;0.853;0.635;0.608;0.348;0.439;0.681;0.627;0.643;0.07;0.643;0.641;0.054;0.846;0.312;0.643;0.054;0.07;0.544;0.054;0.088;0.051;0.054;0.597;0.645;0.452;0.61;0.195;0.18;0.194;0.597;0.61;0.2
ENST00000526683_90_90;0.922;0.971;1.0;0.952;0.93;0.73;0.93;0.465;0.081;0.035;0.035;0.035;0.034;0.0;0.081;0.07;0.058;0.419;0.035;0.593;0.035;0.035;0.035;0.047;0.407;0.872;0.198;0.239;0.843;0.269;0.8;0.119;0.358;0.804;0.922;0.882;0.922;0.61;1.0;0.843;0.689;0.444;0.426;0.505;0.417;0.922;1.0;0.988;0.06;0.988;0.59;0.036;0.75;0.337;0.988;0.036;0.06;0.59;0.036;0.072;0.035;0.036;0.833;0.879;0.697;0.397;0.127;0.227;0.455;0.833;0.397;0.302
ENST00000527197_90_90;0.915;0.814;0.847;0.952;0.831;0.628;0.831;0.366;0.039;0.042;0.042;0.042;0.04;0.0;0.053;0.04;0.041;0.301;0.042;0.64;0.042;0.042;0.042;0.056;0.486;0.793;0.236;0.258;0.908;0.29;0.862;0.045;0.387;0.953;0.915;0.872;0.915;0.594;0.843;1.0;0.549;0.4;0.38;0.598;0.269;0.915;0.843;0.866;0.041;0.866;0.481;0.042;0.627;0.222;0.866;0.042;0.041;0.667;0.042;0.041;0.041;0.042;0.833;0.879;0.697;0.397;0.127;0.227;0.455;0.833;0.397;0.302
