;transcript7_ENSMSIG00000000513;transcript7_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript50_ENSMSIG00000000513;transcript50_MGP-CAROLIEiJ-G0020234;transcript50_MGP-PahariEiJ-G0020237;transcript55_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript60_MGP-CAROLIEiJ-G0020234;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript59_MGP-SPRETEiJ-G0021131;transcript59_MGP-CAROLIEiJ-G0020234;transcript61_MGP-SPRETEiJ-G0021131;transcript61_MGP-CAROLIEiJ-G0020234;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript70_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript57_MGP-PahariEiJ-G0020237
transcript67_ENSMSIG00000000513;0.8;0.899;0.875;0.953;0.985;0.953;0.976;0.812;0.838;0.894;1.0;0.884;0.824;0.87;0.809;0.986;0.985;0.971;0.957;0.957;0.986;0.988
transcript59_MGP-SPRETEiJ-G0021131;0.894;0.674;0.663;0.939;0.754;0.708;0.899;0.919;0.727;0.826;0.884;1.0;1.0;0.988;0.985;0.924;0.902;0.913;0.923;0.902;0.952;0.924
transcript59_MGP-CAROLIEiJ-G0020234;0.931;0.731;0.725;0.838;0.682;0.682;0.851;0.855;0.684;0.815;0.824;1.0;1.0;0.985;0.986;0.957;0.928;0.942;0.942;0.928;0.919;0.871
transcript61_MGP-SPRETEiJ-G0021131;0.879;0.663;0.651;0.924;0.739;0.697;0.884;0.903;0.712;0.812;0.87;0.988;0.985;1.0;1.0;0.913;0.891;0.902;0.912;0.891;0.94;0.913
transcript61_MGP-CAROLIEiJ-G0020234;0.914;0.716;0.71;0.824;0.671;0.671;0.836;0.839;0.671;0.8;0.809;0.985;0.986;1.0;1.0;0.942;0.913;0.928;0.928;0.913;0.905;0.859
transcript62_MGP-SPRETEiJ-G0021131;0.913;0.696;0.711;0.957;0.797;0.728;1.0;0.826;0.696;0.928;0.986;0.924;0.957;0.913;0.942;1.0;0.978;0.989;0.978;0.978;1.0;1.0
transcript69_MGP-SPRETEiJ-G0021131;0.884;0.674;0.687;0.928;0.768;0.707;0.971;0.797;0.667;0.899;0.985;0.902;0.928;0.891;0.913;0.978;1.0;0.967;0.957;0.957;0.976;0.978
transcript70_MGP-SPRETEiJ-G0021131;0.899;0.685;0.699;0.942;0.783;0.717;0.986;0.812;0.681;0.913;0.971;0.913;0.942;0.902;0.928;0.989;0.967;1.0;0.967;0.967;0.988;0.989
transcript71_MGP-SPRETEiJ-G0021131;0.884;0.674;0.687;0.956;0.783;0.725;0.971;0.824;0.681;0.899;0.957;0.923;0.942;0.912;0.928;0.978;0.957;0.967;1.0;0.957;0.976;0.978
transcript72_MGP-SPRETEiJ-G0021131;0.912;0.692;0.707;0.928;0.768;0.707;0.971;0.797;0.667;0.899;0.957;0.902;0.928;0.891;0.913;0.978;0.957;0.967;0.957;1.0;0.976;0.978
transcript54_ENSMUSG00000054036;0.903;0.723;0.67;0.958;0.784;0.722;0.986;0.847;0.689;0.903;0.986;0.952;0.919;0.94;0.905;1.0;0.976;0.988;0.976;0.976;1.0;1.0
transcript57_MGP-PahariEiJ-G0020237;0.812;0.696;0.67;0.965;0.812;0.748;0.988;0.824;0.694;0.906;0.988;0.924;0.871;0.913;0.859;1.0;0.978;0.989;0.978;0.978;1.0;1.0
