;transcript7_ENSMSIG00000000513;transcript26_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript41_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript22_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript33_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript33_MGP-CAROLIEiJ-G0020234;0.268;0.277;0.348;0.348;0.337;0.277;0.337;0.279;0.863;0.879;0.794;0.882;0.966;0.977;0.977;1.0;0.954;1.0;0.664;0.56;0.561;0.632;0.638;0.638;0.624;0.617;0.733;0.716;0.716;0.733;0.733
transcript42_MGP-CAROLIEiJ-G0020234;0.268;0.277;0.319;0.319;0.337;0.277;0.337;0.268;0.863;0.839;0.794;0.882;0.988;0.977;0.977;0.954;1.0;0.954;0.664;0.56;0.561;0.632;0.638;0.638;0.624;0.652;0.733;0.746;0.746;0.733;0.733
transcript43_MGP-CAROLIEiJ-G0020234;0.268;0.277;0.348;0.348;0.337;0.277;0.337;0.279;0.863;0.879;0.794;0.882;0.966;0.977;0.977;1.0;0.954;1.0;0.664;0.56;0.561;0.632;0.638;0.638;0.624;0.617;0.733;0.716;0.716;0.733;0.733
transcript26_MGP-PahariEiJ-G0020237;0.509;0.519;0.314;0.314;0.343;0.519;0.343;0.509;0.696;0.703;0.763;0.739;0.673;0.681;0.681;0.664;0.664;0.664;1.0;0.455;0.623;0.531;0.522;0.522;0.536;0.504;0.888;0.871;0.871;0.888;0.888
transcript9_ENSRNOG00000031503;0.253;0.25;0.296;0.296;0.319;0.25;0.319;0.239;0.568;0.571;0.505;0.615;0.571;0.582;0.582;0.56;0.56;0.56;0.455;1.0;0.695;0.814;0.826;0.826;0.864;0.797;0.491;0.474;0.474;0.491;0.491
transcript18_ENSRNOG00000031503;0.418;0.429;0.3;0.3;0.333;0.429;0.333;0.418;0.611;0.57;0.607;0.607;0.57;0.579;0.579;0.561;0.561;0.561;0.623;0.695;1.0;0.854;0.841;0.841;0.805;0.817;0.707;0.69;0.69;0.707;0.707
transcript19_ENSRNOG00000031503;0.296;0.306;0.346;0.346;0.385;0.306;0.385;0.296;0.688;0.642;0.6;0.684;0.642;0.653;0.653;0.632;0.632;0.632;0.531;0.814;0.854;1.0;0.986;0.986;0.943;0.957;0.603;0.586;0.586;0.603;0.603
transcript21_ENSRNOG00000031503;0.286;0.296;0.351;0.351;0.372;0.296;0.372;0.286;0.695;0.649;0.606;0.691;0.649;0.66;0.66;0.638;0.638;0.638;0.522;0.826;0.841;0.986;1.0;1.0;0.957;0.971;0.595;0.578;0.578;0.595;0.595
transcript23_ENSRNOG00000031503;0.286;0.296;0.351;0.351;0.372;0.296;0.372;0.286;0.695;0.649;0.606;0.691;0.649;0.66;0.66;0.638;0.638;0.638;0.522;0.826;0.841;0.986;1.0;1.0;0.957;0.971;0.595;0.578;0.578;0.595;0.595
transcript32_ENSRNOG00000031503;0.295;0.305;0.365;0.365;0.387;0.305;0.387;0.295;0.663;0.67;0.592;0.714;0.634;0.645;0.645;0.624;0.624;0.624;0.536;0.864;0.805;0.943;0.957;0.957;1.0;0.928;0.569;0.552;0.552;0.569;0.569
transcript33_ENSRNOG00000031503;0.265;0.276;0.325;0.325;0.346;0.276;0.346;0.265;0.674;0.628;0.618;0.67;0.645;0.638;0.638;0.617;0.652;0.617;0.504;0.797;0.817;0.957;0.971;0.971;0.928;1.0;0.578;0.588;0.588;0.578;0.578
transcript18_ENSMUGG00000013592;0.491;0.5;0.302;0.302;0.328;0.5;0.328;0.491;0.793;0.741;0.845;0.776;0.741;0.75;0.75;0.733;0.733;0.733;0.888;0.491;0.707;0.603;0.595;0.595;0.569;0.578;1.0;0.983;0.983;1.0;1.0
transcript32_ENSMUGG00000013592;0.474;0.483;0.284;0.284;0.31;0.483;0.31;0.474;0.776;0.724;0.86;0.759;0.739;0.733;0.733;0.716;0.746;0.716;0.871;0.474;0.69;0.586;0.578;0.578;0.552;0.588;0.983;1.0;1.0;0.983;0.983
transcript33_ENSMUGG00000013592;0.474;0.483;0.284;0.284;0.31;0.483;0.31;0.474;0.776;0.724;0.86;0.759;0.739;0.733;0.733;0.716;0.746;0.716;0.871;0.474;0.69;0.586;0.578;0.578;0.552;0.588;0.983;1.0;1.0;0.983;0.983
transcript34_ENSMUGG00000013592;0.491;0.5;0.302;0.302;0.328;0.5;0.328;0.491;0.793;0.741;0.845;0.776;0.741;0.75;0.75;0.733;0.733;0.733;0.888;0.491;0.707;0.603;0.595;0.595;0.569;0.578;1.0;0.983;0.983;1.0;1.0
transcript35_ENSMUGG00000013592;0.491;0.5;0.302;0.302;0.328;0.5;0.328;0.491;0.793;0.741;0.845;0.776;0.741;0.75;0.75;0.733;0.733;0.733;0.888;0.491;0.707;0.603;0.595;0.595;0.569;0.578;1.0;0.983;0.983;1.0;1.0
