;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript52_ENSMSIG00000000513;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript63_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript8_ENSRNOG00000031503;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript39_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript50_ENSRNOG00000031503;transcript50_ENSMUGG00000013649;transcript12_ENSMUGG00000013649
transcript8_ENSRNOG00000031503;0.55;0.382;0.363;0.369;0.214;0.194;0.53;0.515;0.438;0.628;0.633;0.792;1.0;0.598;0.574;0.757;0.73;0.73;0.6;0.592;0.764;0.603;0.613
transcript47_MGP-CAROLIEiJ-G0020234;0.79;0.553;0.534;0.538;0.34;0.32;0.578;0.564;0.619;0.781;0.792;0.667;0.598;1.0;0.701;0.646;0.652;0.652;0.711;0.701;0.614;0.681;0.69
transcript39_MGP-PahariEiJ-G0020237;0.581;0.417;0.402;0.406;0.26;0.244;0.508;0.496;0.459;0.679;0.766;0.694;0.574;0.701;1.0;0.759;0.775;0.775;0.929;0.915;0.739;0.886;0.907
transcript39_ENSRNOG00000031503;0.531;0.366;0.35;0.355;0.227;0.21;0.475;0.463;0.413;0.623;0.715;0.664;0.757;0.646;0.759;1.0;0.965;0.965;0.793;0.782;0.922;0.75;0.771
transcript31_ENSRNOG00000031503;0.538;0.376;0.36;0.365;0.24;0.223;0.472;0.46;0.422;0.629;0.72;0.643;0.73;0.652;0.775;0.965;1.0;1.0;0.821;0.81;0.957;0.779;0.8
transcript32_ENSRNOG00000031503;0.538;0.376;0.36;0.365;0.24;0.223;0.472;0.46;0.422;0.629;0.72;0.643;0.73;0.652;0.775;0.965;1.0;1.0;0.821;0.81;0.957;0.779;0.8
transcript32_ENSMUGG00000013649;0.573;0.407;0.393;0.397;0.25;0.236;0.493;0.482;0.479;0.69;0.775;0.693;0.6;0.711;0.929;0.793;0.821;0.821;1.0;0.986;0.786;0.957;0.979
transcript32_ENSMUGG00000013592;0.566;0.401;0.387;0.392;0.246;0.232;0.486;0.476;0.472;0.681;0.764;0.683;0.592;0.701;0.915;0.782;0.81;0.81;0.986;1.0;0.775;0.944;0.965
transcript50_ENSRNOG00000031503;0.535;0.392;0.375;0.38;0.25;0.233;0.467;0.455;0.427;0.615;0.682;0.669;0.764;0.614;0.739;0.922;0.957;0.957;0.786;0.775;1.0;0.794;0.803
transcript50_ENSMUGG00000013649;0.587;0.425;0.41;0.415;0.261;0.246;0.504;0.493;0.5;0.696;0.732;0.699;0.603;0.681;0.886;0.75;0.779;0.779;0.957;0.944;0.794;1.0;0.978
transcript12_ENSMUGG00000013649;0.574;0.416;0.401;0.406;0.255;0.241;0.493;0.482;0.489;0.681;0.754;0.708;0.613;0.69;0.907;0.771;0.8;0.8;0.979;0.965;0.803;0.978;1.0
