;ENSCAFT00000003155_90_90;ENST00000264312_90_90;ENST00000381473_90_90;ENST00000396448_90_90;ENST00000425583_90_90;ENST00000444354_90_90;ENST00000503016_90_90;ENST00000504654_90_90;ENST00000505922_90_90;ENST00000506801_90_90;ENST00000507210_90_90;ENST00000508293_90_90;ENST00000508996_90_90;ENST00000509122_90_90;ENST00000509164_90_90;ENST00000509246_90_90;ENST00000509664_90_90;ENST00000509963_90_90;ENST00000510824_90_90;ENST00000511102_90_90;ENST00000511662_90_90;ENST00000512236_90_90;ENST00000513391_90_90;ENST00000513641_90_90;ENST00000514981_90_90;ENSMUST00000031038_90_90;ENSMUST00000071081_90_90;ENSMUST00000166823_90_90;ENSMUST00000200935_90_90;ENSMUST00000201505_90_90;ENSMUST00000201556_90_90;ENSMUST00000201739_90_90;ENSMUST00000202237_90_90;ENSMUST00000202250_90_90
ENST00000507210_90_90;0.389;0.396;0.396;0.519;0.5;0.5;0.184;0.879;0.358;0.222;1.0;0.396;0.828;0.286;0.828;0.248;0.753;1.0;0.274;0.563;0.299;0.567;0.396;0.474;0.866;0.083;0.108;0.108;0.09;0.0;0.043;0.0;0.104;0.108
ENST00000508293_90_90;0.981;1.0;1.0;0.73;0.792;0.792;0.732;0.45;0.688;0.571;0.396;1.0;0.328;0.89;0.328;0.488;0.298;0.396;0.42;0.703;0.118;0.698;1.0;0.188;0.457;0.051;0.063;0.063;0.053;0.0;0.024;0.0;0.058;0.063
ENST00000508996_90_90;0.321;0.328;0.328;0.43;0.414;0.414;0.113;0.728;0.273;0.136;0.828;0.328;1.0;0.218;1.0;0.152;0.909;0.828;0.168;0.466;0.361;0.47;0.328;0.573;0.717;0.09;0.117;0.117;0.098;0.0;0.047;0.0;0.114;0.117
ENST00000509122_90_90;0.878;0.89;0.89;0.622;0.682;0.682;0.823;0.34;0.774;0.642;0.286;0.89;0.218;1.0;0.218;0.549;0.188;0.286;0.472;0.593;0.085;0.588;0.89;0.079;0.347;0.055;0.058;0.058;0.058;0.0;0.026;0.0;0.063;0.058
ENST00000509164_90_90;0.321;0.328;0.328;0.43;0.414;0.414;0.113;0.728;0.273;0.136;0.828;0.328;1.0;0.218;1.0;0.152;0.909;0.828;0.168;0.466;0.361;0.47;0.328;0.573;0.717;0.09;0.117;0.117;0.098;0.0;0.047;0.0;0.114;0.117
ENST00000509246_90_90;0.487;0.488;0.488;0.64;0.617;0.617;0.667;0.324;0.709;0.855;0.248;0.488;0.152;0.549;0.152;1.0;0.109;0.248;0.861;0.681;0.0;0.674;0.488;0.0;0.334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000509664_90_90;0.291;0.298;0.298;0.39;0.376;0.376;0.081;0.662;0.235;0.098;0.753;0.298;0.909;0.188;0.909;0.109;1.0;0.753;0.121;0.424;0.397;0.427;0.298;0.63;0.652;0.093;0.122;0.122;0.102;0.0;0.049;0.0;0.119;0.122
ENST00000509963_90_90;0.389;0.396;0.396;0.519;0.5;0.5;0.184;0.879;0.358;0.222;1.0;0.396;0.828;0.286;0.828;0.248;0.753;1.0;0.274;0.563;0.299;0.567;0.396;0.474;0.866;0.083;0.108;0.108;0.09;0.0;0.043;0.0;0.104;0.108
ENST00000510824_90_90;0.419;0.42;0.42;0.551;0.531;0.531;0.574;0.359;0.611;0.736;0.274;0.42;0.168;0.472;0.168;0.861;0.121;0.274;1.0;0.598;0.0;0.602;0.42;0.0;0.369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000511102_90_90;0.695;0.703;0.703;0.922;0.888;0.888;0.507;0.64;0.743;0.61;0.563;0.703;0.466;0.593;0.466;0.681;0.424;0.563;0.598;1.0;0.168;0.992;0.703;0.267;0.65;0.063;0.079;0.079;0.067;0.0;0.03;0.0;0.074;0.079
ENST00000511662_90_90;0.118;0.118;0.118;0.155;0.149;0.149;0.0;0.263;0.108;0.0;0.299;0.118;0.361;0.085;0.361;0.0;0.397;0.299;0.0;0.168;1.0;0.17;0.118;0.63;0.259;0.118;0.159;0.159;0.132;0.0;0.067;0.0;0.163;0.159
ENST00000512236_90_90;0.69;0.698;0.698;0.914;0.881;0.881;0.501;0.645;0.736;0.603;0.567;0.698;0.47;0.588;0.47;0.674;0.427;0.567;0.602;0.992;0.17;1.0;0.698;0.269;0.655;0.063;0.08;0.08;0.067;0.0;0.031;0.0;0.074;0.08
ENST00000513391_90_90;0.981;1.0;1.0;0.73;0.792;0.792;0.732;0.45;0.688;0.571;0.396;1.0;0.328;0.89;0.328;0.488;0.298;0.396;0.42;0.703;0.118;0.698;1.0;0.188;0.457;0.051;0.063;0.063;0.053;0.0;0.024;0.0;0.058;0.063
ENST00000513641_90_90;0.182;0.188;0.188;0.246;0.237;0.237;0.0;0.417;0.099;0.0;0.474;0.188;0.573;0.079;0.573;0.0;0.63;0.474;0.0;0.267;0.63;0.269;0.188;1.0;0.411;0.107;0.142;0.142;0.119;0.0;0.059;0.0;0.143;0.142
ENST00000514981_90_90;0.45;0.457;0.457;0.599;0.577;0.577;0.249;0.985;0.434;0.299;0.866;0.457;0.717;0.347;0.717;0.334;0.652;0.866;0.369;0.65;0.259;0.655;0.457;0.411;1.0;0.078;0.101;0.101;0.084;0.0;0.039;0.0;0.096;0.101
ENSMUST00000031038_90_90;0.066;0.051;0.051;0.06;0.059;0.059;0.0;0.079;0.064;0.0;0.083;0.051;0.09;0.055;0.09;0.0;0.093;0.083;0.0;0.063;0.118;0.063;0.051;0.107;0.078;1.0;0.732;0.732;0.794;0.151;0.551;0.095;0.721;0.732
ENSMUST00000071081_90_90;0.081;0.063;0.063;0.075;0.074;0.074;0.0;0.101;0.068;0.0;0.108;0.063;0.117;0.058;0.117;0.0;0.122;0.108;0.0;0.079;0.159;0.08;0.063;0.142;0.101;0.732;1.0;1.0;0.919;0.198;0.63;0.124;0.551;1.0
ENSMUST00000166823_90_90;0.081;0.063;0.063;0.075;0.074;0.074;0.0;0.101;0.068;0.0;0.108;0.063;0.117;0.058;0.117;0.0;0.122;0.108;0.0;0.079;0.159;0.08;0.063;0.142;0.101;0.732;1.0;1.0;0.919;0.198;0.63;0.124;0.551;1.0
ENSMUST00000200935_90_90;0.068;0.053;0.053;0.064;0.062;0.062;0.0;0.085;0.068;0.0;0.09;0.053;0.098;0.058;0.098;0.0;0.102;0.09;0.0;0.067;0.132;0.067;0.053;0.119;0.084;0.794;0.919;0.919;1.0;0.19;0.694;0.12;0.535;0.919
ENSMUST00000201505_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.151;0.198;0.198;0.19;1.0;0.275;0.0;0.0;0.198
ENSMUST00000201556_90_90;0.028;0.024;0.024;0.029;0.028;0.028;0.0;0.04;0.031;0.0;0.043;0.024;0.047;0.026;0.047;0.0;0.049;0.043;0.0;0.03;0.067;0.031;0.024;0.059;0.039;0.551;0.63;0.63;0.694;0.275;1.0;0.126;0.296;0.63
ENSMUST00000201739_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.095;0.124;0.124;0.12;0.0;0.126;1.0;0.086;0.124
ENSMUST00000202237_90_90;0.072;0.058;0.058;0.07;0.068;0.068;0.0;0.097;0.075;0.0;0.104;0.058;0.114;0.063;0.114;0.0;0.119;0.104;0.0;0.074;0.163;0.074;0.058;0.143;0.096;0.721;0.551;0.551;0.535;0.0;0.296;0.086;1.0;0.551
ENSMUST00000202250_90_90;0.081;0.063;0.063;0.075;0.074;0.074;0.0;0.101;0.068;0.0;0.108;0.063;0.117;0.058;0.117;0.0;0.122;0.108;0.0;0.079;0.159;0.08;0.063;0.142;0.101;0.732;1.0;1.0;0.919;0.198;0.63;0.124;0.551;1.0
