;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript26_ENSCGRG00000018457;0.248;0.233;0.248;0.248;0.258;0.104;0.107;1.0;0.922;1.0;0.891;1.0;1.0;0.982;0.974;0.874;0.95;0.852;0.852;0.889;0.76;0.976;0.74;0.742;0.976;0.902;0.976
transcript26_ENSCGRG00001010245;0.248;0.233;0.248;0.248;0.258;0.104;0.107;1.0;0.922;1.0;0.891;1.0;1.0;0.982;0.974;0.874;0.95;0.852;0.852;0.889;0.76;0.976;0.74;0.742;0.976;0.902;0.976
transcript42_ENSCGRG00000018457;0.253;0.237;0.253;0.253;0.262;0.106;0.109;0.982;0.905;0.982;0.877;0.982;0.982;1.0;0.956;0.857;0.932;0.838;0.838;0.875;0.75;0.958;0.73;0.732;0.958;0.885;0.958
transcript43_ENSCGRG00000018457;0.255;0.239;0.255;0.255;0.264;0.107;0.11;0.974;0.895;0.974;0.873;0.974;0.974;0.956;1.0;0.897;0.975;0.835;0.835;0.872;0.734;0.95;0.713;0.716;0.95;0.876;0.95
transcript7_ENSCGRG00001010245;0.268;0.252;0.268;0.268;0.278;0.113;0.116;0.874;0.945;0.874;0.802;0.874;0.874;0.857;0.897;1.0;0.922;0.805;0.805;0.8;0.671;0.898;0.65;0.646;0.898;0.825;0.898
transcript29_ENSCGRG00001010245;0.248;0.233;0.248;0.248;0.258;0.104;0.107;0.95;0.874;0.95;0.853;0.95;0.95;0.932;0.975;0.922;1.0;0.856;0.856;0.851;0.746;0.974;0.726;0.722;0.974;0.9;0.974
transcript15_ENSPEMG00000024651;0.242;0.229;0.242;0.242;0.253;0.104;0.108;0.852;0.801;0.852;0.952;0.852;0.852;0.838;0.835;0.805;0.856;1.0;1.0;0.95;0.67;0.873;0.649;0.647;0.873;0.817;0.873
transcript24_ENSPEMG00000024651;0.242;0.229;0.242;0.242;0.253;0.104;0.108;0.852;0.801;0.852;0.952;0.852;0.852;0.838;0.835;0.805;0.856;1.0;1.0;0.95;0.67;0.873;0.649;0.647;0.873;0.817;0.873
transcript31_ENSPEMG00000024651;0.243;0.231;0.243;0.243;0.254;0.105;0.108;0.889;0.839;0.889;0.998;0.889;0.889;0.875;0.872;0.8;0.851;0.95;0.95;1.0;0.666;0.868;0.645;0.647;0.868;0.812;0.868
transcript5_ENSNGAG00000018584;0.215;0.194;0.215;0.215;0.222;0.093;0.096;0.76;0.684;0.76;0.667;0.76;0.76;0.75;0.734;0.671;0.746;0.67;0.67;0.666;1.0;0.772;0.974;0.968;0.772;0.731;0.772
transcript5_ENSSTOG00000019743;0.242;0.227;0.242;0.242;0.251;0.101;0.104;0.976;0.899;0.976;0.87;0.976;0.976;0.958;0.95;0.898;0.974;0.873;0.873;0.868;0.772;1.0;0.752;0.748;1.0;0.926;1.0
transcript17_ENSNGAG00000018584;0.191;0.17;0.191;0.191;0.198;0.068;0.07;0.74;0.663;0.74;0.647;0.74;0.74;0.73;0.713;0.65;0.726;0.649;0.649;0.645;0.974;0.752;1.0;0.994;0.752;0.71;0.752
transcript20_ENSNGAG00000018584;0.192;0.171;0.192;0.192;0.199;0.068;0.07;0.742;0.666;0.742;0.649;0.742;0.742;0.732;0.716;0.646;0.722;0.647;0.647;0.647;0.968;0.748;0.994;1.0;0.748;0.706;0.748
transcript12_ENSSTOG00000019743;0.242;0.227;0.242;0.242;0.251;0.101;0.104;0.976;0.899;0.976;0.87;0.976;0.976;0.958;0.95;0.898;0.974;0.873;0.873;0.868;0.772;1.0;0.752;0.748;1.0;0.926;1.0
transcript13_ENSSTOG00000019743;0.172;0.161;0.172;0.172;0.177;0.031;0.031;0.902;0.827;0.902;0.814;0.902;0.902;0.885;0.876;0.825;0.9;0.817;0.817;0.812;0.731;0.926;0.71;0.706;0.926;1.0;0.926
transcript14_ENSSTOG00000019743;0.242;0.227;0.242;0.242;0.251;0.101;0.104;0.976;0.899;0.976;0.87;0.976;0.976;0.958;0.95;0.898;0.974;0.873;0.873;0.868;0.772;1.0;0.752;0.748;1.0;0.926;1.0
