;transcript9_ENSAPOG00000016134;transcript9_ENSXMAG00000026005;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript7_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript23_ENSAPOG00000023408;transcript23_ENSPNYG00000024266;transcript28_ENSAPOG00000023408;transcript28_ENSAOCG00000015695;transcript29_ENSAPOG00000023408;transcript29_ENSAOCG00000015695;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript24_ENSPNYG00000024266
transcript23_ENSAPOG00000023408;0.218;0.218;0.772;0.772;0.687;0.687;0.239;0.239;0.239;0.239;1.0;1.0;0.729;0.729;0.774;0.774;0.984;0.748;0.829;0.749;0.901;0.901;0.829;0.77;0.829
transcript23_ENSPNYG00000024266;0.218;0.218;0.772;0.772;0.687;0.687;0.239;0.239;0.239;0.239;1.0;1.0;0.729;0.729;0.774;0.774;0.984;0.748;0.829;0.749;0.901;0.901;0.829;0.77;0.829
transcript28_ENSAPOG00000023408;0.309;0.309;0.838;0.838;0.618;0.618;0.221;0.221;0.221;0.221;0.729;0.729;1.0;1.0;0.556;0.556;0.741;0.579;0.9;0.815;0.82;0.82;0.9;0.84;0.884
transcript28_ENSAOCG00000015695;0.309;0.309;0.838;0.838;0.618;0.618;0.221;0.221;0.221;0.221;0.729;0.729;1.0;1.0;0.556;0.556;0.741;0.579;0.9;0.815;0.82;0.82;0.9;0.84;0.884
transcript29_ENSAPOG00000023408;0.27;0.27;0.611;0.611;0.499;0.499;0.302;0.302;0.302;0.302;0.774;0.774;0.556;0.556;1.0;1.0;0.777;0.947;0.656;0.599;0.713;0.713;0.656;0.597;0.652
transcript29_ENSAOCG00000015695;0.27;0.27;0.611;0.611;0.499;0.499;0.302;0.302;0.302;0.302;0.774;0.774;0.556;0.556;1.0;1.0;0.777;0.947;0.656;0.599;0.713;0.713;0.656;0.597;0.652
transcript30_ENSAPOG00000023408;0.218;0.218;0.775;0.775;0.691;0.691;0.239;0.239;0.239;0.239;0.984;0.984;0.741;0.741;0.777;0.777;1.0;0.752;0.832;0.752;0.904;0.904;0.832;0.773;0.817
transcript31_ENSAPOG00000023408;0.278;0.278;0.591;0.591;0.476;0.476;0.313;0.313;0.313;0.313;0.748;0.748;0.579;0.579;0.947;0.947;0.752;1.0;0.635;0.569;0.69;0.69;0.635;0.576;0.62
transcript17_ENSAOCG00000015695;0.278;0.278;0.931;0.931;0.719;0.719;0.198;0.198;0.198;0.198;0.829;0.829;0.9;0.9;0.656;0.656;0.832;0.635;1.0;0.909;0.92;0.92;1.0;0.941;0.985
transcript18_ENSAOCG00000015695;0.265;0.265;0.977;0.977;0.647;0.647;0.189;0.189;0.189;0.189;0.749;0.749;0.815;0.815;0.599;0.599;0.752;0.569;0.909;1.0;0.834;0.834;0.909;0.853;0.907
transcript26_ENSAOCG00000015695;0.198;0.198;0.857;0.857;0.639;0.639;0.216;0.216;0.216;0.216;0.901;0.901;0.82;0.82;0.713;0.713;0.904;0.69;0.92;0.834;1.0;1.0;0.92;0.861;0.905
transcript27_ENSAOCG00000015695;0.198;0.198;0.857;0.857;0.639;0.639;0.216;0.216;0.216;0.216;0.901;0.901;0.82;0.82;0.713;0.713;0.904;0.69;0.92;0.834;1.0;1.0;0.92;0.861;0.905
transcript12_ENSPNYG00000024266;0.278;0.278;0.931;0.931;0.719;0.719;0.198;0.198;0.198;0.198;0.829;0.829;0.9;0.9;0.656;0.656;0.832;0.635;1.0;0.909;0.92;0.92;1.0;0.941;0.985
transcript22_ENSPNYG00000024266;0.296;0.296;0.876;0.876;0.659;0.659;0.211;0.211;0.211;0.211;0.77;0.77;0.84;0.84;0.597;0.597;0.773;0.576;0.941;0.853;0.861;0.861;0.941;1.0;0.925
transcript24_ENSPNYG00000024266;0.283;0.283;0.917;0.917;0.703;0.703;0.202;0.202;0.202;0.202;0.829;0.829;0.884;0.884;0.652;0.652;0.817;0.62;0.985;0.907;0.905;0.905;0.985;0.925;1.0
