;ENSCAFT00000021165_90_90;ENSCAFT00000021175_90_90;ENSCAFT00000022869_90_90;ENSCAFT00000049479_90_90;ENST00000346964_90_90;ENST00000357674_90_90;ENST00000392380_90_90;ENST00000392381_90_90;ENST00000392382_90_90;ENST00000412364_90_90;ENST00000419227_90_90;ENST00000419354_90_90;ENST00000419553_90_90;ENST00000422288_90_90;ENST00000434148_90_90;ENST00000436682_90_90;ENST00000443183_90_90;ENST00000447466_90_90;ENST00000448528_90_90;ENST00000450955_90_90;ENST00000452595_90_90;ENST00000453607_90_90;ENST00000456699_90_90;ENST00000378154_90_90;ENST00000378158_90_90;ENST00000378163_90_90;ENST00000378166_90_90;ENST00000378168_90_90;ENST00000378179_90_90;ENST00000421587_90_90;ENST00000442742_90_90;ENSMUST00000023454_90_90;ENSMUST00000064477_90_90;ENSMUST00000100001_90_90;ENSMUST00000115196_90_90;ENSMUST00000115201_90_90;ENSMUST00000115205_90_90;ENSMUST00000130920_90_90;ENSMUST00000131136_90_90;ENSMUST00000132176_90_90;ENSMUST00000033321_90_90;ENSMUST00000115435_90_90;ENSMUST00000115436_90_90;ENSMUST00000115438_90_90;ENSMUST00000124710_90_90;ENSMUST00000128012_90_90;ENSMUST00000128095_90_90;ENSMUST00000139735_90_90;ENSMUST00000156096_90_90
ENST00000419227_90_90;0.316;0.289;0.112;0.114;0.4;0.415;0.386;0.562;0.425;0.286;1.0;0.409;0.417;0.434;0.096;0.333;0.217;0.414;0.409;0.414;0.22;0.295;0.415;0.066;0.097;0.096;0.096;0.098;0.135;0.098;0.098;0.202;0.192;0.196;0.21;0.195;0.196;0.0;0.192;0.265;0.183;0.131;0.17;0.181;0.0;0.018;0.11;0.052;0.174
ENST00000419354_90_90;0.39;0.356;0.298;0.276;0.952;0.918;0.23;0.705;0.963;0.117;0.409;1.0;0.171;0.944;0.039;0.136;0.714;0.288;1.0;0.917;0.723;0.123;0.198;0.041;0.099;0.098;0.099;0.101;0.124;0.1;0.1;0.594;0.596;0.624;0.666;0.62;0.624;0.029;0.33;0.368;0.159;0.078;0.15;0.158;0.0;0.009;0.108;0.058;0.153
ENST00000419553_90_90;0.161;0.154;0.008;0.008;0.167;0.173;0.742;0.235;0.177;0.687;0.417;0.171;1.0;0.181;0.231;0.799;0.0;0.0;0.171;0.173;0.0;0.212;0.862;0.087;0.057;0.056;0.056;0.022;0.08;0.058;0.058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.146;0.0;0.139;0.144;0.0;0.027;0.0;0.079;0.143
ENST00000422288_90_90;0.363;0.329;0.283;0.261;0.898;0.932;0.179;0.649;0.979;0.124;0.434;0.944;0.181;1.0;0.042;0.145;0.72;0.278;0.944;0.931;0.729;0.13;0.185;0.043;0.069;0.068;0.068;0.057;0.083;0.069;0.069;0.596;0.551;0.578;0.617;0.574;0.578;0.03;0.349;0.363;0.126;0.061;0.117;0.125;0.0;0.01;0.056;0.029;0.119
ENST00000434148_90_90;0.037;0.036;0.0;0.0;0.039;0.04;0.171;0.054;0.041;0.336;0.096;0.039;0.231;0.042;1.0;0.289;0.0;0.0;0.039;0.04;0.0;0.0;0.199;0.012;0.008;0.008;0.008;0.0;0.0;0.008;0.008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.035;0.0;0.036;0.035;0.0;0.039;0.0;0.0;0.037
ENST00000436682_90_90;0.128;0.122;0.008;0.009;0.133;0.138;0.593;0.187;0.142;0.859;0.333;0.136;0.799;0.145;0.289;1.0;0.0;0.0;0.136;0.138;0.0;0.076;0.689;0.091;0.059;0.058;0.058;0.023;0.084;0.06;0.059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.116;0.0;0.117;0.114;0.0;0.03;0.0;0.027;0.121
ENST00000443183_90_90;0.299;0.269;0.35;0.326;0.68;0.703;0.014;0.449;0.739;0.0;0.217;0.714;0.0;0.72;0.0;0.0;1.0;0.357;0.714;0.703;0.985;0.066;0.019;0.0;0.094;0.096;0.093;0.147;0.13;0.098;0.095;0.655;0.605;0.635;0.852;0.641;0.635;0.032;0.371;0.408;0.097;0.088;0.098;0.096;0.0;0.0;0.133;0.077;0.1
ENST00000447466_90_90;0.219;0.197;0.161;0.165;0.281;0.292;0.029;0.392;0.299;0.0;0.414;0.288;0.0;0.278;0.0;0.0;0.357;1.0;0.288;0.291;0.363;0.109;0.04;0.0;0.069;0.068;0.068;0.13;0.105;0.069;0.069;0.298;0.281;0.288;0.343;0.285;0.288;0.0;0.367;0.423;0.069;0.167;0.069;0.068;0.0;0.0;0.192;0.037;0.071
ENST00000448528_90_90;0.39;0.356;0.298;0.276;0.952;0.918;0.23;0.705;0.963;0.117;0.409;1.0;0.171;0.944;0.039;0.136;0.714;0.288;1.0;0.917;0.723;0.123;0.198;0.041;0.099;0.098;0.099;0.101;0.124;0.1;0.1;0.594;0.596;0.624;0.666;0.62;0.624;0.029;0.33;0.368;0.159;0.078;0.15;0.158;0.0;0.009;0.108;0.058;0.153
ENST00000450955_90_90;0.363;0.33;0.297;0.276;0.964;0.999;0.189;0.653;0.951;0.119;0.414;0.917;0.173;0.931;0.04;0.138;0.703;0.291;0.917;1.0;0.711;0.124;0.2;0.042;0.078;0.078;0.078;0.071;0.096;0.079;0.079;0.584;0.602;0.567;0.605;0.564;0.567;0.029;0.334;0.372;0.136;0.079;0.127;0.135;0.0;0.009;0.073;0.028;0.129
ENST00000452595_90_90;0.302;0.271;0.345;0.321;0.688;0.712;0.014;0.454;0.748;0.0;0.22;0.723;0.0;0.729;0.0;0.0;0.985;0.363;0.723;0.711;1.0;0.067;0.019;0.0;0.095;0.097;0.094;0.149;0.131;0.099;0.096;0.663;0.611;0.642;0.839;0.638;0.642;0.033;0.376;0.413;0.098;0.089;0.099;0.097;0.0;0.0;0.135;0.078;0.1
ENST00000453607_90_90;0.12;0.115;0.05;0.052;0.12;0.124;0.2;0.168;0.127;0.0;0.295;0.123;0.212;0.13;0.0;0.076;0.066;0.109;0.123;0.124;0.067;1.0;0.224;0.034;0.081;0.079;0.08;0.181;0.137;0.082;0.082;0.061;0.057;0.059;0.063;0.058;0.059;0.0;0.0;0.091;0.118;0.314;0.103;0.116;0.0;0.0;0.217;0.108;0.106
ENST00000456699_90_90;0.178;0.17;0.013;0.013;0.193;0.201;0.825;0.272;0.206;0.592;0.415;0.198;0.862;0.185;0.199;0.689;0.019;0.04;0.198;0.2;0.019;0.224;1.0;0.084;0.074;0.073;0.074;0.055;0.108;0.075;0.075;0.017;0.017;0.017;0.018;0.017;0.017;0.0;0.0;0.025;0.172;0.066;0.157;0.17;0.0;0.026;0.051;0.075;0.162
ENST00000378154_90_90;0.271;0.261;0.01;0.01;0.041;0.042;0.08;0.05;0.042;0.071;0.066;0.041;0.087;0.043;0.012;0.091;0.0;0.0;0.041;0.042;0.0;0.034;0.084;1.0;0.629;0.618;0.621;0.05;0.212;0.627;0.637;0.124;0.119;0.121;0.0;0.12;0.121;0.0;0.0;0.163;0.484;0.0;0.489;0.478;0.25;0.414;0.0;0.036;0.463
ENST00000378158_90_90;0.363;0.427;0.122;0.124;0.098;0.078;0.103;0.117;0.079;0.047;0.097;0.099;0.057;0.069;0.008;0.059;0.094;0.069;0.099;0.078;0.095;0.081;0.074;0.629;1.0;0.982;0.987;0.411;0.541;0.95;0.962;0.152;0.171;0.173;0.115;0.172;0.173;0.0;0.0;0.19;0.79;0.092;0.797;0.79;0.163;0.269;0.197;0.267;0.771
ENST00000378163_90_90;0.364;0.434;0.127;0.129;0.097;0.078;0.101;0.115;0.079;0.047;0.096;0.098;0.056;0.068;0.008;0.058;0.096;0.068;0.098;0.078;0.097;0.079;0.073;0.618;0.982;1.0;0.995;0.411;0.559;0.969;0.97;0.15;0.169;0.171;0.117;0.17;0.171;0.0;0.0;0.188;0.785;0.09;0.804;0.797;0.16;0.264;0.193;0.269;0.779
ENST00000378166_90_90;0.36;0.431;0.125;0.127;0.097;0.078;0.102;0.116;0.079;0.047;0.096;0.099;0.056;0.068;0.008;0.058;0.093;0.068;0.099;0.078;0.094;0.08;0.074;0.621;0.987;0.995;1.0;0.406;0.554;0.963;0.975;0.151;0.169;0.172;0.114;0.171;0.172;0.0;0.0;0.189;0.78;0.091;0.799;0.792;0.161;0.266;0.194;0.264;0.774
ENST00000378168_90_90;0.19;0.263;0.175;0.179;0.099;0.072;0.11;0.128;0.073;0.0;0.098;0.101;0.022;0.057;0.0;0.023;0.147;0.13;0.101;0.071;0.149;0.181;0.055;0.05;0.411;0.411;0.406;1.0;0.662;0.389;0.381;0.062;0.089;0.09;0.179;0.09;0.09;0.0;0.0;0.085;0.356;0.212;0.359;0.359;0.0;0.0;0.462;0.592;0.369
ENST00000378179_90_90;0.253;0.316;0.162;0.165;0.121;0.096;0.154;0.153;0.097;0.065;0.135;0.124;0.08;0.083;0.0;0.084;0.13;0.105;0.124;0.096;0.131;0.137;0.108;0.212;0.541;0.559;0.554;0.662;1.0;0.577;0.568;0.056;0.08;0.081;0.158;0.081;0.081;0.0;0.0;0.073;0.42;0.158;0.434;0.424;0.0;0.0;0.342;0.471;0.446
ENST00000421587_90_90;0.37;0.427;0.124;0.126;0.099;0.079;0.104;0.118;0.08;0.048;0.098;0.1;0.058;0.069;0.008;0.06;0.098;0.069;0.1;0.079;0.099;0.082;0.075;0.627;0.95;0.969;0.963;0.389;0.577;1.0;0.988;0.153;0.172;0.174;0.119;0.174;0.174;0.0;0.0;0.192;0.797;0.093;0.818;0.8;0.165;0.264;0.199;0.277;0.792
ENST00000442742_90_90;0.366;0.423;0.122;0.124;0.099;0.079;0.104;0.118;0.08;0.048;0.098;0.1;0.058;0.069;0.008;0.059;0.095;0.069;0.1;0.079;0.096;0.082;0.075;0.637;0.962;0.97;0.975;0.381;0.568;0.988;1.0;0.153;0.172;0.174;0.116;0.174;0.174;0.0;0.0;0.192;0.788;0.093;0.808;0.79;0.165;0.272;0.199;0.27;0.782
ENSMUST00000023454_90_90;0.352;0.33;0.305;0.283;0.567;0.584;0.013;0.362;0.612;0.0;0.202;0.594;0.0;0.596;0.0;0.0;0.655;0.298;0.594;0.584;0.663;0.061;0.017;0.124;0.152;0.15;0.151;0.062;0.056;0.153;0.153;1.0;0.917;0.964;0.715;0.956;0.964;0.034;0.41;0.637;0.152;0.081;0.153;0.151;0.06;0.105;0.074;0.0;0.156
ENSMUST00000064477_90_90;0.368;0.345;0.331;0.309;0.631;0.601;0.043;0.384;0.567;0.0;0.192;0.596;0.0;0.551;0.0;0.0;0.605;0.281;0.596;0.602;0.611;0.057;0.017;0.119;0.171;0.169;0.169;0.089;0.08;0.172;0.172;0.917;1.0;0.952;0.712;0.945;0.952;0.032;0.386;0.599;0.171;0.076;0.172;0.169;0.057;0.099;0.106;0.028;0.175
ENSMUST00000100001_90_90;0.374;0.351;0.318;0.296;0.596;0.568;0.044;0.392;0.594;0.0;0.196;0.624;0.0;0.578;0.0;0.0;0.635;0.288;0.624;0.567;0.642;0.059;0.017;0.121;0.173;0.171;0.172;0.09;0.081;0.174;0.174;0.964;0.952;1.0;0.748;0.992;1.0;0.032;0.395;0.614;0.173;0.078;0.174;0.172;0.058;0.101;0.108;0.029;0.177
ENSMUST00000115196_90_90;0.3;0.28;0.397;0.373;0.635;0.605;0.047;0.418;0.635;0.0;0.21;0.666;0.0;0.617;0.0;0.0;0.852;0.343;0.666;0.605;0.839;0.063;0.018;0.0;0.115;0.117;0.114;0.179;0.158;0.119;0.116;0.715;0.712;0.748;1.0;0.755;0.748;0.035;0.429;0.397;0.118;0.085;0.119;0.117;0.0;0.0;0.171;0.11;0.121
ENSMUST00000115201_90_90;0.372;0.349;0.323;0.301;0.592;0.564;0.044;0.389;0.591;0.0;0.195;0.62;0.0;0.574;0.0;0.0;0.641;0.285;0.62;0.564;0.638;0.058;0.017;0.12;0.172;0.17;0.171;0.09;0.081;0.174;0.174;0.956;0.945;0.992;0.755;1.0;0.992;0.032;0.392;0.609;0.172;0.078;0.174;0.171;0.057;0.101;0.107;0.028;0.177
ENSMUST00000115205_90_90;0.374;0.351;0.318;0.296;0.596;0.568;0.044;0.392;0.594;0.0;0.196;0.624;0.0;0.578;0.0;0.0;0.635;0.288;0.624;0.567;0.642;0.059;0.017;0.121;0.173;0.171;0.172;0.09;0.081;0.174;0.174;0.964;0.952;1.0;0.748;0.992;1.0;0.032;0.395;0.614;0.173;0.078;0.174;0.172;0.058;0.101;0.108;0.029;0.177
ENSMUST00000130920_90_90;0.024;0.022;0.02;0.021;0.028;0.029;0.0;0.039;0.03;0.0;0.0;0.029;0.0;0.03;0.0;0.0;0.032;0.0;0.029;0.029;0.033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034;0.032;0.032;0.035;0.032;0.032;1.0;0.082;0.053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000131136_90_90;0.21;0.189;0.194;0.191;0.322;0.334;0.0;0.413;0.342;0.0;0.192;0.33;0.0;0.349;0.0;0.0;0.371;0.367;0.33;0.334;0.376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.41;0.386;0.395;0.429;0.392;0.395;0.082;1.0;0.487;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000132176_90_90;0.444;0.411;0.187;0.185;0.361;0.373;0.019;0.479;0.38;0.0;0.265;0.368;0.0;0.363;0.0;0.0;0.408;0.423;0.368;0.372;0.413;0.091;0.025;0.163;0.19;0.188;0.189;0.085;0.073;0.192;0.192;0.637;0.599;0.614;0.397;0.609;0.614;0.053;0.487;1.0;0.191;0.124;0.192;0.189;0.089;0.151;0.109;0.0;0.196
ENSMUST00000033321_90_90;0.458;0.518;0.125;0.126;0.157;0.136;0.203;0.188;0.138;0.105;0.183;0.159;0.146;0.126;0.035;0.116;0.097;0.069;0.159;0.136;0.098;0.118;0.172;0.484;0.79;0.785;0.78;0.356;0.42;0.797;0.788;0.152;0.171;0.173;0.118;0.172;0.173;0.0;0.0;0.191;1.0;0.092;0.962;0.987;0.163;0.265;0.197;0.31;0.934
ENSMUST00000115435_90_90;0.058;0.056;0.049;0.051;0.076;0.079;0.046;0.106;0.081;0.0;0.131;0.078;0.0;0.061;0.0;0.0;0.088;0.167;0.078;0.079;0.089;0.314;0.066;0.0;0.092;0.09;0.091;0.212;0.158;0.093;0.093;0.081;0.076;0.078;0.085;0.078;0.078;0.0;0.0;0.124;0.092;1.0;0.093;0.091;0.0;0.0;0.399;0.0;0.096
ENSMUST00000115436_90_90;0.443;0.509;0.132;0.134;0.148;0.127;0.189;0.178;0.129;0.106;0.17;0.15;0.139;0.117;0.036;0.117;0.098;0.069;0.15;0.127;0.099;0.103;0.157;0.489;0.797;0.804;0.799;0.359;0.434;0.818;0.808;0.153;0.172;0.174;0.119;0.174;0.174;0.0;0.0;0.192;0.962;0.093;1.0;0.975;0.165;0.268;0.199;0.314;0.971
ENSMUST00000115438_90_90;0.454;0.528;0.131;0.133;0.155;0.135;0.201;0.187;0.137;0.104;0.181;0.158;0.144;0.125;0.035;0.114;0.096;0.068;0.158;0.135;0.097;0.116;0.17;0.478;0.79;0.797;0.792;0.359;0.424;0.8;0.79;0.151;0.169;0.172;0.117;0.171;0.172;0.0;0.0;0.189;0.987;0.091;0.975;1.0;0.161;0.262;0.194;0.306;0.947
ENSMUST00000124710_90_90;0.057;0.054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.163;0.16;0.161;0.0;0.0;0.165;0.165;0.06;0.057;0.058;0.0;0.057;0.058;0.0;0.0;0.089;0.163;0.0;0.165;0.161;1.0;0.024;0.0;0.0;0.136
ENSMUST00000128012_90_90;0.146;0.14;0.0;0.0;0.009;0.009;0.024;0.012;0.01;0.031;0.018;0.009;0.027;0.01;0.039;0.03;0.0;0.0;0.009;0.009;0.0;0.0;0.026;0.414;0.269;0.264;0.266;0.0;0.0;0.264;0.272;0.105;0.099;0.101;0.0;0.101;0.101;0.0;0.0;0.151;0.265;0.0;0.268;0.262;0.024;1.0;0.0;0.0;0.276
ENSMUST00000128095_90_90;0.131;0.125;0.103;0.106;0.106;0.073;0.134;0.144;0.075;0.0;0.11;0.108;0.0;0.056;0.0;0.0;0.133;0.192;0.108;0.073;0.135;0.217;0.051;0.0;0.197;0.193;0.194;0.462;0.342;0.199;0.199;0.074;0.106;0.108;0.171;0.107;0.108;0.0;0.0;0.109;0.197;0.399;0.199;0.194;0.0;0.0;1.0;0.251;0.205
ENSMUST00000139735_90_90;0.169;0.228;0.134;0.137;0.057;0.028;0.153;0.074;0.029;0.0;0.052;0.058;0.079;0.029;0.0;0.027;0.077;0.037;0.058;0.028;0.078;0.108;0.075;0.036;0.267;0.269;0.264;0.592;0.471;0.277;0.27;0.0;0.028;0.029;0.11;0.028;0.029;0.0;0.0;0.0;0.31;0.0;0.314;0.306;0.0;0.0;0.251;1.0;0.323
ENSMUST00000156096_90_90;0.452;0.52;0.134;0.136;0.15;0.129;0.194;0.182;0.131;0.109;0.174;0.153;0.143;0.119;0.037;0.121;0.1;0.071;0.153;0.129;0.1;0.106;0.162;0.463;0.771;0.779;0.774;0.369;0.446;0.792;0.782;0.156;0.175;0.177;0.121;0.177;0.177;0.0;0.0;0.196;0.934;0.096;0.971;0.947;0.136;0.276;0.205;0.323;1.0
