;transcript24_ENSAPOG00000023408;transcript7_ENSAPOG00000023408;transcript20_ENSAPOG00000016134;transcript23_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript12_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript8_ENSAPOG00000016134;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript17_ENSHGLG00000019563;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSXMAG00000026005;transcript0_ENSPNYG00000024266;transcript22_ENSMUNG00000002391;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391
transcript17_ENSHGLG00000019563;0.31;0.333;0.651;0.641;0.486;0.698;0.698;0.947;1.0;0.755;1.0;1.0;1.0;0.881;0.881;0.881;0.833;0.714;0.642;0.81;0.81;0.81;0.405;0.673;0.673;0.486;0.755;0.925
transcript20_ENSHGLG00100003156;0.277;0.298;0.583;0.568;0.429;0.625;0.625;0.837;0.881;0.685;0.881;0.881;0.881;1.0;1.0;1.0;0.952;0.833;0.736;0.929;0.929;0.929;0.357;0.764;0.764;0.429;0.784;0.952
transcript13_ENSHGLG00000019563;0.277;0.298;0.583;0.568;0.429;0.625;0.625;0.837;0.881;0.685;0.881;0.881;0.881;1.0;1.0;1.0;0.952;0.833;0.736;0.929;0.929;0.929;0.357;0.764;0.764;0.429;0.784;0.952
transcript25_ENSHGLG00000019563;0.277;0.298;0.583;0.568;0.429;0.625;0.625;0.837;0.881;0.685;0.881;0.881;0.881;1.0;1.0;1.0;0.952;0.833;0.736;0.929;0.929;0.929;0.357;0.764;0.764;0.429;0.784;0.952
transcript26_ENSHGLG00000019563;0.261;0.255;0.542;0.523;0.381;0.583;0.583;0.791;0.833;0.648;0.833;0.833;0.833;0.952;0.952;0.952;1.0;0.786;0.698;0.881;0.881;0.881;0.31;0.727;0.727;0.381;0.745;0.905
transcript27_ENSHGLG00000019563;0.128;0.149;0.438;0.409;0.262;0.479;0.479;0.674;0.714;0.556;0.714;0.714;0.714;0.833;0.833;0.833;0.786;1.0;0.7;0.897;0.897;0.897;0.282;0.636;0.636;0.262;0.647;0.786
transcript0_ENSHGLG00100006079;0.236;0.255;0.527;0.453;0.283;0.564;0.564;0.611;0.642;0.8;0.642;0.642;0.642;0.736;0.736;0.736;0.698;0.7;1.0;0.78;0.78;0.78;0.3;0.909;0.909;0.283;0.8;0.698
transcript13_ENSHGLG00100006079;0.213;0.234;0.521;0.5;0.357;0.562;0.562;0.767;0.81;0.63;0.81;0.81;0.81;0.929;0.929;0.929;0.881;0.897;0.78;1.0;1.0;1.0;0.385;0.709;0.709;0.357;0.725;0.881
transcript20_ENSHGLG00100006079;0.213;0.234;0.521;0.5;0.357;0.562;0.562;0.767;0.81;0.63;0.81;0.81;0.81;0.929;0.929;0.929;0.881;0.897;0.78;1.0;1.0;1.0;0.385;0.709;0.709;0.357;0.725;0.881
transcript21_ENSHGLG00100006079;0.213;0.234;0.521;0.5;0.357;0.562;0.562;0.767;0.81;0.63;0.81;0.81;0.81;0.929;0.929;0.929;0.881;0.897;0.78;1.0;1.0;1.0;0.385;0.709;0.709;0.357;0.725;0.881
transcript22_ENSHGLG00100006079;0.435;0.478;0.441;0.312;0.833;0.417;0.417;0.405;0.405;0.306;0.405;0.405;0.405;0.357;0.357;0.357;0.31;0.282;0.3;0.385;0.385;0.385;1.0;0.273;0.273;0.833;0.306;0.375
transcript0_ENSXMAG00000026005;0.327;0.345;0.618;0.491;0.327;0.655;0.655;0.643;0.673;0.891;0.673;0.673;0.673;0.764;0.764;0.764;0.727;0.636;0.909;0.709;0.709;0.709;0.273;1.0;1.0;0.327;0.891;0.727
transcript0_ENSPNYG00000024266;0.327;0.345;0.618;0.491;0.327;0.655;0.655;0.643;0.673;0.891;0.673;0.673;0.673;0.764;0.764;0.764;0.727;0.636;0.909;0.709;0.709;0.709;0.273;1.0;1.0;0.327;0.891;0.727
transcript22_ENSMUNG00000002391;0.565;0.609;0.529;0.406;1.0;0.5;0.5;0.486;0.486;0.367;0.486;0.486;0.486;0.429;0.429;0.429;0.381;0.262;0.283;0.357;0.357;0.357;0.833;0.327;0.327;1.0;0.367;0.45
transcript0_ENSMUNG00000002391;0.367;0.388;0.694;0.551;0.367;0.735;0.735;0.72;0.755;0.885;0.755;0.755;0.755;0.784;0.784;0.784;0.745;0.647;0.8;0.725;0.725;0.725;0.306;0.891;0.891;0.367;1.0;0.816
transcript21_ENSMUNG00000002391;0.289;0.311;0.609;0.595;0.45;0.652;0.652;0.878;0.925;0.712;0.925;0.925;0.925;0.952;0.952;0.952;0.905;0.786;0.698;0.881;0.881;0.881;0.375;0.727;0.727;0.45;0.816;1.0
