;ENSCAFT00000021165_90_90;ENSCAFT00000021175_90_90;ENSCAFT00000022869_90_90;ENSCAFT00000049479_90_90;ENST00000346964_90_90;ENST00000357674_90_90;ENST00000392380_90_90;ENST00000392381_90_90;ENST00000392382_90_90;ENST00000412364_90_90;ENST00000419227_90_90;ENST00000419354_90_90;ENST00000419553_90_90;ENST00000422288_90_90;ENST00000434148_90_90;ENST00000436682_90_90;ENST00000443183_90_90;ENST00000447466_90_90;ENST00000448528_90_90;ENST00000450955_90_90;ENST00000452595_90_90;ENST00000453607_90_90;ENST00000456699_90_90;ENST00000378154_90_90;ENST00000378158_90_90;ENST00000378163_90_90;ENST00000378166_90_90;ENST00000378168_90_90;ENST00000378179_90_90;ENST00000421587_90_90;ENST00000442742_90_90;ENSMUST00000023454_90_90;ENSMUST00000064477_90_90;ENSMUST00000100001_90_90;ENSMUST00000115196_90_90;ENSMUST00000115201_90_90;ENSMUST00000115205_90_90;ENSMUST00000130920_90_90;ENSMUST00000131136_90_90;ENSMUST00000132176_90_90;ENSMUST00000033321_90_90;ENSMUST00000115435_90_90;ENSMUST00000115436_90_90;ENSMUST00000115438_90_90;ENSMUST00000124710_90_90;ENSMUST00000128012_90_90;ENSMUST00000128095_90_90;ENSMUST00000139735_90_90;ENSMUST00000156096_90_90
ENST00000422288_90_90;0.881;0.827;0.793;0.771;0.877;0.923;0.18;0.651;0.978;0.123;0.455;0.93;0.18;1.0;0.025;0.142;0.715;0.309;0.93;0.919;0.73;0.13;0.189;0.473;0.764;0.799;0.791;0.414;0.629;0.769;0.768;0.968;0.873;0.92;0.673;0.91;0.92;0.042;0.422;0.641;0.746;0.095;0.75;0.772;0.172;0.117;0.2;0.298;0.716
ENST00000434148_90_90;0.024;0.024;0.0;0.0;0.023;0.024;0.1;0.032;0.025;0.202;0.057;0.024;0.138;0.025;1.0;0.174;0.0;0.0;0.024;0.024;0.0;0.0;0.118;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025;0.024;0.024;0.0;0.024;0.024;0.0;0.0;0.038;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000436682_90_90;0.132;0.138;0.097;0.099;0.129;0.136;0.546;0.177;0.139;0.871;0.313;0.132;0.786;0.142;0.174;1.0;0.0;0.0;0.132;0.136;0.0;0.069;0.659;0.152;0.1;0.097;0.097;0.0;0.0;0.099;0.099;0.141;0.132;0.134;0.0;0.132;0.134;0.0;0.0;0.212;0.098;0.0;0.098;0.095;0.613;0.0;0.0;0.0;0.063
ENST00000443183_90_90;0.72;0.681;0.74;0.718;0.663;0.694;0.014;0.451;0.736;0.0;0.231;0.703;0.0;0.715;0.0;0.0;1.0;0.384;0.703;0.692;0.975;0.061;0.02;0.402;0.711;0.746;0.738;0.472;0.71;0.715;0.715;0.724;0.656;0.693;0.936;0.703;0.693;0.045;0.451;0.428;0.704;0.108;0.707;0.73;0.0;0.215;0.226;0.347;0.732
ENST00000447466_90_90;0.316;0.334;0.279;0.275;0.308;0.326;0.027;0.421;0.332;0.0;0.436;0.316;0.0;0.309;0.0;0.0;0.384;1.0;0.316;0.324;0.395;0.106;0.041;0.439;0.286;0.275;0.278;0.0;0.219;0.274;0.284;0.336;0.315;0.32;0.369;0.316;0.32;0.0;0.381;0.457;0.277;0.0;0.275;0.269;0.0;0.311;0.0;0.0;0.285
ENST00000448528_90_90;0.946;0.891;0.855;0.833;0.944;0.901;0.243;0.719;0.952;0.115;0.422;1.0;0.168;0.93;0.024;0.132;0.703;0.316;1.0;0.897;0.717;0.121;0.201;0.535;0.826;0.861;0.852;0.387;0.587;0.83;0.83;0.942;0.941;0.99;0.736;0.98;0.99;0.039;0.392;0.631;0.805;0.089;0.809;0.831;0.161;0.178;0.186;0.279;0.776
ENST00000450955_90_90;0.942;0.871;0.833;0.81;0.952;0.996;0.19;0.656;0.941;0.118;0.433;0.897;0.172;0.919;0.024;0.136;0.692;0.324;0.897;1.0;0.706;0.124;0.206;0.493;0.804;0.838;0.831;0.417;0.625;0.808;0.807;0.939;0.942;0.895;0.657;0.885;0.895;0.041;0.406;0.655;0.784;0.091;0.788;0.809;0.165;0.141;0.191;0.304;0.756
ENST00000452595_90_90;0.726;0.673;0.734;0.711;0.675;0.708;0.014;0.46;0.751;0.0;0.237;0.717;0.0;0.73;0.0;0.0;0.975;0.395;0.717;0.706;1.0;0.062;0.02;0.405;0.704;0.74;0.731;0.464;0.703;0.709;0.709;0.74;0.669;0.706;0.912;0.699;0.706;0.046;0.463;0.438;0.697;0.109;0.701;0.724;0.0;0.217;0.228;0.339;0.726
ENST00000453607_90_90;0.122;0.127;0.126;0.12;0.118;0.124;0.207;0.163;0.127;0.0;0.283;0.121;0.215;0.13;0.0;0.069;0.061;0.106;0.121;0.124;0.062;1.0;0.24;0.201;0.13;0.125;0.126;0.0;0.0;0.12;0.129;0.13;0.121;0.123;0.059;0.122;0.123;0.0;0.0;0.196;0.12;0.0;0.12;0.117;0.262;0.199;0.0;0.0;0.124
ENST00000456699_90_90;0.201;0.209;0.163;0.167;0.196;0.207;0.784;0.27;0.211;0.574;0.404;0.201;0.839;0.189;0.118;0.659;0.02;0.041;0.201;0.206;0.02;0.24;1.0;0.257;0.168;0.162;0.163;0.0;0.0;0.167;0.167;0.213;0.2;0.203;0.019;0.201;0.203;0.0;0.0;0.322;0.165;0.0;0.164;0.161;0.72;0.061;0.0;0.0;0.13
ENST00000378154_90_90;0.557;0.603;0.633;0.634;0.528;0.493;0.3;0.697;0.5;0.12;0.55;0.535;0.201;0.473;0.0;0.152;0.402;0.439;0.535;0.493;0.405;0.201;0.257;1.0;0.647;0.623;0.627;0.037;0.214;0.627;0.643;0.498;0.519;0.533;0.436;0.533;0.533;0.0;0.301;0.669;0.636;0.0;0.632;0.617;0.261;0.425;0.0;0.052;0.599
ENST00000378158_90_90;0.891;0.893;0.97;0.929;0.839;0.804;0.197;0.613;0.79;0.079;0.361;0.826;0.132;0.764;0.0;0.1;0.711;0.286;0.826;0.804;0.704;0.13;0.168;0.647;1.0;0.964;0.97;0.381;0.522;0.929;0.947;0.783;0.842;0.817;0.74;0.817;0.817;0.028;0.325;0.527;0.974;0.08;0.921;0.945;0.17;0.277;0.16;0.283;0.889
ENST00000378163_90_90;0.927;0.913;0.994;0.966;0.873;0.838;0.189;0.633;0.826;0.075;0.348;0.861;0.127;0.799;0.0;0.097;0.746;0.275;0.861;0.838;0.74;0.125;0.162;0.623;0.964;1.0;0.994;0.377;0.558;0.966;0.97;0.817;0.875;0.851;0.774;0.851;0.851;0.048;0.349;0.548;0.952;0.077;0.958;0.981;0.165;0.268;0.155;0.282;0.924
ENST00000378166_90_90;0.917;0.92;1.0;0.958;0.865;0.831;0.191;0.639;0.817;0.076;0.351;0.852;0.128;0.791;0.0;0.097;0.738;0.278;0.852;0.831;0.731;0.126;0.163;0.627;0.97;0.994;1.0;0.371;0.552;0.958;0.976;0.808;0.867;0.843;0.766;0.843;0.843;0.048;0.351;0.553;0.945;0.077;0.951;0.974;0.166;0.27;0.156;0.275;0.917
ENST00000378168_90_90;0.405;0.361;0.371;0.358;0.402;0.417;0.0;0.136;0.402;0.0;0.0;0.387;0.0;0.414;0.0;0.0;0.472;0.0;0.387;0.417;0.464;0.0;0.0;0.037;0.381;0.377;0.371;1.0;0.608;0.358;0.347;0.402;0.413;0.388;0.451;0.388;0.388;0.066;0.223;0.104;0.39;0.202;0.355;0.379;0.0;0.0;0.404;0.706;0.367
ENST00000378179_90_90;0.581;0.568;0.552;0.578;0.601;0.625;0.0;0.336;0.61;0.0;0.126;0.587;0.0;0.629;0.0;0.0;0.71;0.219;0.587;0.625;0.703;0.0;0.0;0.214;0.522;0.558;0.552;0.608;1.0;0.578;0.565;0.605;0.609;0.583;0.673;0.583;0.583;0.081;0.498;0.297;0.533;0.138;0.577;0.562;0.0;0.006;0.277;0.505;0.597
ENST00000421587_90_90;0.895;0.881;0.958;1.0;0.843;0.808;0.195;0.603;0.795;0.078;0.348;0.83;0.131;0.769;0.0;0.099;0.715;0.274;0.83;0.808;0.709;0.12;0.167;0.627;0.929;0.966;0.958;0.358;0.578;1.0;0.982;0.787;0.846;0.821;0.744;0.821;0.821;0.05;0.329;0.519;0.938;0.08;0.992;0.968;0.17;0.263;0.161;0.292;0.957
ENST00000442742_90_90;0.895;0.897;0.976;0.982;0.843;0.807;0.195;0.617;0.794;0.078;0.358;0.83;0.131;0.768;0.0;0.099;0.715;0.284;0.83;0.807;0.709;0.129;0.167;0.643;0.947;0.97;0.976;0.347;0.565;0.982;1.0;0.786;0.845;0.821;0.743;0.821;0.821;0.05;0.329;0.53;0.921;0.08;0.974;0.951;0.169;0.277;0.16;0.282;0.94
ENSMUST00000023454_90_90;0.893;0.851;0.811;0.789;0.895;0.939;0.197;0.686;0.99;0.122;0.45;0.942;0.178;0.968;0.025;0.141;0.724;0.336;0.942;0.939;0.74;0.13;0.213;0.498;0.783;0.817;0.808;0.402;0.605;0.787;0.786;1.0;0.897;0.952;0.704;0.941;0.952;0.045;0.417;0.649;0.765;0.092;0.768;0.79;0.167;0.142;0.193;0.291;0.736
ENSMUST00000064477_90_90;0.984;0.917;0.87;0.848;0.99;0.942;0.242;0.723;0.894;0.115;0.421;0.941;0.168;0.873;0.024;0.132;0.656;0.315;0.941;0.942;0.669;0.121;0.2;0.519;0.842;0.875;0.867;0.413;0.609;0.846;0.845;0.897;1.0;0.944;0.704;0.933;0.944;0.041;0.388;0.604;0.822;0.086;0.825;0.847;0.156;0.172;0.181;0.307;0.793
ENSMUST00000100001_90_90;0.936;0.893;0.846;0.824;0.942;0.895;0.246;0.734;0.942;0.116;0.427;0.99;0.17;0.92;0.024;0.134;0.693;0.32;0.99;0.895;0.706;0.123;0.203;0.533;0.817;0.851;0.843;0.388;0.583;0.821;0.821;0.952;0.944;1.0;0.748;0.988;1.0;0.042;0.397;0.618;0.798;0.088;0.801;0.823;0.16;0.177;0.185;0.281;0.769
ENSMUST00000115196_90_90;0.756;0.728;0.768;0.746;0.7;0.657;0.059;0.504;0.693;0.0;0.224;0.736;0.0;0.673;0.0;0.0;0.936;0.369;0.736;0.657;0.912;0.059;0.019;0.436;0.74;0.774;0.766;0.451;0.673;0.744;0.743;0.704;0.704;0.748;1.0;0.758;0.748;0.046;0.431;0.401;0.732;0.103;0.736;0.758;0.0;0.256;0.216;0.334;0.76
ENSMUST00000115201_90_90;0.932;0.897;0.846;0.824;0.932;0.885;0.243;0.726;0.931;0.115;0.422;0.98;0.168;0.91;0.024;0.132;0.703;0.316;0.98;0.885;0.699;0.122;0.201;0.533;0.817;0.851;0.843;0.388;0.583;0.821;0.821;0.941;0.933;0.988;0.758;1.0;0.988;0.042;0.393;0.611;0.798;0.088;0.801;0.823;0.16;0.177;0.185;0.281;0.769
ENSMUST00000115205_90_90;0.936;0.893;0.846;0.824;0.942;0.895;0.246;0.734;0.942;0.116;0.427;0.99;0.17;0.92;0.024;0.134;0.693;0.32;0.99;0.895;0.706;0.123;0.203;0.533;0.817;0.851;0.843;0.388;0.583;0.821;0.821;0.952;0.944;1.0;0.748;0.988;1.0;0.042;0.397;0.618;0.798;0.088;0.801;0.823;0.16;0.177;0.185;0.281;0.769
ENSMUST00000130920_90_90;0.038;0.04;0.048;0.05;0.038;0.041;0.0;0.052;0.041;0.0;0.0;0.039;0.0;0.042;0.0;0.0;0.045;0.0;0.039;0.041;0.046;0.0;0.0;0.0;0.028;0.048;0.048;0.066;0.081;0.05;0.05;0.045;0.041;0.042;0.046;0.042;0.042;1.0;0.107;0.067;0.028;0.0;0.05;0.048;0.0;0.0;0.0;0.084;0.052
ENSMUST00000131136_90_90;0.384;0.404;0.353;0.33;0.387;0.406;0.0;0.489;0.412;0.0;0.201;0.392;0.0;0.422;0.0;0.0;0.451;0.381;0.392;0.406;0.463;0.0;0.0;0.301;0.325;0.349;0.351;0.223;0.498;0.329;0.329;0.417;0.388;0.397;0.431;0.393;0.397;0.107;1.0;0.475;0.326;0.0;0.33;0.353;0.0;0.038;0.0;0.238;0.342
ENSMUST00000132176_90_90;0.612;0.641;0.554;0.52;0.622;0.655;0.29;0.851;0.664;0.185;0.637;0.631;0.27;0.641;0.038;0.212;0.428;0.457;0.631;0.655;0.438;0.196;0.322;0.669;0.527;0.548;0.553;0.104;0.297;0.519;0.53;0.649;0.604;0.618;0.401;0.611;0.618;0.067;0.475;1.0;0.51;0.0;0.513;0.534;0.246;0.199;0.0;0.099;0.48
ENSMUST00000033321_90_90;0.871;0.858;0.945;0.938;0.818;0.784;0.193;0.593;0.772;0.077;0.346;0.805;0.129;0.746;0.0;0.098;0.704;0.277;0.805;0.784;0.697;0.12;0.165;0.636;0.974;0.952;0.945;0.39;0.533;0.938;0.921;0.765;0.822;0.798;0.732;0.798;0.798;0.028;0.326;0.51;1.0;0.079;0.946;0.97;0.169;0.265;0.153;0.297;0.913
ENSMUST00000115435_90_90;0.081;0.059;0.077;0.08;0.087;0.091;0.0;0.0;0.092;0.0;0.0;0.089;0.0;0.095;0.0;0.0;0.108;0.0;0.089;0.091;0.109;0.0;0.0;0.0;0.08;0.077;0.077;0.202;0.138;0.08;0.08;0.092;0.086;0.088;0.103;0.088;0.088;0.0;0.0;0.0;0.079;1.0;0.078;0.076;0.0;0.0;0.4;0.0;0.081
ENSMUST00000115436_90_90;0.873;0.859;0.951;0.992;0.822;0.788;0.192;0.597;0.775;0.077;0.343;0.809;0.129;0.75;0.0;0.098;0.707;0.275;0.809;0.788;0.701;0.12;0.164;0.632;0.921;0.958;0.951;0.355;0.577;0.992;0.974;0.768;0.825;0.801;0.736;0.801;0.801;0.05;0.33;0.513;0.946;0.078;1.0;0.976;0.168;0.263;0.153;0.296;0.966
ENSMUST00000115438_90_90;0.897;0.883;0.974;0.968;0.844;0.809;0.188;0.619;0.797;0.075;0.336;0.831;0.126;0.772;0.0;0.095;0.73;0.269;0.831;0.809;0.724;0.117;0.161;0.617;0.945;0.981;0.974;0.379;0.562;0.968;0.951;0.79;0.847;0.823;0.758;0.823;0.823;0.048;0.353;0.534;0.97;0.076;0.976;1.0;0.165;0.257;0.149;0.288;0.942
ENSMUST00000124710_90_90;0.159;0.161;0.166;0.17;0.159;0.165;0.634;0.218;0.167;0.499;0.376;0.161;0.782;0.172;0.0;0.613;0.0;0.0;0.161;0.165;0.0;0.262;0.72;0.261;0.17;0.165;0.166;0.0;0.0;0.17;0.169;0.167;0.156;0.16;0.0;0.16;0.16;0.0;0.0;0.246;0.169;0.0;0.168;0.165;1.0;0.021;0.0;0.0;0.135
ENSMUST00000128012_90_90;0.194;0.196;0.27;0.263;0.176;0.141;0.126;0.235;0.143;0.0;0.221;0.178;0.0;0.117;0.0;0.0;0.215;0.311;0.178;0.141;0.217;0.199;0.061;0.425;0.277;0.268;0.27;0.0;0.006;0.263;0.277;0.142;0.172;0.177;0.256;0.177;0.177;0.0;0.038;0.199;0.265;0.0;0.263;0.257;0.021;1.0;0.0;0.0;0.272
ENSMUST00000128095_90_90;0.175;0.153;0.156;0.161;0.183;0.191;0.0;0.0;0.194;0.0;0.0;0.186;0.0;0.2;0.0;0.0;0.226;0.0;0.186;0.191;0.228;0.0;0.0;0.0;0.16;0.155;0.156;0.404;0.277;0.161;0.16;0.193;0.181;0.185;0.216;0.185;0.185;0.0;0.0;0.0;0.153;0.4;0.153;0.149;0.0;0.0;1.0;0.188;0.158
ENSMUST00000139735_90_90;0.308;0.293;0.275;0.292;0.293;0.304;0.0;0.134;0.289;0.0;0.0;0.279;0.0;0.298;0.0;0.0;0.347;0.0;0.279;0.304;0.339;0.0;0.0;0.052;0.283;0.282;0.275;0.706;0.505;0.292;0.282;0.291;0.307;0.281;0.334;0.281;0.281;0.084;0.238;0.099;0.297;0.0;0.296;0.288;0.0;0.0;0.188;1.0;0.306
ENSMUST00000156096_90_90;0.84;0.826;0.917;0.957;0.789;0.756;0.157;0.563;0.742;0.042;0.309;0.776;0.095;0.716;0.0;0.063;0.732;0.285;0.776;0.756;0.726;0.124;0.13;0.599;0.889;0.924;0.917;0.367;0.597;0.957;0.94;0.736;0.793;0.769;0.76;0.769;0.769;0.052;0.342;0.48;0.913;0.081;0.966;0.942;0.135;0.272;0.158;0.306;1.0
