;transcript38_ENSRNOG00000031503;transcript38_ENSCGRG00015005362;transcript38_ENSCGRG00000018457;transcript38_ENSSTOG00000019743;transcript37_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript37_ENSCGRG00001010245;transcript37_ENSPEMG00000024651;transcript37_ENSSTOG00000019743;transcript57_ENSMUGG00000013649;transcript57_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript58_ENSPEMG00000024651;transcript59_ENSMUGG00000013649;transcript59_ENSPEMG00000024651;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript9_ENSCGRG00015005362;transcript9_ENSPEMG00000024651;transcript54_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript56_ENSCGRG00000018457;transcript56_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript33_ENSPEMG00000024651;transcript33_ENSNGAG00000018584;transcript39_ENSPEMG00000024651;transcript39_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript57_ENSPEMG00000024651;0.659;0.626;0.629;0.626;0.717;0.73;0.717;0.717;0.717;1.0;1.0;0.667;0.667;0.614;0.611;0.884;0.403;0.4;0.401;0.393;0.401;0.657;0.657;0.744;0.598;0.596;0.571;0.569;0.582;0.657;0.675;0.604;0.604;0.661;0.661;0.661
transcript58_ENSMUGG00000013649;0.903;0.869;0.872;0.869;0.889;0.897;0.889;0.896;0.889;0.69;0.667;1.0;1.0;0.799;0.805;0.776;0.628;0.624;0.643;0.603;0.626;0.912;0.919;0.916;0.99;0.986;0.808;0.819;0.971;0.919;0.917;0.785;0.774;0.916;0.916;0.916
transcript58_ENSPEMG00000024651;0.808;0.785;0.788;0.785;0.896;0.906;0.896;0.896;0.896;0.667;0.667;1.0;1.0;0.807;0.804;0.764;0.574;0.57;0.572;0.558;0.572;0.816;0.816;0.923;0.873;0.869;0.73;0.727;0.855;0.816;0.822;0.783;0.783;0.819;0.819;0.819
transcript59_ENSMUGG00000013649;0.86;0.824;0.826;0.824;0.841;0.845;0.841;0.843;0.841;0.642;0.614;0.799;0.807;1.0;0.998;0.723;0.581;0.578;0.593;0.558;0.58;0.867;0.87;0.867;0.793;0.792;0.761;0.77;0.775;0.87;0.873;0.968;0.965;0.867;0.867;0.867
transcript59_ENSPEMG00000024651;0.768;0.741;0.743;0.741;0.841;0.847;0.84;0.84;0.84;0.612;0.611;0.805;0.804;0.998;1.0;0.704;0.528;0.526;0.527;0.511;0.527;0.772;0.772;0.866;0.712;0.711;0.685;0.684;0.696;0.772;0.776;0.965;0.965;0.773;0.773;0.773
transcript51_ENSMUGG00000013592;0.859;0.819;0.822;0.819;0.845;0.845;0.845;0.828;0.845;0.9;0.884;0.776;0.764;0.723;0.704;1.0;0.561;0.557;0.551;0.544;0.559;0.858;0.838;0.862;0.784;0.781;0.76;0.747;0.765;0.838;0.88;0.702;0.718;0.862;0.862;0.862
transcript8_ENSCGRG00000018457;0.77;0.76;0.76;0.76;0.705;0.712;0.623;0.635;0.623;0.471;0.403;0.628;0.574;0.581;0.528;0.561;1.0;0.998;1.0;1.0;1.0;0.731;0.741;0.619;0.664;0.664;0.67;0.676;0.675;0.741;0.703;0.535;0.521;0.731;0.731;0.731
transcript8_ENSCGRG00015005362;0.768;0.758;0.758;0.758;0.7;0.707;0.62;0.631;0.62;0.468;0.4;0.624;0.57;0.578;0.526;0.557;0.998;1.0;0.998;0.997;0.998;0.729;0.739;0.615;0.662;0.662;0.668;0.675;0.673;0.739;0.7;0.531;0.518;0.727;0.727;0.727
transcript8_ENSPEMG00000024651;0.774;0.764;0.764;0.764;0.712;0.719;0.632;0.632;0.632;0.451;0.401;0.643;0.572;0.593;0.527;0.551;1.0;0.998;1.0;1.0;1.0;0.741;0.741;0.629;0.679;0.679;0.676;0.676;0.691;0.741;0.719;0.533;0.533;0.738;0.738;0.738
transcript8_ENSNGAG00000018584;0.75;0.738;0.738;0.738;0.671;0.677;0.594;0.608;0.594;0.462;0.393;0.603;0.558;0.558;0.511;0.544;1.0;0.997;1.0;1.0;1.0;0.703;0.719;0.59;0.641;0.641;0.656;0.668;0.651;0.719;0.703;0.517;0.5;0.703;0.703;0.703
transcript8_ENSSTOG00000019743;0.77;0.76;0.76;0.76;0.702;0.709;0.621;0.632;0.621;0.47;0.401;0.626;0.572;0.58;0.527;0.559;1.0;0.998;1.0;1.0;1.0;0.731;0.741;0.617;0.664;0.664;0.67;0.676;0.675;0.741;0.703;0.533;0.519;0.729;0.729;0.729
transcript9_ENSCGRG00015005362;1.0;0.962;0.962;0.962;0.97;0.979;0.859;0.861;0.859;0.771;0.657;0.912;0.816;0.867;0.772;0.858;0.731;0.729;0.741;0.703;0.731;1.0;1.0;0.883;0.933;0.933;0.904;0.911;0.917;1.0;1.0;0.764;0.759;0.997;0.997;0.997
transcript9_ENSPEMG00000024651;1.0;0.969;0.969;0.969;0.97;0.981;0.861;0.861;0.861;0.74;0.657;0.919;0.816;0.87;0.772;0.838;0.741;0.739;0.741;0.719;0.741;1.0;1.0;0.884;0.938;0.938;0.911;0.911;0.922;1.0;1.0;0.764;0.764;0.996;0.996;0.996
transcript54_ENSCGRG00015005362;0.884;0.844;0.847;0.844;0.973;0.983;0.973;0.974;0.973;0.774;0.744;0.916;0.923;0.867;0.866;0.862;0.619;0.615;0.629;0.59;0.617;0.883;0.884;1.0;0.818;0.816;0.79;0.796;0.803;0.884;0.887;0.86;0.857;0.886;0.886;0.886
transcript52_ENSCGRG00000018457;0.921;0.895;0.895;0.895;0.897;0.906;0.795;0.803;0.795;0.698;0.598;0.99;0.873;0.793;0.712;0.784;0.664;0.662;0.679;0.641;0.664;0.933;0.938;0.818;1.0;1.0;0.838;0.85;0.983;0.938;0.938;0.705;0.694;0.933;0.933;0.933
transcript52_ENSCGRG00001010245;0.921;0.895;0.895;0.895;0.894;0.903;0.792;0.8;0.792;0.695;0.596;0.986;0.869;0.792;0.711;0.781;0.664;0.662;0.679;0.641;0.664;0.933;0.938;0.816;1.0;1.0;0.838;0.85;0.983;0.938;0.938;0.702;0.692;0.93;0.93;0.93
transcript56_ENSCGRG00000018457;0.914;0.906;0.906;0.906;0.879;0.882;0.777;0.788;0.777;0.665;0.571;0.808;0.73;0.761;0.685;0.76;0.67;0.668;0.676;0.656;0.67;0.904;0.911;0.79;0.838;0.838;1.0;1.0;0.822;0.911;0.903;0.678;0.666;0.904;0.904;0.904
transcript56_ENSPEMG00000024651;0.915;0.908;0.908;0.908;0.885;0.889;0.785;0.785;0.785;0.64;0.569;0.819;0.727;0.77;0.684;0.747;0.676;0.675;0.676;0.668;0.676;0.911;0.911;0.796;0.85;0.85;1.0;1.0;0.833;0.911;0.913;0.675;0.675;0.908;0.908;0.908
transcript65_ENSCGRG00000018457;0.905;0.879;0.879;0.879;0.879;0.887;0.779;0.786;0.779;0.68;0.582;0.971;0.855;0.775;0.696;0.765;0.675;0.673;0.691;0.651;0.675;0.917;0.922;0.803;0.983;0.983;0.822;0.833;1.0;0.922;0.922;0.688;0.678;0.917;0.917;0.917
transcript33_ENSPEMG00000024651;1.0;0.969;0.969;0.969;0.97;0.981;0.861;0.861;0.861;0.74;0.657;0.919;0.816;0.87;0.772;0.838;0.741;0.739;0.741;0.719;0.741;1.0;1.0;0.884;0.938;0.938;0.911;0.911;0.922;1.0;1.0;0.764;0.764;0.996;0.996;0.996
transcript33_ENSNGAG00000018584;1.0;0.952;0.952;0.952;0.971;0.981;0.862;0.863;0.862;0.797;0.675;0.917;0.822;0.873;0.776;0.88;0.703;0.7;0.719;0.703;0.703;1.0;1.0;0.887;0.938;0.938;0.903;0.913;0.922;1.0;1.0;0.773;0.77;1.0;1.0;1.0
transcript39_ENSPEMG00000024651;0.776;0.761;0.764;0.761;0.87;0.873;0.868;0.868;0.868;0.606;0.604;0.785;0.783;0.968;0.965;0.702;0.535;0.531;0.533;0.517;0.533;0.764;0.764;0.86;0.705;0.702;0.678;0.675;0.688;0.764;0.773;1.0;1.0;0.767;0.767;0.767
transcript39_ENSSTOG00000019743;0.77;0.751;0.754;0.751;0.868;0.871;0.867;0.868;0.867;0.633;0.604;0.774;0.783;0.965;0.965;0.718;0.521;0.518;0.533;0.5;0.519;0.759;0.764;0.857;0.694;0.692;0.666;0.675;0.678;0.764;0.77;1.0;1.0;0.762;0.762;0.762
transcript26_ENSSTOG00000019743;1.0;0.959;0.962;0.959;0.973;0.983;0.862;0.865;0.862;0.774;0.661;0.916;0.819;0.867;0.773;0.862;0.731;0.727;0.738;0.703;0.729;0.997;0.996;0.886;0.933;0.93;0.904;0.908;0.917;0.996;1.0;0.767;0.762;1.0;1.0;1.0
transcript29_ENSSTOG00000019743;1.0;0.959;0.962;0.959;0.973;0.983;0.862;0.865;0.862;0.774;0.661;0.916;0.819;0.867;0.773;0.862;0.731;0.727;0.738;0.703;0.729;0.997;0.996;0.886;0.933;0.93;0.904;0.908;0.917;0.996;1.0;0.767;0.762;1.0;1.0;1.0
transcript40_ENSSTOG00000019743;1.0;0.959;0.962;0.959;0.973;0.983;0.862;0.865;0.862;0.774;0.661;0.916;0.819;0.867;0.773;0.862;0.731;0.727;0.738;0.703;0.729;0.997;0.996;0.886;0.933;0.93;0.904;0.908;0.917;0.996;1.0;0.767;0.762;1.0;1.0;1.0
