;ENSCAFT00000014853_90_90;ENST00000323180_90_90;ENST00000418153_90_90;ENST00000524497_90_90;ENST00000525438_90_90;ENST00000525676_90_90;ENST00000527782_90_90;ENST00000529734_90_90;ENST00000529782_90_90;ENST00000530587_90_90;ENST00000531959_90_90;ENST00000532010_90_90;ENST00000532028_90_90;ENST00000532883_90_90;ENST00000533757_90_90;ENSMUST00000044036_90_90;ENSMUST00000068702_90_90;ENSMUST00000090586_90_90;ENSMUST00000111290_90_90;ENSMUST00000111291_90_90;ENSMUST00000111292_90_90;ENSMUST00000111293_90_90;ENSMUST00000111294_90_90;ENSMUST00000111297_90_90;ENSMUST00000128781_90_90;ENSMUST00000138995_90_90;ENSMUST00000159366_90_90;ENSMUST00000159727_90_90;ENSMUST00000159961_90_90;ENSMUST00000161067_90_90;ENSMUST00000162146_90_90;ENSMUST00000162188_90_90;ENSMUST00000162497_90_90
ENST00000532028_90_90;0.209;0.193;0.205;0.0;0.0;0.474;0.0;0.0;0.0;0.354;0.0;0.0;1.0;0.0;0.0;0.215;0.207;0.192;0.2;0.215;0.207;0.192;0.181;0.191;0.0;0.0;0.0;0.0;0.255;0.158;0.0;0.0;0.0
ENST00000532883_90_90;0.193;0.147;0.144;0.321;0.388;0.0;0.219;0.409;0.206;0.0;0.326;0.13;0.0;1.0;0.636;0.226;0.238;0.204;0.212;0.226;0.238;0.204;0.21;0.222;0.228;0.319;0.401;0.0;0.081;0.0;0.889;0.507;0.191
ENST00000533757_90_90;0.145;0.163;0.16;0.394;0.607;0.0;0.342;0.534;0.277;0.0;0.4;0.204;0.0;0.636;1.0;0.175;0.184;0.158;0.164;0.175;0.184;0.158;0.163;0.172;0.294;0.41;0.304;0.0;0.028;0.0;0.698;0.649;0.245
ENSMUST00000044036_90_90;0.88;0.776;0.836;0.315;0.114;0.117;0.07;0.283;0.159;0.141;0.319;0.038;0.215;0.226;0.175;1.0;0.909;0.895;0.855;1.0;0.909;0.895;0.825;0.794;0.058;0.081;0.354;0.101;0.84;0.278;0.223;0.12;0.046
ENSMUST00000068702_90_90;0.81;0.829;0.774;0.331;0.119;0.125;0.074;0.299;0.168;0.15;0.336;0.04;0.207;0.238;0.184;0.909;1.0;0.815;0.777;0.909;1.0;0.815;0.879;0.847;0.06;0.084;0.37;0.097;0.77;0.32;0.234;0.127;0.05
ENSMUST00000090586_90_90;0.99;0.882;0.943;0.328;0.103;0.105;0.064;0.255;0.143;0.126;0.319;0.035;0.192;0.204;0.158;0.895;0.815;1.0;0.961;0.895;0.815;1.0;0.928;0.881;0.052;0.073;0.414;0.197;0.75;0.248;0.202;0.109;0.042
ENSMUST00000111290_90_90;0.949;0.843;0.903;0.341;0.106;0.108;0.066;0.265;0.149;0.131;0.331;0.036;0.2;0.212;0.164;0.855;0.777;0.961;1.0;0.855;0.777;0.961;0.891;0.916;0.054;0.076;0.43;0.205;0.712;0.21;0.209;0.113;0.044
ENSMUST00000111291_90_90;0.88;0.776;0.836;0.315;0.114;0.117;0.07;0.283;0.159;0.141;0.319;0.038;0.215;0.226;0.175;1.0;0.909;0.895;0.855;1.0;0.909;0.895;0.825;0.794;0.058;0.081;0.354;0.101;0.84;0.278;0.223;0.12;0.046
ENSMUST00000111292_90_90;0.81;0.829;0.774;0.331;0.119;0.125;0.074;0.299;0.168;0.15;0.336;0.04;0.207;0.238;0.184;0.909;1.0;0.815;0.777;0.909;1.0;0.815;0.879;0.847;0.06;0.084;0.37;0.097;0.77;0.32;0.234;0.127;0.05
ENSMUST00000111293_90_90;0.99;0.882;0.943;0.328;0.103;0.105;0.064;0.255;0.143;0.126;0.319;0.035;0.192;0.204;0.158;0.895;0.815;1.0;0.961;0.895;0.815;1.0;0.928;0.881;0.052;0.073;0.414;0.197;0.75;0.248;0.202;0.109;0.042
ENSMUST00000111294_90_90;0.93;0.952;0.872;0.339;0.106;0.11;0.066;0.263;0.148;0.132;0.33;0.036;0.181;0.21;0.163;0.825;0.879;0.928;0.891;0.825;0.879;0.928;1.0;0.949;0.053;0.074;0.429;0.207;0.683;0.28;0.208;0.112;0.044
ENSMUST00000111297_90_90;0.879;0.9;0.823;0.343;0.112;0.116;0.069;0.278;0.157;0.139;0.333;0.037;0.191;0.222;0.172;0.794;0.847;0.881;0.916;0.794;0.847;0.881;0.949;1.0;0.057;0.079;0.452;0.218;0.65;0.241;0.219;0.118;0.046
ENSMUST00000128781_90_90;0.046;0.059;0.058;0.127;0.472;0.0;0.873;0.179;0.0;0.0;0.13;0.736;0.0;0.228;0.294;0.058;0.06;0.052;0.054;0.058;0.06;0.052;0.053;0.057;1.0;0.718;0.066;0.0;0.0;0.0;0.197;0.442;0.852
ENSMUST00000138995_90_90;0.068;0.083;0.082;0.176;0.657;0.0;0.824;0.25;0.0;0.0;0.181;0.528;0.0;0.319;0.41;0.081;0.084;0.073;0.076;0.081;0.084;0.073;0.074;0.079;0.718;1.0;0.106;0.0;0.0;0.0;0.275;0.615;0.611
ENSMUST00000159366_90_90;0.392;0.372;0.363;0.648;0.176;0.0;0.087;0.533;0.34;0.0;0.633;0.033;0.0;0.401;0.304;0.354;0.37;0.414;0.43;0.354;0.37;0.414;0.429;0.452;0.066;0.106;1.0;0.181;0.247;0.0;0.385;0.184;0.048
ENSMUST00000159727_90_90;0.204;0.219;0.197;0.073;0.0;0.0;0.0;0.0;0.0;0.0;0.057;0.0;0.0;0.0;0.0;0.101;0.097;0.197;0.205;0.101;0.097;0.197;0.207;0.218;0.0;0.0;0.181;1.0;0.099;0.0;0.0;0.0;0.0
ENSMUST00000159961_90_90;0.752;0.635;0.709;0.182;0.0;0.139;0.0;0.139;0.131;0.167;0.184;0.0;0.255;0.081;0.028;0.84;0.77;0.75;0.712;0.84;0.77;0.75;0.683;0.65;0.0;0.0;0.247;0.099;1.0;0.317;0.086;0.0;0.0
ENSMUST00000161067_90_90;0.26;0.296;0.264;0.0;0.0;0.116;0.0;0.0;0.0;0.323;0.0;0.0;0.158;0.0;0.0;0.278;0.32;0.248;0.21;0.278;0.32;0.248;0.28;0.241;0.0;0.0;0.0;0.0;0.317;1.0;0.0;0.0;0.0
ENSMUST00000162146_90_90;0.211;0.158;0.155;0.432;0.423;0.0;0.237;0.47;0.24;0.0;0.44;0.142;0.0;0.889;0.698;0.223;0.234;0.202;0.209;0.223;0.234;0.202;0.208;0.219;0.197;0.275;0.385;0.0;0.086;0.0;1.0;0.439;0.165
ENSMUST00000162188_90_90;0.106;0.123;0.122;0.278;0.944;0.0;0.51;0.391;0.077;0.0;0.284;0.317;0.0;0.507;0.649;0.12;0.127;0.109;0.113;0.12;0.127;0.109;0.112;0.118;0.442;0.615;0.184;0.0;0.0;0.0;0.439;1.0;0.373
ENSMUST00000162497_90_90;0.036;0.049;0.048;0.106;0.397;0.0;0.746;0.149;0.0;0.0;0.108;0.857;0.0;0.191;0.245;0.046;0.05;0.042;0.044;0.046;0.05;0.042;0.044;0.046;0.852;0.611;0.048;0.0;0.0;0.0;0.165;0.373;1.0
