;transcript7_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript17_ENSMPUG00000020072;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript12_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript22_ENSMLUG00000027828;transcript7_ENSSTOG00000019743;transcript9_ENSSTOG00000019743;transcript17_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript9_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript24_ENSCCNG00000000226;transcript26_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript9_ENSCPOG00000024843;transcript17_ENSCPOG00000024843;transcript18_ENSCPOG00000024843;transcript24_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript9_ENSMLUG00000027828;0.05;0.047;0.043;0.043;0.055;0.046;0.05;0.044;0.047;0.043;0.043;1.0;0.048;0.054;0.048;0.046;0.042;0.042;0.045;0.046;0.044;0.057;0.044;0.048;0.06;0.062;0.046;0.06;0.046;0.058;0.046
transcript13_ENSMLUG00000027828;0.695;0.798;0.801;0.801;0.605;0.763;0.722;0.789;0.808;0.811;0.811;0.048;1.0;0.941;1.0;0.684;0.765;0.765;0.698;0.744;0.794;0.634;0.794;0.726;0.712;0.692;0.891;0.712;0.891;0.67;0.891
transcript14_ENSMLUG00000027828;0.73;0.76;0.757;0.757;0.561;0.801;0.678;0.746;0.77;0.766;0.766;0.054;0.941;1.0;0.941;0.65;0.732;0.732;0.664;0.703;0.753;0.591;0.753;0.683;0.664;0.643;0.845;0.664;0.845;0.623;0.845
transcript22_ENSMLUG00000027828;0.695;0.798;0.801;0.801;0.605;0.763;0.722;0.789;0.808;0.811;0.811;0.048;1.0;0.941;1.0;0.684;0.765;0.765;0.698;0.744;0.794;0.634;0.794;0.726;0.712;0.692;0.891;0.712;0.891;0.67;0.891
transcript7_ENSSTOG00000019743;0.592;0.696;0.693;0.693;0.543;0.651;0.607;0.677;0.697;0.694;0.694;0.046;0.684;0.65;0.684;1.0;0.905;0.905;0.982;0.657;0.703;0.539;0.703;0.756;0.587;0.568;0.771;0.587;0.771;0.597;0.771
transcript9_ENSSTOG00000019743;0.656;0.758;0.755;0.755;0.609;0.714;0.671;0.74;0.761;0.758;0.758;0.042;0.765;0.732;0.765;0.905;1.0;1.0;0.921;0.714;0.758;0.6;0.758;0.71;0.67;0.651;0.851;0.67;0.851;0.681;0.851
transcript17_ENSSTOG00000019743;0.656;0.758;0.755;0.755;0.609;0.714;0.671;0.74;0.761;0.758;0.758;0.042;0.765;0.732;0.765;0.905;1.0;1.0;0.921;0.714;0.758;0.6;0.758;0.71;0.67;0.651;0.851;0.67;0.851;0.681;0.851
transcript26_ENSSTOG00000019743;0.604;0.708;0.704;0.704;0.555;0.662;0.619;0.689;0.711;0.708;0.708;0.045;0.698;0.664;0.698;0.982;0.921;0.921;1.0;0.663;0.709;0.546;0.709;0.762;0.601;0.582;0.785;0.601;0.785;0.612;0.785
transcript7_ENSCCNG00000000226;0.737;0.756;0.752;0.752;0.682;0.706;0.672;0.74;0.766;0.762;0.762;0.046;0.744;0.703;0.744;0.657;0.714;0.714;0.663;1.0;0.944;0.71;0.944;0.867;0.647;0.617;0.833;0.647;0.833;0.754;0.833
transcript9_ENSCCNG00000000226;0.7;0.794;0.791;0.791;0.647;0.745;0.712;0.779;0.802;0.798;0.798;0.044;0.794;0.753;0.794;0.703;0.758;0.758;0.709;0.944;1.0;0.766;1.0;0.923;0.699;0.668;0.882;0.699;0.882;0.716;0.882
transcript18_ENSCCNG00000000226;0.52;0.621;0.617;0.617;0.465;0.57;0.534;0.627;0.64;0.637;0.637;0.057;0.634;0.591;0.634;0.539;0.6;0.6;0.546;0.71;0.766;1.0;0.766;0.689;0.887;0.848;0.676;0.887;0.676;0.503;0.676
transcript24_ENSCCNG00000000226;0.7;0.794;0.791;0.791;0.647;0.745;0.712;0.779;0.802;0.798;0.798;0.044;0.794;0.753;0.794;0.703;0.758;0.758;0.709;0.944;1.0;0.766;1.0;0.923;0.699;0.668;0.882;0.699;0.882;0.716;0.882
transcript26_ENSCCNG00000000226;0.648;0.745;0.742;0.742;0.594;0.695;0.661;0.73;0.748;0.744;0.744;0.048;0.726;0.683;0.726;0.756;0.71;0.71;0.762;0.867;0.923;0.689;0.923;1.0;0.628;0.597;0.814;0.628;0.814;0.645;0.814
transcript7_ENSCPOG00000024843;0.573;0.701;0.698;0.698;0.499;0.642;0.587;0.709;0.71;0.707;0.707;0.06;0.712;0.664;0.712;0.587;0.67;0.67;0.601;0.647;0.699;0.887;0.699;0.628;1.0;0.961;0.762;1.0;0.762;0.54;0.762
transcript9_ENSCPOG00000024843;0.542;0.67;0.667;0.667;0.469;0.611;0.556;0.677;0.679;0.676;0.676;0.062;0.692;0.643;0.692;0.568;0.651;0.651;0.582;0.617;0.668;0.848;0.668;0.597;0.961;1.0;0.732;0.961;0.732;0.51;0.732
transcript17_ENSCPOG00000024843;0.771;0.895;0.892;0.892;0.699;0.837;0.784;0.877;0.897;0.893;0.893;0.046;0.891;0.845;0.891;0.771;0.851;0.851;0.785;0.833;0.882;0.676;0.882;0.814;0.762;0.732;1.0;0.762;1.0;0.778;1.0
transcript18_ENSCPOG00000024843;0.573;0.701;0.698;0.698;0.499;0.642;0.587;0.709;0.71;0.707;0.707;0.06;0.712;0.664;0.712;0.587;0.67;0.67;0.601;0.647;0.699;0.887;0.699;0.628;1.0;0.961;0.762;1.0;0.762;0.54;0.762
transcript24_ENSCPOG00000024843;0.771;0.895;0.892;0.892;0.699;0.837;0.784;0.877;0.897;0.893;0.893;0.046;0.891;0.845;0.891;0.771;0.851;0.851;0.785;0.833;0.882;0.676;0.882;0.814;0.762;0.732;1.0;0.762;1.0;0.778;1.0
transcript32_ENSCPOG00000024843;0.713;0.722;0.72;0.72;0.898;0.663;0.609;0.704;0.721;0.718;0.718;0.058;0.67;0.623;0.67;0.597;0.681;0.681;0.612;0.754;0.716;0.503;0.716;0.645;0.54;0.51;0.778;0.54;0.778;1.0;0.778
transcript33_ENSCPOG00000024843;0.771;0.895;0.892;0.892;0.699;0.837;0.784;0.877;0.897;0.893;0.893;0.046;0.891;0.845;0.891;0.771;0.851;0.851;0.785;0.833;0.882;0.676;0.882;0.814;0.762;0.732;1.0;0.762;1.0;0.778;1.0
