;transcript24_ENSAPOG00000023408;transcript7_ENSAPOG00000023408;transcript20_ENSAPOG00000016134;transcript23_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript12_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript8_ENSAPOG00000016134;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript17_ENSHGLG00000019563;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSXMAG00000026005;transcript0_ENSPNYG00000024266;transcript22_ENSMUNG00000002391;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391
transcript20_ENSHGLG00100003156;0.562;0.59;0.768;0.79;0.696;0.912;0.804;0.968;0.982;0.923;0.922;0.922;0.927;1.0;1.0;1.0;0.749;0.891;0.938;0.997;0.997;0.997;0.562;0.939;0.939;0.598;0.943;0.997
transcript13_ENSHGLG00000019563;0.567;0.594;0.772;0.791;0.696;0.917;0.808;0.968;0.982;0.937;0.922;0.922;0.927;1.0;1.0;1.0;0.749;0.891;0.951;0.997;0.997;0.997;0.562;0.953;0.953;0.598;0.956;0.997
transcript25_ENSHGLG00000019563;0.567;0.594;0.772;0.791;0.696;0.917;0.808;0.968;0.982;0.937;0.922;0.922;0.927;1.0;1.0;1.0;0.749;0.891;0.951;0.997;0.997;0.997;0.562;0.953;0.953;0.598;0.956;0.997
transcript26_ENSHGLG00000019563;0.314;0.304;0.512;0.503;0.402;0.645;0.549;0.711;0.726;0.699;0.669;0.669;0.671;0.749;0.749;0.749;1.0;0.633;0.716;0.744;0.744;0.744;0.289;0.72;0.72;0.326;0.719;0.745
transcript27_ENSHGLG00000019563;0.421;0.449;0.652;0.646;0.55;0.774;0.688;0.847;0.862;0.819;0.814;0.814;0.818;0.891;0.891;0.891;0.633;1.0;0.88;0.925;0.925;0.925;0.487;0.845;0.845;0.482;0.844;0.884
transcript0_ENSHGLG00100006079;0.585;0.609;0.733;0.76;0.529;0.925;0.762;0.734;0.746;0.984;0.858;0.858;0.875;0.938;0.951;0.951;0.716;0.88;1.0;0.777;0.777;0.777;0.438;0.996;0.996;0.496;0.989;0.855
transcript13_ENSHGLG00100006079;0.463;0.489;0.666;0.7;0.671;0.79;0.7;0.964;0.979;0.758;0.915;0.915;0.919;0.997;0.997;0.997;0.744;0.925;0.777;1.0;1.0;1.0;0.564;0.774;0.774;0.572;0.807;0.994
transcript20_ENSHGLG00100006079;0.463;0.489;0.666;0.7;0.671;0.79;0.7;0.964;0.979;0.758;0.915;0.915;0.919;0.997;0.997;0.997;0.744;0.925;0.777;1.0;1.0;1.0;0.564;0.774;0.774;0.572;0.807;0.994
transcript21_ENSHGLG00100006079;0.463;0.489;0.666;0.7;0.671;0.79;0.7;0.964;0.979;0.758;0.915;0.915;0.919;0.997;0.997;0.997;0.744;0.925;0.777;1.0;1.0;1.0;0.564;0.774;0.774;0.572;0.807;0.994
transcript22_ENSHGLG00100006079;0.637;0.674;0.621;0.488;0.996;0.597;0.597;0.611;0.604;0.465;0.604;0.604;0.604;0.562;0.562;0.562;0.289;0.487;0.438;0.564;0.564;0.564;1.0;0.435;0.435;0.996;0.461;0.574
transcript0_ENSXMAG00000026005;0.629;0.649;0.754;0.749;0.539;0.929;0.781;0.727;0.738;0.987;0.863;0.863;0.881;0.939;0.953;0.953;0.72;0.845;0.996;0.774;0.774;0.774;0.435;1.0;1.0;0.51;0.992;0.844
transcript0_ENSPNYG00000024266;0.629;0.649;0.754;0.749;0.539;0.929;0.781;0.727;0.738;0.987;0.863;0.863;0.881;0.939;0.953;0.953;0.72;0.845;0.996;0.774;0.774;0.774;0.435;1.0;1.0;0.51;0.992;0.844
transcript22_ENSMUNG00000002391;0.715;0.75;0.695;0.581;1.0;0.671;0.671;0.637;0.629;0.534;0.629;0.629;0.629;0.598;0.598;0.598;0.326;0.482;0.496;0.572;0.572;0.572;0.996;0.51;0.51;1.0;0.517;0.6
transcript0_ENSMUNG00000002391;0.633;0.655;0.782;0.754;0.543;0.935;0.811;0.756;0.768;0.984;0.894;0.894;0.909;0.943;0.956;0.956;0.719;0.844;0.989;0.807;0.807;0.807;0.461;0.992;0.992;0.517;1.0;0.853
transcript21_ENSMUNG00000002391;0.533;0.558;0.717;0.766;0.698;0.831;0.75;0.97;0.985;0.828;0.948;0.948;0.951;0.997;0.997;0.997;0.745;0.884;0.855;0.994;0.994;0.994;0.574;0.844;0.844;0.6;0.853;1.0
