;ENSCAFT00000017676_90_90;ENST00000249647_90_90;ENST00000349777_90_90;ENST00000397138_90_90;ENST00000561526_90_90;ENST00000563765_90_90;ENST00000563830_90_90;ENST00000563873_90_90;ENST00000564153_90_90;ENST00000566035_90_90;ENST00000566327_90_90;ENST00000567094_90_90;ENST00000568331_90_90;ENST00000568451_90_90;ENST00000568841_90_90;ENST00000568859_90_90;ENST00000626061_90_90;ENST00000627440_90_90;ENSMUST00000028743_90_90;ENSMUST00000110711_90_90;ENSMUST00000116437_90_90;ENSMUST00000142278_90_90;ENSMUST00000150611_90_90;ENSMUST00000153580_90_90
ENST00000566327_90_90;0.75;0.731;0.154;0.154;0.708;0.0;0.857;0.13;0.115;0.0;1.0;0.103;0.103;0.103;0.857;0.583;0.0;0.0;0.692;0.692;0.562;0.231;0.231;0.154
ENST00000567094_90_90;0.5;0.258;0.5;0.5;0.296;0.214;0.065;0.25;0.533;0.214;0.103;1.0;1.0;1.0;0.065;0.333;0.214;0.214;0.438;0.438;0.625;0.7;0.7;0.6
ENST00000568331_90_90;0.5;0.258;0.5;0.5;0.296;0.214;0.065;0.25;0.533;0.214;0.103;1.0;1.0;1.0;0.065;0.333;0.214;0.214;0.438;0.438;0.625;0.7;0.7;0.6
ENST00000568451_90_90;0.5;0.258;0.5;0.5;0.296;0.214;0.065;0.25;0.533;0.214;0.103;1.0;1.0;1.0;0.065;0.333;0.214;0.214;0.438;0.438;0.625;0.7;0.7;0.6
ENST00000568841_90_90;0.667;0.704;0.148;0.148;0.615;0.0;0.905;0.125;0.071;0.0;0.857;0.065;0.065;0.065;1.0;0.5;0.0;0.0;0.615;0.615;0.5;0.154;0.154;0.077
ENST00000568859_90_90;0.917;0.731;0.364;0.364;0.864;0.15;0.5;0.182;0.381;0.15;0.583;0.333;0.333;0.333;0.5;1.0;0.15;0.15;0.923;0.923;0.75;0.583;0.583;0.5
ENST00000626061_90_90;0.083;0.111;0.25;0.25;0.13;1.0;0.0;0.0;0.273;0.6;0.0;0.214;0.214;0.214;0.0;0.15;1.0;0.6;0.154;0.154;0.125;0.286;0.286;0.333
ENST00000627440_90_90;0.083;0.111;0.25;0.25;0.13;0.6;0.0;0.0;0.273;1.0;0.0;0.214;0.214;0.214;0.0;0.15;0.6;1.0;0.154;0.154;0.125;0.286;0.286;0.333
ENSMUST00000028743_90_90;1.0;1.0;0.538;0.538;1.0;0.154;0.615;0.308;0.538;0.154;0.692;0.438;0.438;0.438;0.615;0.923;0.154;0.154;1.0;1.0;0.81;0.588;0.444;0.412
ENSMUST00000110711_90_90;1.0;1.0;0.538;0.538;1.0;0.154;0.615;0.308;0.538;0.154;0.692;0.438;0.438;0.438;0.615;0.923;0.154;0.154;1.0;1.0;0.81;0.588;0.444;0.412
ENSMUST00000116437_90_90;1.0;0.812;0.438;0.438;0.812;0.125;0.5;0.25;0.438;0.125;0.562;0.625;0.625;0.625;0.5;0.75;0.125;0.125;0.81;0.81;1.0;0.476;0.364;0.333
ENSMUST00000142278_90_90;0.6;0.538;1.0;1.0;0.538;0.286;0.154;0.571;1.0;0.286;0.231;0.7;0.7;0.7;0.154;0.583;0.286;0.286;0.588;0.588;0.476;1.0;0.727;0.7
ENSMUST00000150611_90_90;0.467;0.538;1.0;1.0;0.538;0.286;0.154;0.571;1.0;0.286;0.231;0.7;0.7;0.7;0.154;0.583;0.286;0.286;0.444;0.444;0.364;0.727;1.0;0.778
ENSMUST00000153580_90_90;0.4;0.462;0.857;0.857;0.462;0.333;0.077;0.429;0.857;0.333;0.154;0.6;0.6;0.6;0.077;0.5;0.333;0.333;0.412;0.412;0.333;0.7;0.778;1.0
