;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript33_ENSRNOG00000031503;transcript26_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript22_MGP-CAROLIEiJ-G0020234;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript41_MGP-SPRETEiJ-G0021131;transcript22_MGP-SPRETEiJ-G0021131;transcript36_ENSMUSG00000054036;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592;transcript18_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript23_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript9_ENSRNOG00000031503
transcript48_ENSMSIG00000000513;0.612;0.674;0.912;0.625;0.8;0.633;0.633;0.617;0.921;0.921;1.0;1.0;1.0;0.971;0.912;0.912;0.853;0.917;1.0;1.0;0.633;0.633;0.617;0.842;0.895;0.967;0.967;1.0;0.682;0.867;0.767
transcript22_MGP-CAROLIEiJ-G0020234;0.794;0.385;0.395;1.0;0.914;1.0;1.0;0.971;0.941;0.941;1.0;1.0;1.0;0.988;0.963;0.963;0.938;0.397;1.0;1.0;1.0;1.0;0.988;0.938;0.963;1.0;1.0;1.0;1.0;0.931;0.828
transcript8_MGP-CAROLIEiJ-G0020234;0.818;0.39;0.383;0.969;0.93;0.971;0.971;0.941;0.912;0.912;0.971;0.971;0.988;1.0;0.975;0.975;0.95;0.385;0.987;0.987;0.988;0.988;0.975;0.95;0.975;0.983;0.983;0.983;0.983;0.947;0.81
transcript32_MGP-CAROLIEiJ-G0020234;0.871;0.382;0.358;0.906;0.964;0.912;0.912;0.882;0.853;0.853;0.912;0.912;0.963;0.975;1.0;1.0;0.974;0.359;0.962;0.962;0.963;0.963;0.951;0.974;1.0;0.948;0.948;0.948;0.948;0.982;0.776
transcript42_MGP-CAROLIEiJ-G0020234;0.871;0.382;0.358;0.906;0.964;0.912;0.912;0.882;0.853;0.853;0.912;0.912;0.963;0.975;1.0;1.0;0.974;0.359;0.962;0.962;0.963;0.963;0.951;0.974;1.0;0.948;0.948;0.948;0.948;0.982;0.776
transcript33_MGP-CAROLIEiJ-G0020234;0.931;0.392;0.367;0.844;1.0;0.853;0.853;0.879;0.906;0.906;0.853;0.853;0.938;0.95;0.974;0.974;1.0;0.368;0.936;0.936;0.938;0.938;0.926;1.0;0.974;0.914;0.914;0.914;0.914;0.945;0.741
transcript41_MGP-SPRETEiJ-G0021131;0.824;0.889;1.0;0.943;0.421;0.917;0.917;0.943;0.971;0.971;0.917;0.917;0.397;0.385;0.359;0.359;0.368;1.0;0.417;0.432;0.417;0.417;0.405;0.39;0.381;0.458;0.458;0.458;0.458;0.414;0.37
transcript22_MGP-SPRETEiJ-G0021131;0.806;0.407;0.397;1.0;0.915;1.0;1.0;0.972;0.944;0.944;1.0;1.0;1.0;0.987;0.962;0.962;0.936;0.417;1.0;1.0;1.0;1.0;0.988;0.94;0.964;1.0;1.0;1.0;1.0;0.932;0.797
transcript36_ENSMUSG00000054036;0.652;0.379;0.41;0.8;0.915;0.804;0.804;0.783;0.946;0.946;1.0;1.0;1.0;0.987;0.962;0.962;0.936;0.432;1.0;1.0;0.903;0.903;0.892;0.94;0.964;1.0;1.0;1.0;0.922;0.949;0.814
transcript34_ENSMUGG00000013592;0.683;0.462;0.395;1.0;0.731;1.0;1.0;0.983;0.583;0.583;0.633;0.633;1.0;0.988;0.963;0.963;0.938;0.417;1.0;0.903;1.0;1.0;0.991;0.732;0.75;0.808;0.808;0.821;1.0;0.744;0.641
transcript35_ENSMUGG00000013592;0.683;0.462;0.395;1.0;0.731;1.0;1.0;0.983;0.583;0.583;0.633;0.633;1.0;0.988;0.963;0.963;0.938;0.417;1.0;0.903;1.0;1.0;0.991;0.732;0.75;0.808;0.808;0.821;1.0;0.744;0.641
transcript18_ENSMUGG00000013592;0.667;0.452;0.383;0.983;0.731;0.983;0.983;0.967;0.567;0.567;0.617;0.617;0.988;0.975;0.951;0.951;0.926;0.405;0.988;0.892;0.991;0.991;1.0;0.723;0.741;0.808;0.808;0.821;1.0;0.744;0.641
transcript33_ENSMUGG00000013592;0.698;0.371;0.367;0.534;1.0;0.533;0.533;0.542;0.914;0.914;0.842;0.842;0.938;0.95;0.974;0.974;1.0;0.39;0.94;0.94;0.732;0.732;0.723;1.0;0.976;0.905;0.905;0.891;0.731;0.949;0.726
transcript32_ENSMUGG00000013592;0.667;0.363;0.358;0.569;0.966;0.567;0.567;0.55;0.865;0.865;0.895;0.895;0.963;0.975;1.0;1.0;0.974;0.381;0.964;0.964;0.75;0.75;0.741;0.976;1.0;0.937;0.937;0.922;0.756;0.983;0.758
transcript23_ENSRNOG00000031503;0.611;0.406;0.431;0.667;0.905;0.659;0.659;0.636;0.931;0.931;0.967;0.967;1.0;0.983;0.948;0.948;0.914;0.458;1.0;1.0;0.808;0.808;0.808;0.905;0.937;1.0;1.0;0.984;0.808;0.921;0.794
transcript21_ENSRNOG00000031503;0.611;0.406;0.431;0.667;0.905;0.659;0.659;0.636;0.931;0.931;0.967;0.967;1.0;0.983;0.948;0.948;0.914;0.458;1.0;1.0;0.808;0.808;0.808;0.905;0.937;1.0;1.0;0.984;0.808;0.921;0.794
transcript19_ENSRNOG00000031503;0.595;0.406;0.431;0.69;0.891;0.682;0.682;0.659;0.9;0.9;1.0;1.0;1.0;0.983;0.948;0.948;0.914;0.458;1.0;1.0;0.821;0.821;0.821;0.891;0.922;0.984;0.984;1.0;0.821;0.906;0.781
transcript18_ENSRNOG00000031503;0.659;0.484;0.431;1.0;0.731;1.0;1.0;0.977;0.614;0.614;0.682;0.682;1.0;0.983;0.948;0.948;0.914;0.458;1.0;0.922;1.0;1.0;1.0;0.731;0.756;0.808;0.808;0.821;1.0;0.744;0.641
transcript32_ENSRNOG00000031503;0.667;0.403;0.386;0.595;0.949;0.591;0.591;0.568;0.828;0.828;0.867;0.867;0.931;0.947;0.982;0.982;0.945;0.414;0.932;0.949;0.744;0.744;0.744;0.949;0.983;0.921;0.921;0.906;0.744;1.0;0.77
transcript9_ENSRNOG00000031503;0.529;0.339;0.377;0.5;0.726;0.523;0.523;0.5;0.724;0.724;0.767;0.767;0.828;0.81;0.776;0.776;0.741;0.37;0.797;0.814;0.641;0.641;0.641;0.726;0.758;0.794;0.794;0.781;0.641;0.77;1.0
