;ENSCAFT00000005773_90_90;ENST00000391851_90_90;ENST00000454376_90_90;ENST00000524771_90_90;ENST00000526224_90_90;ENST00000527382_90_90;ENST00000528623_90_90;ENST00000529284_90_90;ENST00000529836_90_90;ENST00000532489_90_90;ENST00000534280_90_90;ENST00000534465_90_90;ENST00000610806_90_90;ENSMUST00000045325_90_90;ENSMUST00000107843_90_90;ENSMUST00000207370_90_90;ENSMUST00000207522_90_90;ENSMUST00000207659_90_90;ENSMUST00000208312_90_90;ENSMUST00000208778_90_90;ENSMUST00000208829_90_90;ENSMUST00000208938_90_90;ENSMUST00000209056_90_90;ENSMUST00000209124_90_90
ENST00000610806_90_90;0.704;0.76;0.729;0.486;0.422;0.365;0.217;0.431;0.369;0.614;0.081;0.358;1.0;0.642;0.716;0.748;0.064;0.86;0.824;0.35;0.353;0.342;0.542;0.314
ENSMUST00000045325_90_90;0.843;0.893;0.854;0.489;0.439;0.589;0.05;0.417;0.173;0.891;0.053;0.613;0.642;1.0;0.843;0.879;0.068;0.542;0.508;0.574;0.317;0.247;0.286;0.619
ENSMUST00000107843_90_90;0.982;0.956;0.998;0.633;0.439;0.574;0.148;0.419;0.266;0.847;0.087;0.595;0.716;0.843;1.0;0.958;0.099;0.635;0.603;0.484;0.268;0.29;0.388;0.522
ENSMUST00000207370_90_90;0.94;0.998;0.956;0.591;0.459;0.599;0.155;0.439;0.278;0.885;0.049;0.621;0.748;0.879;0.958;1.0;0.06;0.663;0.629;0.505;0.28;0.303;0.404;0.544
ENSMUST00000207522_90_90;0.128;0.049;0.087;0.096;0.0;0.0;0.0;0.0;0.0;0.0;0.997;0.0;0.064;0.068;0.099;0.06;1.0;0.088;0.088;0.0;0.173;0.0;0.0;0.0
ENSMUST00000207659_90_90;0.617;0.646;0.619;0.408;0.354;0.302;0.242;0.363;0.431;0.532;0.072;0.295;0.86;0.542;0.635;0.663;0.088;1.0;0.702;0.236;0.416;0.37;0.44;0.243
ENSMUST00000208312_90_90;0.585;0.613;0.587;0.562;0.529;0.442;0.251;0.543;0.45;0.5;0.073;0.432;0.824;0.508;0.603;0.629;0.088;0.702;1.0;0.277;0.196;0.387;0.638;0.174
ENSMUST00000208778_90_90;0.484;0.523;0.5;0.26;0.28;0.359;0.0;0.253;0.0;0.592;0.0;0.385;0.35;0.574;0.484;0.505;0.0;0.236;0.277;1.0;0.238;0.056;0.148;0.702
ENSMUST00000208829_90_90;0.268;0.268;0.257;0.034;0.0;0.0;0.0;0.0;0.0;0.226;0.146;0.0;0.353;0.317;0.268;0.28;0.173;0.416;0.196;0.238;1.0;0.0;0.0;0.338
ENSMUST00000208938_90_90;0.29;0.314;0.3;0.475;0.6;0.467;0.34;0.624;0.684;0.318;0.0;0.453;0.342;0.247;0.29;0.303;0.0;0.37;0.387;0.056;0.0;1.0;0.481;0.053
ENSMUST00000209056_90_90;0.376;0.406;0.388;0.615;0.671;0.529;0.378;0.695;0.582;0.366;0.0;0.516;0.542;0.286;0.388;0.404;0.0;0.44;0.638;0.148;0.0;0.481;1.0;0.053
ENSMUST00000209124_90_90;0.522;0.564;0.54;0.204;0.158;0.318;0.0;0.134;0.0;0.638;0.0;0.343;0.314;0.619;0.522;0.544;0.0;0.243;0.174;0.702;0.338;0.053;0.053;1.0
